datetime,asset,model,feature_set,strategy_mode,cost_regime,signal,trade_action,is_trade_event,y_prob_long,y_prob_short,long_threshold,short_threshold,threshold_feasible,model_params,position,position_change,transaction_cost,raw_return,raw_log_return,gross_return,net_return,gross_equity_curve,net_equity_curve
2023-10-02 12:00:00+00:00,BTC,Logistic Regression,candle_raw,long_only,no_cost,FLAT,HOLD,0,0.5076268193461357,0.4921921393670253,0.52,,True,"{""model_dir"": ""/Users/wuxuande/PycharmProjects/QF4211Project/2020-2024_regime_sandbox/models/logistic_regression/candle_raw/btc""}",0.0,0.0,0.0,0.0078857597648642,0.00785482965984,0.0,0.0,1.0,1.0
2023-10-02 13:00:00+00:00,BTC,Logistic Regression,candle_raw,long_only,no_cost,FLAT,HOLD,0,0.508860556915286,0.49102896895167936,0.52,,True,"{""model_dir"": ""/Users/wuxuande/PycharmProjects/QF4211Project/2020-2024_regime_sandbox/models/logistic_regression/candle_raw/btc""}",0.0,0.0,0.0,-0.0082787976457399,-0.0083132572119471,-0.0,-0.0,1.0,1.0
2023-10-02 14:00:00+00:00,BTC,Logistic Regression,candle_raw,long_only,no_cost,FLAT,HOLD,0,0.5077553013704232,0.4921923651261922,0.52,,True,"{""model_dir"": ""/Users/wuxuande/PycharmProjects/QF4211Project/2020-2024_regime_sandbox/models/logistic_regression/candle_raw/btc""}",0.0,0.0,0.0,-0.0099404084190549,-0.0099901441489523,-0.0,-0.0,1.0,1.0
2023-10-02 15:00:00+00:00,BTC,Logistic Regression,candle_raw,long_only,no_cost,LONG,OPEN_LONG,1,0.5295206549932256,0.47039567484948464,0.52,,True,"{""model_dir"": ""/Users/wuxuande/PycharmProjects/QF4211Project/2020-2024_regime_sandbox/models/logistic_regression/candle_raw/btc""}",1.0,1.0,0.0,-0.0009687329401311,-0.0009692024651398,-0.0009687329401311,-0.0009687329401311,0.9990312670598689,0.9990312670598689
2023-10-02 16:00:00+00:00,BTC,Logistic Regression,candle_raw,long_only,no_cost,FLAT,CLOSE_LONG,1,0.5019834891564023,0.49799006988917804,0.52,,True,"{""model_dir"": ""/Users/wuxuande/PycharmProjects/QF4211Project/2020-2024_regime_sandbox/models/logistic_regression/candle_raw/btc""}",0.0,1.0,0.0,0.0020039894068211,0.0020019840986803,0.0,0.0,0.9990312670598689,0.9990312670598689
2023-10-02 17:00:00+00:00,BTC,Logistic Regression,candle_raw,long_only,no_cost,FLAT,HOLD,0,0.5074504716671193,0.49240670803882813,0.52,,True,"{""model_dir"": ""/Users/wuxuande/PycharmProjects/QF4211Project/2020-2024_regime_sandbox/models/logistic_regression/candle_raw/btc""}",0.0,0.0,0.0,-0.0091405319359006,-0.0091825629176727,-0.0,-0.0,0.9990312670598689,0.9990312670598689
2023-10-02 18:00:00+00:00,BTC,Logistic Regression,candle_raw,long_only,no_cost,FLAT,HOLD,0,0.5132847742539622,0.48664982327960693,0.52,,True,"{""model_dir"": ""/Users/wuxuande/PycharmProjects/QF4211Project/2020-2024_regime_sandbox/models/logistic_regression/candle_raw/btc""}",0.0,0.0,0.0,0.0059779515821174,0.005960154520984,0.0,0.0,0.9990312670598689,0.9990312670598689
2023-10-02 19:00:00+00:00,BTC,Logistic Regression,candle_raw,long_only,no_cost,FLAT,HOLD,0,0.5001403875426408,0.4997339146900819,0.52,,True,"{""model_dir"": ""/Users/wuxuande/PycharmProjects/QF4211Project/2020-2024_regime_sandbox/models/logistic_regression/candle_raw/btc""}",0.0,0.0,0.0,-0.0043382799928481,-0.0043477176348093,-0.0,-0.0,0.9990312670598689,0.9990312670598689
2023-10-02 20:00:00+00:00,BTC,Logistic Regression,candle_raw,long_only,no_cost,FLAT,HOLD,0,0.5067913049648963,0.4930503433328014,0.52,,True,"{""model_dir"": ""/Users/wuxuande/PycharmProjects/QF4211Project/2020-2024_regime_sandbox/models/logistic_regression/candle_raw/btc""}",0.0,0.0,0.0,-0.0133405498123811,-0.0134303343579231,-0.0,-0.0,0.9990312670598689,0.9990312670598689
2023-10-02 21:00:00+00:00,BTC,Logistic Regression,candle_raw,long_only,no_cost,FLAT,HOLD,0,0.5138224159878005,0.48604313672914273,0.52,,True,"{""model_dir"": ""/Users/wuxuande/PycharmProjects/QF4211Project/2020-2024_regime_sandbox/models/logistic_regression/candle_raw/btc""}",0.0,0.0,0.0,0.0029964804458901,0.002991999946613,0.0,0.0,0.9990312670598689,0.9990312670598689
