datetime,asset,model,feature_set,strategy_mode,cost_regime,signal,trade_action,is_trade_event,y_prob_long,y_prob_short,long_threshold,short_threshold,threshold_feasible,model_params,position,position_change,transaction_cost,raw_return,raw_log_return,gross_return,net_return,gross_equity_curve,net_equity_curve
2023-10-02 12:00:00+00:00,BTC,Logistic Regression,ohlc_raw,long_short,no_cost,FLAT,HOLD,0,0.5064874097698647,0.49336385982987774,0.55,0.55,True,"{""model_dir"": ""/Users/wuxuande/PycharmProjects/QF4211Project/2020-2024_regime_sandbox/models/logistic_regression/ohlc_raw/btc""}",0.0,0.0,0.0,0.0078857597648642,0.00785482965984,0.0,0.0,1.0,1.0
2023-10-02 13:00:00+00:00,BTC,Logistic Regression,ohlc_raw,long_short,no_cost,FLAT,HOLD,0,0.5090670160951697,0.49093171187698126,0.55,0.55,True,"{""model_dir"": ""/Users/wuxuande/PycharmProjects/QF4211Project/2020-2024_regime_sandbox/models/logistic_regression/ohlc_raw/btc""}",0.0,0.0,0.0,-0.0082787976457399,-0.0083132572119471,-0.0,-0.0,1.0,1.0
2023-10-02 14:00:00+00:00,BTC,Logistic Regression,ohlc_raw,long_short,no_cost,FLAT,HOLD,0,0.525391921475508,0.4746563587152473,0.55,0.55,True,"{""model_dir"": ""/Users/wuxuande/PycharmProjects/QF4211Project/2020-2024_regime_sandbox/models/logistic_regression/ohlc_raw/btc""}",0.0,0.0,0.0,-0.0099404084190549,-0.0099901441489523,-0.0,-0.0,1.0,1.0
2023-10-02 15:00:00+00:00,BTC,Logistic Regression,ohlc_raw,long_short,no_cost,FLAT,HOLD,0,0.5284616869584771,0.47158820026014003,0.55,0.55,True,"{""model_dir"": ""/Users/wuxuande/PycharmProjects/QF4211Project/2020-2024_regime_sandbox/models/logistic_regression/ohlc_raw/btc""}",0.0,0.0,0.0,-0.0009687329401311,-0.0009692024651398,-0.0,-0.0,1.0,1.0
2023-10-02 16:00:00+00:00,BTC,Logistic Regression,ohlc_raw,long_short,no_cost,FLAT,HOLD,0,0.5201570488974274,0.47993634976318067,0.55,0.55,True,"{""model_dir"": ""/Users/wuxuande/PycharmProjects/QF4211Project/2020-2024_regime_sandbox/models/logistic_regression/ohlc_raw/btc""}",0.0,0.0,0.0,0.0020039894068211,0.0020019840986803,0.0,0.0,1.0,1.0
2023-10-02 17:00:00+00:00,BTC,Logistic Regression,ohlc_raw,long_short,no_cost,FLAT,HOLD,0,0.5135982901648869,0.4863778802099537,0.55,0.55,True,"{""model_dir"": ""/Users/wuxuande/PycharmProjects/QF4211Project/2020-2024_regime_sandbox/models/logistic_regression/ohlc_raw/btc""}",0.0,0.0,0.0,-0.0091405319359006,-0.0091825629176727,-0.0,-0.0,1.0,1.0
2023-10-02 18:00:00+00:00,BTC,Logistic Regression,ohlc_raw,long_short,no_cost,FLAT,HOLD,0,0.5289233511663014,0.47117874061620496,0.55,0.55,True,"{""model_dir"": ""/Users/wuxuande/PycharmProjects/QF4211Project/2020-2024_regime_sandbox/models/logistic_regression/ohlc_raw/btc""}",0.0,0.0,0.0,0.0059779515821174,0.005960154520984,0.0,0.0,1.0,1.0
2023-10-02 19:00:00+00:00,BTC,Logistic Regression,ohlc_raw,long_short,no_cost,FLAT,HOLD,0,0.5120771388499114,0.48792325733008984,0.55,0.55,True,"{""model_dir"": ""/Users/wuxuande/PycharmProjects/QF4211Project/2020-2024_regime_sandbox/models/logistic_regression/ohlc_raw/btc""}",0.0,0.0,0.0,-0.0043382799928481,-0.0043477176348093,-0.0,-0.0,1.0,1.0
2023-10-02 20:00:00+00:00,BTC,Logistic Regression,ohlc_raw,long_short,no_cost,FLAT,HOLD,0,0.5140462389793284,0.48580590254152506,0.55,0.55,True,"{""model_dir"": ""/Users/wuxuande/PycharmProjects/QF4211Project/2020-2024_regime_sandbox/models/logistic_regression/ohlc_raw/btc""}",0.0,0.0,0.0,-0.0133405498123811,-0.0134303343579231,-0.0,-0.0,1.0,1.0
2023-10-02 21:00:00+00:00,BTC,Logistic Regression,ohlc_raw,long_short,no_cost,FLAT,HOLD,0,0.5285622921516085,0.4713711243684512,0.55,0.55,True,"{""model_dir"": ""/Users/wuxuande/PycharmProjects/QF4211Project/2020-2024_regime_sandbox/models/logistic_regression/ohlc_raw/btc""}",0.0,0.0,0.0,0.0029964804458901,0.002991999946613,0.0,0.0,1.0,1.0
2023-10-02 22:00:00+00:00,BTC,Logistic Regression,ohlc_raw,long_short,no_cost,FLAT,HOLD,0,0.5070887416262748,0.49271073782953184,0.55,0.55,True,"{""model_dir"": ""/Users/wuxuande/PycharmProjects/QF4211Project/2020-2024_regime_sandbox/models/logistic_regression/ohlc_raw/btc""}",0.0,0.0,0.0,-0.0021789504818623,-0.0021813278485341,-0.0,-0.0,1.0,1.0
2023-10-02 23:00:00+00:00,BTC,Logistic Regression,ohlc_raw,long_short,no_cost,FLAT,HOLD,0,0.5088245563949431,0.49090337837590287,0.55,0.55,True,"{""model_dir"": ""/Users/wuxuande/PycharmProjects/QF4211Project/2020-2024_regime_sandbox/models/logistic_regression/ohlc_raw/btc""}",0.0,0.0,0.0,-0.0023462865859401,-0.0023490434293859,-0.0,-0.0,1.0,1.0
2023-10-03 00:00:00+00:00,BTC,Logistic Regression,ohlc_raw,long_short,no_cost,FLAT,HOLD,0,0.509983043615632,0.48976983573566824,0.55,0.55,True,"{""model_dir"": ""/Users/wuxuande/PycharmProjects/QF4211Project/2020-2024_regime_sandbox/models/logistic_regression/ohlc_raw/btc""}",0.0,0.0,0.0,0.0048603718556325,0.004848598381907,0.0,0.0,1.0,1.0
2023-10-03 01:00:00+00:00,BTC,Logistic Regression,ohlc_raw,long_short,no_cost,FLAT,HOLD,0,0.5053785103436506,0.4944497742232049,0.55,0.55,True,"{""model_dir"": ""/Users/wuxuande/PycharmProjects/QF4211Project/2020-2024_regime_sandbox/models/logistic_regression/ohlc_raw/btc""}",0.0,0.0,0.0,0.0007575284835064,0.0007572417036248,0.0,0.0,1.0,1.0
2023-10-03 02:00:00+00:00,BTC,Logistic Regression,ohlc_raw,long_short,no_cost,FLAT,HOLD,0,0.5040145729630102,0.49570330545824265,0.55,0.55,True,"{""model_dir"": ""/Users/wuxuande/PycharmProjects/QF4211Project/2020-2024_regime_sandbox/models/logistic_regression/ohlc_raw/btc""}",0.0,0.0,0.0,0.0006286207321581,0.0006284232329094,0.0,0.0,1.0,1.0
