Asset,Model,Model Family,Feature Set,Input Type,Feature Type,Strategy Mode,Strategy Label,Cost Regime,Long Threshold,Short Threshold,Threshold Feasible,Validation Sharpe,Validation Precision,Validation Recall,Validation Avg Return,Validation Trades,Validation Signal Ratio,Test Sharpe,Test Precision,Test Recall,Test Avg Return,Cumulative Return,Maximum Drawdown,Turnover,Number of Trades,Annualized Sharpe,Model Params,Log Path,Feasibility Bucket
BTC,LightGBM,ML,candle_extended,candle,extended,long_only,long,no_cost,0.7300000000000002,,True,0.32455368657612255,0.717948717948718,0.010082823190493338,0.0013565105264284226,148,0.007121986851716581,0.260703747465242,0.6518518518518519,0.015655577299412915,0.0017873143800284856,0.2676972346078079,-0.04582585144231677,236.0,236.0,2.385891291184331,"{""model_dir"": ""/Users/wuxuande/PycharmProjects/QF4211Project/2020-2024_regime_sandbox/models/lightgbm/candle_extended/btc"", ""tree_device"": ""cpu""}",/Users/wuxuande/PycharmProjects/QF4211Project/2020-2024_regime_sandbox/data/trading_logs/no_cost/long_only/lightgbm/candle_extended/btc/trading_log.csv,feasible
BTC,LightGBM,ML,candle_extended,candle,extended,long_only,long,with_cost,0.7300000000000002,,True,0.24148520205634944,0.717948717948718,0.010082823190493338,0.0010244592443771406,148,0.007121986851716581,0.2108313800398815,0.6518518518518519,0.015655577299412915,0.0014813884541025595,0.16726070257557923,-0.06567841937900187,236.0,236.0,1.5805283184573935,"{""model_dir"": ""/Users/wuxuande/PycharmProjects/QF4211Project/2020-2024_regime_sandbox/models/lightgbm/candle_extended/btc"", ""tree_device"": ""cpu""}",/Users/wuxuande/PycharmProjects/QF4211Project/2020-2024_regime_sandbox/data/trading_logs/with_cost/long_only/lightgbm/candle_extended/btc/trading_log.csv,feasible
BTC,Logistic Regression,ML,candle_extended,candle,extended,long_short,long_short,no_cost,0.6000000000000001,0.6600000000000001,True,0.13424146715317592,0.8395833333333333,0.014952195513520204,0.0008180395935303427,418,0.02218772826880935,0.13633954987069494,0.5225453013063632,0.01887231837313536,0.0010766369694125485,0.4304250855558247,-0.11412915229730858,588.0,586.0,1.9523846396270563,"{""model_dir"": ""/Users/wuxuande/PycharmProjects/QF4211Project/2020-2024_regime_sandbox/models/logistic_regression/candle_extended/btc""}",/Users/wuxuande/PycharmProjects/QF4211Project/2020-2024_regime_sandbox/data/trading_logs/no_cost/long_short/logistic_regression/candle_extended/btc/trading_log.csv,feasible
BTC,Logistic Regression,ML,candle_extended,candle,extended,long_short,long_short,with_cost,0.6000000000000001,0.6600000000000001,True,0.08037881125260926,0.8395833333333333,0.014952195513520204,0.0005170107869459806,418,0.02218772826880935,0.09162991647462236,0.5225453013063632,0.01887231837313536,0.0007772150040946294,0.16439116820914834,-0.13595111972585994,588.0,586.0,0.8746784984830943,"{""model_dir"": ""/Users/wuxuande/PycharmProjects/QF4211Project/2020-2024_regime_sandbox/models/logistic_regression/candle_extended/btc""}",/Users/wuxuande/PycharmProjects/QF4211Project/2020-2024_regime_sandbox/data/trading_logs/with_cost/long_short/logistic_regression/candle_extended/btc/trading_log.csv,feasible
BTC,Logistic Regression,ML,candle_extended,candle,extended,short_only,short,no_cost,,0.6000000000000001,True,0.15158144787209119,0.711864406779661,0.01557285873192436,0.0013960510412504297,200,0.01077428780131483,0.0588760546821271,0.5833333333333334,0.04332333083270818,0.0003262979425658246,0.13085840634341706,-0.0784261096108867,626.0,626.0,1.0341441309042556,"{""model_dir"": ""/Users/wuxuande/PycharmProjects/QF4211Project/2020-2024_regime_sandbox/models/logistic_regression/candle_extended/btc""}",/Users/wuxuande/PycharmProjects/QF4211Project/2020-2024_regime_sandbox/data/trading_logs/no_cost/short_only/logistic_regression/candle_extended/btc/trading_log.csv,feasible
BTC,Logistic Regression,ML,candle_extended,candle,extended,short_only,short,with_cost,,0.6000000000000001,True,0.11614129195384672,0.711864406779661,0.01557285873192436,0.0010994408717589035,200,0.01077428780131483,0.006099217173672506,0.5833333333333334,0.04332333083270818,4.9656528424410694e-05,-0.09164061364350096,-0.16434854382266473,626.0,626.0,-0.7200443736362219,"{""model_dir"": ""/Users/wuxuande/PycharmProjects/QF4211Project/2020-2024_regime_sandbox/models/logistic_regression/candle_extended/btc""}",/Users/wuxuande/PycharmProjects/QF4211Project/2020-2024_regime_sandbox/data/trading_logs/with_cost/short_only/logistic_regression/candle_extended/btc/trading_log.csv,feasible
ETH,LightGBM,ML,ohlc_extended,ohlc,extended,long_only,long,no_cost,0.6900000000000002,,True,0.1280496625754598,0.6666666666666666,0.015364916773367477,0.0007176450325853109,210,0.011504747991234477,0.08978734008557648,0.6143790849673203,0.0168609865470852,0.0011416915365995357,0.17578933041247669,-0.1556515844163454,262.0,262.0,0.9862100722886851,"{""model_dir"": ""/Users/wuxuande/PycharmProjects/QF4211Project/2020-2024_regime_sandbox/models/lightgbm/ohlc_extended/eth"", ""tree_device"": ""cpu""}",/Users/wuxuande/PycharmProjects/QF4211Project/2020-2024_regime_sandbox/data/trading_logs/no_cost/long_only/lightgbm/ohlc_extended/eth/trading_log.csv,feasible
ETH,LightGBM,ML,ohlc_extended,ohlc,extended,long_only,long,with_cost,0.6900000000000002,,True,0.07326789823472804,0.6666666666666666,0.015364916773367477,0.00042597836591864394,210,0.011504747991234477,0.06297398145320514,0.6143790849673203,0.0168609865470852,0.0008420183339851568,0.07282613849567876,-0.17698395358482832,262.0,262.0,0.46963544517288053,"{""model_dir"": ""/Users/wuxuande/PycharmProjects/QF4211Project/2020-2024_regime_sandbox/models/lightgbm/ohlc_extended/eth"", ""tree_device"": ""cpu""}",/Users/wuxuande/PycharmProjects/QF4211Project/2020-2024_regime_sandbox/data/trading_logs/with_cost/long_only/lightgbm/ohlc_extended/eth/trading_log.csv,feasible
ETH,LightGBM,ML,ohlc_extended,ohlc,extended,long_short,long_short,no_cost,0.6600000000000001,0.7300000000000002,True,0.12600863205614893,0.8036363636363637,0.015821104061389146,0.0006758484153575628,464,0.025657414170927685,0.07522928938826859,0.6320553780617678,0.018261058362769412,0.0007514698067227092,0.2644833048169888,-0.21170516518502924,549.0,547.0,1.1812551252301995,"{""model_dir"": ""/Users/wuxuande/PycharmProjects/QF4211Project/2020-2024_regime_sandbox/models/lightgbm/ohlc_extended/eth"", ""tree_device"": ""cpu""}",/Users/wuxuande/PycharmProjects/QF4211Project/2020-2024_regime_sandbox/data/trading_logs/no_cost/long_short/lightgbm/ohlc_extended/eth/trading_log.csv,feasible
ETH,LightGBM,ML,ohlc_extended,ohlc,extended,long_short,long_short,with_cost,0.6600000000000001,0.7300000000000002,True,0.06792415201881284,0.8036363636363637,0.015821104061389146,0.00038688044382731375,464,0.025657414170927685,0.0420377574850553,0.6320553780617678,0.018261058362769412,0.00046378434678205665,0.0434832160187526,-0.2820714321429506,549.0,547.0,0.2854145038826747,"{""model_dir"": ""/Users/wuxuande/PycharmProjects/QF4211Project/2020-2024_regime_sandbox/models/lightgbm/ohlc_extended/eth"", ""tree_device"": ""cpu""}",/Users/wuxuande/PycharmProjects/QF4211Project/2020-2024_regime_sandbox/data/trading_logs/with_cost/long_short/lightgbm/ohlc_extended/eth/trading_log.csv,feasible
