Feature Type,Validation Sharpe,Validation Precision,Validation Recall,Validation Avg Return,Test Sharpe,Test Precision,Test Recall,Test Avg Return,Scope,Strategy_Mode,Cost_Regime
extended,0.02185626952080013,0.6066350277846022,0.05828389082888989,0.00016608099063486912,0.08650975119653141,0.5828345748273751,0.06102293967840734,0.000953317293385675,all_assets,long_only,with_cost
raw,0.005540828708093156,0.5268927803524698,0.16113590839836556,-3.608842391197712e-07,0.01324495707170515,0.5192484256106392,0.14284531000244996,0.00016546656464933913,all_assets,long_only,with_cost
extended,0.054574998716946065,0.6066350277846022,0.05828389082888989,0.0004290903433999386,0.11989521924885606,0.5828345748273751,0.06102293967840734,0.0012127998901840177,all_assets,long_only,no_cost
raw,0.03165938668012921,0.5268927803524698,0.16113590839836556,0.00020917963440889901,0.04104090660577721,0.5192484256106392,0.14284531000244996,0.00037878691613450034,all_assets,long_only,no_cost
extended,-0.026884485664057774,0.5808006935331105,0.061368299651212536,-0.00021290192155682427,-0.023804599384132763,0.5450110051963609,0.13951551703456647,-0.00023133870208611414,all_assets,short_only,with_cost
raw,-0.03271317140553999,0.515125931541782,0.1376967513517367,-0.00036616284914994357,-0.02057176196734162,0.4956737165839764,0.3245427318048245,-0.00028719679998902997,all_assets,short_only,with_cost
extended,0.004551689556135271,0.5808006935331105,0.061368299651212536,5.389366741048316e-05,0.004816346811050788,0.5450110051963609,0.13951551703456647,2.785012583621858e-06,all_assets,short_only,no_cost
raw,-0.006180267953270356,0.515125931541782,0.1376967513517367,-0.0001506209440285231,-0.0036141408626091023,0.4956737165839764,0.3245427318048245,-0.00012971878419895205,all_assets,short_only,no_cost
extended,0.01236511926966219,0.6812424446653986,0.04986542723646572,0.00012367553215129366,0.04114366093278108,0.5678431599649002,0.06726968832677094,0.0004194366697900389,all_assets,long_short,with_cost
raw,-0.002288910827337733,0.6233222227088236,0.14308997485206193,1.554687706029854e-05,0.00038173087840633773,0.5021925309826731,0.16863878515782646,-3.32007348586607e-05,all_assets,long_short,with_cost
extended,0.04401008264604637,0.6812424446653986,0.04986542723646572,0.0003818009269968294,0.07433295477407596,0.5678431599649002,0.06726968832677094,0.0006708786910457482,all_assets,long_short,no_cost
raw,0.02144538091143319,0.6233222227088236,0.14308997485206193,0.0001931917676610272,0.02461705835853239,0.5021925309826731,0.16863878515782646,0.0001557031335127854,all_assets,long_short,no_cost
