Model,Input Type,Feature Type,Strategy,Validation Sharpe,Validation Precision,Validation Recall,Validation Avg Return,Test Sharpe,Test Precision,Test Recall,Test Avg Return
Logistic Regression,candle,extended,long,-0.020906843062504316,0.6101694915254238,0.015328933361720247,-0.00023152363560547233,0.3026795658820266,0.6376811594202898,0.018066105522479982,0.00467372945748501
LightGBM,candle,extended,long,-0.03835638560763468,0.59375,0.01213540557802853,-0.0006914039911520168,0.18204375526214192,0.594306049822064,0.03428454116197906,0.0020205489496240114
Logistic Regression,ohlc,extended,long,0.0031597127087022343,0.6183206106870229,0.01724505003193528,0.0004454841312824266,0.22678714711508385,0.5907473309608541,0.03407924450831452,0.002754304379005306
GRU,candle,extended,long,0.006367615146501404,0.5983606557377049,0.015581643543223053,0.0007705629786536191,0.24576604114928716,0.5868725868725869,0.031256426074439646,0.0032294498320504035
LightGBM,ohlc,extended,long,-0.027721708112188256,0.6262626262626263,0.013199914839259102,-0.0004171840275814785,0.2001042110056005,0.5740072202166066,0.0326421679326627,0.002191274921926418
GRU,ohlc,extended,long,0.0985244318952497,0.6462882096069869,0.03159018143009605,0.0015058113475688033,0.12706695105007632,0.5687645687645687,0.05017478922475838,0.0015589216195635953
Logistic Regression,ohlc,raw,long,0.051498111865649066,0.5326633165829145,0.022567596338088143,0.0014998855616533697,0.11288967106337583,0.5511482254697286,0.05419831656743995,0.0014172887039598815
SMA,rule,rule,long,0.0208452190523514,0.5441860465116279,0.025058899121867637,0.0005082514866352001,0.09612664689091657,0.55,0.009077780070146483,0.001604774051120926
XGBoost,candle,extended,long,0.02979519845383489,0.5517241379310345,0.044283585267191825,0.000673844321699733,0.054395860687809335,0.541025641025641,0.0866351878464381,0.0006204774462672723
RSI,rule,rule,long,0.0028279061892111843,0.5203157650336662,0.4774179804005113,9.949585225110969e-05,0.028873503108653192,0.5400937577103381,0.44948665297741275,0.0002548248963208517
XGBoost,ohlc,extended,long,0.012942354084115468,0.5272331154684096,0.05152224824355972,0.00045480188842563754,0.045466021362341735,0.5313935681470138,0.07123793882159721,0.000585174119272383
Logistic Regression,candle,raw,long,0.004418668761569079,0.4785557986870897,0.4656163508622525,8.836939098267894e-05,0.18164404435746592,0.5312977099236641,0.07144323547526175,0.0015321507397052223
GRU,candle,raw,long,-0.09536374013486805,0.4935064935064935,0.01622198505869797,-0.003222350608427594,0.018886589175692938,0.5134048257372654,0.07875796833230517,0.0003508501100675357
GRU,ohlc,raw,long,0.016343735925974805,0.49145299145299143,0.5154749199573105,0.00019912733152261964,0.016622578544795662,0.5117381489841987,0.46617314414970185,0.0001921548872051614
LightGBM,ohlc,raw,long,-0.03413540377665069,0.5169366715758469,0.07472855013838621,-0.0005774481640160859,0.03743865729213945,0.5037425149700598,0.13816464791623898,0.00038581312010277927
XGBoost,ohlc,raw,long,0.005751312727911392,0.511015911872705,0.17777304662550564,0.00018611065297221421,0.015241188566056673,0.5020242914979757,0.2036542804352289,0.0001972914773395305
LightGBM,candle,raw,long,0.003470305833330721,0.5054054054054054,0.03981264637002342,0.00025888888738366295,0.06380692066378257,0.5,0.08909874769041265,0.000659387412972555
XGBoost,candle,raw,long,0.034608076076346556,0.511520737327189,0.023632105599318713,0.0005531050535569654,-0.026861835728240507,0.47834645669291337,0.0498870868404845,-0.00024373494207229334
