Model,Input Type,Feature Type,Strategy,Validation Sharpe,Validation Precision,Validation Recall,Validation Avg Return,Test Sharpe,Test Precision,Test Recall,Test Avg Return
Logistic Regression,candle,extended,long,-0.02917455450113615,0.6101694915254238,0.015328933361720247,-0.00043321855085970954,0.2773564622242683,0.6376811594202898,0.018066105522479982,0.004389671486470517
LightGBM,candle,extended,long,-0.05014310617222723,0.59375,0.01213540557802853,-0.001015883157818684,0.14716087062711297,0.594306049822064,0.03428454116197906,0.001724107668485221
Logistic Regression,ohlc,extended,long,-0.004716155823418569,0.6183206106870229,0.01724505003193528,0.00023174367326715917,0.19998484045857068,0.5907473309608541,0.03407924450831452,0.0025288595391476545
GRU,candle,extended,long,0.0011648322931348803,0.5983606557377049,0.015581643543223053,0.0005984318311126353,0.2250331212612984,0.5868725868725869,0.031256426074439646,0.0030470173996179706
LightGBM,ohlc,extended,long,-0.034944111218477465,0.6262626262626263,0.013199914839259102,-0.0006823355427329926,0.1675733952860308,0.5740072202166066,0.0326421679326627,0.0019234048858253346
GRU,ohlc,extended,long,0.08112847958716742,0.6462882096069869,0.03159018143009605,0.0012918375484421657,0.10265810247596663,0.5687645687645687,0.05017478922475838,0.0013427211533631291
Logistic Regression,ohlc,raw,long,0.03946156990783994,0.5326633165829145,0.022567596338088143,0.0012483780239649271,0.08427320255320782,0.5511482254697286,0.05419831656743995,0.0011578941319348296
SMA,rule,rule,long,0.019759959623761404,0.5441860465116279,0.025058899121867637,0.0004903445098910142,0.0944628434724497,0.55,0.009077780070146483,0.0015785240511209258
XGBoost,candle,extended,long,0.010547480496131805,0.5517241379310345,0.044283585267191825,0.000360051218251457,0.025195696996662808,0.541025641025641,0.0866351878464381,0.00035752872831855447
RSI,rule,rule,long,-0.002821218975209639,0.5203157650336662,0.4774179804005113,3.2860142940684856e-05,0.01569200591505004,0.5400937577103381,0.44948665297741275,0.00018314959407560128
XGBoost,ohlc,extended,long,-0.0016888276090394878,0.5272331154684096,0.05152224824355972,0.00017190428493979868,0.01967353905498668,0.5313935681470138,0.07123793882159721,0.0003214681468374674
Logistic Regression,candle,raw,long,0.0006098969792493281,0.4785557986870897,0.4656163508622525,5.4518187481584906e-05,0.14117245763326863,0.5312977099236641,0.07144323547526175,0.0013077232587891917
GRU,candle,raw,long,-0.0996100843656501,0.4935064935064935,0.01622198505869797,-0.003438259699336685,0.00425802440829975,0.5134048257372654,0.07875796833230517,0.00016318254974581994
GRU,ohlc,raw,long,0.00803282365215244,0.49145299145299143,0.5154749199573105,0.00014214727454256272,0.008802959763550458,0.5117381489841987,0.46617314414970185,0.00013914134318710275
LightGBM,ohlc,raw,long,-0.04365296423326448,0.5169366715758469,0.07472855013838621,-0.0008599223908202097,0.010618599315019784,0.5037425149700598,0.13816464791623898,0.00016732509615068362
XGBoost,ohlc,raw,long,-0.010048567400047555,0.511015911872705,0.17777304662550564,-6.150256612203285e-05,-0.006598797680936949,0.5020242914979757,0.2036542804352289,-1.9155891081522018e-05
LightGBM,candle,raw,long,-0.011872425634102408,0.5054054054054054,0.03981264637002342,-5.232732883255288e-05,0.03124535686315645,0.5,0.08909874769041265,0.0003964841871661035
XGBoost,candle,raw,long,0.009114056979825575,0.511520737327189,0.023632105599318713,0.00022084698904083645,-0.05013065235714528,0.47834645669291337,0.0498870868404845,-0.0005420617137258365
