Model,Input Type,Feature Type,Strategy,Validation Sharpe,Validation Precision,Validation Recall,Validation Avg Return,Test Sharpe,Test Precision,Test Recall,Test Avg Return
GRU,ohlc,extended,short,0.20387963046476434,0.6818181818181818,0.011657276083155236,0.0018481126712395568,0.08092724167986622,0.6260162601626016,0.014613778705636743,0.0005858976779380482
Logistic Regression,ohlc,extended,short,0.02550168912820803,0.625,0.018421562924180724,0.00041693464178443483,0.02103504788075862,0.5829383886255924,0.023291043362999433,0.0005736433031756847
GRU,candle,extended,short,0.0821795819560601,0.6842105263157895,0.012628715756751506,0.0009830103725771196,-0.07606014927258725,0.5754716981132075,0.011577149364205732,-0.001594851428333412
Logistic Regression,candle,extended,short,-0.035777667503708484,0.6375,0.01977894124490983,-0.0005732691753860819,-0.033600459792528924,0.5591054313099042,0.03313766332134065,-0.0005448471311737644
XGBoost,candle,extended,short,0.003512205411694205,0.5710659898477157,0.04363001745200698,0.00017304729141175224,0.017972186392277514,0.5385802469135802,0.06608596856655936,0.0003124876626523889
XGBoost,ohlc,extended,short,-0.0058588562641476395,0.5357142857142857,0.03781268179173938,3.4790363572834664e-05,-0.005317832008820668,0.522189349112426,0.06684340087104715,1.549781975850627e-05
RSI,rule,rule,short,0.0052996654148442825,0.5148342059336823,0.40120458519525937,0.00010139028008023182,-0.013023568077310673,0.5176582128466461,0.4144999051053331,-0.0001423449490936732
LightGBM,ohlc,extended,short,-0.07633700538194066,0.5673076923076923,0.011440760131859608,-0.0009214232459133183,-0.013621991609513405,0.5112359550561798,0.01723158492709714,-8.516790168259273e-05
Logistic Regression,ohlc,raw,short,-0.07254110296251895,0.5394736842105263,0.0159007174713981,-0.0017352182912494854,-0.03756423127467542,0.49829351535836175,0.08293883734141261,-0.0008017925804437093
SMA,rule,rule,short,-0.004288606279465979,0.47465437788018433,0.02005842259006816,3.896479164818557e-05,-0.036002354185850516,0.49201277955271566,0.029299847792998476,-0.000631447970530432
Logistic Regression,candle,raw,short,0.01193486419486512,0.48719165085388993,0.39829358153965483,0.00012151083530690196,-0.013552783418479633,0.490905783921426,0.5110774474531339,-0.00022938759150968512
LightGBM,ohlc,raw,short,-0.06271628502991411,0.543859649122807,0.018033740546829553,-0.0011132163605383364,-0.03622431367532314,0.48484848484848486,0.06362431357697405,-0.0005962263834732969
GRU,ohlc,raw,short,0.0021090302938376725,0.48484141791044777,0.8078492325626578,5.1069165593564944e-05,-0.009331919990502272,0.4847157016171101,0.88176124501803,-0.00013031863647920596
GRU,candle,raw,short,-0.003509048275164732,0.4795585263485155,0.5993782786088984,5.003417352994746e-06,-0.013511123671552432,0.47966127324965974,0.6020117669386981,-0.0003072125917129188
LightGBM,candle,extended,short,0.17824487158864194,0.6222222222222222,0.010859026565832848,0.0020805728335397834,-0.0591438136866598,0.4728682170542636,0.011550842643438742,-0.0008466528317489257
XGBoost,candle,raw,short,-0.004791201318768711,0.4945054945054945,0.02617801047120419,6.160152406277502e-05,-0.04970900408446839,0.47230320699708456,0.0613520166635107,-0.0008521276360593873
LightGBM,candle,raw,short,0.011105257642832322,0.5625,0.012216404886561954,0.00016200860833135697,-0.06596119099249166,0.4553072625698324,0.030865366407877296,-0.0010897927418434148
XGBoost,ohlc,raw,short,-0.05221433365723332,0.5023696682464455,0.020554585999612178,-0.000871916487859754,-0.05933235271020769,0.45024469820554647,0.052262829009657265,-0.0012492501758298556
