Model,Input Type,Feature Type,Strategy,Validation Sharpe,Validation Precision,Validation Recall,Validation Avg Return,Test Sharpe,Test Precision,Test Recall,Test Avg Return
GRU,candle,extended,long_short,0.022287423165396482,0.8342391304347826,0.011189961875916489,0.00022635647246013616,0.10091907642383617,0.6501145287958114,0.012936251055446102,0.0010006686540309526
GRU,ohlc,extended,long_short,0.04492826926995247,0.8187250996015936,0.014620991958256653,0.00017040915252617653,0.047461153598489576,0.6416184971098265,0.009893048128342246,0.0002975917745289681
Logistic Regression,ohlc,extended,long_short,-0.017888132414432486,0.8081180811808117,0.015126905166372056,-0.00010979883414384672,0.18683806029920808,0.6388888888888888,0.006137697918519837,0.0013992196327236221
Logistic Regression,candle,raw,long_short,-0.002222005619134751,0.7566899360093078,0.15926527280808817,1.0597253184756301e-06,0.030497864326788027,0.6347604259094942,0.1044442806574264,0.00020199489603091582
LightGBM,candle,extended,long_short,0.17779541813231628,0.7415300546448087,0.011623933233007132,0.0010484080133591443,0.07766836891712367,0.5873200442967885,0.0234076765499861,0.0004504981599329579
LightGBM,ohlc,extended,long_short,0.021291778500739558,0.6103216155572176,0.011904690376709262,0.00014331529915950897,0.013929964085889134,0.5524022108843537,0.026329600991245854,9.034416044379414e-05
RSI,rule,rule,long_short,-0.015141884262996246,0.5485428694994816,0.4777278927161831,-0.00013498935011596925,-0.010590715838405923,0.5392986479801707,0.4714172498415111,-6.911956310043951e-05
XGBoost,ohlc,extended,long_short,-0.02351942598238768,0.5488075821222753,0.1505611671379221,-0.00015659845359757387,-0.017915566175277446,0.5360519245055317,0.19140676247161775,-0.00010994685006111558
XGBoost,candle,extended,long_short,-0.03252972475416884,0.5316248109073044,0.19709355104412551,-0.00031873194601650764,-0.024833267846955033,0.5264887298202863,0.25121298226175476,-0.00022948671140016566
Logistic Regression,candle,extended,long_short,0.08037881125260926,0.8395833333333333,0.014952195513520204,0.0005170107869459806,0.09162991647462236,0.5225453013063632,0.01887231837313536,0.0007772150040946294
GRU,ohlc,raw,long_short,0.0057124436620913325,0.529090055737931,0.150223467050426,5.377589883124943e-05,-0.004259173353773378,0.5127137733046452,0.2851917561282887,-1.0223150575938293e-05
XGBoost,candle,raw,long_short,-0.02668358764890202,0.5157362721884567,0.10862273917230751,-0.0001571581664002163,-0.037322614352980885,0.5096467993356361,0.1455934889700009,-0.0003255932447185458
XGBoost,ohlc,raw,long_short,-0.02141464130545379,0.5047108226230601,0.19426031057327864,-0.0001584611018346083,-0.018251481087510655,0.5037854949168938,0.20187392071287702,-0.00011809756677765425
LightGBM,ohlc,raw,long_short,0.018106577775488828,0.6191428571428572,0.02497703806454016,0.0001448514549373504,-0.04022512910571098,0.5010964912280702,0.025090293432635868,-0.00021304008906729155
GRU,candle,raw,long_short,0.025682783240015897,0.7652761457109283,0.08396538268589925,0.00010009168956377585,-0.010057556249063924,0.49933598937583,0.3533834586466165,-5.115507291950128e-05
LightGBM,candle,raw,long_short,-0.0014037770304238168,0.518462643678161,0.16400266156837595,8.72764585057592e-06,-0.02080193343197528,0.4949708861769163,0.1059439383952019,-0.00012569345784083845
SMA,rule,rule,long_short,0.07639296435932405,0.5542991252400256,0.02425809830913525,0.0006593249002492651,-0.05541144173960652,0.49277139537885634,0.016638421445630137,-0.0005343893914857646
Logistic Regression,ohlc,raw,long_short,3.951293049712217e-05,0.7584304107909259,0.07598394513756399,3.033951638035972e-05,0.02692819202475466,0.28589108910891087,0.02054794520547945,0.00027761109702131767
