Model,Input Type,Feature Type,Strategy,Validation Sharpe,Validation Precision,Validation Recall,Validation Avg Return,Test Sharpe,Test Precision,Test Recall,Test Avg Return
GRU,ohlc,extended,long_short,0.10297505418112374,0.8231441048034934,0.01590385730195253,0.0015561654213713198,0.13965779957477903,0.6029306714790585,0.04192815351240051,0.0013326509928294945
Logistic Regression,candle,extended,long_short,-0.04457113051105222,0.5814822612906623,0.01732158473641568,-0.0007691711910687284,0.07648044968642571,0.594684461566685,0.06461222385582023,0.0006661277064725635
Logistic Regression,ohlc,extended,long_short,-0.018974930746297372,0.5992837621336349,0.013722351404856527,-0.0001959254254939769,0.17079270047729597,0.5790471348681822,0.04658266157402974,0.0013083932739496556
LightGBM,ohlc,extended,long_short,0.02450860271017567,0.7901960784313726,0.01608025789954581,0.0008257706238915934,0.18082255123567856,0.5654320052517295,0.03822015000836677,0.0015150454775579416
Logistic Regression,ohlc,raw,long_short,0.06248173887125822,0.7663316582914572,0.011392305113488516,0.001728632623189229,0.049366863440493555,0.5481493635709846,0.11370914765672742,0.0004297965156447621
RSI,rule,rule,long_short,-0.007471856500944745,0.5167222996947471,0.46579413355386123,-8.729112173285976e-05,0.0011068680083329617,0.5277028770131243,0.46287910005755084,6.239839090679942e-05
Logistic Regression,candle,raw,long_short,0.0070670114932085484,0.7392778993435448,0.2331336962644596,0.00010967106607045407,0.16620017783453309,0.527513261741493,0.06855902475144596,0.0010472118627033965
LightGBM,ohlc,raw,long_short,-0.03186293312333039,0.7584683357879234,0.03790680979141533,-0.0005173305127421923,0.050320676188557664,0.5241484852078022,0.07492716986672734,0.00046043674497550023
XGBoost,candle,extended,long_short,0.044492287888157525,0.5273167783309771,0.07900354355912757,0.0005458459657773079,0.014561093841881126,0.519843468925898,0.13836274500606618,0.00019462572243946372
LightGBM,candle,raw,long_short,0.0035690692894186165,0.7527027027027027,0.020014830129456155,0.000260170088200963,0.06928322839970141,0.5192307692307692,0.05050048967942524,0.0006707736976689486
LightGBM,candle,extended,long_short,0.009118434341907063,0.5969678217821782,0.1121735643540203,0.00018700803520880086,-0.0010932988359861138,0.5172206030714046,0.22287100716007532,3.822283709950884e-05
XGBoost,ohlc,extended,long_short,0.004843838464220288,0.5253197361771604,0.044858346344002084,0.0002649614653957047,0.012743254846756273,0.5125081057284447,0.07610781106860945,0.00019366958180762583
GRU,ohlc,raw,long_short,0.02898230650157859,0.5179115961338251,0.455875682460999,0.00021393210326405755,0.014556574863199378,0.5053306894611442,0.4707401693636508,0.00014348471996960874
GRU,candle,raw,long_short,0.011864465970727944,0.5232345517808945,0.4897458762141056,0.00014644170738522635,0.003163203740659331,0.5031672320032866,0.43501046122726683,7.60996703493143e-05
XGBoost,ohlc,raw,long_short,0.00048283329683529214,0.5163060727888278,0.1045135793310742,0.00011975405269335603,0.014959919627802519,0.4993429913603364,0.14561759276692546,0.0001884163383635189
XGBoost,candle,raw,long_short,-0.02285111500472899,0.5090643334213037,0.02429435141077047,-0.00026414696702743674,-0.013829576711077742,0.4797467701020589,0.07978606823310268,-0.00011033715755153662
GRU,candle,extended,long_short,-0.01168817336637561,0.5856573705179283,0.015688367129135537,2.378453556242721e-05,0.27396054593972213,0.4614035087719298,0.023137637873338078,0.0028927010398782094
SMA,rule,rule,long_short,0.031217776429566524,0.5720930232558139,0.01743461633660419,0.0012256589966153802,0.0184292298551812,0.45681818181818185,0.004966149167737202,0.0005769646441376448
