Model,Input Type,Feature Type,Strategy,Validation Sharpe,Validation Precision,Validation Recall,Validation Avg Return,Test Sharpe,Test Precision,Test Recall,Test Avg Return
Logistic Regression,ohlc,raw,long_short,-0.015956820604255975,0.7514269406392694,0.08550780666914984,-0.00013633940197850555,-0.018717799471852245,0.5940289140944589,0.1304336279315951,-0.00028335015282905684
GRU,ohlc,extended,long_short,0.01390009310048132,0.6703781512605043,0.0639390281877194,0.0001745467526256928,0.011927192219043389,0.5743005373355567,0.04161535961591638,0.00017799287703273523
Logistic Regression,ohlc,extended,long_short,0.039371577516831416,0.7961165048543689,0.011068178615920528,0.0004524685460647335,0.08366951519820705,0.5443722943722944,0.012535037088467624,0.0010953705436575762
GRU,candle,extended,long_short,0.011014653585436376,0.7933655839668279,0.07661120308776338,0.00014842030833027116,0.07092245849124985,0.5431654676258992,0.059684654163403815,0.0006362391667898466
XGBoost,candle,extended,long_short,-0.029116579042908864,0.5681610119638127,0.05894826895900383,-0.0003845719454069276,0.01836571820021459,0.5425281954887218,0.0781435709632798,0.00026002198995110404
LightGBM,ohlc,extended,long_short,0.052095498060892205,0.5883084577114428,0.015655939471808242,0.0007945694405335389,0.021673643302562492,0.5396306271642939,0.01829301120182972,0.0003600727057446614
LightGBM,candle,extended,long_short,0.05739464955588792,0.6431721798134011,0.013253254290110667,0.0008653959138939164,0.06735011145323905,0.5392912513842747,0.01539778878722409,0.0009571212524465262
RSI,rule,rule,long_short,-0.006364897823905826,0.5349517790419767,0.48689246500217276,-4.009849372650858e-05,-0.005107077114029533,0.5346129046565279,0.4844747586515329,-2.0222028063921294e-05
Logistic Regression,candle,extended,long_short,0.05038054256801401,0.7981651376146789,0.011787603076352182,0.0005421393982231215,-0.010041489266801557,0.5281773399014777,0.01175706348941142,-2.565440364529879e-05
XGBoost,ohlc,extended,long_short,-0.017829264677850325,0.5362408529303194,0.11204369837463363,-0.00018193968709516735,-0.010605344468919335,0.5174949635817404,0.13270448093815995,-8.064058705088067e-05
GRU,ohlc,raw,long_short,0.03279154203977253,0.5574446161772282,0.09751261715933669,0.00029469422949418545,0.021903054284438735,0.5141083521444695,0.08286338002546843,0.00020944624011758967
LightGBM,candle,raw,long_short,-0.013396852275181,0.6302201257861635,0.18304576234300518,-0.00011578391445440274,-0.017631030642609808,0.505620372771008,0.17728655033727603,-0.0002017324318988966
LightGBM,ohlc,raw,long_short,-0.0113387124456249,0.5475134621476085,0.15136583577814886,-8.315567621718973e-05,-0.02049469668573323,0.4893769488672425,0.18022115359360236,-0.00035756970714711936
SMA,rule,rule,long_short,-0.000869331805203701,0.49814220219293,0.151333243614812,4.1820612645391174e-05,0.034212100489018814,0.4864175575382472,0.1607201439471905,0.00031728842383454286
XGBoost,ohlc,raw,long_short,-0.0018809998855582532,0.51457263666566,0.16996427290976993,2.49297868363862e-05,-0.019570556163141607,0.4760241933822671,0.1870898015205577,-0.0003696947275954761
XGBoost,candle,raw,long_short,-0.012027062323535273,0.5092918291235803,0.045815790648458546,-7.616053753809088e-05,-0.0382019975790779,0.4750395584726528,0.0688736371065921,-0.0007187556885452249
Logistic Regression,candle,raw,long_short,0.007426498718691374,0.743595825426945,0.19932664688493532,9.347240300685323e-05,-0.014405057835100517,0.38831003481785586,0.25572027782968965,-0.0002930847042485776
GRU,candle,raw,long_short,-0.00610761003407693,0.7397792631742577,0.2997792618711399,-2.5499534701149308e-05,-0.013769401465726265,0.23983063662482987,0.30100588346934903,-0.000359365938958761
