datetime,asset,model,feature_set,strategy_mode,cost_regime,signal,trade_action,is_trade_event,y_prob_long,y_prob_short,long_threshold,short_threshold,threshold_feasible,model_params,position,position_change,transaction_cost,raw_return,raw_log_return,gross_return,net_return,gross_equity_curve,net_equity_curve
2024-10-02 13:00:00+00:00,XRP,GRU,candle_extended,long_only,no_cost,FLAT,HOLD,0,0.5357686877250671,0.4551065266132355,0.56,,True,"{""lookback_hours"": 24, ""model_dir"": ""models/gru/candle_extended/xrp""}",0.0,0.0,0.0,-0.0076923076923075,-0.0077220460939101,-0.0,-0.0,1.0,1.0
2024-10-02 14:00:00+00:00,XRP,GRU,candle_extended,long_only,no_cost,FLAT,HOLD,0,0.5496454834938049,0.4499344229698181,0.56,,True,"{""lookback_hours"": 24, ""model_dir"": ""models/gru/candle_extended/xrp""}",0.0,0.0,0.0,0.0068906115417743,0.0068669797741769,0.0,0.0,1.0,1.0
2024-10-02 15:00:00+00:00,XRP,GRU,candle_extended,long_only,no_cost,FLAT,HOLD,0,0.5330953598022461,0.48224836587905884,0.56,,True,"{""lookback_hours"": 24, ""model_dir"": ""models/gru/candle_extended/xrp""}",0.0,0.0,0.0,-0.0011976047904191,-0.0011983224921087,-0.0,-0.0,1.0,1.0
2024-10-02 16:00:00+00:00,XRP,GRU,candle_extended,long_only,no_cost,FLAT,HOLD,0,0.5337737798690796,0.47395268082618713,0.56,,True,"{""lookback_hours"": 24, ""model_dir"": ""models/gru/candle_extended/xrp""}",0.0,0.0,0.0,-0.0030832476875642,-0.0030880106885766,-0.0,-0.0,1.0,1.0
2024-10-02 17:00:00+00:00,XRP,GRU,candle_extended,long_only,no_cost,FLAT,HOLD,0,0.5415613055229187,0.46728751063346863,0.56,,True,"{""lookback_hours"": 24, ""model_dir"": ""models/gru/candle_extended/xrp""}",0.0,0.0,0.0,-0.0216494845360823,-0.0218872728875005,-0.0,-0.0,1.0,1.0
2024-10-02 18:00:00+00:00,XRP,GRU,candle_extended,long_only,no_cost,FLAT,HOLD,0,0.5500824451446533,0.44470417499542236,0.56,,True,"{""lookback_hours"": 24, ""model_dir"": ""models/gru/candle_extended/xrp""}",0.0,0.0,0.0,0.0101861608710924,0.0101346315628998,0.0,0.0,1.0,1.0
2024-10-02 19:00:00+00:00,XRP,GRU,candle_extended,long_only,no_cost,FLAT,HOLD,0,0.5284467935562134,0.4748952090740204,0.56,,True,"{""lookback_hours"": 24, ""model_dir"": ""models/gru/candle_extended/xrp""}",0.0,0.0,0.0,-0.0076495132127957,-0.0076789208041557,-0.0,-0.0,1.0,1.0
2024-10-02 20:00:00+00:00,XRP,GRU,candle_extended,long_only,no_cost,FLAT,HOLD,0,0.5439603328704834,0.44713789224624634,0.56,,True,"{""lookback_hours"": 24, ""model_dir"": ""models/gru/candle_extended/xrp""}",0.0,0.0,0.0,-0.052207428170988,-0.0536196067561997,-0.0,-0.0,1.0,1.0
2024-10-02 21:00:00+00:00,XRP,GRU,candle_extended,long_only,no_cost,LONG,OPEN_LONG,1,0.5831468105316162,0.36093318462371826,0.56,,True,"{""lookback_hours"": 24, ""model_dir"": ""models/gru/candle_extended/xrp""}",1.0,1.0,0.0,0.0073937153419594,0.0073665158167626,0.0073937153419594,0.0073937153419594,1.0073937153419594,1.0073937153419594
2024-10-02 22:00:00+00:00,XRP,GRU,candle_extended,long_only,no_cost,FLAT,CLOSE_LONG,1,0.5446268916130066,0.4517209529876709,0.56,,True,"{""lookback_hours"": 24, ""model_dir"": ""models/gru/candle_extended/xrp""}",0.0,1.0,0.0,-0.0122935779816514,-0.0123697690963325,-0.0,-0.0,1.0073937153419594,1.0073937153419594
2024-10-02 23:00:00+00:00,XRP,GRU,candle_extended,long_only,no_cost,FLAT,HOLD,0,0.5558388829231262,0.42989614605903625,0.56,,True,"{""lookback_hours"": 24, ""model_dir"": ""models/gru/candle_extended/xrp""}",0.0,0.0,0.0,-0.0118892810700351,-0.0119605238186395,-0.0,-0.0,1.0073937153419594,1.0073937153419594
2024-10-03 00:00:00+00:00,XRP,GRU,candle_extended,long_only,no_cost,LONG,OPEN_LONG,1,0.5637031197547913,0.4246068298816681,0.56,,True,"{""lookback_hours"": 24, ""model_dir"": ""models/gru/candle_extended/xrp""}",1.0,1.0,0.0,0.0037601052829479,0.0037530537578686,0.0037601052829479,0.0037601052829479,1.0111816217730252,1.0111816217730252
