datetime,asset,model,feature_set,strategy_mode,cost_regime,signal,trade_action,is_trade_event,y_prob,position,position_change,transaction_cost,raw_return,gross_return,net_return,gross_equity_curve,net_equity_curve
2024-10-03 07:00:00+00:00,ETH,GRU,ohlc_raw,long_only,no_cost,LONG,OPEN_LONG,1,0.50673324,1.0,1.0,0.0,-0.0114773856596113,-0.0114773856596113,-0.0114773856596113,0.9885226143403887,0.9885226143403887
2024-10-03 08:00:00+00:00,ETH,GRU,ohlc_raw,long_only,no_cost,LONG,HOLD,0,0.50619364,1.0,0.0,0.0,0.0065283143173717,0.0065283143173717,0.0065283143173717,0.9949760006766328,0.9949760006766328
2024-10-03 09:00:00+00:00,ETH,GRU,ohlc_raw,long_only,no_cost,LONG,HOLD,0,0.50938404,1.0,0.0,0.0,0.0067154885517921,0.0067154885517921,0.0067154885517921,1.0016577506184847,1.0016577506184847
2024-10-03 10:00:00+00:00,ETH,GRU,ohlc_raw,long_only,no_cost,LONG,HOLD,0,0.50931305,1.0,0.0,0.0,-0.0068480137804668,-0.0068480137804668,-0.0068480137804668,0.9947983845389379,0.9947983845389379
2024-10-03 11:00:00+00:00,ETH,GRU,ohlc_raw,long_only,no_cost,LONG,HOLD,0,0.5091228,1.0,0.0,0.0,-4.251068080773912e-06,-4.251068080773912e-06,-4.251068080773912e-06,0.9947941555832785,0.9947941555832785
2024-10-03 12:00:00+00:00,ETH,GRU,ohlc_raw,long_only,no_cost,LONG,HOLD,0,0.51060426,1.0,0.0,0.0,-0.002142547420866,-0.002142547420866,-0.002142547420866,0.992662761930941,0.992662761930941
2024-10-03 13:00:00+00:00,ETH,GRU,ohlc_raw,long_only,no_cost,LONG,HOLD,0,0.5117945,1.0,0.0,0.0,-0.0126741362416393,-0.0126741362416393,-0.0126741362416393,0.9800816188442264,0.9800816188442264
2024-10-03 14:00:00+00:00,ETH,GRU,ohlc_raw,long_only,no_cost,LONG,HOLD,0,0.51253116,1.0,0.0,0.0,0.0099458479860194,0.0099458479860194,0.0099458479860194,0.9898293616391429,0.9898293616391429
2024-10-03 15:00:00+00:00,ETH,GRU,ohlc_raw,long_only,no_cost,LONG,HOLD,0,0.5136146,1.0,0.0,0.0,-0.0067076817909936,-0.0067076817909936,-0.0067076817909936,0.9831899012538853,0.9831899012538853
2024-10-03 16:00:00+00:00,ETH,GRU,ohlc_raw,long_only,no_cost,LONG,HOLD,0,0.51380706,1.0,0.0,0.0,0.008142285689707,0.008142285689707,0.008142285689707,0.9911953143171294,0.9911953143171294
2024-10-03 17:00:00+00:00,ETH,GRU,ohlc_raw,long_only,no_cost,LONG,HOLD,0,0.51242286,1.0,0.0,0.0,0.0001322621521184,0.0001322621521184,0.0001322621521184,0.9913264119425708,0.9913264119425708
2024-10-03 18:00:00+00:00,ETH,GRU,ohlc_raw,long_only,no_cost,LONG,HOLD,0,0.50538087,1.0,0.0,0.0,0.0039972015323317,0.0039972015323317,0.0039972015323317,0.9952889433954285,0.9952889433954285
2024-10-03 19:00:00+00:00,ETH,GRU,ohlc_raw,long_only,no_cost,LONG,HOLD,0,0.502731,1.0,0.0,0.0,-0.0049033146236898,-0.0049033146236898,-0.0049033146236898,0.9904087285644809,0.9904087285644809
2024-10-03 20:00:00+00:00,ETH,GRU,ohlc_raw,long_only,no_cost,LONG,HOLD,0,0.5003917,1.0,0.0,0.0,0.0036080735449217,0.0036080735449217,0.0036080735449217,0.993982196096674,0.993982196096674
2024-10-03 21:00:00+00:00,ETH,GRU,ohlc_raw,long_only,no_cost,LONG,HOLD,0,0.5008987,1.0,0.0,0.0,0.000706256754112,0.000706256754112,0.000706256754112,0.9946842027361344,0.9946842027361344
2024-10-03 22:00:00+00:00,ETH,GRU,ohlc_raw,long_only,no_cost,LONG,HOLD,0,0.50190854,1.0,0.0,0.0,-0.0009693547838507,-0.0009693547838507,-0.0009693547838507,0.9937200008457914,0.9937200008457914
2024-10-03 23:00:00+00:00,ETH,GRU,ohlc_raw,long_only,no_cost,LONG,HOLD,0,0.50224453,1.0,0.0,0.0,-0.0040131074985105,-0.0040131074985105,-0.0040131074985105,0.9897320956589774,0.9897320956589774
2024-10-04 00:00:00+00:00,ETH,GRU,ohlc_raw,long_only,no_cost,LONG,HOLD,0,0.50711477,1.0,0.0,0.0,0.0158906497690536,0.0158906497690536,0.0158906497690536,1.0054595817562857,1.0054595817562857
2024-10-04 01:00:00+00:00,ETH,GRU,ohlc_raw,long_only,no_cost,LONG,HOLD,0,0.50950074,1.0,0.0,0.0,-0.0030072847793536,-0.0030072847793536,-0.0030072847793536,1.0024358784598146,1.0024358784598146
2024-10-04 02:00:00+00:00,ETH,GRU,ohlc_raw,long_only,no_cost,LONG,HOLD,0,0.5084635,1.0,0.0,0.0,-0.00140903894263,-0.00140903894263,-0.00140903894263,1.0010234072695752,1.0010234072695752
2024-10-04 03:00:00+00:00,ETH,GRU,ohlc_raw,long_only,no_cost,LONG,HOLD,0,0.5017196,1.0,0.0,0.0,0.0030206119802116,0.0030206119802116,0.0030206119802116,1.004047110566046,1.004047110566046
2024-10-04 04:00:00+00:00,ETH,GRU,ohlc_raw,long_only,no_cost,LONG,HOLD,0,0.50272596,1.0,0.0,0.0,0.0038412615511622,0.0038412615511622,0.0038412615511622,1.007903918127419,1.007903918127419
2024-10-04 05:00:00+00:00,ETH,GRU,ohlc_raw,long_only,no_cost,LONG,HOLD,0,0.5058875,1.0,0.0,0.0,-0.0035160740809117,-0.0035160740809117,-0.0035160740809117,1.0043600532848418,1.0043600532848418
2024-10-04 06:00:00+00:00,ETH,GRU,ohlc_raw,long_only,no_cost,LONG,HOLD,0,0.50641954,1.0,0.0,0.0,0.0027958365614577,0.0027958365614577,0.0027958365614577,1.0071680798426832,1.0071680798426832
2024-10-04 07:00:00+00:00,ETH,GRU,ohlc_raw,long_only,no_cost,LONG,HOLD,0,0.5047432,1.0,0.0,0.0,-3.7789721195724546e-05,-3.7789721195724546e-05,-3.7789721195724546e-05,1.0071300192417487,1.0071300192417487
2024-10-04 08:00:00+00:00,ETH,GRU,ohlc_raw,long_only,no_cost,LONG,HOLD,0,0.5053717,1.0,0.0,0.0,-0.0018307712333771,-0.0018307712333771,-0.0018307712333771,1.0052861945742504,1.0052861945742504
2024-10-04 09:00:00+00:00,ETH,GRU,ohlc_raw,long_only,no_cost,LONG,HOLD,0,0.5049044,1.0,0.0,0.0,-0.0008329301895126,-0.0008329301895126,-0.0008329301895126,1.0044488613536893,1.0044488613536893
2024-10-04 10:00:00+00:00,ETH,GRU,ohlc_raw,long_only,no_cost,LONG,HOLD,0,0.50445235,1.0,0.0,0.0,0.004643878122408,0.004643878122408,0.004643878122408,1.0091133994460073,1.0091133994460073
2024-10-04 11:00:00+00:00,ETH,GRU,ohlc_raw,long_only,no_cost,LONG,HOLD,0,0.50573075,1.0,0.0,0.0,0.0046727013661889,0.0046727013661889,0.0046727013661889,1.0138286850062381,1.0138286850062381
2024-10-04 12:00:00+00:00,ETH,GRU,ohlc_raw,long_only,no_cost,LONG,HOLD,0,0.5079198,1.0,0.0,0.0,-0.0078253071099337,-0.0078253071099337,-0.0078253071099337,1.005895164189204,1.005895164189204
2024-10-04 13:00:00+00:00,ETH,GRU,ohlc_raw,long_only,no_cost,LONG,HOLD,0,0.5109292,1.0,0.0,0.0,-0.0047843470291223,-0.0047843470291223,-0.0047843470291223,1.0010826126488068,1.0010826126488068
2024-10-04 14:00:00+00:00,ETH,GRU,ohlc_raw,long_only,no_cost,LONG,HOLD,0,0.51261467,1.0,0.0,0.0,0.0210754432433117,0.0210754432433117,0.0210754432433117,1.022180872433553,1.022180872433553
2024-10-04 15:00:00+00:00,ETH,GRU,ohlc_raw,long_only,no_cost,LONG,HOLD,0,0.5132082,1.0,0.0,0.0,0.0068801456290596,0.0068801456290596,0.0068801456290596,1.0292136256951352,1.0292136256951352
2024-10-04 16:00:00+00:00,ETH,GRU,ohlc_raw,long_only,no_cost,LONG,HOLD,0,0.5135053,1.0,0.0,0.0,-0.0075932827388411,-0.0075932827388411,-0.0075932827388411,1.0213985156365644,1.0213985156365644
2024-10-04 17:00:00+00:00,ETH,GRU,ohlc_raw,long_only,no_cost,LONG,HOLD,0,0.51035035,1.0,0.0,0.0,0.0070137666908187,0.0070137666908187,0.0070137666908187,1.028562366523588,1.028562366523588
2024-10-04 18:00:00+00:00,ETH,GRU,ohlc_raw,long_only,no_cost,LONG,HOLD,0,0.5049319,1.0,0.0,0.0,-0.0013526903736961,-0.0013526903736961,-0.0013526903736961,1.0271710401116454,1.0271710401116454
2024-10-04 19:00:00+00:00,ETH,GRU,ohlc_raw,long_only,no_cost,LONG,HOLD,0,0.5030252,1.0,0.0,0.0,0.0001605665115895,0.0001605665115895,0.0001605665115895,1.027335969382362,1.027335969382362
