datetime,asset,model,feature_set,strategy_mode,cost_regime,signal,trade_action,is_trade_event,y_prob,position,position_change,transaction_cost,raw_return,gross_return,net_return,gross_equity_curve,net_equity_curve
2024-10-03 07:00:00+00:00,ETH,MLP,ohlc_raw,long_only,no_cost,FLAT,HOLD,0,0.49575126,0.0,0.0,0.0,-0.0114773856596113,-0.0,-0.0,1.0,1.0
2024-10-03 08:00:00+00:00,ETH,MLP,ohlc_raw,long_only,no_cost,LONG,OPEN_LONG,1,0.54983264,1.0,1.0,0.0,0.0065283143173717,0.0065283143173717,0.0065283143173717,1.0065283143173718,1.0065283143173718
2024-10-03 09:00:00+00:00,ETH,MLP,ohlc_raw,long_only,no_cost,LONG,HOLD,0,0.5386667,1.0,0.0,0.0,0.0067154885517921,0.0067154885517921,0.0067154885517921,1.0132876436892246,1.0132876436892246
2024-10-03 10:00:00+00:00,ETH,MLP,ohlc_raw,long_only,no_cost,LONG,HOLD,0,0.54946136,1.0,0.0,0.0,-0.0068480137804668,-0.0068480137804668,-0.0068480137804668,1.006348635941664,1.006348635941664
2024-10-03 11:00:00+00:00,ETH,MLP,ohlc_raw,long_only,no_cost,FLAT,CLOSE_LONG,1,0.49577847,0.0,1.0,0.0,-4.251068080773912e-06,-0.0,-0.0,1.006348635941664,1.006348635941664
2024-10-03 12:00:00+00:00,ETH,MLP,ohlc_raw,long_only,no_cost,FLAT,HOLD,0,0.46466732,0.0,0.0,0.0,-0.002142547420866,-0.0,-0.0,1.006348635941664,1.006348635941664
2024-10-03 13:00:00+00:00,ETH,MLP,ohlc_raw,long_only,no_cost,FLAT,HOLD,0,0.5229521,0.0,0.0,0.0,-0.0126741362416393,-0.0,-0.0,1.006348635941664,1.006348635941664
2024-10-03 14:00:00+00:00,ETH,MLP,ohlc_raw,long_only,no_cost,FLAT,HOLD,0,0.48807314,0.0,0.0,0.0,0.0099458479860194,0.0,0.0,1.006348635941664,1.006348635941664
2024-10-03 15:00:00+00:00,ETH,MLP,ohlc_raw,long_only,no_cost,FLAT,HOLD,0,0.50054395,0.0,0.0,0.0,-0.0067076817909936,-0.0,-0.0,1.006348635941664,1.006348635941664
2024-10-03 16:00:00+00:00,ETH,MLP,ohlc_raw,long_only,no_cost,FLAT,HOLD,0,0.49530917,0.0,0.0,0.0,0.008142285689707,0.0,0.0,1.006348635941664,1.006348635941664
2024-10-03 17:00:00+00:00,ETH,MLP,ohlc_raw,long_only,no_cost,FLAT,HOLD,0,0.41107807,0.0,0.0,0.0,0.0001322621521184,0.0,0.0,1.006348635941664,1.006348635941664
2024-10-03 18:00:00+00:00,ETH,MLP,ohlc_raw,long_only,no_cost,FLAT,HOLD,0,0.35993472,0.0,0.0,0.0,0.0039972015323317,0.0,0.0,1.006348635941664,1.006348635941664
2024-10-03 19:00:00+00:00,ETH,MLP,ohlc_raw,long_only,no_cost,FLAT,HOLD,0,0.4682721,0.0,0.0,0.0,-0.0049033146236898,-0.0,-0.0,1.006348635941664,1.006348635941664
2024-10-03 20:00:00+00:00,ETH,MLP,ohlc_raw,long_only,no_cost,FLAT,HOLD,0,0.5034809,0.0,0.0,0.0,0.0036080735449217,0.0,0.0,1.006348635941664,1.006348635941664
2024-10-03 21:00:00+00:00,ETH,MLP,ohlc_raw,long_only,no_cost,LONG,OPEN_LONG,1,0.5575575,1.0,1.0,0.0,0.000706256754112,0.000706256754112,0.000706256754112,1.0070593764627893,1.0070593764627893
2024-10-03 22:00:00+00:00,ETH,MLP,ohlc_raw,long_only,no_cost,FLAT,CLOSE_LONG,1,0.45140058,0.0,1.0,0.0,-0.0009693547838507,-0.0,-0.0,1.0070593764627893,1.0070593764627893
2024-10-03 23:00:00+00:00,ETH,MLP,ohlc_raw,long_only,no_cost,FLAT,HOLD,0,0.48212957,0.0,0.0,0.0,-0.0040131074985105,-0.0,-0.0,1.0070593764627893,1.0070593764627893
2024-10-04 00:00:00+00:00,ETH,MLP,ohlc_raw,long_only,no_cost,FLAT,HOLD,0,0.44822508,0.0,0.0,0.0,0.0158906497690536,0.0,0.0,1.0070593764627893,1.0070593764627893
2024-10-04 01:00:00+00:00,ETH,MLP,ohlc_raw,long_only,no_cost,FLAT,HOLD,0,0.41793716,0.0,0.0,0.0,-0.0030072847793536,-0.0,-0.0,1.0070593764627893,1.0070593764627893
2024-10-04 02:00:00+00:00,ETH,MLP,ohlc_raw,long_only,no_cost,FLAT,HOLD,0,0.4595137,0.0,0.0,0.0,-0.00140903894263,-0.0,-0.0,1.0070593764627893,1.0070593764627893
2024-10-04 03:00:00+00:00,ETH,MLP,ohlc_raw,long_only,no_cost,LONG,OPEN_LONG,1,0.571858,1.0,1.0,0.0,0.0030206119802116,0.0030206119802116,0.0030206119802116,1.0101013120801172,1.0101013120801172
2024-10-04 04:00:00+00:00,ETH,MLP,ohlc_raw,long_only,no_cost,LONG,HOLD,0,0.5420455,1.0,0.0,0.0,0.0038412615511622,0.0038412615511622,0.0038412615511622,1.0139813754129892,1.0139813754129892
