datetime,asset,model,feature_set,strategy_mode,cost_regime,signal,trade_action,is_trade_event,y_prob,position,position_change,transaction_cost,raw_return,gross_return,net_return,gross_equity_curve,net_equity_curve
2024-10-03 07:00:00+00:00,XRP,MLP,ohlc_raw,long_only,no_cost,FLAT,HOLD,0,0.4974472,0.0,0.0,0.0,-0.0098303777949113,-0.0,-0.0,1.0,1.0
2024-10-03 08:00:00+00:00,XRP,MLP,ohlc_raw,long_only,no_cost,LONG,OPEN_LONG,1,0.51998186,1.0,1.0,0.0,0.0114853027058592,0.0114853027058592,0.0114853027058592,1.0114853027058592,1.0114853027058592
2024-10-03 09:00:00+00:00,XRP,MLP,ohlc_raw,long_only,no_cost,LONG,HOLD,0,0.50698346,1.0,0.0,0.0,0.008660508083141,0.008660508083141,0.008660508083141,1.0202452793459216,1.0202452793459216
2024-10-03 10:00:00+00:00,XRP,MLP,ohlc_raw,long_only,no_cost,LONG,HOLD,0,0.518032,1.0,0.0,0.0,-0.0131654264453349,-0.0131654264453349,-0.0131654264453349,1.0068133151644927,1.0068133151644927
2024-10-03 11:00:00+00:00,XRP,MLP,ohlc_raw,long_only,no_cost,LONG,HOLD,0,0.50798744,1.0,0.0,0.0,0.0059938128383603,0.0059938128383603,0.0059938128383603,1.0128479657387577,1.0128479657387577
2024-10-03 12:00:00+00:00,XRP,MLP,ohlc_raw,long_only,no_cost,LONG,HOLD,0,0.5169248,1.0,0.0,0.0,0.0019219680953295,0.0019219680953295,0.0019219680953295,1.014794627214327,1.014794627214327
2024-10-03 13:00:00+00:00,XRP,MLP,ohlc_raw,long_only,no_cost,LONG,HOLD,0,0.53427494,1.0,0.0,0.0,-0.0074812967581047,-0.0074812967581047,-0.0074812967581047,1.0072026474596063,1.0072026474596063
2024-10-03 14:00:00+00:00,XRP,MLP,ohlc_raw,long_only,no_cost,LONG,HOLD,0,0.52155054,1.0,0.0,0.0,0.0100502512562814,0.0100502512562814,0.0100502512562814,1.0173252871325673,1.0173252871325673
2024-10-03 15:00:00+00:00,XRP,MLP,ohlc_raw,long_only,no_cost,LONG,HOLD,0,0.5128065,1.0,0.0,0.0,-0.0151167240719477,-0.0151167240719477,-0.0151167240719477,1.0019466614755692,1.0019466614755692
2024-10-03 16:00:00+00:00,XRP,MLP,ohlc_raw,long_only,no_cost,FLAT,CLOSE_LONG,1,0.49758005,0.0,1.0,0.0,0.0120458519525936,0.0,0.0,1.0019466614755692,1.0019466614755692
2024-10-03 17:00:00+00:00,XRP,MLP,ohlc_raw,long_only,no_cost,FLAT,HOLD,0,0.49964592,0.0,0.0,0.0,0.004223459397197,0.0,0.0,1.0019466614755692,1.0019466614755692
2024-10-03 18:00:00+00:00,XRP,MLP,ohlc_raw,long_only,no_cost,FLAT,HOLD,0,0.49979126,0.0,0.0,0.0,0.0078378895048747,0.0,0.0,1.0019466614755692,1.0019466614755692
2024-10-03 19:00:00+00:00,XRP,MLP,ohlc_raw,long_only,no_cost,FLAT,HOLD,0,0.4948511,0.0,0.0,0.0,-0.0062594840667677,-0.0,-0.0,1.0019466614755692,1.0019466614755692
2024-10-03 20:00:00+00:00,XRP,MLP,ohlc_raw,long_only,no_cost,FLAT,HOLD,0,0.48212078,0.0,0.0,0.0,0.0020996373353692,0.0,0.0,1.0019466614755692,1.0019466614755692
2024-10-03 21:00:00+00:00,XRP,MLP,ohlc_raw,long_only,no_cost,FLAT,HOLD,0,0.48453617,0.0,0.0,0.0,-0.0003809523809523,-0.0,-0.0,1.0019466614755692,1.0019466614755692
2024-10-03 22:00:00+00:00,XRP,MLP,ohlc_raw,long_only,no_cost,FLAT,HOLD,0,0.49291748,0.0,0.0,0.0,-0.0057164634146341,-0.0,-0.0,1.0019466614755692,1.0019466614755692
2024-10-03 23:00:00+00:00,XRP,MLP,ohlc_raw,long_only,no_cost,FLAT,HOLD,0,0.49549744,0.0,0.0,0.0,-0.0120735914143351,-0.0,-0.0,1.0019466614755692,1.0019466614755692
2024-10-04 00:00:00+00:00,XRP,MLP,ohlc_raw,long_only,no_cost,LONG,OPEN_LONG,1,0.5051344,1.0,1.0,0.0,0.0161008729388945,0.0161008729388945,0.0161008729388945,1.018078877363537,1.018078877363537
2024-10-04 01:00:00+00:00,XRP,MLP,ohlc_raw,long_only,no_cost,LONG,HOLD,0,0.50637496,1.0,0.0,0.0,-0.0017182130584192,-0.0017182130584192,-0.0017182130584192,1.0163296009419502,1.0163296009419502
2024-10-04 02:00:00+00:00,XRP,MLP,ohlc_raw,long_only,no_cost,LONG,HOLD,0,0.5063834,1.0,0.0,0.0,0.0034423407917383,0.0034423407917383,0.0034423407917383,1.019828153785124,1.019828153785124
2024-10-04 03:00:00+00:00,XRP,MLP,ohlc_raw,long_only,no_cost,LONG,HOLD,0,0.5046644,1.0,0.0,0.0,0.0022870211549457,0.0022870211549457,0.0022870211549457,1.0221605223472396,1.0221605223472396
2024-10-04 04:00:00+00:00,XRP,MLP,ohlc_raw,long_only,no_cost,LONG,HOLD,0,0.50338775,1.0,0.0,0.0,0.0041833048108004,0.0041833048108004,0.0041833048108004,1.0264365313777852,1.0264365313777852
2024-10-04 05:00:00+00:00,XRP,MLP,ohlc_raw,long_only,no_cost,LONG,HOLD,0,0.5090077,1.0,0.0,0.0,-0.013823139556902,-0.013823139556902,-0.013823139556902,1.0122479559582478,1.0122479559582478
2024-10-04 06:00:00+00:00,XRP,MLP,ohlc_raw,long_only,no_cost,LONG,HOLD,0,0.50794613,1.0,0.0,0.0,0.0061443932411673,0.0061443932411673,0.0061443932411673,1.018467605457223,1.018467605457223
2024-10-04 07:00:00+00:00,XRP,MLP,ohlc_raw,long_only,no_cost,LONG,HOLD,0,0.50442237,1.0,0.0,0.0,-0.0017175572519084,-0.0017175572519084,-0.0017175572519084,1.0167183290356363,1.0167183290356363
2024-10-04 08:00:00+00:00,XRP,MLP,ohlc_raw,long_only,no_cost,LONG,HOLD,0,0.5044788,1.0,0.0,0.0,-0.0001911680367042,-0.0001911680367042,-0.0001911680367042,1.0165239649887934,1.0165239649887934
2024-10-04 09:00:00+00:00,XRP,MLP,ohlc_raw,long_only,no_cost,LONG,HOLD,0,0.5003941,1.0,0.0,0.0,0.001338432122371,0.001338432122371,0.001338432122371,1.0178845133166943,1.0178845133166943
2024-10-04 10:00:00+00:00,XRP,MLP,ohlc_raw,long_only,no_cost,LONG,HOLD,0,0.5006407,1.0,0.0,0.0,0.0024823372159632,0.0024823372159632,0.0024823372159632,1.020411245925653,1.020411245925653
2024-10-04 11:00:00+00:00,XRP,MLP,ohlc_raw,long_only,no_cost,LONG,HOLD,0,0.50053823,1.0,0.0,0.0,0.0047619047619047,0.0047619047619047,0.0047619047619047,1.0252703470967275,1.0252703470967275
2024-10-04 12:00:00+00:00,XRP,MLP,ohlc_raw,long_only,no_cost,FLAT,CLOSE_LONG,1,0.4987592,0.0,1.0,0.0,-0.0077725118483412,-0.0,-0.0,1.0252703470967275,1.0252703470967275
2024-10-04 13:00:00+00:00,XRP,MLP,ohlc_raw,long_only,no_cost,FLAT,HOLD,0,0.49680984,0.0,0.0,0.0,-0.0061138708444783,-0.0,-0.0,1.0252703470967275,1.0252703470967275
2024-10-04 14:00:00+00:00,XRP,MLP,ohlc_raw,long_only,no_cost,FLAT,HOLD,0,0.4983117,0.0,0.0,0.0,0.0034602076124568,0.0,0.0,1.0252703470967275,1.0252703470967275
2024-10-04 15:00:00+00:00,XRP,MLP,ohlc_raw,long_only,no_cost,LONG,OPEN_LONG,1,0.5027716,1.0,1.0,0.0,0.0187739463601532,0.0187739463601532,0.0187739463601532,1.0445187175977773,1.0445187175977773
2024-10-04 16:00:00+00:00,XRP,MLP,ohlc_raw,long_only,no_cost,LONG,HOLD,0,0.5068008,1.0,0.0,0.0,-0.0005641218503198,-0.0005641218503198,-0.0005641218503198,1.0439294817661122,1.0439294817661122
2024-10-04 17:00:00+00:00,XRP,MLP,ohlc_raw,long_only,no_cost,LONG,HOLD,0,0.5075695,1.0,0.0,0.0,0.0137347130761993,0.0137347130761993,0.0137347130761993,1.0582675536699553,1.0582675536699553
2024-10-04 18:00:00+00:00,XRP,MLP,ohlc_raw,long_only,no_cost,LONG,HOLD,0,0.5022194,1.0,0.0,0.0,-0.0053823311061617,-0.0053823311061617,-0.0053823311061617,1.0525716072971958,1.0525716072971958
2024-10-04 19:00:00+00:00,XRP,MLP,ohlc_raw,long_only,no_cost,LONG,HOLD,0,0.5031973,1.0,0.0,0.0,-0.0027990296697145,-0.0027990296697145,-0.0027990296697145,1.049625428138872,1.049625428138872
2024-10-04 20:00:00+00:00,XRP,MLP,ohlc_raw,long_only,no_cost,FLAT,CLOSE_LONG,1,0.499116,0.0,1.0,0.0,0.0001871257485028,0.0,0.0,1.049625428138872,1.049625428138872
2024-10-04 21:00:00+00:00,XRP,MLP,ohlc_raw,long_only,no_cost,LONG,OPEN_LONG,1,0.50419605,1.0,1.0,0.0,-0.0003741814780168,-0.0003741814780168,-0.0003741814780168,1.0492326777448069,1.0492326777448069
2024-10-04 22:00:00+00:00,XRP,MLP,ohlc_raw,long_only,no_cost,FLAT,CLOSE_LONG,1,0.49932596,0.0,1.0,0.0,-0.0005614823133071,-0.0,-0.0,1.0492326777448069,1.0492326777448069
