datetime,asset,model,feature_set,strategy_mode,cost_regime,signal,trade_action,is_trade_event,y_prob_long,y_prob_short,long_threshold,short_threshold,threshold_feasible,model_params,position,position_change,transaction_cost,raw_return,raw_log_return,gross_return,net_return,gross_equity_curve,net_equity_curve
2024-10-03 07:00:00+00:00,SOL,GRU,ohlc_extended,long_short,no_cost,LONG,OPEN_LONG,1,0.5311131477355957,0.4686320126056671,0.53,0.54,True,"{""lookback_hours"": 24}",1.0,1.0,0.0,-0.0270173683081981,-0.0273890472208127,-0.0270173683081981,-0.0270173683081981,0.9729826316918019,0.9729826316918019
2024-10-03 08:00:00+00:00,SOL,GRU,ohlc_extended,long_short,no_cost,LONG,HOLD,0,0.5427501201629639,0.4605821669101715,0.53,0.54,True,"{""lookback_hours"": 24}",1.0,0.0,0.0,0.0087416440167487,0.0087036570651095,0.0087416440167487,0.0087416440167487,0.9814880994925309,0.9814880994925309
2024-10-03 09:00:00+00:00,SOL,GRU,ohlc_extended,long_short,no_cost,FLAT,CLOSE_LONG,1,0.5204508304595947,0.4895229935646057,0.53,0.54,True,"{""lookback_hours"": 24}",0.0,1.0,0.0,0.0069181473929509,0.0068943268110354,0.0,0.0,0.9814880994925309,0.9814880994925309
2024-10-03 10:00:00+00:00,SOL,GRU,ohlc_extended,long_short,no_cost,FLAT,HOLD,0,0.49064379930496216,0.4990757703781128,0.53,0.54,True,"{""lookback_hours"": 24}",0.0,0.0,0.0,-0.0101974397917118,-0.0102497898761749,-0.0,-0.0,0.9814880994925309,0.9814880994925309
2024-10-03 11:00:00+00:00,SOL,GRU,ohlc_extended,long_short,no_cost,FLAT,HOLD,0,0.5178337693214417,0.48318520188331604,0.53,0.54,True,"{""lookback_hours"": 24}",0.0,0.0,0.0,-0.005480052608505,-0.0054951231803694,-0.0,-0.0,0.9814880994925309,0.9814880994925309
2024-10-03 12:00:00+00:00,SOL,GRU,ohlc_extended,long_short,no_cost,FLAT,HOLD,0,0.5291570425033569,0.4757177233695984,0.53,0.54,True,"{""lookback_hours"": 24}",0.0,0.0,0.0,0.0061714789508484,0.0061525133651048,0.0,0.0,0.9814880994925309,0.9814880994925309
2024-10-03 13:00:00+00:00,SOL,GRU,ohlc_extended,long_short,no_cost,FLAT,HOLD,0,0.5214084982872009,0.5039510726928711,0.53,0.54,True,"{""lookback_hours"": 24}",0.0,0.0,0.0,-0.0156261409273456,-0.0157495160061143,-0.0,-0.0,0.9814880994925309,0.9814880994925309
2024-10-03 14:00:00+00:00,SOL,GRU,ohlc_extended,long_short,no_cost,LONG,OPEN_LONG,1,0.5315919518470764,0.47972556948661804,0.53,0.54,True,"{""lookback_hours"": 24}",1.0,1.0,0.0,0.0057117424523402,0.0056954922998468,0.0057117424523402,0.0057117424523402,0.9870941067368691,0.9870941067368691
2024-10-03 15:00:00+00:00,SOL,GRU,ohlc_extended,long_short,no_cost,FLAT,CLOSE_LONG,1,0.5261029601097107,0.502190351486206,0.53,0.54,True,"{""lookback_hours"": 24}",0.0,1.0,0.0,-0.0041304027142646,-0.0041389563890951,-0.0,-0.0,0.9870941067368691,0.9870941067368691
2024-10-03 16:00:00+00:00,SOL,GRU,ohlc_extended,long_short,no_cost,FLAT,HOLD,0,0.520510733127594,0.4938049614429474,0.53,0.54,True,"{""lookback_hours"": 24}",0.0,0.0,0.0,0.0069619315656939,0.0069378092141907,0.0,0.0,0.9870941067368691,0.9870941067368691
