datetime,asset,model,feature_set,strategy_mode,cost_regime,signal,trade_action,is_trade_event,y_prob_long,y_prob_short,long_threshold,short_threshold,threshold_feasible,model_params,position,position_change,transaction_cost,raw_return,raw_log_return,gross_return,net_return,gross_equity_curve,net_equity_curve
2024-10-03 07:00:00+00:00,SOL,LSTM,candle_extended,long_short,no_cost,FLAT,HOLD,0,0.5242233276367188,0.4827193021774292,0.55,0.51,True,"{""lookback_hours"": 24}",0.0,0.0,0.0,-0.0270173683081981,-0.0273890472208127,-0.0,-0.0,1.0,1.0
2024-10-03 08:00:00+00:00,SOL,LSTM,candle_extended,long_short,no_cost,FLAT,HOLD,0,0.5399529933929443,0.4568215310573578,0.55,0.51,True,"{""lookback_hours"": 24}",0.0,0.0,0.0,0.0087416440167487,0.0087036570651095,0.0,0.0,1.0,1.0
2024-10-03 09:00:00+00:00,SOL,LSTM,candle_extended,long_short,no_cost,FLAT,HOLD,0,0.5191481113433838,0.4992743730545044,0.55,0.51,True,"{""lookback_hours"": 24}",0.0,0.0,0.0,0.0069181473929509,0.0068943268110354,0.0,0.0,1.0,1.0
2024-10-03 10:00:00+00:00,SOL,LSTM,candle_extended,long_short,no_cost,FLAT,HOLD,0,0.4976201355457306,0.5040766000747681,0.55,0.51,True,"{""lookback_hours"": 24}",0.0,0.0,0.0,-0.0101974397917118,-0.0102497898761749,-0.0,-0.0,1.0,1.0
2024-10-03 11:00:00+00:00,SOL,LSTM,candle_extended,long_short,no_cost,FLAT,HOLD,0,0.5144466161727905,0.4946538507938385,0.55,0.51,True,"{""lookback_hours"": 24}",0.0,0.0,0.0,-0.005480052608505,-0.0054951231803694,-0.0,-0.0,1.0,1.0
2024-10-03 12:00:00+00:00,SOL,LSTM,candle_extended,long_short,no_cost,FLAT,HOLD,0,0.5188373327255249,0.4827779233455658,0.55,0.51,True,"{""lookback_hours"": 24}",0.0,0.0,0.0,0.0061714789508484,0.0061525133651048,0.0,0.0,1.0,1.0
2024-10-03 13:00:00+00:00,SOL,LSTM,candle_extended,long_short,no_cost,FLAT,HOLD,0,0.5129318833351135,0.5080251097679138,0.55,0.51,True,"{""lookback_hours"": 24}",0.0,0.0,0.0,-0.0156261409273456,-0.0157495160061143,-0.0,-0.0,1.0,1.0
2024-10-03 14:00:00+00:00,SOL,LSTM,candle_extended,long_short,no_cost,FLAT,HOLD,0,0.5243760347366333,0.5047702789306641,0.55,0.51,True,"{""lookback_hours"": 24}",0.0,0.0,0.0,0.0057117424523402,0.0056954922998468,0.0,0.0,1.0,1.0
2024-10-03 15:00:00+00:00,SOL,LSTM,candle_extended,long_short,no_cost,FLAT,HOLD,0,0.5176612734794617,0.5072578191757202,0.55,0.51,True,"{""lookback_hours"": 24}",0.0,0.0,0.0,-0.0041304027142646,-0.0041389563890951,-0.0,-0.0,1.0,1.0
2024-10-03 16:00:00+00:00,SOL,LSTM,candle_extended,long_short,no_cost,FLAT,HOLD,0,0.5140208601951599,0.5034078359603882,0.55,0.51,True,"{""lookback_hours"": 24}",0.0,0.0,0.0,0.0069619315656939,0.0069378092141907,0.0,0.0,1.0,1.0
2024-10-03 17:00:00+00:00,SOL,LSTM,candle_extended,long_short,no_cost,FLAT,HOLD,0,0.5117421746253967,0.5045153498649597,0.55,0.51,True,"{""lookback_hours"": 24}",0.0,0.0,0.0,0.0008090614886731,0.0008087343748517,0.0,0.0,1.0,1.0
2024-10-03 18:00:00+00:00,SOL,LSTM,candle_extended,long_short,no_cost,FLAT,HOLD,0,0.502173662185669,0.505199670791626,0.55,0.51,True,"{""lookback_hours"": 24}",0.0,0.0,0.0,0.0091129565664731,0.0090716841308933,0.0,0.0,1.0,1.0
2024-10-03 19:00:00+00:00,SOL,LSTM,candle_extended,long_short,no_cost,SHORT,OPEN_SHORT,1,0.5000535249710083,0.5102821588516235,0.55,0.51,True,"{""lookback_hours"": 24}",-1.0,1.0,0.0,-0.0089578326414681,-0.0089981952460539,0.0089578326414681,0.0089578326414681,1.008957832641468,1.008957832641468
2024-10-03 20:00:00+00:00,SOL,LSTM,candle_extended,long_short,no_cost,FLAT,CLOSE_SHORT,1,0.5022495985031128,0.5094602108001709,0.55,0.51,True,"{""lookback_hours"": 24}",0.0,1.0,0.0,0.0076425631981187,0.0076135067618633,0.0,0.0,1.008957832641468,1.008957832641468
2024-10-03 21:00:00+00:00,SOL,LSTM,candle_extended,long_short,no_cost,FLAT,HOLD,0,0.4872504472732544,0.5096250772476196,0.55,0.51,True,"{""lookback_hours"": 24}",0.0,0.0,0.0,-0.0013856476079346,-0.0013866085053274,-0.0,-0.0,1.008957832641468,1.008957832641468
2024-10-03 22:00:00+00:00,SOL,LSTM,candle_extended,long_short,no_cost,SHORT,OPEN_SHORT,1,0.4795461893081665,0.5102161169052124,0.55,0.51,True,"{""lookback_hours"": 24}",-1.0,1.0,0.0,-0.0008763601840356,-0.0008767444121196,0.0008763601840356,0.0008763601840356,1.009842043113366,1.009842043113366
2024-10-03 23:00:00+00:00,SOL,LSTM,candle_extended,long_short,no_cost,FLAT,CLOSE_SHORT,1,0.4826592206954956,0.5092804431915283,0.55,0.51,True,"{""lookback_hours"": 24}",0.0,1.0,0.0,-0.0060668079818727,-0.0060852858337092,-0.0,-0.0,1.009842043113366,1.009842043113366
2024-10-04 00:00:00+00:00,SOL,LSTM,candle_extended,long_short,no_cost,FLAT,HOLD,0,0.5001168251037598,0.5087881088256836,0.55,0.51,True,"{""lookback_hours"": 24}",0.0,0.0,0.0,0.0159582291513458,0.0158322352711119,0.0,0.0,1.009842043113366,1.009842043113366
2024-10-04 01:00:00+00:00,SOL,LSTM,candle_extended,long_short,no_cost,FLAT,HOLD,0,0.4937807619571686,0.5096182823181152,0.55,0.51,True,"{""lookback_hours"": 24}",0.0,0.0,0.0,-0.0039811798769454,-0.0039891258701823,-0.0,-0.0,1.009842043113366,1.009842043113366
2024-10-04 02:00:00+00:00,SOL,LSTM,candle_extended,long_short,no_cost,FLAT,HOLD,0,0.4846583604812622,0.5093778967857361,0.55,0.51,True,"{""lookback_hours"": 24}",0.0,0.0,0.0,-0.0018895348837209,-0.0018913223067129,-0.0,-0.0,1.009842043113366,1.009842043113366
2024-10-04 03:00:00+00:00,SOL,LSTM,candle_extended,long_short,no_cost,FLAT,HOLD,0,0.4881145656108856,0.5069924592971802,0.55,0.51,True,"{""lookback_hours"": 24}",0.0,0.0,0.0,0.0028396679772826,0.00283564373671,0.0,0.0,1.009842043113366,1.009842043113366
2024-10-04 04:00:00+00:00,SOL,LSTM,candle_extended,long_short,no_cost,FLAT,HOLD,0,0.4837894141674042,0.5070526599884033,0.55,0.51,True,"{""lookback_hours"": 24}",0.0,0.0,0.0,0.0111812967399986,0.0111192481357603,0.0,0.0,1.009842043113366,1.009842043113366
2024-10-04 05:00:00+00:00,SOL,LSTM,candle_extended,long_short,no_cost,SHORT,OPEN_SHORT,1,0.47958695888519287,0.5123734474182129,0.55,0.51,True,"{""lookback_hours"": 24}",-1.0,1.0,0.0,-0.0056724348388024,-0.0056885841970468,0.0056724348388024,0.0056724348388024,1.0155703063004096,1.0155703063004096
2024-10-04 06:00:00+00:00,SOL,LSTM,candle_extended,long_short,no_cost,FLAT,CLOSE_SHORT,1,0.4819004237651825,0.507767379283905,0.55,0.51,True,"{""lookback_hours"": 24}",0.0,1.0,0.0,0.0077267475447719,0.0076970491143775,0.0,0.0,1.0155703063004096,1.0155703063004096
2024-10-04 07:00:00+00:00,SOL,LSTM,candle_extended,long_short,no_cost,SHORT,OPEN_SHORT,1,0.4771658480167389,0.5108766555786133,0.55,0.51,True,"{""lookback_hours"": 24}",-1.0,1.0,0.0,0.0035112862773198,0.0035051361041336,-0.0035112862773198,-0.0035112862773198,1.0120043482202434,1.0120043482202434
2024-10-04 08:00:00+00:00,SOL,LSTM,candle_extended,long_short,no_cost,FLAT,CLOSE_SHORT,1,0.4790245592594147,0.5080240964889526,0.55,0.51,True,"{""lookback_hours"": 24}",0.0,1.0,0.0,-0.0019994287346472,-0.0020014302606637,-0.0,-0.0,1.0120043482202434,1.0120043482202434
2024-10-04 09:00:00+00:00,SOL,LSTM,candle_extended,long_short,no_cost,FLAT,HOLD,0,0.4776630103588104,0.5088666081428528,0.55,0.51,True,"{""lookback_hours"": 24}",0.0,0.0,0.0,-0.0022180881511162,-0.0022205517523032,-0.0,-0.0,1.0120043482202434,1.0120043482202434
2024-10-04 10:00:00+00:00,SOL,LSTM,candle_extended,long_short,no_cost,SHORT,OPEN_SHORT,1,0.47674956917762756,0.5103285312652588,0.55,0.51,True,"{""lookback_hours"": 24}",-1.0,1.0,0.0,0.0047328791681608,0.0047217143096423,-0.0047328791681608,-0.0047328791681608,1.0072146539224638,1.0072146539224638
2024-10-04 11:00:00+00:00,SOL,LSTM,candle_extended,long_short,no_cost,SHORT,HOLD,0,0.47551074624061584,0.513896644115448,0.55,0.51,True,"{""lookback_hours"": 24}",-1.0,0.0,0.0,0.0154164584968952,0.0152988322799354,-0.0154164584968952,-0.0154164584968952,0.9916869710128035,0.9916869710128035
2024-10-04 12:00:00+00:00,SOL,LSTM,candle_extended,long_short,no_cost,SHORT,HOLD,0,0.47485268115997314,0.5148364305496216,0.55,0.51,True,"{""lookback_hours"": 24}",-1.0,0.0,0.0,-0.0078723553806143,-0.0079035059635773,0.0078723553806143,0.0078723553806143,0.9994938832749413,0.9994938832749413
2024-10-04 13:00:00+00:00,SOL,LSTM,candle_extended,long_short,no_cost,SHORT,HOLD,0,0.4766972064971924,0.5116344094276428,0.55,0.51,True,"{""lookback_hours"": 24}",-1.0,0.0,0.0,-0.0091392136025504,-0.0091812324237775,0.0091392136025504,0.0091392136025504,1.0086284713686335,1.0086284713686335
2024-10-04 14:00:00+00:00,SOL,LSTM,candle_extended,long_short,no_cost,SHORT,HOLD,0,0.4818553626537323,0.5103688836097717,0.55,0.51,True,"{""lookback_hours"": 24}",-1.0,0.0,0.0,0.0184470184470182,0.018278936133856,-0.0184470184470182,-0.0184470184470182,0.9900222833511085,0.9900222833511085
2024-10-04 15:00:00+00:00,SOL,LSTM,candle_extended,long_short,no_cost,SHORT,HOLD,0,0.47768762707710266,0.5187090039253235,0.55,0.51,True,"{""lookback_hours"": 24}",-1.0,0.0,0.0,0.009828699803426,0.0097807123137332,-0.009828699803426,-0.009828699803426,0.980291651529348,0.980291651529348
2024-10-04 16:00:00+00:00,SOL,LSTM,candle_extended,long_short,no_cost,SHORT,HOLD,0,0.47175076603889465,0.5208142399787903,0.55,0.51,True,"{""lookback_hours"": 24}",-1.0,0.0,0.0,-0.0070216907675193,-0.0070464588487729,0.0070216907675193,0.0070216907675193,0.9871749563683679,0.9871749563683679
2024-10-04 17:00:00+00:00,SOL,LSTM,candle_extended,long_short,no_cost,SHORT,HOLD,0,0.4698542654514313,0.5204864144325256,0.55,0.51,True,"{""lookback_hours"": 24}",-1.0,0.0,0.0,0.0075614366729677,0.007532992307545,-0.0075614366729677,-0.0075614366729677,0.9797104954506488,0.9797104954506488
2024-10-04 18:00:00+00:00,SOL,LSTM,candle_extended,long_short,no_cost,SHORT,HOLD,0,0.47026991844177246,0.5238146185874939,0.55,0.51,True,"{""lookback_hours"": 24}",-1.0,0.0,0.0,-0.0001389757487318,-0.000138985406756,0.0001389757487318,0.0001389757487318,0.9798466514502945,0.9798466514502945
2024-10-04 19:00:00+00:00,SOL,LSTM,candle_extended,long_short,no_cost,SHORT,HOLD,0,0.46893253922462463,0.520542323589325,0.55,0.51,True,"{""lookback_hours"": 24}",-1.0,0.0,0.0,-0.0012509555910763,-0.0012517386891705,0.0012509555910763,0.0012509555910763,0.9810723960973236,0.9810723960973236
2024-10-04 20:00:00+00:00,SOL,LSTM,candle_extended,long_short,no_cost,SHORT,HOLD,0,0.4710240364074707,0.521783709526062,0.55,0.51,True,"{""lookback_hours"": 24}",-1.0,0.0,0.0,-0.0009741841207989,-0.0009746589465531,0.0009741841207989,0.0009741841207989,0.9820281412469557,0.9820281412469557
2024-10-04 21:00:00+00:00,SOL,LSTM,candle_extended,long_short,no_cost,SHORT,HOLD,0,0.4683344066143036,0.5197802782058716,0.55,0.51,True,"{""lookback_hours"": 24}",-1.0,0.0,0.0,-0.0044577557985651,-0.0044677212185786,0.0044577557985651,0.0044577557985651,0.9864057828879533,0.9864057828879533
2024-10-04 22:00:00+00:00,SOL,LSTM,candle_extended,long_short,no_cost,SHORT,HOLD,0,0.46899428963661194,0.5195918083190918,0.55,0.51,True,"{""lookback_hours"": 24}",-1.0,0.0,0.0,0.0021688938641293,0.0021665452092081,-0.0021688938641293,-0.0021688938641293,0.984266373437906,0.984266373437906
2024-10-04 23:00:00+00:00,SOL,LSTM,candle_extended,long_short,no_cost,SHORT,HOLD,0,0.47015511989593506,0.5190261602401733,0.55,0.51,True,"{""lookback_hours"": 24}",-1.0,0.0,0.0,0.0053057805082379,0.0052917544457686,-0.0053057805082379,-0.0053057805082379,0.9790440720988052,0.9790440720988052
2024-10-05 00:00:00+00:00,SOL,LSTM,candle_extended,long_short,no_cost,SHORT,HOLD,0,0.46931126713752747,0.5206289887428284,0.55,0.51,True,"{""lookback_hours"": 24}",-1.0,0.0,0.0,-0.0030555555555555,-0.0030602332965941,0.0030555555555555,0.0030555555555555,0.9820355956524405,0.9820355956524405
2024-10-05 01:00:00+00:00,SOL,LSTM,candle_extended,long_short,no_cost,SHORT,HOLD,0,0.47091662883758545,0.5154941082000732,0.55,0.51,True,"{""lookback_hours"": 24}",-1.0,0.0,0.0,-0.0082892170521036,-0.008323763653752,0.0082892170521036,0.0082892170521036,0.9901759018576954,0.9901759018576954
2024-10-05 02:00:00+00:00,SOL,LSTM,candle_extended,long_short,no_cost,FLAT,CLOSE_SHORT,1,0.47254860401153564,0.5052446126937866,0.55,0.51,True,"{""lookback_hours"": 24}",0.0,1.0,0.0,-0.0037929339046146,-0.0038001453191381,-0.0,-0.0,0.9901759018576954,0.9901759018576954
2024-10-05 03:00:00+00:00,SOL,LSTM,candle_extended,long_short,no_cost,FLAT,HOLD,0,0.4799184799194336,0.4873800277709961,0.55,0.51,True,"{""lookback_hours"": 24}",0.0,0.0,0.0,0.0037368680815059,0.0037299033354756,0.0,0.0,0.9901759018576954,0.9901759018576954
2024-10-05 04:00:00+00:00,SOL,LSTM,candle_extended,long_short,no_cost,FLAT,HOLD,0,0.48201116919517517,0.4856868088245392,0.55,0.51,True,"{""lookback_hours"": 24}",0.0,0.0,0.0,0.0081483562798538,0.008115337668494,0.0,0.0,0.9901759018576954,0.9901759018576954
2024-10-05 05:00:00+00:00,SOL,LSTM,candle_extended,long_short,no_cost,FLAT,HOLD,0,0.47632938623428345,0.5040585994720459,0.55,0.51,True,"{""lookback_hours"": 24}",0.0,0.0,0.0,0.0058528428093644,0.0058357814641017,0.0,0.0,0.9901759018576954,0.9901759018576954
2024-10-05 06:00:00+00:00,SOL,LSTM,candle_extended,long_short,no_cost,SHORT,OPEN_SHORT,1,0.4739536643028259,0.5127491354942322,0.55,0.51,True,"{""lookback_hours"": 24}",-1.0,1.0,0.0,-0.0038791909116099,-0.0038867344876415,0.0038791909116099,0.0038791909116099,0.9940169832170769,0.9940169832170769
2024-10-05 07:00:00+00:00,SOL,LSTM,candle_extended,long_short,no_cost,SHORT,HOLD,0,0.47444260120391846,0.5103983879089355,0.55,0.51,True,"{""lookback_hours"": 24}",-1.0,0.0,0.0,0.004798331015299,0.0047868557185735,-0.004798331015299,-0.004798331015299,0.9892473606967724,0.9892473606967724
2024-10-05 08:00:00+00:00,SOL,LSTM,candle_extended,long_short,no_cost,SHORT,HOLD,0,0.47392094135284424,0.5127130746841431,0.55,0.51,True,"{""lookback_hours"": 24}",-1.0,0.0,0.0,0.0015918056612913,0.0015905400815197,-0.0015918056612913,-0.0015918056612913,0.9876726711475979,0.9876726711475979
2024-10-05 09:00:00+00:00,SOL,LSTM,candle_extended,long_short,no_cost,SHORT,HOLD,0,0.4735865294933319,0.5162807703018188,0.55,0.51,True,"{""lookback_hours"": 24}",-1.0,0.0,0.0,-0.0049751243781094,-0.004987541511039,0.0049751243781094,0.0049751243781094,0.9925864655314167,0.9925864655314167
2024-10-05 10:00:00+00:00,SOL,LSTM,candle_extended,long_short,no_cost,SHORT,HOLD,0,0.475326269865036,0.5140346884727478,0.55,0.51,True,"{""lookback_hours"": 24}",-1.0,0.0,0.0,-0.0038194444444444,-0.0038267571486268,0.0038194444444444,0.0038194444444444,0.9963775943928214,0.9963775943928214
2024-10-05 11:00:00+00:00,SOL,LSTM,candle_extended,long_short,no_cost,SHORT,HOLD,0,0.47615134716033936,0.5108824372291565,0.55,0.51,True,"{""lookback_hours"": 24}",-1.0,0.0,0.0,0.0045311955385152,0.0045209605781026,-0.0045311955385152,-0.0045311955385152,0.991862812682432,0.991862812682432
2024-10-05 12:00:00+00:00,SOL,LSTM,candle_extended,long_short,no_cost,SHORT,HOLD,0,0.4749951660633087,0.5176448225975037,0.55,0.51,True,"{""lookback_hours"": 24}",-1.0,0.0,0.0,-0.0090909090909091,-0.0091324835632725,0.0090909090909091,0.0090909090909091,1.0008797473431814,1.0008797473431814
2024-10-05 13:00:00+00:00,SOL,LSTM,candle_extended,long_short,no_cost,SHORT,HOLD,0,0.47760331630706787,0.5102807283401489,0.55,0.51,True,"{""lookback_hours"": 24}",-1.0,0.0,0.0,0.0024511520414594,0.0024481528682474,-0.0024511520414594,-0.0024511520414594,0.9984264389072258,0.9984264389072258
2024-10-05 14:00:00+00:00,SOL,LSTM,candle_extended,long_short,no_cost,SHORT,HOLD,0,0.47637277841567993,0.5107889175415039,0.55,0.51,True,"{""lookback_hours"": 24}",-1.0,0.0,0.0,-0.0017465418471426,-0.0017480688295726,0.0017465418471426,0.0017465418471426,1.0001702324640707,1.0001702324640707
2024-10-05 15:00:00+00:00,SOL,LSTM,candle_extended,long_short,no_cost,SHORT,HOLD,0,0.47636282444000244,0.5114826560020447,0.55,0.51,True,"{""lookback_hours"": 24}",-1.0,0.0,0.0,-0.0047589054517459,-0.0047702650962736,0.0047589054517459,0.0047589054517459,1.0049299480360179,1.0049299480360179
2024-10-05 16:00:00+00:00,SOL,LSTM,candle_extended,long_short,no_cost,FLAT,CLOSE_SHORT,1,0.4822080433368683,0.5028235912322998,0.55,0.51,True,"{""lookback_hours"": 24}",0.0,1.0,0.0,0.0035159271499893,0.0035097607276947,0.0,0.0,1.0049299480360179,1.0049299480360179
2024-10-05 17:00:00+00:00,SOL,LSTM,candle_extended,long_short,no_cost,FLAT,HOLD,0,0.4771782159805298,0.5083321332931519,0.55,0.51,True,"{""lookback_hours"": 24}",0.0,0.0,0.0,-0.002943031322262,-0.0029473705546998,-0.0,-0.0,1.0049299480360179,1.0049299480360179
2024-10-05 18:00:00+00:00,SOL,LSTM,candle_extended,long_short,no_cost,FLAT,HOLD,0,0.48441630601882935,0.49790361523628235,0.55,0.51,True,"{""lookback_hours"": 24}",0.0,0.0,0.0,-0.0008433480919249,-0.0008437039099934,-0.0,-0.0,1.0049299480360179,1.0049299480360179
2024-10-05 19:00:00+00:00,SOL,LSTM,candle_extended,long_short,no_cost,FLAT,HOLD,0,0.48941490054130554,0.48614180088043213,0.55,0.51,True,"{""lookback_hours"": 24}",0.0,0.0,0.0,-0.0073151860448757,-0.0073420732216909,-0.0,-0.0,1.0049299480360179,1.0049299480360179
2024-10-05 20:00:00+00:00,SOL,LSTM,candle_extended,long_short,no_cost,FLAT,HOLD,0,0.4982330799102783,0.4718971848487854,0.55,0.51,True,"{""lookback_hours"": 24}",0.0,0.0,0.0,0.0038971161340608,0.0038895420486625,0.0,0.0,1.0049299480360179,1.0049299480360179
2024-10-05 21:00:00+00:00,SOL,LSTM,candle_extended,long_short,no_cost,FLAT,HOLD,0,0.4903746545314789,0.49281734228134155,0.55,0.51,True,"{""lookback_hours"": 24}",0.0,0.0,0.0,0.0090344438170524,0.0089938773765944,0.0,0.0,1.0049299480360179,1.0049299480360179
2024-10-05 22:00:00+00:00,SOL,LSTM,candle_extended,long_short,no_cost,FLAT,HOLD,0,0.473117858171463,0.5072536468505859,0.55,0.51,True,"{""lookback_hours"": 24}",0.0,0.0,0.0,-0.0025881365416899,-0.0025914915571448,-0.0,-0.0,1.0049299480360179,1.0049299480360179
2024-10-05 23:00:00+00:00,SOL,LSTM,candle_extended,long_short,no_cost,FLAT,HOLD,0,0.47580015659332275,0.506211519241333,0.55,0.51,True,"{""lookback_hours"": 24}",0.0,0.0,0.0,-0.002103934357248,-0.0021061507364277,-0.0,-0.0,1.0049299480360179,1.0049299480360179
2024-10-06 00:00:00+00:00,SOL,LSTM,candle_extended,long_short,no_cost,FLAT,HOLD,0,0.4792453646659851,0.4967341423034668,0.55,0.51,True,"{""lookback_hours"": 24}",0.0,0.0,0.0,0.0084334809192494,0.0083981178027152,0.0,0.0,1.0049299480360179,1.0049299480360179
2024-10-06 01:00:00+00:00,SOL,LSTM,candle_extended,long_short,no_cost,FLAT,HOLD,0,0.4740462899208069,0.5065569281578064,0.55,0.51,True,"{""lookback_hours"": 24}",0.0,0.0,0.0,-0.0022301205658932,-0.0022326109880791,-0.0,-0.0,1.0049299480360179,1.0049299480360179
2024-10-06 02:00:00+00:00,SOL,LSTM,candle_extended,long_short,no_cost,FLAT,HOLD,0,0.47359558939933777,0.5064857602119446,0.55,0.51,True,"{""lookback_hours"": 24}",0.0,0.0,0.0,-0.0033526576796814,-0.0033582904297522,-0.0,-0.0,1.0049299480360179,1.0049299480360179
2024-10-06 03:00:00+00:00,SOL,LSTM,candle_extended,long_short,no_cost,FLAT,HOLD,0,0.4778156578540802,0.500228762626648,0.55,0.51,True,"{""lookback_hours"": 24}",0.0,0.0,0.0,-0.0021024598780574,-0.0021046731495807,-0.0,-0.0,1.0049299480360179,1.0049299480360179
2024-10-06 04:00:00+00:00,SOL,LSTM,candle_extended,long_short,no_cost,FLAT,HOLD,0,0.4880903959274292,0.48509690165519714,0.55,0.51,True,"{""lookback_hours"": 24}",0.0,0.0,0.0,0.0016152819720487,0.0016139788072544,0.0,0.0,1.0049299480360179,1.0049299480360179
2024-10-06 05:00:00+00:00,SOL,LSTM,candle_extended,long_short,no_cost,FLAT,HOLD,0,0.48027366399765015,0.49632081389427185,0.55,0.51,True,"{""lookback_hours"": 24}",0.0,0.0,0.0,0.0029448885149347,0.0029405608250464,0.0,0.0,1.0049299480360179,1.0049299480360179
2024-10-06 06:00:00+00:00,SOL,LSTM,candle_extended,long_short,no_cost,FLAT,HOLD,0,0.4757409989833832,0.504010796546936,0.55,0.51,True,"{""lookback_hours"": 24}",0.0,0.0,0.0,-0.0005592841163309,-0.0005594405740313,-0.0,-0.0,1.0049299480360179,1.0049299480360179
2024-10-06 07:00:00+00:00,SOL,LSTM,candle_extended,long_short,no_cost,FLAT,HOLD,0,0.4755675494670868,0.5052815079689026,0.55,0.51,True,"{""lookback_hours"": 24}",0.0,0.0,0.0,0.002518186905428,0.0025150215855804,0.0,0.0,1.0049299480360179,1.0049299480360179
2024-10-06 08:00:00+00:00,SOL,LSTM,candle_extended,long_short,no_cost,FLAT,HOLD,0,0.47476863861083984,0.508040189743042,0.55,0.51,True,"{""lookback_hours"": 24}",0.0,0.0,0.0,0.0031398269606475,0.003134907997748,0.0,0.0,1.0049299480360179,1.0049299480360179
2024-10-06 09:00:00+00:00,SOL,LSTM,candle_extended,long_short,no_cost,FLAT,HOLD,0,0.4736305773258209,0.509097695350647,0.55,0.51,True,"{""lookback_hours"": 24}",0.0,0.0,0.0,-0.0015997774222717,-0.0016010584325754,-0.0,-0.0,1.0049299480360179,1.0049299480360179
2024-10-06 10:00:00+00:00,SOL,LSTM,candle_extended,long_short,no_cost,FLAT,HOLD,0,0.47533220052719116,0.5097675323486328,0.55,0.51,True,"{""lookback_hours"": 24}",0.0,0.0,0.0,0.0033440156054063,0.003338436818795,0.0,0.0,1.0049299480360179,1.0049299480360179
2024-10-06 11:00:00+00:00,SOL,LSTM,candle_extended,long_short,no_cost,SHORT,OPEN_SHORT,1,0.4737391173839569,0.5116089582443237,0.55,0.51,True,"{""lookback_hours"": 24}",-1.0,1.0,0.0,0.0034717400361061,0.0034657274587188,-0.0034717400361061,-0.0034717400361061,1.0014410925019392,1.0014410925019392
2024-10-06 12:00:00+00:00,SOL,LSTM,candle_extended,long_short,no_cost,SHORT,HOLD,0,0.4723469018936157,0.5140748620033264,0.55,0.51,True,"{""lookback_hours"": 24}",-1.0,0.0,0.0,-0.0008303349017437,-0.0008306798207136,0.0008303349017437,0.0008303349017437,1.002272623993084,1.002272623993084
2024-10-06 13:00:00+00:00,SOL,LSTM,candle_extended,long_short,no_cost,SHORT,HOLD,0,0.47134947776794434,0.5137269496917725,0.55,0.51,True,"{""lookback_hours"": 24}",-1.0,0.0,0.0,0.0136426592797784,0.0135504360371297,-0.0136426592797784,-0.0136426592797784,0.9885989600784969,0.9885989600784969
