datetime,asset,model,feature_set,strategy_mode,cost_regime,signal,trade_action,is_trade_event,y_prob_long,y_prob_short,long_threshold,short_threshold,threshold_feasible,model_params,position,position_change,transaction_cost,raw_return,raw_log_return,gross_return,net_return,gross_equity_curve,net_equity_curve
2024-10-02 08:00:00+00:00,BTC,LightGBM,candle_extended,short_only,no_cost,SHORT,OPEN_SHORT,1,0.25181446969237226,0.739087670111104,,0.6700000000000002,True,{},-1.0,1.0,0.0,-0.00865239480756,-0.0086900441038778,0.00865239480756,0.00865239480756,1.00865239480756,1.00865239480756
2024-10-02 09:00:00+00:00,BTC,LightGBM,candle_extended,short_only,no_cost,FLAT,CLOSE_SHORT,1,0.6867525022127783,0.42647353116629705,,0.6700000000000002,True,{},0.0,1.0,0.0,-0.0013541426613856,-0.001355060341099,-0.0,-0.0,1.00865239480756,1.00865239480756
2024-10-02 10:00:00+00:00,BTC,LightGBM,candle_extended,short_only,no_cost,FLAT,HOLD,0,0.623908075080284,0.4182657752079849,,0.6700000000000002,True,{},0.0,0.0,0.0,-0.0003964812209921,-0.0003965598404528,-0.0,-0.0,1.00865239480756,1.00865239480756
2024-10-02 11:00:00+00:00,BTC,LightGBM,candle_extended,short_only,no_cost,FLAT,HOLD,0,0.5703644053665269,0.42949434249167945,,0.6700000000000002,True,{},0.0,0.0,0.0,-0.0059709950344981,-0.0059888927055157,-0.0,-0.0,1.00865239480756,1.00865239480756
2024-10-02 12:00:00+00:00,BTC,LightGBM,candle_extended,short_only,no_cost,FLAT,HOLD,0,0.5674346776225776,0.4588838873467068,,0.6700000000000002,True,{},0.0,0.0,0.0,0.0090659684072711,0.0090251192216783,0.0,0.0,1.00865239480756,1.00865239480756
2024-10-02 13:00:00+00:00,BTC,LightGBM,candle_extended,short_only,no_cost,FLAT,HOLD,0,0.35577470451901594,0.6523526997387044,,0.6700000000000002,True,{},0.0,0.0,0.0,-0.0044373268133659,-0.0044472009687199,-0.0,-0.0,1.00865239480756,1.00865239480756
2024-10-02 14:00:00+00:00,BTC,LightGBM,candle_extended,short_only,no_cost,FLAT,HOLD,0,0.5885958987403833,0.43880143245771763,,0.6700000000000002,True,{},0.0,0.0,0.0,0.0130364942924405,0.0129522505726524,0.0,0.0,1.00865239480756,1.00865239480756
2024-10-02 15:00:00+00:00,BTC,LightGBM,candle_extended,short_only,no_cost,FLAT,HOLD,0,0.45391128999572683,0.6301595728152244,,0.6700000000000002,True,{},0.0,0.0,0.0,-0.0011959787316192,-0.0011966944849232,-0.0,-0.0,1.00865239480756,1.00865239480756
2024-10-02 16:00:00+00:00,BTC,LightGBM,candle_extended,short_only,no_cost,FLAT,HOLD,0,0.636411593967944,0.5338156903255992,,0.6700000000000002,True,{},0.0,0.0,0.0,-0.0027831710706842,-0.0027870512925083,-0.0,-0.0,1.00865239480756,1.00865239480756
2024-10-02 17:00:00+00:00,BTC,LightGBM,candle_extended,short_only,no_cost,FLAT,HOLD,0,0.5783142458501593,0.4285378182344664,,0.6700000000000002,True,{},0.0,0.0,0.0,-0.0140505916059922,-0.0141502356411272,-0.0,-0.0,1.00865239480756,1.00865239480756
