datetime,asset,model,feature_set,strategy_mode,cost_regime,signal,trade_action,is_trade_event,y_prob_long,y_prob_short,long_threshold,short_threshold,threshold_feasible,model_params,position,position_change,transaction_cost,raw_return,raw_log_return,gross_return,net_return,gross_equity_curve,net_equity_curve
2024-10-01 14:00:00+00:00,BTC,LightGBM,candle_raw,short_only,no_cost,FLAT,HOLD,0,0.5291677941710629,0.567594324866405,,0.5900000000000001,True,"{""model_dir"": ""models/lightgbm/candle_raw/btc"", ""tree_device"": ""cpu""}",0.0,0.0,0.0,0.0004928272468769,0.0004927058474136,0.0,0.0,1.0,1.0
2024-10-01 15:00:00+00:00,BTC,LightGBM,candle_raw,short_only,no_cost,SHORT,OPEN_SHORT,1,0.4487337425698295,0.6196708229460757,,0.5900000000000001,True,"{""model_dir"": ""models/lightgbm/candle_raw/btc"", ""tree_device"": ""cpu""}",-1.0,1.0,0.0,-0.0028876468273008,-0.0028918241230417,0.0028876468273008,0.0028876468273008,1.0028876468273007,1.0028876468273007
2024-10-01 16:00:00+00:00,BTC,LightGBM,candle_raw,short_only,no_cost,FLAT,CLOSE_SHORT,1,0.4707553253397623,0.5188358813778986,,0.5900000000000001,True,"{""model_dir"": ""models/lightgbm/candle_raw/btc"", ""tree_device"": ""cpu""}",0.0,1.0,0.0,-0.0047399436331027,-0.0047512127901394,-0.0,-0.0,1.0028876468273007,1.0028876468273007
2024-10-01 17:00:00+00:00,BTC,LightGBM,candle_raw,short_only,no_cost,FLAT,HOLD,0,0.3513432770260119,0.5464822789835545,,0.5900000000000001,True,"{""model_dir"": ""models/lightgbm/candle_raw/btc"", ""tree_device"": ""cpu""}",0.0,0.0,0.0,-0.0026390140301196,-0.0026425023661753,-0.0,-0.0,1.0028876468273007,1.0028876468273007
2024-10-01 18:00:00+00:00,BTC,LightGBM,candle_raw,short_only,no_cost,FLAT,HOLD,0,0.6107388654795388,0.3517548750777114,,0.5900000000000001,True,"{""model_dir"": ""models/lightgbm/candle_raw/btc"", ""tree_device"": ""cpu""}",0.0,0.0,0.0,-0.0037424997555978,-0.0037495204298632,-0.0,-0.0,1.0028876468273007,1.0028876468273007
2024-10-01 19:00:00+00:00,BTC,LightGBM,candle_raw,short_only,no_cost,SHORT,OPEN_SHORT,1,0.43912523629784334,0.6061500708847577,,0.5900000000000001,True,"{""model_dir"": ""models/lightgbm/candle_raw/btc"", ""tree_device"": ""cpu""}",-1.0,1.0,0.0,-0.0153338971652789,-0.0154526771710818,0.0153338971652789,0.0153338971652789,1.0182658228720791,1.0182658228720791
2024-10-01 20:00:00+00:00,BTC,LightGBM,candle_raw,short_only,no_cost,FLAT,CLOSE_SHORT,1,0.4663715982433498,0.4749830344744766,,0.5900000000000001,True,"{""model_dir"": ""models/lightgbm/candle_raw/btc"", ""tree_device"": ""cpu""}",0.0,1.0,0.0,0.0054756670185331,0.0054607300556326,0.0,0.0,1.0182658228720791,1.0182658228720791
2024-10-01 21:00:00+00:00,BTC,LightGBM,candle_raw,short_only,no_cost,FLAT,HOLD,0,0.5057781371921045,0.5630005523440407,,0.5900000000000001,True,"{""model_dir"": ""models/lightgbm/candle_raw/btc"", ""tree_device"": ""cpu""}",0.0,0.0,0.0,-0.0061169081809557,-0.0061356931067565,-0.0,-0.0,1.0182658228720791,1.0182658228720791
2024-10-01 22:00:00+00:00,BTC,LightGBM,candle_raw,short_only,no_cost,SHORT,OPEN_SHORT,1,0.3422191879785986,0.683043078870633,,0.5900000000000001,True,"{""model_dir"": ""models/lightgbm/candle_raw/btc"", ""tree_device"": ""cpu""}",-1.0,1.0,0.0,0.0006075566087413,0.0006073721209456,-0.0006075566087413,-0.0006075566087413,1.0176471687419377,1.0176471687419377
2024-10-01 23:00:00+00:00,BTC,LightGBM,candle_raw,short_only,no_cost,FLAT,CLOSE_SHORT,1,0.520526561525085,0.4231308479881336,,0.5900000000000001,True,"{""model_dir"": ""models/lightgbm/candle_raw/btc"", ""tree_device"": ""cpu""}",0.0,1.0,0.0,0.003969251172438,0.0039613944782692,0.0,0.0,1.0176471687419377,1.0176471687419377
2024-10-02 00:00:00+00:00,BTC,LightGBM,candle_raw,short_only,no_cost,SHORT,OPEN_SHORT,1,0.4376232027910183,0.5934090191848362,,0.5900000000000001,True,"{""model_dir"": ""models/lightgbm/candle_raw/btc"", ""tree_device"": ""cpu""}",-1.0,1.0,0.0,0.0078075204267189,0.0077771994579105,-0.0078075204267189,-0.0078075204267189,1.0097018676847924,1.0097018676847924
2024-10-02 01:00:00+00:00,BTC,LightGBM,candle_raw,short_only,no_cost,FLAT,CLOSE_SHORT,1,0.45729899353335135,0.5119053276604024,,0.5900000000000001,True,"{""model_dir"": ""models/lightgbm/candle_raw/btc"", ""tree_device"": ""cpu""}",0.0,1.0,0.0,0.0042260693540241,0.004217164602182,0.0,0.0,1.0097018676847924,1.0097018676847924
2024-10-02 02:00:00+00:00,BTC,LightGBM,candle_raw,short_only,no_cost,FLAT,HOLD,0,0.42814774435029634,0.577117422856533,,0.5900000000000001,True,"{""model_dir"": ""models/lightgbm/candle_raw/btc"", ""tree_device"": ""cpu""}",0.0,0.0,0.0,-0.0005249026065307,-0.0005250404161304,-0.0,-0.0,1.0097018676847924,1.0097018676847924
