datetime,asset,model,feature_set,strategy_mode,cost_regime,signal,trade_action,is_trade_event,y_prob_long,y_prob_short,long_threshold,short_threshold,threshold_feasible,model_params,position,position_change,transaction_cost,raw_return,raw_log_return,gross_return,net_return,gross_equity_curve,net_equity_curve
2024-10-02 08:00:00+00:00,XRP,LightGBM,ohlc_raw,short_only,no_cost,FLAT,HOLD,0,0.47885767196604884,0.5544639115640473,,0.5800000000000001,True,{},0.0,0.0,0.0,-0.0191252286712122,-0.0193104816643469,-0.0,-0.0,1.0,1.0
2024-10-02 09:00:00+00:00,XRP,LightGBM,ohlc_raw,short_only,no_cost,FLAT,HOLD,0,0.554927899218872,0.45069899777314204,,0.5800000000000001,True,{},0.0,0.0,0.0,-0.0001695489996609,-0.0001695633747174,-0.0,-0.0,1.0,1.0
2024-10-02 10:00:00+00:00,XRP,LightGBM,ohlc_raw,short_only,no_cost,FLAT,HOLD,0,0.5193848566194998,0.5513781926691623,,0.5800000000000001,True,{},0.0,0.0,0.0,-0.0067831100559606,-0.0068062199107218,-0.0,-0.0,1.0,1.0
2024-10-02 11:00:00+00:00,XRP,LightGBM,ohlc_raw,short_only,no_cost,FLAT,HOLD,0,0.4903728031568282,0.5100266111202815,,0.5800000000000001,True,{},0.0,0.0,0.0,0.0020488304592793,0.0020467344685521,0.0,0.0,1.0,1.0
2024-10-02 12:00:00+00:00,XRP,LightGBM,ohlc_raw,short_only,no_cost,FLAT,HOLD,0,0.484812665129155,0.45134928628299703,,0.5800000000000001,True,{},0.0,0.0,0.0,-0.0032373487817345,-0.0032426003324323,-0.0,-0.0,1.0,1.0
2024-10-02 13:00:00+00:00,XRP,LightGBM,ohlc_raw,short_only,no_cost,FLAT,HOLD,0,0.5865597221379456,0.4861286002029455,,0.5800000000000001,True,{},0.0,0.0,0.0,-0.0076923076923075,-0.0077220460939101,-0.0,-0.0,1.0,1.0
2024-10-02 14:00:00+00:00,XRP,LightGBM,ohlc_raw,short_only,no_cost,SHORT,OPEN_SHORT,1,0.3717577437348638,0.5841681882641864,,0.5800000000000001,True,{},-1.0,1.0,0.0,0.0068906115417743,0.0068669797741769,-0.0068906115417743,-0.0068906115417743,0.9931093884582257,0.9931093884582257
2024-10-02 15:00:00+00:00,XRP,LightGBM,ohlc_raw,short_only,no_cost,FLAT,CLOSE_SHORT,1,0.5525519190729702,0.3779167738849573,,0.5800000000000001,True,{},0.0,1.0,0.0,-0.0011976047904191,-0.0011983224921087,-0.0,-0.0,0.9931093884582257,0.9931093884582257
2024-10-02 16:00:00+00:00,XRP,LightGBM,ohlc_raw,short_only,no_cost,FLAT,HOLD,0,0.5084376946006565,0.40046276250737023,,0.5800000000000001,True,{},0.0,0.0,0.0,-0.0030832476875642,-0.0030880106885766,-0.0,-0.0,0.9931093884582257,0.9931093884582257
2024-10-02 17:00:00+00:00,XRP,LightGBM,ohlc_raw,short_only,no_cost,SHORT,OPEN_SHORT,1,0.4470494556596031,0.6725523213212561,,0.5800000000000001,True,{},-1.0,1.0,0.0,-0.0216494845360823,-0.0218872728875005,0.0216494845360823,0.0216494845360823,1.0146096948062904,1.0146096948062904
