datetime,asset,model,feature_set,strategy_mode,cost_regime,signal,trade_action,is_trade_event,y_prob,position,position_change,transaction_cost,raw_return,gross_return,net_return,gross_equity_curve,net_equity_curve
2024-10-02 08:00:00+00:00,ETH,Logistic Regression,candle_raw,short_only,no_cost,FLAT,HOLD,0,0.5005463115166137,0.0,0.0,0.0,-0.0113311136013674,-0.0,-0.0,1.0,1.0
2024-10-02 09:00:00+00:00,ETH,Logistic Regression,candle_raw,short_only,no_cost,FLAT,HOLD,0,0.5423490920851164,0.0,0.0,0.0,-0.0006808906212413,-0.0,-0.0,1.0,1.0
2024-10-02 10:00:00+00:00,ETH,Logistic Regression,candle_raw,short_only,no_cost,FLAT,HOLD,0,0.528780452148035,0.0,0.0,0.0,0.0017217462260301,0.0,0.0,1.0,1.0
2024-10-02 11:00:00+00:00,ETH,Logistic Regression,candle_raw,short_only,no_cost,FLAT,HOLD,0,0.47627902357661833,0.0,0.0,0.0,-0.0081011070291052,-0.0,-0.0,1.0,1.0
2024-10-02 12:00:00+00:00,ETH,Logistic Regression,candle_raw,short_only,no_cost,FLAT,HOLD,0,0.5403642815999622,0.0,0.0,0.0,0.0061593295364488,0.0,0.0,1.0,1.0
2024-10-02 13:00:00+00:00,ETH,Logistic Regression,candle_raw,short_only,no_cost,SHORT,OPEN_SHORT,1,0.42522059228389564,-1.0,1.0,0.0,-0.0065011651491839,0.0065011651491839,0.0065011651491839,1.006501165149184,1.006501165149184
2024-10-02 14:00:00+00:00,ETH,Logistic Regression,candle_raw,short_only,no_cost,FLAT,CLOSE_SHORT,1,0.5091167867822095,0.0,1.0,0.0,0.0106802497535327,0.0,0.0,1.006501165149184,1.006501165149184
2024-10-02 15:00:00+00:00,ETH,Logistic Regression,candle_raw,short_only,no_cost,FLAT,HOLD,0,0.44280364763722946,0.0,0.0,0.0,-0.0030686067306129,-0.0,-0.0,1.006501165149184,1.006501165149184
2024-10-02 16:00:00+00:00,ETH,Logistic Regression,candle_raw,short_only,no_cost,FLAT,HOLD,0,0.5276225755065678,0.0,0.0,0.0,-0.0025032105509916,-0.0,-0.0,1.006501165149184,1.006501165149184
2024-10-02 17:00:00+00:00,ETH,Logistic Regression,candle_raw,short_only,no_cost,FLAT,HOLD,0,0.4821251254225538,0.0,0.0,0.0,-0.0232516317830883,-0.0,-0.0,1.006501165149184,1.006501165149184
