datetime,asset,model,feature_set,strategy_mode,cost_regime,signal,trade_action,is_trade_event,y_prob,position,position_change,transaction_cost,raw_return,gross_return,net_return,gross_equity_curve,net_equity_curve
2024-10-02 08:00:00+00:00,ETH,Logistic Regression,ohlc_extended,short_only,no_cost,FLAT,HOLD,0,0.4679924495028299,0.0,0.0,0.0,-0.0113311136013674,-0.0,-0.0,1.0,1.0
2024-10-02 09:00:00+00:00,ETH,Logistic Regression,ohlc_extended,short_only,no_cost,FLAT,HOLD,0,0.5234549443174312,0.0,0.0,0.0,-0.0006808906212413,-0.0,-0.0,1.0,1.0
2024-10-02 10:00:00+00:00,ETH,Logistic Regression,ohlc_extended,short_only,no_cost,FLAT,HOLD,0,0.5636859842991203,0.0,0.0,0.0,0.0017217462260301,0.0,0.0,1.0,1.0
2024-10-02 11:00:00+00:00,ETH,Logistic Regression,ohlc_extended,short_only,no_cost,FLAT,HOLD,0,0.5337696782834002,0.0,0.0,0.0,-0.0081011070291052,-0.0,-0.0,1.0,1.0
2024-10-02 12:00:00+00:00,ETH,Logistic Regression,ohlc_extended,short_only,no_cost,FLAT,HOLD,0,0.5666657143586952,0.0,0.0,0.0,0.0061593295364488,0.0,0.0,1.0,1.0
2024-10-02 13:00:00+00:00,ETH,Logistic Regression,ohlc_extended,short_only,no_cost,FLAT,HOLD,0,0.5009691356613554,0.0,0.0,0.0,-0.0065011651491839,-0.0,-0.0,1.0,1.0
2024-10-02 14:00:00+00:00,ETH,Logistic Regression,ohlc_extended,short_only,no_cost,FLAT,HOLD,0,0.5389199005683207,0.0,0.0,0.0,0.0106802497535327,0.0,0.0,1.0,1.0
2024-10-02 15:00:00+00:00,ETH,Logistic Regression,ohlc_extended,short_only,no_cost,FLAT,HOLD,0,0.4928683966179288,0.0,0.0,0.0,-0.0030686067306129,-0.0,-0.0,1.0,1.0
2024-10-02 16:00:00+00:00,ETH,Logistic Regression,ohlc_extended,short_only,no_cost,FLAT,HOLD,0,0.5084492461501029,0.0,0.0,0.0,-0.0025032105509916,-0.0,-0.0,1.0,1.0
2024-10-02 17:00:00+00:00,ETH,Logistic Regression,ohlc_extended,short_only,no_cost,FLAT,HOLD,0,0.53074999779745,0.0,0.0,0.0,-0.0232516317830883,-0.0,-0.0,1.0,1.0
2024-10-02 18:00:00+00:00,ETH,Logistic Regression,ohlc_extended,short_only,no_cost,FLAT,HOLD,0,0.60124629446951,0.0,0.0,0.0,-0.0075528700906345,-0.0,-0.0,1.0,1.0
2024-10-02 19:00:00+00:00,ETH,Logistic Regression,ohlc_extended,short_only,no_cost,FLAT,HOLD,0,0.5868544344968114,0.0,0.0,0.0,0.0060461174565831,0.0,0.0,1.0,1.0
2024-10-02 20:00:00+00:00,ETH,Logistic Regression,ohlc_extended,short_only,no_cost,FLAT,HOLD,0,0.54220810005727,0.0,0.0,0.0,-0.0030006998839116,-0.0,-0.0,1.0,1.0
2024-10-02 21:00:00+00:00,ETH,Logistic Regression,ohlc_extended,short_only,no_cost,FLAT,HOLD,0,0.5490645354056489,0.0,0.0,0.0,0.0013325206498666,0.0,0.0,1.0,1.0
2024-10-02 22:00:00+00:00,ETH,Logistic Regression,ohlc_extended,short_only,no_cost,FLAT,HOLD,0,0.5294477089658853,0.0,0.0,0.0,-0.0075688882172181,-0.0,-0.0,1.0,1.0
2024-10-02 23:00:00+00:00,ETH,Logistic Regression,ohlc_extended,short_only,no_cost,FLAT,HOLD,0,0.5502389108637382,0.0,0.0,0.0,0.0034135756252933,0.0,0.0,1.0,1.0
2024-10-03 00:00:00+00:00,ETH,Logistic Regression,ohlc_extended,short_only,no_cost,FLAT,HOLD,0,0.5282915634946094,0.0,0.0,0.0,0.0052188722514501,0.0,0.0,1.0,1.0
2024-10-03 01:00:00+00:00,ETH,Logistic Regression,ohlc_extended,short_only,no_cost,FLAT,HOLD,0,0.5024612848398348,0.0,0.0,0.0,0.0030446123780687,0.0,0.0,1.0,1.0
2024-10-03 02:00:00+00:00,ETH,Logistic Regression,ohlc_extended,short_only,no_cost,FLAT,HOLD,0,0.4928717021954547,0.0,0.0,0.0,0.0031440755916045,0.0,0.0,1.0,1.0
2024-10-03 03:00:00+00:00,ETH,Logistic Regression,ohlc_extended,short_only,no_cost,FLAT,HOLD,0,0.490142378545548,0.0,0.0,0.0,-0.0007377090175549,-0.0,-0.0,1.0,1.0
2024-10-03 04:00:00+00:00,ETH,Logistic Regression,ohlc_extended,short_only,no_cost,FLAT,HOLD,0,0.5045531594909106,0.0,0.0,0.0,-0.0058100978081793,-0.0,-0.0,1.0,1.0
2024-10-03 05:00:00+00:00,ETH,Logistic Regression,ohlc_extended,short_only,no_cost,FLAT,HOLD,0,0.5397164693381375,0.0,0.0,0.0,0.0023032194729026,0.0,0.0,1.0,1.0
2024-10-03 06:00:00+00:00,ETH,Logistic Regression,ohlc_extended,short_only,no_cost,FLAT,HOLD,0,0.5193963441074777,0.0,0.0,0.0,-0.0102381221459036,-0.0,-0.0,1.0,1.0
2024-10-03 07:00:00+00:00,ETH,Logistic Regression,ohlc_extended,short_only,no_cost,FLAT,HOLD,0,0.5608981876958997,0.0,0.0,0.0,-0.0114773856596113,-0.0,-0.0,1.0,1.0
2024-10-03 08:00:00+00:00,ETH,Logistic Regression,ohlc_extended,short_only,no_cost,FLAT,HOLD,0,0.5623453279134655,0.0,0.0,0.0,0.0065283143173717,0.0,0.0,1.0,1.0
2024-10-03 09:00:00+00:00,ETH,Logistic Regression,ohlc_extended,short_only,no_cost,FLAT,HOLD,0,0.503109352611408,0.0,0.0,0.0,0.0067154885517921,0.0,0.0,1.0,1.0
2024-10-03 10:00:00+00:00,ETH,Logistic Regression,ohlc_extended,short_only,no_cost,FLAT,HOLD,0,0.47253222308402903,0.0,0.0,0.0,-0.0068480137804668,-0.0,-0.0,1.0,1.0
2024-10-03 11:00:00+00:00,ETH,Logistic Regression,ohlc_extended,short_only,no_cost,FLAT,HOLD,0,0.5170501442654126,0.0,0.0,0.0,-4.251068080773912e-06,-0.0,-0.0,1.0,1.0
2024-10-03 12:00:00+00:00,ETH,Logistic Regression,ohlc_extended,short_only,no_cost,FLAT,HOLD,0,0.511721558706232,0.0,0.0,0.0,-0.002142547420866,-0.0,-0.0,1.0,1.0
2024-10-03 13:00:00+00:00,ETH,Logistic Regression,ohlc_extended,short_only,no_cost,FLAT,HOLD,0,0.5124442708164717,0.0,0.0,0.0,-0.0126741362416393,-0.0,-0.0,1.0,1.0
2024-10-03 14:00:00+00:00,ETH,Logistic Regression,ohlc_extended,short_only,no_cost,FLAT,HOLD,0,0.5714223068986177,0.0,0.0,0.0,0.0099458479860194,0.0,0.0,1.0,1.0
2024-10-03 15:00:00+00:00,ETH,Logistic Regression,ohlc_extended,short_only,no_cost,FLAT,HOLD,0,0.5166103537098168,0.0,0.0,0.0,-0.0067076817909936,-0.0,-0.0,1.0,1.0
2024-10-03 16:00:00+00:00,ETH,Logistic Regression,ohlc_extended,short_only,no_cost,FLAT,HOLD,0,0.5490583897871245,0.0,0.0,0.0,0.008142285689707,0.0,0.0,1.0,1.0
2024-10-03 17:00:00+00:00,ETH,Logistic Regression,ohlc_extended,short_only,no_cost,FLAT,HOLD,0,0.5248562260759085,0.0,0.0,0.0,0.0001322621521184,0.0,0.0,1.0,1.0
2024-10-03 18:00:00+00:00,ETH,Logistic Regression,ohlc_extended,short_only,no_cost,FLAT,HOLD,0,0.5198279363300642,0.0,0.0,0.0,0.0039972015323317,0.0,0.0,1.0,1.0
2024-10-03 19:00:00+00:00,ETH,Logistic Regression,ohlc_extended,short_only,no_cost,FLAT,HOLD,0,0.498226693696768,0.0,0.0,0.0,-0.0049033146236898,-0.0,-0.0,1.0,1.0
2024-10-03 20:00:00+00:00,ETH,Logistic Regression,ohlc_extended,short_only,no_cost,FLAT,HOLD,0,0.5239511069314488,0.0,0.0,0.0,0.0036080735449217,0.0,0.0,1.0,1.0
2024-10-03 21:00:00+00:00,ETH,Logistic Regression,ohlc_extended,short_only,no_cost,FLAT,HOLD,0,0.47540458250166123,0.0,0.0,0.0,0.000706256754112,0.0,0.0,1.0,1.0
2024-10-03 22:00:00+00:00,ETH,Logistic Regression,ohlc_extended,short_only,no_cost,FLAT,HOLD,0,0.4725628046708004,0.0,0.0,0.0,-0.0009693547838507,-0.0,-0.0,1.0,1.0
2024-10-03 23:00:00+00:00,ETH,Logistic Regression,ohlc_extended,short_only,no_cost,FLAT,HOLD,0,0.48925578026018857,0.0,0.0,0.0,-0.0040131074985105,-0.0,-0.0,1.0,1.0
2024-10-04 00:00:00+00:00,ETH,Logistic Regression,ohlc_extended,short_only,no_cost,FLAT,HOLD,0,0.5178556042508664,0.0,0.0,0.0,0.0158906497690536,0.0,0.0,1.0,1.0
2024-10-04 01:00:00+00:00,ETH,Logistic Regression,ohlc_extended,short_only,no_cost,SHORT,OPEN_SHORT,1,0.4283844962163689,-1.0,1.0,0.0,-0.0030072847793536,0.0030072847793536,0.0030072847793536,1.0030072847793536,1.0030072847793536
2024-10-04 02:00:00+00:00,ETH,Logistic Regression,ohlc_extended,short_only,no_cost,FLAT,CLOSE_SHORT,1,0.4492060677765525,0.0,1.0,0.0,-0.00140903894263,-0.0,-0.0,1.0030072847793536,1.0030072847793536
2024-10-04 03:00:00+00:00,ETH,Logistic Regression,ohlc_extended,short_only,no_cost,FLAT,HOLD,0,0.47625634901433106,0.0,0.0,0.0,0.0030206119802116,0.0,0.0,1.0030072847793536,1.0030072847793536
2024-10-04 04:00:00+00:00,ETH,Logistic Regression,ohlc_extended,short_only,no_cost,FLAT,HOLD,0,0.45540314885680816,0.0,0.0,0.0,0.0038412615511622,0.0,0.0,1.0030072847793536,1.0030072847793536
2024-10-04 05:00:00+00:00,ETH,Logistic Regression,ohlc_extended,short_only,no_cost,FLAT,HOLD,0,0.43928488671034316,0.0,0.0,0.0,-0.0035160740809117,-0.0,-0.0,1.0030072847793536,1.0030072847793536
2024-10-04 06:00:00+00:00,ETH,Logistic Regression,ohlc_extended,short_only,no_cost,FLAT,HOLD,0,0.47277403061414575,0.0,0.0,0.0,0.0027958365614577,0.0,0.0,1.0030072847793536,1.0030072847793536
2024-10-04 07:00:00+00:00,ETH,Logistic Regression,ohlc_extended,short_only,no_cost,FLAT,HOLD,0,0.46335456711704553,0.0,0.0,0.0,-3.7789721195724546e-05,-0.0,-0.0,1.0030072847793536,1.0030072847793536
2024-10-04 08:00:00+00:00,ETH,Logistic Regression,ohlc_extended,short_only,no_cost,FLAT,HOLD,0,0.47285221194950117,0.0,0.0,0.0,-0.0018307712333771,-0.0,-0.0,1.0030072847793536,1.0030072847793536
2024-10-04 09:00:00+00:00,ETH,Logistic Regression,ohlc_extended,short_only,no_cost,FLAT,HOLD,0,0.4872477967906008,0.0,0.0,0.0,-0.0008329301895126,-0.0,-0.0,1.0030072847793536,1.0030072847793536
2024-10-04 10:00:00+00:00,ETH,Logistic Regression,ohlc_extended,short_only,no_cost,FLAT,HOLD,0,0.48826983972636323,0.0,0.0,0.0,0.004643878122408,0.0,0.0,1.0030072847793536,1.0030072847793536
2024-10-04 11:00:00+00:00,ETH,Logistic Regression,ohlc_extended,short_only,no_cost,FLAT,HOLD,0,0.455075714861864,0.0,0.0,0.0,0.0046727013661889,0.0,0.0,1.0030072847793536,1.0030072847793536
