datetime,asset,model,feature_set,strategy_mode,cost_regime,signal,trade_action,is_trade_event,y_prob,position,position_change,transaction_cost,raw_return,gross_return,net_return,gross_equity_curve,net_equity_curve
2024-10-03 07:00:00+00:00,XRP,LSTM,ohlc_extended,short_only,no_cost,FLAT,HOLD,0,0.57141864,0.0,0.0,0.0,-0.0098303777949113,-0.0,-0.0,1.0,1.0
2024-10-03 08:00:00+00:00,XRP,LSTM,ohlc_extended,short_only,no_cost,FLAT,HOLD,0,0.56461304,0.0,0.0,0.0,0.0114853027058592,0.0,0.0,1.0,1.0
2024-10-03 09:00:00+00:00,XRP,LSTM,ohlc_extended,short_only,no_cost,FLAT,HOLD,0,0.5412761,0.0,0.0,0.0,0.008660508083141,0.0,0.0,1.0,1.0
2024-10-03 10:00:00+00:00,XRP,LSTM,ohlc_extended,short_only,no_cost,FLAT,HOLD,0,0.5313249,0.0,0.0,0.0,-0.0131654264453349,-0.0,-0.0,1.0,1.0
2024-10-03 11:00:00+00:00,XRP,LSTM,ohlc_extended,short_only,no_cost,FLAT,HOLD,0,0.5443455,0.0,0.0,0.0,0.0059938128383603,0.0,0.0,1.0,1.0
2024-10-03 12:00:00+00:00,XRP,LSTM,ohlc_extended,short_only,no_cost,FLAT,HOLD,0,0.53548205,0.0,0.0,0.0,0.0019219680953295,0.0,0.0,1.0,1.0
2024-10-03 13:00:00+00:00,XRP,LSTM,ohlc_extended,short_only,no_cost,FLAT,HOLD,0,0.5302035,0.0,0.0,0.0,-0.0074812967581047,-0.0,-0.0,1.0,1.0
2024-10-03 14:00:00+00:00,XRP,LSTM,ohlc_extended,short_only,no_cost,FLAT,HOLD,0,0.54696554,0.0,0.0,0.0,0.0100502512562814,0.0,0.0,1.0,1.0
2024-10-03 15:00:00+00:00,XRP,LSTM,ohlc_extended,short_only,no_cost,FLAT,HOLD,0,0.5206601,0.0,0.0,0.0,-0.0151167240719477,-0.0,-0.0,1.0,1.0
2024-10-03 16:00:00+00:00,XRP,LSTM,ohlc_extended,short_only,no_cost,FLAT,HOLD,0,0.55230266,0.0,0.0,0.0,0.0120458519525936,0.0,0.0,1.0,1.0
2024-10-03 17:00:00+00:00,XRP,LSTM,ohlc_extended,short_only,no_cost,FLAT,HOLD,0,0.5169055,0.0,0.0,0.0,0.004223459397197,0.0,0.0,1.0,1.0
2024-10-03 18:00:00+00:00,XRP,LSTM,ohlc_extended,short_only,no_cost,FLAT,HOLD,0,0.49079493,0.0,0.0,0.0,0.0078378895048747,0.0,0.0,1.0,1.0
2024-10-03 19:00:00+00:00,XRP,LSTM,ohlc_extended,short_only,no_cost,FLAT,HOLD,0,0.47210905,0.0,0.0,0.0,-0.0062594840667677,-0.0,-0.0,1.0,1.0
2024-10-03 20:00:00+00:00,XRP,LSTM,ohlc_extended,short_only,no_cost,FLAT,HOLD,0,0.50101084,0.0,0.0,0.0,0.0020996373353692,0.0,0.0,1.0,1.0
2024-10-03 21:00:00+00:00,XRP,LSTM,ohlc_extended,short_only,no_cost,FLAT,HOLD,0,0.48728806,0.0,0.0,0.0,-0.0003809523809523,-0.0,-0.0,1.0,1.0
2024-10-03 22:00:00+00:00,XRP,LSTM,ohlc_extended,short_only,no_cost,FLAT,HOLD,0,0.49758792,0.0,0.0,0.0,-0.0057164634146341,-0.0,-0.0,1.0,1.0
2024-10-03 23:00:00+00:00,XRP,LSTM,ohlc_extended,short_only,no_cost,FLAT,HOLD,0,0.5356471,0.0,0.0,0.0,-0.0120735914143351,-0.0,-0.0,1.0,1.0
2024-10-04 00:00:00+00:00,XRP,LSTM,ohlc_extended,short_only,no_cost,FLAT,HOLD,0,0.5594381,0.0,0.0,0.0,0.0161008729388945,0.0,0.0,1.0,1.0
2024-10-04 01:00:00+00:00,XRP,LSTM,ohlc_extended,short_only,no_cost,FLAT,HOLD,0,0.48514053,0.0,0.0,0.0,-0.0017182130584192,-0.0,-0.0,1.0,1.0
2024-10-04 02:00:00+00:00,XRP,LSTM,ohlc_extended,short_only,no_cost,FLAT,HOLD,0,0.5030247,0.0,0.0,0.0,0.0034423407917383,0.0,0.0,1.0,1.0
2024-10-04 03:00:00+00:00,XRP,LSTM,ohlc_extended,short_only,no_cost,FLAT,HOLD,0,0.49471897,0.0,0.0,0.0,0.0022870211549457,0.0,0.0,1.0,1.0
2024-10-04 04:00:00+00:00,XRP,LSTM,ohlc_extended,short_only,no_cost,FLAT,HOLD,0,0.48226884,0.0,0.0,0.0,0.0041833048108004,0.0,0.0,1.0,1.0
