datetime,asset,model,feature_set,strategy_mode,cost_regime,signal,trade_action,is_trade_event,y_prob,position,position_change,transaction_cost,raw_return,gross_return,net_return,gross_equity_curve,net_equity_curve
2024-10-03 07:00:00+00:00,ETH,CNN,ohlc_extended,long_only,with_cost,LONG,OPEN_LONG,1,0.5214512,1.0,1.0,0.00035,-0.0114773856596113,-0.0114773856596113,-0.011827385659611299,0.9885226143403887,0.9881726143403887
2024-10-03 08:00:00+00:00,ETH,CNN,ohlc_extended,long_only,with_cost,LONG,HOLD,0,0.5198843,1.0,0.0,0.0,0.0065283143173717,0.0065283143173717,0.0065283143173717,0.9949760006766328,0.9946237157666218
2024-10-03 09:00:00+00:00,ETH,CNN,ohlc_extended,long_only,with_cost,FLAT,CLOSE_LONG,1,0.5059365,0.0,1.0,0.00035,0.0067154885517921,0.0,-0.00035,0.9949760006766328,0.9942755974661035
2024-10-03 10:00:00+00:00,ETH,CNN,ohlc_extended,long_only,with_cost,LONG,OPEN_LONG,1,0.51844025,1.0,1.0,0.00035,-0.0068480137804668,-0.0068480137804668,-0.007198013780466799,0.9881623913127655,0.9871187880139606
2024-10-03 11:00:00+00:00,ETH,CNN,ohlc_extended,long_only,with_cost,FLAT,CLOSE_LONG,1,0.5066678,0.0,1.0,0.00035,-4.251068080773912e-06,-0.0,-0.00035,0.9881623913127655,0.9867732964381557
2024-10-03 12:00:00+00:00,ETH,CNN,ohlc_extended,long_only,with_cost,LONG,OPEN_LONG,1,0.52588856,1.0,1.0,0.00035,-0.002142547420866,-0.002142547420866,-0.002492547420866,0.9860452065298616,0.9843137172031393
2024-10-03 13:00:00+00:00,ETH,CNN,ohlc_extended,long_only,with_cost,LONG,HOLD,0,0.5138045,1.0,0.0,0.0,-0.0126741362416393,-0.0126741362416393,-0.0126741362416393,0.9735479352418868,0.9718383910467924
2024-10-03 14:00:00+00:00,ETH,CNN,ohlc_extended,long_only,with_cost,LONG,HOLD,0,0.5180469,1.0,0.0,0.0,0.0099458479860194,0.0099458479860194,0.0099458479860194,0.9832306950129057,0.9815041479511215
2024-10-03 15:00:00+00:00,ETH,CNN,ohlc_extended,long_only,with_cost,FLAT,CLOSE_LONG,1,0.49359998,0.0,1.0,0.00035,-0.0067076817909936,-0.0,-0.00035,0.9832306950129057,0.9811606214993387
2024-10-03 16:00:00+00:00,ETH,CNN,ohlc_extended,long_only,with_cost,FLAT,HOLD,0,0.50188076,0.0,0.0,0.0,0.008142285689707,0.0,0.0,0.9832306950129057,0.9811606214993387
