datetime,asset,model,feature_set,strategy_mode,cost_regime,signal,trade_action,is_trade_event,y_prob_long,y_prob_short,long_threshold,short_threshold,threshold_feasible,model_params,position,position_change,transaction_cost,raw_return,raw_log_return,gross_return,net_return,gross_equity_curve,net_equity_curve
2024-10-01 14:00:00+00:00,BTC,LightGBM,candle_extended,long_only,with_cost,FLAT,HOLD,0,0.36686785528778104,0.5256074227333467,0.7300000000000002,,True,"{""model_dir"": ""models/lightgbm/candle_extended/btc"", ""tree_device"": ""cpu""}",0.0,0.0,0.0,0.0004928272468769,0.0004927058474136,0.0,0.0,1.0,1.0
2024-10-01 15:00:00+00:00,BTC,LightGBM,candle_extended,long_only,with_cost,FLAT,HOLD,0,0.5015684249370965,0.4492654490811363,0.7300000000000002,,True,"{""model_dir"": ""models/lightgbm/candle_extended/btc"", ""tree_device"": ""cpu""}",0.0,0.0,0.0,-0.0028876468273008,-0.0028918241230417,-0.0,-0.0,1.0,1.0
2024-10-01 16:00:00+00:00,BTC,LightGBM,candle_extended,long_only,with_cost,FLAT,HOLD,0,0.5344189016425448,0.44092261949587386,0.7300000000000002,,True,"{""model_dir"": ""models/lightgbm/candle_extended/btc"", ""tree_device"": ""cpu""}",0.0,0.0,0.0,-0.0047399436331027,-0.0047512127901394,-0.0,-0.0,1.0,1.0
2024-10-01 17:00:00+00:00,BTC,LightGBM,candle_extended,long_only,with_cost,FLAT,HOLD,0,0.4258114412798942,0.4480345648700728,0.7300000000000002,,True,"{""model_dir"": ""models/lightgbm/candle_extended/btc"", ""tree_device"": ""cpu""}",0.0,0.0,0.0,-0.0026390140301196,-0.0026425023661753,-0.0,-0.0,1.0,1.0
2024-10-01 18:00:00+00:00,BTC,LightGBM,candle_extended,long_only,with_cost,FLAT,HOLD,0,0.5553567507840904,0.4348070775523455,0.7300000000000002,,True,"{""model_dir"": ""models/lightgbm/candle_extended/btc"", ""tree_device"": ""cpu""}",0.0,0.0,0.0,-0.0037424997555978,-0.0037495204298632,-0.0,-0.0,1.0,1.0
2024-10-01 19:00:00+00:00,BTC,LightGBM,candle_extended,long_only,with_cost,FLAT,HOLD,0,0.5405815283979913,0.4136831410891101,0.7300000000000002,,True,"{""model_dir"": ""models/lightgbm/candle_extended/btc"", ""tree_device"": ""cpu""}",0.0,0.0,0.0,-0.0153338971652789,-0.0154526771710818,-0.0,-0.0,1.0,1.0
2024-10-01 20:00:00+00:00,BTC,LightGBM,candle_extended,long_only,with_cost,FLAT,HOLD,0,0.5446047222067979,0.4769697431511709,0.7300000000000002,,True,"{""model_dir"": ""models/lightgbm/candle_extended/btc"", ""tree_device"": ""cpu""}",0.0,0.0,0.0,0.0054756670185331,0.0054607300556326,0.0,0.0,1.0,1.0
2024-10-01 21:00:00+00:00,BTC,LightGBM,candle_extended,long_only,with_cost,FLAT,HOLD,0,0.44056318879900314,0.4059094909373039,0.7300000000000002,,True,"{""model_dir"": ""models/lightgbm/candle_extended/btc"", ""tree_device"": ""cpu""}",0.0,0.0,0.0,-0.0061169081809557,-0.0061356931067565,-0.0,-0.0,1.0,1.0
2024-10-01 22:00:00+00:00,BTC,LightGBM,candle_extended,long_only,with_cost,FLAT,HOLD,0,0.4994975387367748,0.4509082148557869,0.7300000000000002,,True,"{""model_dir"": ""models/lightgbm/candle_extended/btc"", ""tree_device"": ""cpu""}",0.0,0.0,0.0,0.0006075566087413,0.0006073721209456,0.0,0.0,1.0,1.0
2024-10-01 23:00:00+00:00,BTC,LightGBM,candle_extended,long_only,with_cost,FLAT,HOLD,0,0.5876676412931026,0.3853948251992069,0.7300000000000002,,True,"{""model_dir"": ""models/lightgbm/candle_extended/btc"", ""tree_device"": ""cpu""}",0.0,0.0,0.0,0.003969251172438,0.0039613944782692,0.0,0.0,1.0,1.0
2024-10-02 00:00:00+00:00,BTC,LightGBM,candle_extended,long_only,with_cost,FLAT,HOLD,0,0.41682377095043605,0.6243366160007279,0.7300000000000002,,True,"{""model_dir"": ""models/lightgbm/candle_extended/btc"", ""tree_device"": ""cpu""}",0.0,0.0,0.0,0.0078075204267189,0.0077771994579105,0.0,0.0,1.0,1.0
2024-10-02 01:00:00+00:00,BTC,LightGBM,candle_extended,long_only,with_cost,FLAT,HOLD,0,0.4314512004404842,0.448466114933465,0.7300000000000002,,True,"{""model_dir"": ""models/lightgbm/candle_extended/btc"", ""tree_device"": ""cpu""}",0.0,0.0,0.0,0.0042260693540241,0.004217164602182,0.0,0.0,1.0,1.0
