datetime,asset,model,feature_set,strategy_mode,cost_regime,signal,trade_action,is_trade_event,y_prob,position,position_change,transaction_cost,raw_return,gross_return,net_return,gross_equity_curve,net_equity_curve
2024-10-03 07:00:00+00:00,SOL,LSTM,ohlc_raw,long_only,with_cost,FLAT,HOLD,0,0.49718982,0.0,0.0,0.0,-0.0270173683081981,-0.0,-0.0,1.0,1.0
2024-10-03 08:00:00+00:00,SOL,LSTM,ohlc_raw,long_only,with_cost,LONG,OPEN_LONG,1,0.5045088,1.0,1.0,0.00035,0.0087416440167487,0.0087416440167487,0.0083916440167487,1.0087416440167487,1.0083916440167486
2024-10-03 09:00:00+00:00,SOL,LSTM,ohlc_raw,long_only,with_cost,LONG,HOLD,0,0.5025469,1.0,0.0,0.0,0.0069181473929509,0.0069181473929509,0.0069181473929509,1.0157202673914643,1.0153678460398765
2024-10-03 10:00:00+00:00,SOL,LSTM,ohlc_raw,long_only,with_cost,LONG,HOLD,0,0.5046986,1.0,0.0,0.0,-0.0101974397917118,-0.0101974397917118,-0.0101974397917118,1.0053625211195183,1.0050136935634448
2024-10-03 11:00:00+00:00,SOL,LSTM,ohlc_raw,long_only,with_cost,LONG,HOLD,0,0.503595,1.0,0.0,0.0,-0.005480052608505,-0.005480052608505,-0.005480052608505,0.9998530816131641,0.9995061656504491
2024-10-03 12:00:00+00:00,SOL,LSTM,ohlc_raw,long_only,with_cost,LONG,HOLD,0,0.50241625,1.0,0.0,0.0,0.0061714789508484,0.0061714789508484,0.0061714789508484,1.0060236538602807,1.005674596913004
2024-10-03 13:00:00+00:00,SOL,LSTM,ohlc_raw,long_only,with_cost,LONG,HOLD,0,0.501146,1.0,0.0,0.0,-0.0156261409273456,-0.0156261409273456,-0.0156261409273456,0.9903033864688168,0.98995978393459
2024-10-03 14:00:00+00:00,SOL,LSTM,ohlc_raw,long_only,with_cost,LONG,HOLD,0,0.50197923,1.0,0.0,0.0,0.0057117424523402,0.0057117424523402,0.0057117424523402,0.9959597443620071,0.9956141792585989
2024-10-03 15:00:00+00:00,SOL,LSTM,ohlc_raw,long_only,with_cost,FLAT,CLOSE_LONG,1,0.4963459,0.0,1.0,0.00035,-0.0041304027142646,-0.0,-0.00035,0.9959597443620071,0.9952657142958584
2024-10-03 16:00:00+00:00,SOL,LSTM,ohlc_raw,long_only,with_cost,FLAT,HOLD,0,0.4971831,0.0,0.0,0.0,0.0069619315656939,0.0,0.0,0.9959597443620071,0.9952657142958584
2024-10-03 17:00:00+00:00,SOL,LSTM,ohlc_raw,long_only,with_cost,FLAT,HOLD,0,0.49733037,0.0,0.0,0.0,0.0008090614886731,0.0,0.0,0.9959597443620071,0.9952657142958584
2024-10-03 18:00:00+00:00,SOL,LSTM,ohlc_raw,long_only,with_cost,LONG,OPEN_LONG,1,0.5002595,1.0,1.0,0.00035,0.0091129565664731,0.0091129565664731,0.0087629565664731,1.0050358822543337,1.003987184522333
2024-10-03 19:00:00+00:00,SOL,LSTM,ohlc_raw,long_only,with_cost,FLAT,CLOSE_LONG,1,0.49930167,0.0,1.0,0.00035,-0.0089578326414681,-0.0,-0.00035,1.0050358822543337,1.00363578900775
2024-10-03 20:00:00+00:00,SOL,LSTM,ohlc_raw,long_only,with_cost,LONG,OPEN_LONG,1,0.5013804,1.0,1.0,0.00035,0.0076425631981187,0.0076425631981187,0.0072925631981187004,1.0127169325008394,1.0109548664269827
2024-10-03 21:00:00+00:00,SOL,LSTM,ohlc_raw,long_only,with_cost,FLAT,CLOSE_LONG,1,0.49858326,0.0,1.0,0.00035,-0.0013856476079346,-0.0,-0.00035,1.0127169325008394,1.0106010322237333
2024-10-03 22:00:00+00:00,SOL,LSTM,ohlc_raw,long_only,with_cost,FLAT,HOLD,0,0.49708793,0.0,0.0,0.0,-0.0008763601840356,-0.0,-0.0,1.0127169325008394,1.0106010322237333
2024-10-03 23:00:00+00:00,SOL,LSTM,ohlc_raw,long_only,with_cost,FLAT,HOLD,0,0.49700126,0.0,0.0,0.0,-0.0060668079818727,-0.0,-0.0,1.0127169325008394,1.0106010322237333
2024-10-04 00:00:00+00:00,SOL,LSTM,ohlc_raw,long_only,with_cost,FLAT,HOLD,0,0.49618983,0.0,0.0,0.0,0.0159582291513458,0.0,0.0,1.0127169325008394,1.0106010322237333
2024-10-04 01:00:00+00:00,SOL,LSTM,ohlc_raw,long_only,with_cost,LONG,OPEN_LONG,1,0.50154483,1.0,1.0,0.00035,-0.0039811798769454,-0.0039811798769454,-0.004331179876945399,1.0086851242281252,1.0062239373693456
2024-10-04 02:00:00+00:00,SOL,LSTM,ohlc_raw,long_only,with_cost,LONG,HOLD,0,0.50243986,1.0,0.0,0.0,-0.0018895348837209,-0.0018895348837209,-0.0018895348837209,1.0067791784992057,1.0043226421388511
2024-10-04 03:00:00+00:00,SOL,LSTM,ohlc_raw,long_only,with_cost,FLAT,CLOSE_LONG,1,0.49798357,0.0,1.0,0.00035,0.0028396679772826,0.0,-0.00035,1.0067791784992057,1.0039711292141025
2024-10-04 04:00:00+00:00,SOL,LSTM,ohlc_raw,long_only,with_cost,FLAT,HOLD,0,0.49635464,0.0,0.0,0.0,0.0111812967399986,0.0,0.0,1.0067791784992057,1.0039711292141025
2024-10-04 05:00:00+00:00,SOL,LSTM,ohlc_raw,long_only,with_cost,FLAT,HOLD,0,0.49867314,0.0,0.0,0.0,-0.0056724348388024,-0.0,-0.0,1.0067791784992057,1.0039711292141025
2024-10-04 06:00:00+00:00,SOL,LSTM,ohlc_raw,long_only,with_cost,FLAT,HOLD,0,0.4993336,0.0,0.0,0.0,0.0077267475447719,0.0,0.0,1.0067791784992057,1.0039711292141025
2024-10-04 07:00:00+00:00,SOL,LSTM,ohlc_raw,long_only,with_cost,FLAT,HOLD,0,0.49839127,0.0,0.0,0.0,0.0035112862773198,0.0,0.0,1.0067791784992057,1.0039711292141025
2024-10-04 08:00:00+00:00,SOL,LSTM,ohlc_raw,long_only,with_cost,LONG,OPEN_LONG,1,0.5034221,1.0,1.0,0.00035,-0.0019994287346472,-0.0019994287346472,-0.0023494287346472,1.00476619528027,1.0016123705943707
2024-10-04 09:00:00+00:00,SOL,LSTM,ohlc_raw,long_only,with_cost,LONG,HOLD,0,0.5014038,1.0,0.0,0.0,-0.0022180881511162,-0.0022180881511162,-0.0022180881511162,1.0025375352878767,0.9993907060631438
2024-10-04 10:00:00+00:00,SOL,LSTM,ohlc_raw,long_only,with_cost,FLAT,CLOSE_LONG,1,0.4966362,0.0,1.0,0.00035,0.0047328791681608,0.0,-0.00035,1.0025375352878767,0.9990409193160218
2024-10-04 11:00:00+00:00,SOL,LSTM,ohlc_raw,long_only,with_cost,FLAT,HOLD,0,0.4939835,0.0,0.0,0.0,0.0154164584968952,0.0,0.0,1.0025375352878767,0.9990409193160218
2024-10-04 12:00:00+00:00,SOL,LSTM,ohlc_raw,long_only,with_cost,LONG,OPEN_LONG,1,0.5041723,1.0,1.0,0.00035,-0.0078723553806143,-0.0078723553806143,-0.0082223553806143,0.9946452035276854,0.9908264498376298
2024-10-04 13:00:00+00:00,SOL,LSTM,ohlc_raw,long_only,with_cost,LONG,HOLD,0,0.50533754,1.0,0.0,0.0,-0.0091392136025504,-0.0091392136025504,-0.0091392136025504,0.9855549285538936,0.981771075269507
2024-10-04 14:00:00+00:00,SOL,LSTM,ohlc_raw,long_only,with_cost,LONG,HOLD,0,0.50734705,1.0,0.0,0.0,0.0184470184470182,0.0184470184470182,0.0184470184470182,1.003735478501477,0.9998818244057526
2024-10-04 15:00:00+00:00,SOL,LSTM,ohlc_raw,long_only,with_cost,LONG,HOLD,0,0.5060945,1.0,0.0,0.0,0.009828699803426,0.009828699803426,0.009828699803426,1.0136008932017162,1.0097093626967386
2024-10-04 16:00:00+00:00,SOL,LSTM,ohlc_raw,long_only,with_cost,LONG,HOLD,0,0.5046978,1.0,0.0,0.0,-0.0070216907675193,-0.0070216907675193,-0.0070216907675193,1.0064837011679724,1.002619495786813
2024-10-04 17:00:00+00:00,SOL,LSTM,ohlc_raw,long_only,with_cost,LONG,HOLD,0,0.50118065,1.0,0.0,0.0,0.0075614366729677,0.0075614366729677,0.0075614366729677,1.0140941639367282,1.010200739611288
2024-10-04 18:00:00+00:00,SOL,LSTM,ohlc_raw,long_only,with_cost,FLAT,CLOSE_LONG,1,0.49837598,0.0,1.0,0.00035,-0.0001389757487318,-0.0,-0.00035,1.0140941639367282,1.009847169352424
2024-10-04 19:00:00+00:00,SOL,LSTM,ohlc_raw,long_only,with_cost,FLAT,HOLD,0,0.49616224,0.0,0.0,0.0,-0.0012509555910763,-0.0,-0.0,1.0140941639367282,1.009847169352424
2024-10-04 20:00:00+00:00,SOL,LSTM,ohlc_raw,long_only,with_cost,FLAT,HOLD,0,0.4950481,0.0,0.0,0.0,-0.0009741841207989,-0.0,-0.0,1.0140941639367282,1.009847169352424
2024-10-04 21:00:00+00:00,SOL,LSTM,ohlc_raw,long_only,with_cost,FLAT,HOLD,0,0.49366167,0.0,0.0,0.0,-0.0044577557985651,-0.0,-0.0,1.0140941639367282,1.009847169352424
2024-10-04 22:00:00+00:00,SOL,LSTM,ohlc_raw,long_only,with_cost,FLAT,HOLD,0,0.49316546,0.0,0.0,0.0,0.0021688938641293,0.0,0.0,1.0140941639367282,1.009847169352424
2024-10-04 23:00:00+00:00,SOL,LSTM,ohlc_raw,long_only,with_cost,FLAT,HOLD,0,0.49219936,0.0,0.0,0.0,0.0053057805082379,0.0,0.0,1.0140941639367282,1.009847169352424
2024-10-05 00:00:00+00:00,SOL,LSTM,ohlc_raw,long_only,with_cost,FLAT,HOLD,0,0.49174333,0.0,0.0,0.0,-0.0030555555555555,-0.0,-0.0,1.0140941639367282,1.009847169352424
2024-10-05 01:00:00+00:00,SOL,LSTM,ohlc_raw,long_only,with_cost,FLAT,HOLD,0,0.49537277,0.0,0.0,0.0,-0.0082892170521036,-0.0,-0.0,1.0140941639367282,1.009847169352424
2024-10-05 02:00:00+00:00,SOL,LSTM,ohlc_raw,long_only,with_cost,FLAT,HOLD,0,0.4958408,0.0,0.0,0.0,-0.0037929339046146,-0.0,-0.0,1.0140941639367282,1.009847169352424
2024-10-05 03:00:00+00:00,SOL,LSTM,ohlc_raw,long_only,with_cost,FLAT,HOLD,0,0.49532574,0.0,0.0,0.0,0.0037368680815059,0.0,0.0,1.0140941639367282,1.009847169352424
2024-10-05 04:00:00+00:00,SOL,LSTM,ohlc_raw,long_only,with_cost,FLAT,HOLD,0,0.49495056,0.0,0.0,0.0,0.0081483562798538,0.0,0.0,1.0140941639367282,1.009847169352424
2024-10-05 05:00:00+00:00,SOL,LSTM,ohlc_raw,long_only,with_cost,FLAT,HOLD,0,0.49475613,0.0,0.0,0.0,0.0058528428093644,0.0,0.0,1.0140941639367282,1.009847169352424
2024-10-05 06:00:00+00:00,SOL,LSTM,ohlc_raw,long_only,with_cost,FLAT,HOLD,0,0.49459997,0.0,0.0,0.0,-0.0038791909116099,-0.0,-0.0,1.0140941639367282,1.009847169352424
2024-10-05 07:00:00+00:00,SOL,LSTM,ohlc_raw,long_only,with_cost,FLAT,HOLD,0,0.4946127,0.0,0.0,0.0,0.004798331015299,0.0,0.0,1.0140941639367282,1.009847169352424
2024-10-05 08:00:00+00:00,SOL,LSTM,ohlc_raw,long_only,with_cost,FLAT,HOLD,0,0.4947201,0.0,0.0,0.0,0.0015918056612913,0.0,0.0,1.0140941639367282,1.009847169352424
2024-10-05 09:00:00+00:00,SOL,LSTM,ohlc_raw,long_only,with_cost,FLAT,HOLD,0,0.49455193,0.0,0.0,0.0,-0.0049751243781094,-0.0,-0.0,1.0140941639367282,1.009847169352424
2024-10-05 10:00:00+00:00,SOL,LSTM,ohlc_raw,long_only,with_cost,FLAT,HOLD,0,0.49382383,0.0,0.0,0.0,-0.0038194444444444,-0.0,-0.0,1.0140941639367282,1.009847169352424
2024-10-05 11:00:00+00:00,SOL,LSTM,ohlc_raw,long_only,with_cost,FLAT,HOLD,0,0.4929179,0.0,0.0,0.0,0.0045311955385152,0.0,0.0,1.0140941639367282,1.009847169352424
2024-10-05 12:00:00+00:00,SOL,LSTM,ohlc_raw,long_only,with_cost,FLAT,HOLD,0,0.4924926,0.0,0.0,0.0,-0.0090909090909091,-0.0,-0.0,1.0140941639367282,1.009847169352424
2024-10-05 13:00:00+00:00,SOL,LSTM,ohlc_raw,long_only,with_cost,FLAT,HOLD,0,0.49335086,0.0,0.0,0.0,0.0024511520414594,0.0,0.0,1.0140941639367282,1.009847169352424
2024-10-05 14:00:00+00:00,SOL,LSTM,ohlc_raw,long_only,with_cost,FLAT,HOLD,0,0.49450946,0.0,0.0,0.0,-0.0017465418471426,-0.0,-0.0,1.0140941639367282,1.009847169352424
2024-10-05 15:00:00+00:00,SOL,LSTM,ohlc_raw,long_only,with_cost,FLAT,HOLD,0,0.49339864,0.0,0.0,0.0,-0.0047589054517459,-0.0,-0.0,1.0140941639367282,1.009847169352424
2024-10-05 16:00:00+00:00,SOL,LSTM,ohlc_raw,long_only,with_cost,FLAT,HOLD,0,0.49443054,0.0,0.0,0.0,0.0035159271499893,0.0,0.0,1.0140941639367282,1.009847169352424
2024-10-05 17:00:00+00:00,SOL,LSTM,ohlc_raw,long_only,with_cost,FLAT,HOLD,0,0.49436396,0.0,0.0,0.0,-0.002943031322262,-0.0,-0.0,1.0140941639367282,1.009847169352424
2024-10-05 18:00:00+00:00,SOL,LSTM,ohlc_raw,long_only,with_cost,FLAT,HOLD,0,0.49344066,0.0,0.0,0.0,-0.0008433480919249,-0.0,-0.0,1.0140941639367282,1.009847169352424
2024-10-05 19:00:00+00:00,SOL,LSTM,ohlc_raw,long_only,with_cost,FLAT,HOLD,0,0.4929276,0.0,0.0,0.0,-0.0073151860448757,-0.0,-0.0,1.0140941639367282,1.009847169352424
2024-10-05 20:00:00+00:00,SOL,LSTM,ohlc_raw,long_only,with_cost,FLAT,HOLD,0,0.49458873,0.0,0.0,0.0,0.0038971161340608,0.0,0.0,1.0140941639367282,1.009847169352424
2024-10-05 21:00:00+00:00,SOL,LSTM,ohlc_raw,long_only,with_cost,FLAT,HOLD,0,0.4944595,0.0,0.0,0.0,0.0090344438170524,0.0,0.0,1.0140941639367282,1.009847169352424
2024-10-05 22:00:00+00:00,SOL,LSTM,ohlc_raw,long_only,with_cost,FLAT,HOLD,0,0.49434435,0.0,0.0,0.0,-0.0025881365416899,-0.0,-0.0,1.0140941639367282,1.009847169352424
2024-10-05 23:00:00+00:00,SOL,LSTM,ohlc_raw,long_only,with_cost,FLAT,HOLD,0,0.49255705,0.0,0.0,0.0,-0.002103934357248,-0.0,-0.0,1.0140941639367282,1.009847169352424
2024-10-06 00:00:00+00:00,SOL,LSTM,ohlc_raw,long_only,with_cost,FLAT,HOLD,0,0.49246782,0.0,0.0,0.0,0.0084334809192494,0.0,0.0,1.0140941639367282,1.009847169352424
2024-10-06 01:00:00+00:00,SOL,LSTM,ohlc_raw,long_only,with_cost,FLAT,HOLD,0,0.49282452,0.0,0.0,0.0,-0.0022301205658932,-0.0,-0.0,1.0140941639367282,1.009847169352424
2024-10-06 02:00:00+00:00,SOL,LSTM,ohlc_raw,long_only,with_cost,FLAT,HOLD,0,0.49223223,0.0,0.0,0.0,-0.0033526576796814,-0.0,-0.0,1.0140941639367282,1.009847169352424
2024-10-06 03:00:00+00:00,SOL,LSTM,ohlc_raw,long_only,with_cost,FLAT,HOLD,0,0.4918998,0.0,0.0,0.0,-0.0021024598780574,-0.0,-0.0,1.0140941639367282,1.009847169352424
2024-10-06 04:00:00+00:00,SOL,LSTM,ohlc_raw,long_only,with_cost,FLAT,HOLD,0,0.49088717,0.0,0.0,0.0,0.0016152819720487,0.0,0.0,1.0140941639367282,1.009847169352424
2024-10-06 05:00:00+00:00,SOL,LSTM,ohlc_raw,long_only,with_cost,FLAT,HOLD,0,0.49000248,0.0,0.0,0.0,0.0029448885149347,0.0,0.0,1.0140941639367282,1.009847169352424
2024-10-06 06:00:00+00:00,SOL,LSTM,ohlc_raw,long_only,with_cost,FLAT,HOLD,0,0.48931777,0.0,0.0,0.0,-0.0005592841163309,-0.0,-0.0,1.0140941639367282,1.009847169352424
2024-10-06 07:00:00+00:00,SOL,LSTM,ohlc_raw,long_only,with_cost,FLAT,HOLD,0,0.48880577,0.0,0.0,0.0,0.002518186905428,0.0,0.0,1.0140941639367282,1.009847169352424
2024-10-06 08:00:00+00:00,SOL,LSTM,ohlc_raw,long_only,with_cost,FLAT,HOLD,0,0.48918357,0.0,0.0,0.0,0.0031398269606475,0.0,0.0,1.0140941639367282,1.009847169352424
2024-10-06 09:00:00+00:00,SOL,LSTM,ohlc_raw,long_only,with_cost,FLAT,HOLD,0,0.4917953,0.0,0.0,0.0,-0.0015997774222717,-0.0,-0.0,1.0140941639367282,1.009847169352424
2024-10-06 10:00:00+00:00,SOL,LSTM,ohlc_raw,long_only,with_cost,FLAT,HOLD,0,0.49080297,0.0,0.0,0.0,0.0033440156054063,0.0,0.0,1.0140941639367282,1.009847169352424
