datetime,asset,model,feature_set,strategy_mode,cost_regime,signal,trade_action,is_trade_event,y_prob,position,position_change,transaction_cost,raw_return,gross_return,net_return,gross_equity_curve,net_equity_curve
2024-10-03 07:00:00+00:00,ETH,MLP,candle_extended,long_only,with_cost,LONG,OPEN_LONG,1,0.6271154,1.0,1.0,0.00035,-0.0114773856596113,-0.0114773856596113,-0.011827385659611299,0.9885226143403887,0.9881726143403887
2024-10-03 08:00:00+00:00,ETH,MLP,candle_extended,long_only,with_cost,LONG,HOLD,0,0.70774335,1.0,0.0,0.0,0.0065283143173717,0.0065283143173717,0.0065283143173717,0.9949760006766328,0.9946237157666218
2024-10-03 09:00:00+00:00,ETH,MLP,candle_extended,long_only,with_cost,FLAT,CLOSE_LONG,1,0.5550043,0.0,1.0,0.00035,0.0067154885517921,0.0,-0.00035,0.9949760006766328,0.9942755974661035
2024-10-03 10:00:00+00:00,ETH,MLP,candle_extended,long_only,with_cost,FLAT,HOLD,0,0.51827776,0.0,0.0,0.0,-0.0068480137804668,-0.0,-0.0,0.9949760006766328,0.9942755974661035
2024-10-03 11:00:00+00:00,ETH,MLP,candle_extended,long_only,with_cost,LONG,OPEN_LONG,1,0.6353329,1.0,1.0,0.00035,-4.251068080773912e-06,-4.251068080773912e-06,-0.0003542510680807739,0.9949717709659153,0.9939233742737346
2024-10-03 12:00:00+00:00,ETH,MLP,candle_extended,long_only,with_cost,FLAT,CLOSE_LONG,1,0.55867916,0.0,1.0,0.00035,-0.002142547420866,-0.0,-0.00035,0.9949717709659153,0.9935755010927388
2024-10-03 13:00:00+00:00,ETH,MLP,candle_extended,long_only,with_cost,FLAT,HOLD,0,0.524427,0.0,0.0,0.0,-0.0126741362416393,-0.0,-0.0,0.9949717709659153,0.9935755010927388
2024-10-03 14:00:00+00:00,ETH,MLP,candle_extended,long_only,with_cost,LONG,OPEN_LONG,1,0.56221706,1.0,1.0,0.00035,0.0099458479860194,0.0099458479860194,0.009595847986019401,1.0048676089503228,1.0031097005638578
2024-10-03 15:00:00+00:00,ETH,MLP,candle_extended,long_only,with_cost,LONG,HOLD,0,0.58558226,1.0,0.0,0.0,-0.0067076817909936,-0.0067076817909936,-0.0067076817909936,0.9981272767874074,0.9963811598910166
2024-10-03 16:00:00+00:00,ETH,MLP,candle_extended,long_only,with_cost,LONG,HOLD,0,0.61177397,1.0,0.0,0.0,0.008142285689707,0.008142285689707,0.008142285689707,1.0062543142296998,1.004493979950691
2024-10-03 17:00:00+00:00,ETH,MLP,candle_extended,long_only,with_cost,LONG,HOLD,0,0.59758425,1.0,0.0,0.0,0.0001322621521184,0.0001322621521184,0.0001322621521184,1.0063874035908784,1.0046268364862692
2024-10-03 18:00:00+00:00,ETH,MLP,candle_extended,long_only,with_cost,FLAT,CLOSE_LONG,1,0.4946925,0.0,1.0,0.00035,0.0039972015323317,0.0,-0.00035,1.0063874035908784,1.004275217093499
2024-10-03 19:00:00+00:00,ETH,MLP,candle_extended,long_only,with_cost,FLAT,HOLD,0,0.48654214,0.0,0.0,0.0,-0.0049033146236898,-0.0,-0.0,1.0063874035908784,1.004275217093499
2024-10-03 20:00:00+00:00,ETH,MLP,candle_extended,long_only,with_cost,LONG,OPEN_LONG,1,0.60358995,1.0,1.0,0.00035,0.0036080735449217,0.0036080735449217,0.0032580735449217,1.0100185233577172,1.0075472196101318
2024-10-03 21:00:00+00:00,ETH,MLP,candle_extended,long_only,with_cost,LONG,HOLD,0,0.562617,1.0,0.0,0.0,0.000706256754112,0.000706256754112,0.000706256754112,1.010731855761617,1.0082588066390683
2024-10-03 22:00:00+00:00,ETH,MLP,candle_extended,long_only,with_cost,FLAT,CLOSE_LONG,1,0.49857837,0.0,1.0,0.00035,-0.0009693547838507,-0.0,-0.00035,1.010731855761617,1.0079059160567447
2024-10-03 23:00:00+00:00,ETH,MLP,candle_extended,long_only,with_cost,FLAT,HOLD,0,0.43929958,0.0,0.0,0.0,-0.0040131074985105,-0.0,-0.0,1.010731855761617,1.0079059160567447
2024-10-04 00:00:00+00:00,ETH,MLP,candle_extended,long_only,with_cost,FLAT,HOLD,0,0.5569028,0.0,0.0,0.0,0.0158906497690536,0.0,0.0,1.010731855761617,1.0079059160567447
2024-10-04 01:00:00+00:00,ETH,MLP,candle_extended,long_only,with_cost,FLAT,HOLD,0,0.49897194,0.0,0.0,0.0,-0.0030072847793536,-0.0,-0.0,1.010731855761617,1.0079059160567447
2024-10-04 02:00:00+00:00,ETH,MLP,candle_extended,long_only,with_cost,FLAT,HOLD,0,0.45287368,0.0,0.0,0.0,-0.00140903894263,-0.0,-0.0,1.010731855761617,1.0079059160567447
2024-10-04 03:00:00+00:00,ETH,MLP,candle_extended,long_only,with_cost,FLAT,HOLD,0,0.52968735,0.0,0.0,0.0,0.0030206119802116,0.0,0.0,1.010731855761617,1.0079059160567447
2024-10-04 04:00:00+00:00,ETH,MLP,candle_extended,long_only,with_cost,FLAT,HOLD,0,0.5414052,0.0,0.0,0.0,0.0038412615511622,0.0,0.0,1.010731855761617,1.0079059160567447
2024-10-04 05:00:00+00:00,ETH,MLP,candle_extended,long_only,with_cost,FLAT,HOLD,0,0.52221763,0.0,0.0,0.0,-0.0035160740809117,-0.0,-0.0,1.010731855761617,1.0079059160567447
2024-10-04 06:00:00+00:00,ETH,MLP,candle_extended,long_only,with_cost,LONG,OPEN_LONG,1,0.62134427,1.0,1.0,0.00035,0.0027958365614577,0.0027958365614577,0.0024458365614577,1.0135576968377853,1.010371089196746
2024-10-04 07:00:00+00:00,ETH,MLP,candle_extended,long_only,with_cost,FLAT,CLOSE_LONG,1,0.51573086,0.0,1.0,0.00035,-3.7789721195724546e-05,-0.0,-0.00035,1.0135576968377853,1.010017459315527
2024-10-04 08:00:00+00:00,ETH,MLP,candle_extended,long_only,with_cost,FLAT,HOLD,0,0.52576476,0.0,0.0,0.0,-0.0018307712333771,-0.0,-0.0,1.0135576968377853,1.010017459315527
2024-10-04 09:00:00+00:00,ETH,MLP,candle_extended,long_only,with_cost,FLAT,HOLD,0,0.5021387,0.0,0.0,0.0,-0.0008329301895126,-0.0,-0.0,1.0135576968377853,1.010017459315527
