datetime,asset,model,feature_set,strategy_mode,cost_regime,signal,trade_action,is_trade_event,y_prob,position,position_change,transaction_cost,raw_return,gross_return,net_return,gross_equity_curve,net_equity_curve
2024-10-03 07:00:00+00:00,ETH,MLP,candle_raw,long_only,with_cost,LONG,OPEN_LONG,1,0.6431388,1.0,1.0,0.00035,-0.0114773856596113,-0.0114773856596113,-0.011827385659611299,0.9885226143403887,0.9881726143403887
2024-10-03 08:00:00+00:00,ETH,MLP,candle_raw,long_only,with_cost,LONG,HOLD,0,0.7109455,1.0,0.0,0.0,0.0065283143173717,0.0065283143173717,0.0065283143173717,0.9949760006766328,0.9946237157666218
2024-10-03 09:00:00+00:00,ETH,MLP,candle_raw,long_only,with_cost,LONG,HOLD,0,0.6420216,1.0,0.0,0.0,0.0067154885517921,0.0067154885517921,0.0067154885517921,1.0016577506184847,1.0013030999431936
2024-10-03 10:00:00+00:00,ETH,MLP,candle_raw,long_only,with_cost,FLAT,CLOSE_LONG,1,0.6066357,0.0,1.0,0.00035,-0.0068480137804668,-0.0,-0.00035,1.0016577506184847,1.0009526438582135
2024-10-03 11:00:00+00:00,ETH,MLP,candle_raw,long_only,with_cost,FLAT,HOLD,0,0.60660356,0.0,0.0,0.0,-4.251068080773912e-06,-0.0,-0.0,1.0016577506184847,1.0009526438582135
2024-10-03 12:00:00+00:00,ETH,MLP,candle_raw,long_only,with_cost,FLAT,HOLD,0,0.4966309,0.0,0.0,0.0,-0.002142547420866,-0.0,-0.0,1.0016577506184847,1.0009526438582135
2024-10-03 13:00:00+00:00,ETH,MLP,candle_raw,long_only,with_cost,FLAT,HOLD,0,0.56445247,0.0,0.0,0.0,-0.0126741362416393,-0.0,-0.0,1.0016577506184847,1.0009526438582135
2024-10-03 14:00:00+00:00,ETH,MLP,candle_raw,long_only,with_cost,FLAT,HOLD,0,0.54129267,0.0,0.0,0.0,0.0099458479860194,0.0,0.0,1.0016577506184847,1.0009526438582135
2024-10-03 15:00:00+00:00,ETH,MLP,candle_raw,long_only,with_cost,LONG,OPEN_LONG,1,0.6274708,1.0,1.0,0.00035,-0.0067076817909936,-0.0067076817909936,-0.007057681790993599,0.9949389491638535,0.9938882386100084
2024-10-03 16:00:00+00:00,ETH,MLP,candle_raw,long_only,with_cost,FLAT,CLOSE_LONG,1,0.48283502,0.0,1.0,0.00035,0.008142285689707,0.0,-0.00035,0.9949389491638535,0.993540377726495
2024-10-03 17:00:00+00:00,ETH,MLP,candle_raw,long_only,with_cost,FLAT,HOLD,0,0.51972455,0.0,0.0,0.0,0.0001322621521184,0.0,0.0,0.9949389491638535,0.993540377726495
2024-10-03 18:00:00+00:00,ETH,MLP,candle_raw,long_only,with_cost,FLAT,HOLD,0,0.50574,0.0,0.0,0.0,0.0039972015323317,0.0,0.0,0.9949389491638535,0.993540377726495
2024-10-03 19:00:00+00:00,ETH,MLP,candle_raw,long_only,with_cost,FLAT,HOLD,0,0.48745275,0.0,0.0,0.0,-0.0049033146236898,-0.0,-0.0,0.9949389491638535,0.993540377726495
2024-10-03 20:00:00+00:00,ETH,MLP,candle_raw,long_only,with_cost,FLAT,HOLD,0,0.4988187,0.0,0.0,0.0,0.0036080735449217,0.0,0.0,0.9949389491638535,0.993540377726495
2024-10-03 21:00:00+00:00,ETH,MLP,candle_raw,long_only,with_cost,FLAT,HOLD,0,0.5132409,0.0,0.0,0.0,0.000706256754112,0.0,0.0,0.9949389491638535,0.993540377726495
2024-10-03 22:00:00+00:00,ETH,MLP,candle_raw,long_only,with_cost,FLAT,HOLD,0,0.48974234,0.0,0.0,0.0,-0.0009693547838507,-0.0,-0.0,0.9949389491638535,0.993540377726495
2024-10-03 23:00:00+00:00,ETH,MLP,candle_raw,long_only,with_cost,FLAT,HOLD,0,0.56000215,0.0,0.0,0.0,-0.0040131074985105,-0.0,-0.0,0.9949389491638535,0.993540377726495
2024-10-04 00:00:00+00:00,ETH,MLP,candle_raw,long_only,with_cost,LONG,OPEN_LONG,1,0.68671465,1.0,1.0,0.00035,0.0158906497690536,0.0158906497690536,0.015540649769053599,1.0107491755466065,1.0089806407681556
2024-10-04 01:00:00+00:00,ETH,MLP,candle_raw,long_only,with_cost,FLAT,CLOSE_LONG,1,0.590339,0.0,1.0,0.00035,-0.0030072847793536,-0.0,-0.00035,1.0107491755466065,1.008627497543887
2024-10-04 02:00:00+00:00,ETH,MLP,candle_raw,long_only,with_cost,FLAT,HOLD,0,0.59782964,0.0,0.0,0.0,-0.00140903894263,-0.0,-0.0,1.0107491755466065,1.008627497543887
2024-10-04 03:00:00+00:00,ETH,MLP,candle_raw,long_only,with_cost,LONG,OPEN_LONG,1,0.63444024,1.0,1.0,0.00035,0.0030206119802116,0.0030206119802116,0.0026706119802116,1.0138022566152516,1.0113211502223984
2024-10-04 04:00:00+00:00,ETH,MLP,candle_raw,long_only,with_cost,LONG,HOLD,0,0.63492393,1.0,0.0,0.0,0.0038412615511622,0.0038412615511622,0.0038412615511622,1.0176965362440693,1.015205899272625
2024-10-04 05:00:00+00:00,ETH,MLP,candle_raw,long_only,with_cost,LONG,HOLD,0,0.65722215,1.0,0.0,0.0,-0.0035160740809117,-0.0035160740809117,-0.0035160740809117,1.014118239830748,1.0116363601234037
2024-10-04 06:00:00+00:00,ETH,MLP,candle_raw,long_only,with_cost,LONG,HOLD,0,0.6295737,1.0,0.0,0.0,0.0027958365614577,0.0027958365614577,0.0027958365614577,1.016953548683308,1.0144647300459368
2024-10-04 07:00:00+00:00,ETH,MLP,candle_raw,long_only,with_cost,FLAT,CLOSE_LONG,1,0.5271085,0.0,1.0,0.00035,-3.7789721195724546e-05,-0.0,-0.00035,1.016953548683308,1.0141096673904209
2024-10-04 08:00:00+00:00,ETH,MLP,candle_raw,long_only,with_cost,FLAT,HOLD,0,0.5459514,0.0,0.0,0.0,-0.0018307712333771,-0.0,-0.0,1.016953548683308,1.0141096673904209
2024-10-04 09:00:00+00:00,ETH,MLP,candle_raw,long_only,with_cost,LONG,OPEN_LONG,1,0.62718964,1.0,1.0,0.00035,-0.0008329301895126,-0.0008329301895126,-0.0011829301895126,1.0161064973712777,1.012910046449388
2024-10-04 10:00:00+00:00,ETH,MLP,candle_raw,long_only,with_cost,FLAT,CLOSE_LONG,1,0.5749552,0.0,1.0,0.00035,0.004643878122408,0.0,-0.00035,1.0161064973712777,1.0125555279331309
2024-10-04 11:00:00+00:00,ETH,MLP,candle_raw,long_only,with_cost,FLAT,HOLD,0,0.55856293,0.0,0.0,0.0,0.0046727013661889,0.0,0.0,1.0161064973712777,1.0125555279331309
2024-10-04 12:00:00+00:00,ETH,MLP,candle_raw,long_only,with_cost,FLAT,HOLD,0,0.5168184,0.0,0.0,0.0,-0.0078253071099337,-0.0,-0.0,1.0161064973712777,1.0125555279331309
2024-10-04 13:00:00+00:00,ETH,MLP,candle_raw,long_only,with_cost,FLAT,HOLD,0,0.5363602,0.0,0.0,0.0,-0.0047843470291223,-0.0,-0.0,1.0161064973712777,1.0125555279331309
2024-10-04 14:00:00+00:00,ETH,MLP,candle_raw,long_only,with_cost,FLAT,HOLD,0,0.5483621,0.0,0.0,0.0,0.0210754432433117,0.0,0.0,1.0161064973712777,1.0125555279331309
2024-10-04 15:00:00+00:00,ETH,MLP,candle_raw,long_only,with_cost,FLAT,HOLD,0,0.50380445,0.0,0.0,0.0,0.0068801456290596,0.0,0.0,1.0161064973712777,1.0125555279331309
2024-10-04 16:00:00+00:00,ETH,MLP,candle_raw,long_only,with_cost,FLAT,HOLD,0,0.46403673,0.0,0.0,0.0,-0.0075932827388411,-0.0,-0.0,1.0161064973712777,1.0125555279331309
2024-10-04 17:00:00+00:00,ETH,MLP,candle_raw,long_only,with_cost,FLAT,HOLD,0,0.51471806,0.0,0.0,0.0,0.0070137666908187,0.0,0.0,1.0161064973712777,1.0125555279331309
2024-10-04 18:00:00+00:00,ETH,MLP,candle_raw,long_only,with_cost,FLAT,HOLD,0,0.49180594,0.0,0.0,0.0,-0.0013526903736961,-0.0,-0.0,1.0161064973712777,1.0125555279331309
2024-10-04 19:00:00+00:00,ETH,MLP,candle_raw,long_only,with_cost,FLAT,HOLD,0,0.5744889,0.0,0.0,0.0,0.0001605665115895,0.0,0.0,1.0161064973712777,1.0125555279331309
2024-10-04 20:00:00+00:00,ETH,MLP,candle_raw,long_only,with_cost,FLAT,HOLD,0,0.46037322,0.0,0.0,0.0,-0.0020376323946502,-0.0,-0.0,1.0161064973712777,1.0125555279331309
2024-10-04 21:00:00+00:00,ETH,MLP,candle_raw,long_only,with_cost,FLAT,HOLD,0,0.50259185,0.0,0.0,0.0,-0.0014148180535734,-0.0,-0.0,1.0161064973712777,1.0125555279331309
2024-10-04 22:00:00+00:00,ETH,MLP,candle_raw,long_only,with_cost,LONG,OPEN_LONG,1,0.6118965,1.0,1.0,0.00035,-0.0026849407867289,-0.0026849407867289,-0.0030349407867289,1.0133783115928252,1.0094824818625787
2024-10-04 23:00:00+00:00,ETH,MLP,candle_raw,long_only,with_cost,LONG,HOLD,0,0.6479591,1.0,0.0,0.0,0.0044524335137776,0.0044524335137776,0.0044524335137776,1.0178903111494966,1.0139771354963951
2024-10-05 00:00:00+00:00,ETH,MLP,candle_raw,long_only,with_cost,FLAT,CLOSE_LONG,1,0.50482965,0.0,1.0,0.00035,-0.0029853700374407,-0.0,-0.00035,1.0178903111494966,1.0136222434989715
2024-10-05 01:00:00+00:00,ETH,MLP,candle_raw,long_only,with_cost,LONG,OPEN_LONG,1,0.6207322,1.0,1.0,0.00035,-0.0067578745367919,-0.0067578745367919,-0.007107874536791899,1.0110115361345322,1.0064175437644793
2024-10-05 02:00:00+00:00,ETH,MLP,candle_raw,long_only,with_cost,LONG,HOLD,0,0.6272367,1.0,0.0,0.0,-0.0008202933069062,-0.0008202933069062,-0.0008202933069062,1.010182210138236,1.0055919861893763
2024-10-05 03:00:00+00:00,ETH,MLP,candle_raw,long_only,with_cost,LONG,HOLD,0,0.6478052,1.0,0.0,0.0,0.0024837369405861,0.0024837369405861,0.0024837369405861,1.0126912370102794,1.0080896121526322
2024-10-05 04:00:00+00:00,ETH,MLP,candle_raw,long_only,with_cost,FLAT,CLOSE_LONG,1,0.58471775,0.0,1.0,0.00035,0.005146389421218,0.0,-0.00035,1.0126912370102794,1.0077367807883788
2024-10-05 05:00:00+00:00,ETH,MLP,candle_raw,long_only,with_cost,FLAT,HOLD,0,0.48594117,0.0,0.0,0.0,0.0026179201389608,0.0,0.0,1.0126912370102794,1.0077367807883788
2024-10-05 06:00:00+00:00,ETH,MLP,candle_raw,long_only,with_cost,FLAT,HOLD,0,0.49076998,0.0,0.0,0.0,-0.0037825663702213,-0.0,-0.0,1.0126912370102794,1.0077367807883788
2024-10-05 07:00:00+00:00,ETH,MLP,candle_raw,long_only,with_cost,FLAT,HOLD,0,0.59808296,0.0,0.0,0.0,0.0018881127567689,0.0,0.0,1.0126912370102794,1.0077367807883788
2024-10-05 08:00:00+00:00,ETH,MLP,candle_raw,long_only,with_cost,FLAT,HOLD,0,0.5653012,0.0,0.0,0.0,0.0022523732575101,0.0,0.0,1.0126912370102794,1.0077367807883788
2024-10-05 09:00:00+00:00,ETH,MLP,candle_raw,long_only,with_cost,FLAT,HOLD,0,0.48651424,0.0,0.0,0.0,-0.0024328693013129,-0.0,-0.0,1.0126912370102794,1.0077367807883788
2024-10-05 10:00:00+00:00,ETH,MLP,candle_raw,long_only,with_cost,FLAT,HOLD,0,0.4884286,0.0,0.0,0.0,-0.0008391134332552,-0.0,-0.0,1.0126912370102794,1.0077367807883788
2024-10-05 11:00:00+00:00,ETH,MLP,candle_raw,long_only,with_cost,FLAT,HOLD,0,0.5751182,0.0,0.0,0.0,0.0023167396853369,0.0,0.0,1.0126912370102794,1.0077367807883788
2024-10-05 12:00:00+00:00,ETH,MLP,candle_raw,long_only,with_cost,FLAT,HOLD,0,0.5572451,0.0,0.0,0.0,-0.0053161850593737,-0.0,-0.0,1.0126912370102794,1.0077367807883788
2024-10-05 13:00:00+00:00,ETH,MLP,candle_raw,long_only,with_cost,FLAT,HOLD,0,0.51787686,0.0,0.0,0.0,0.0018921868451517,0.0,0.0,1.0126912370102794,1.0077367807883788
