datetime,asset,model,feature_set,strategy_mode,cost_regime,signal,trade_action,is_trade_event,y_prob,position,position_change,transaction_cost,raw_return,gross_return,net_return,gross_equity_curve,net_equity_curve
2024-10-02 08:00:00+00:00,BTC,XGBoost,candle_extended,long_only,with_cost,FLAT,HOLD,0,0.46308982,0.0,0.0,0.0,-0.00865239480756,-0.0,-0.0,1.0,1.0
2024-10-02 09:00:00+00:00,BTC,XGBoost,candle_extended,long_only,with_cost,FLAT,HOLD,0,0.5931372,0.0,0.0,0.0,-0.0013541426613856,-0.0,-0.0,1.0,1.0
2024-10-02 10:00:00+00:00,BTC,XGBoost,candle_extended,long_only,with_cost,FLAT,HOLD,0,0.5957157,0.0,0.0,0.0,-0.0003964812209921,-0.0,-0.0,1.0,1.0
2024-10-02 11:00:00+00:00,BTC,XGBoost,candle_extended,long_only,with_cost,FLAT,HOLD,0,0.5592978,0.0,0.0,0.0,-0.0059709950344981,-0.0,-0.0,1.0,1.0
2024-10-02 12:00:00+00:00,BTC,XGBoost,candle_extended,long_only,with_cost,FLAT,HOLD,0,0.6233602,0.0,0.0,0.0,0.0090659684072711,0.0,0.0,1.0,1.0
2024-10-02 13:00:00+00:00,BTC,XGBoost,candle_extended,long_only,with_cost,FLAT,HOLD,0,0.51704085,0.0,0.0,0.0,-0.0044373268133659,-0.0,-0.0,1.0,1.0
2024-10-02 14:00:00+00:00,BTC,XGBoost,candle_extended,long_only,with_cost,FLAT,HOLD,0,0.60896194,0.0,0.0,0.0,0.0130364942924405,0.0,0.0,1.0,1.0
2024-10-02 15:00:00+00:00,BTC,XGBoost,candle_extended,long_only,with_cost,FLAT,HOLD,0,0.42336857,0.0,0.0,0.0,-0.0011959787316192,-0.0,-0.0,1.0,1.0
2024-10-02 16:00:00+00:00,BTC,XGBoost,candle_extended,long_only,with_cost,FLAT,HOLD,0,0.4303766,0.0,0.0,0.0,-0.0027831710706842,-0.0,-0.0,1.0,1.0
2024-10-02 17:00:00+00:00,BTC,XGBoost,candle_extended,long_only,with_cost,FLAT,HOLD,0,0.4855347,0.0,0.0,0.0,-0.0140505916059922,-0.0,-0.0,1.0,1.0
2024-10-02 18:00:00+00:00,BTC,XGBoost,candle_extended,long_only,with_cost,FLAT,HOLD,0,0.5379964,0.0,0.0,0.0,-0.0094152440419273,-0.0,-0.0,1.0,1.0
2024-10-02 19:00:00+00:00,BTC,XGBoost,candle_extended,long_only,with_cost,FLAT,HOLD,0,0.54284066,0.0,0.0,0.0,0.0121943824232624,0.0,0.0,1.0,1.0
2024-10-02 20:00:00+00:00,BTC,XGBoost,candle_extended,long_only,with_cost,FLAT,HOLD,0,0.6161566,0.0,0.0,0.0,-0.0015099142390377,-0.0,-0.0,1.0,1.0
2024-10-02 21:00:00+00:00,BTC,XGBoost,candle_extended,long_only,with_cost,FLAT,HOLD,0,0.5201925,0.0,0.0,0.0,0.0003245002630194,0.0,0.0,1.0,1.0
2024-10-02 22:00:00+00:00,BTC,XGBoost,candle_extended,long_only,with_cost,FLAT,HOLD,0,0.35417858,0.0,0.0,0.0,-0.0033272672235831,-0.0,-0.0,1.0,1.0
2024-10-02 23:00:00+00:00,BTC,XGBoost,candle_extended,long_only,with_cost,LONG,OPEN_LONG,1,0.6952611,1.0,1.0,0.00035,0.0055852279837829,0.0055852279837829,0.0052352279837829,1.005585227983783,1.0052352279837828
2024-10-03 00:00:00+00:00,BTC,XGBoost,candle_extended,long_only,with_cost,FLAT,CLOSE_LONG,1,0.47908807,0.0,1.0,0.00035,0.0005901159916514,0.0,-0.00035,1.005585227983783,1.0048833956539887
2024-10-03 01:00:00+00:00,BTC,XGBoost,candle_extended,long_only,with_cost,FLAT,HOLD,0,0.49626204,0.0,0.0,0.0,0.0026412558993182,0.0,0.0,1.005585227983783,1.0048833956539887
2024-10-03 02:00:00+00:00,BTC,XGBoost,candle_extended,long_only,with_cost,FLAT,HOLD,0,0.5251995,0.0,0.0,0.0,0.0045569858583403,0.0,0.0,1.005585227983783,1.0048833956539887
2024-10-03 03:00:00+00:00,BTC,XGBoost,candle_extended,long_only,with_cost,FLAT,HOLD,0,0.43853945,0.0,0.0,0.0,-0.0022452167122217,-0.0,-0.0,1.005585227983783,1.0048833956539887
2024-10-03 04:00:00+00:00,BTC,XGBoost,candle_extended,long_only,with_cost,FLAT,HOLD,0,0.461966,0.0,0.0,0.0,-0.0024459446238137,-0.0,-0.0,1.005585227983783,1.0048833956539887
2024-10-03 05:00:00+00:00,BTC,XGBoost,candle_extended,long_only,with_cost,FLAT,HOLD,0,0.4935647,0.0,0.0,0.0,0.002582712174709,0.0,0.0,1.005585227983783,1.0048833956539887
2024-10-03 06:00:00+00:00,BTC,XGBoost,candle_extended,long_only,with_cost,FLAT,HOLD,0,0.51537734,0.0,0.0,0.0,-0.0066521016075912,-0.0,-0.0,1.005585227983783,1.0048833956539887
2024-10-03 07:00:00+00:00,BTC,XGBoost,candle_extended,long_only,with_cost,FLAT,HOLD,0,0.5229722,0.0,0.0,0.0,-0.0093884384335094,-0.0,-0.0,1.005585227983783,1.0048833956539887
2024-10-03 08:00:00+00:00,BTC,XGBoost,candle_extended,long_only,with_cost,FLAT,HOLD,0,0.5451505,0.0,0.0,0.0,0.006072174172383,0.0,0.0,1.005585227983783,1.0048833956539887
2024-10-03 09:00:00+00:00,BTC,XGBoost,candle_extended,long_only,with_cost,FLAT,HOLD,0,0.534719,0.0,0.0,0.0,0.0050312513998571,0.0,0.0,1.005585227983783,1.0048833956539887
2024-10-03 10:00:00+00:00,BTC,XGBoost,candle_extended,long_only,with_cost,FLAT,HOLD,0,0.40040657,0.0,0.0,0.0,-0.0042809636158239,-0.0,-0.0,1.005585227983783,1.0048833956539887
2024-10-03 11:00:00+00:00,BTC,XGBoost,candle_extended,long_only,with_cost,FLAT,HOLD,0,0.5309934,0.0,0.0,0.0,-0.0048511694201555,-0.0,-0.0,1.005585227983783,1.0048833956539887
2024-10-03 12:00:00+00:00,BTC,XGBoost,candle_extended,long_only,with_cost,FLAT,HOLD,0,0.5470088,0.0,0.0,0.0,-0.0014534491925327,-0.0,-0.0,1.005585227983783,1.0048833956539887
2024-10-03 13:00:00+00:00,BTC,XGBoost,candle_extended,long_only,with_cost,FLAT,HOLD,0,0.54016435,0.0,0.0,0.0,-0.0034786822443618,-0.0,-0.0,1.005585227983783,1.0048833956539887
2024-10-03 14:00:00+00:00,BTC,XGBoost,candle_extended,long_only,with_cost,FLAT,HOLD,0,0.5863294,0.0,0.0,0.0,0.0078024649666845,0.0,0.0,1.005585227983783,1.0048833956539887
2024-10-03 15:00:00+00:00,BTC,XGBoost,candle_extended,long_only,with_cost,FLAT,HOLD,0,0.5262828,0.0,0.0,0.0,-0.0078083490678826,-0.0,-0.0,1.005585227983783,1.0048833956539887
2024-10-03 16:00:00+00:00,BTC,XGBoost,candle_extended,long_only,with_cost,FLAT,HOLD,0,0.5512854,0.0,0.0,0.0,0.0077119079430774,0.0,0.0,1.005585227983783,1.0048833956539887
2024-10-03 17:00:00+00:00,BTC,XGBoost,candle_extended,long_only,with_cost,FLAT,HOLD,0,0.5173454,0.0,0.0,0.0,0.0014894775036284,0.0,0.0,1.005585227983783,1.0048833956539887
2024-10-03 18:00:00+00:00,BTC,XGBoost,candle_extended,long_only,with_cost,FLAT,HOLD,0,0.4176473,0.0,0.0,0.0,0.0051659760638222,0.0,0.0,1.005585227983783,1.0048833956539887
2024-10-03 19:00:00+00:00,BTC,XGBoost,candle_extended,long_only,with_cost,FLAT,HOLD,0,0.45112714,0.0,0.0,0.0,-0.0042925486598073,-0.0,-0.0,1.005585227983783,1.0048833956539887
2024-10-03 20:00:00+00:00,BTC,XGBoost,candle_extended,long_only,with_cost,FLAT,HOLD,0,0.53604096,0.0,0.0,0.0,0.0005451344324876,0.0,0.0,1.005585227983783,1.0048833956539887
2024-10-03 21:00:00+00:00,BTC,XGBoost,candle_extended,long_only,with_cost,FLAT,HOLD,0,0.45962614,0.0,0.0,0.0,0.0014495010700226,0.0,0.0,1.005585227983783,1.0048833956539887
