datetime,asset,model,feature_set,strategy_mode,cost_regime,signal,trade_action,is_trade_event,y_prob_long,y_prob_short,long_threshold,short_threshold,threshold_feasible,model_params,position,position_change,transaction_cost,raw_return,raw_log_return,gross_return,net_return,gross_equity_curve,net_equity_curve
2024-10-03 07:00:00+00:00,BTC,CNN,ohlc_extended,long_short,with_cost,LONG,OPEN_LONG,1,0.5014761090278625,0.49204665422439575,0.5,0.5,True,"{""lookback_hours"": 24}",1.0,1.0,0.00035,-0.0093884384335094,-0.0094327876196189,-0.0093884384335094,-0.009738438433509399,0.9906115615664906,0.9902615615664906
2024-10-03 08:00:00+00:00,BTC,CNN,ohlc_extended,long_short,with_cost,SHORT,FLIP_LONG_TO_SHORT,1,0.5020283460617065,0.5025607943534851,0.5,0.5,True,"{""lookback_hours"": 24}",-1.0,2.0,0.0007,0.006072174172383,0.0060538128142128,-0.006072174172383,-0.006772174172383,0.9845963956274825,0.9835553377953464
2024-10-03 09:00:00+00:00,BTC,CNN,ohlc_extended,long_short,with_cost,SHORT,HOLD,0,0.5016868710517883,0.5051842927932739,0.5,0.5,True,"{""lookback_hours"": 24}",-1.0,0.0,0.0,0.0050312513998571,0.0050186369478268,-0.0050312513998571,-0.0050312513998571,0.9796426436336875,0.9786068236252267
2024-10-03 10:00:00+00:00,BTC,CNN,ohlc_extended,long_short,with_cost,SHORT,HOLD,0,0.5020936727523804,0.5021381378173828,0.5,0.5,True,"{""lookback_hours"": 24}",-1.0,0.0,0.0,-0.0042809636158239,-0.0042901531767256,0.0042809636158239,0.0042809636158239,0.9838364581475928,0.9827962038313632
2024-10-03 11:00:00+00:00,BTC,CNN,ohlc_extended,long_short,with_cost,SHORT,HOLD,0,0.5023236870765686,0.5070775151252747,0.5,0.5,True,"{""lookback_hours"": 24}",-1.0,0.0,0.0,-0.0048511694201555,-0.004862974537083,0.0048511694201555,0.0048511694201555,0.9886092154877923,0.9875639147216347
2024-10-03 12:00:00+00:00,BTC,CNN,ohlc_extended,long_short,with_cost,SHORT,HOLD,0,0.5031051635742188,0.5074869394302368,0.5,0.5,True,"{""lookback_hours"": 24}",-1.0,0.0,0.0,-0.0014534491925327,-0.0014545064744049,0.0014534491925327,0.0014534491925327,0.9900461087537734,0.9889992886960612
2024-10-03 13:00:00+00:00,BTC,CNN,ohlc_extended,long_short,with_cost,SHORT,HOLD,0,0.5032953023910522,0.5125700831413269,0.5,0.5,True,"{""lookback_hours"": 24}",-1.0,0.0,0.0,-0.0034786822443618,-0.0034847469282641,0.0034786822443618,0.0034786822443618,0.9934901645733947,0.9924397029613347
2024-10-03 14:00:00+00:00,BTC,CNN,ohlc_extended,long_short,with_cost,LONG,FLIP_SHORT_TO_LONG,1,0.5029686689376831,0.49636781215667725,0.5,0.5,True,"{""lookback_hours"": 24}",1.0,2.0,0.0007,0.0078024649666845,0.0077721831501217,0.0078024649666845,0.0071024649666845,1.0012418367772242,0.9994884711831642
2024-10-03 15:00:00+00:00,BTC,CNN,ohlc_extended,long_short,with_cost,LONG,HOLD,0,0.5019092559814453,0.4938545823097229,0.5,0.5,True,"{""lookback_hours"": 24}",1.0,0.0,0.0,-0.0078083490678826,-0.0078389938531549,-0.0078083490678826,-0.0078083490678826,0.9934237910142997,0.9916841163108417
2024-10-03 16:00:00+00:00,BTC,CNN,ohlc_extended,long_short,with_cost,LONG,HOLD,0,0.5016767382621765,0.49353158473968506,0.5,0.5,True,"{""lookback_hours"": 24}",1.0,0.0,0.0,0.0077119079430774,0.0076823231869428,0.0077119079430774,0.0077119079430774,1.001084983839065,0.999331892924443
2024-10-03 17:00:00+00:00,BTC,CNN,ohlc_extended,long_short,with_cost,LONG,HOLD,0,0.5029621720314026,0.4973340928554535,0.5,0.5,True,"{""lookback_hours"": 24}",1.0,0.0,0.0,0.0014894775036284,0.0014883693322726,0.0014894775036284,0.0014894775036284,1.0025760774017136,1.0008203752976124
2024-10-03 18:00:00+00:00,BTC,CNN,ohlc_extended,long_short,with_cost,SHORT,FLIP_LONG_TO_SHORT,1,0.5021411776542664,0.5061508417129517,0.5,0.5,True,"{""lookback_hours"": 24}",-1.0,2.0,0.0007,0.0051659760638222,0.0051526781874885,-0.0051659760638222,-0.0058659760638222,0.9973967933836956,0.994949586931931
2024-10-03 19:00:00+00:00,BTC,CNN,ohlc_extended,long_short,with_cost,SHORT,HOLD,0,0.5022974014282227,0.5072895288467407,0.5,0.5,True,"{""lookback_hours"": 24}",-1.0,0.0,0.0,-0.0042925486598073,-0.004301788096774,0.0042925486598073,0.0042925486598073,1.001678167652431,0.9992204564478916
2024-10-03 20:00:00+00:00,BTC,CNN,ohlc_extended,long_short,with_cost,LONG,FLIP_SHORT_TO_LONG,1,0.5020005702972412,0.5009880661964417,0.5,0.5,True,"{""lookback_hours"": 24}",1.0,2.0,0.0007,0.0005451344324876,0.0005449859006902,0.0005451344324876,-0.00015486556751240005,1.0022242169118893,0.9990657116048337
2024-10-03 21:00:00+00:00,BTC,CNN,ohlc_extended,long_short,with_cost,LONG,HOLD,0,0.502395510673523,0.49619293212890625,0.5,0.5,True,"{""lookback_hours"": 24}",1.0,0.0,0.0,0.0014495010700226,0.0014484515574039,0.0014495010700226,0.0014495010700226,1.0036769419867058,1.000513858422828
2024-10-03 22:00:00+00:00,BTC,CNN,ohlc_extended,long_short,with_cost,LONG,HOLD,0,0.502050518989563,0.49825653433799744,0.5,0.5,True,"{""lookback_hours"": 24}",1.0,0.0,0.0,-0.0023409043099734,-0.0023436485099104,-0.0023409043099734,-0.0023409043099734,1.0013274303073882,0.9981717512194579
2024-10-03 23:00:00+00:00,BTC,CNN,ohlc_extended,long_short,with_cost,LONG,HOLD,0,0.5023800134658813,0.4997481107711792,0.5,0.5,True,"{""lookback_hours"": 24}",1.0,0.0,0.0,-0.0040938084747481,-0.0041022110488553,-0.0040938084747481,-0.0040938084747481,0.9972281875871982,0.9940854272450615
2024-10-04 00:00:00+00:00,BTC,CNN,ohlc_extended,long_short,with_cost,LONG,HOLD,0,0.5022722482681274,0.49421799182891846,0.5,0.5,True,"{""lookback_hours"": 24}",1.0,0.0,0.0,0.0118007054408459,0.0117316200891796,0.0118007054408459,0.0118007054408459,1.0089961836862236,1.0058163365550181
2024-10-04 01:00:00+00:00,BTC,CNN,ohlc_extended,long_short,with_cost,LONG,HOLD,0,0.5022457838058472,0.4960910975933075,0.5,0.5,True,"{""lookback_hours"": 24}",1.0,0.0,0.0,-0.0029705315430101,-0.002974952328727,-0.0029705315430101,-0.0029705315430101,1.0059989286958069,1.0028285274008066
2024-10-04 02:00:00+00:00,BTC,CNN,ohlc_extended,long_short,with_cost,LONG,HOLD,0,0.501871645450592,0.4888160824775696,0.5,0.5,True,"{""lookback_hours"": 24}",1.0,0.0,0.0,-0.0013788549900346,-0.0013798064853263,-0.0013788549900346,-0.0013788549900346,1.004611802053005,1.001445772281651
2024-10-04 03:00:00+00:00,BTC,CNN,ohlc_extended,long_short,with_cost,LONG,HOLD,0,0.5020763874053955,0.4839206635951996,0.5,0.5,True,"{""lookback_hours"": 24}",1.0,0.0,0.0,0.0008114583297444,0.0008111292754312,0.0008114583297444,0.0008114583297444,1.0054270026679406,1.0022584037953564
2024-10-04 04:00:00+00:00,BTC,CNN,ohlc_extended,long_short,with_cost,LONG,HOLD,0,0.5016414523124695,0.4938577115535736,0.5,0.5,True,"{""lookback_hours"": 24}",1.0,0.0,0.0,0.0036538475724756,0.0036471884873594,0.0036538475724756,0.0036538475724756,1.0091006796809403,1.0059205032310574
2024-10-04 05:00:00+00:00,BTC,CNN,ohlc_extended,long_short,with_cost,SHORT,FLIP_LONG_TO_SHORT,1,0.5013611316680908,0.5078247785568237,0.5,0.5,True,"{""lookback_hours"": 24}",-1.0,2.0,0.0007,-0.0017042241696684,-0.0017056780116952,0.0017042241696684,0.0010042241696684002,1.0108204134488812,1.006930672913167
2024-10-04 06:00:00+00:00,BTC,CNN,ohlc_extended,long_short,with_cost,LONG,FLIP_SHORT_TO_LONG,1,0.5011783838272095,0.5009695887565613,0.5,0.5,True,"{""lookback_hours"": 24}",1.0,2.0,0.0007,0.0052951570680628,0.0052811870179149,0.0052951570680628,0.0045951570680628,1.0161728663056973,1.0115576775118533
2024-10-04 07:00:00+00:00,BTC,CNN,ohlc_extended,long_short,with_cost,SHORT,FLIP_LONG_TO_SHORT,1,0.5014122724533081,0.5094740986824036,0.5,0.5,True,"{""lookback_hours"": 24}",-1.0,2.0,0.0007,9.911522168937204e-05,9.911031010032624e-05,-9.911522168937204e-05,-0.000799115221689372,1.0160721481067787,1.0107493263741367
2024-10-04 08:00:00+00:00,BTC,CNN,ohlc_extended,long_short,with_cost,SHORT,HOLD,0,0.5015689730644226,0.5140907168388367,0.5,0.5,True,"{""lookback_hours"": 24}",-1.0,0.0,0.0,-0.0017949631349072,-0.0017965760115601,0.0017949631349072,0.0017949631349072,1.0178959601550364,1.0125635841536107
2024-10-04 09:00:00+00:00,BTC,CNN,ohlc_extended,long_short,with_cost,SHORT,HOLD,0,0.5015895962715149,0.5125761032104492,0.5,0.5,True,"{""lookback_hours"": 24}",-1.0,0.0,0.0,-0.0009034971469411,-0.0009039055464988,0.0009034971469411,0.0009034971469411,1.0188156262509191,1.01347843246299
2024-10-04 10:00:00+00:00,BTC,CNN,ohlc_extended,long_short,with_cost,SHORT,HOLD,0,0.5017829537391663,0.5059933662414551,0.5,0.5,True,"{""lookback_hours"": 24}",-1.0,0.0,0.0,0.0027059260645638,0.0027022716375522,-0.0027059260645638,-0.0027059260645638,1.0160587864928619,1.0107360347567151
2024-10-04 11:00:00+00:00,BTC,CNN,ohlc_extended,long_short,with_cost,SHORT,HOLD,0,0.501909613609314,0.505984365940094,0.5,0.5,True,"{""lookback_hours"": 24}",-1.0,0.0,0.0,0.0078503052245539,0.0078196518992891,-0.0078503052245539,-0.0078503052245539,1.0080824148928031,1.0028014483824197
2024-10-04 12:00:00+00:00,BTC,CNN,ohlc_extended,long_short,with_cost,LONG,FLIP_SHORT_TO_LONG,1,0.5018977522850037,0.4963109493255615,0.5,0.5,True,"{""lookback_hours"": 24}",1.0,2.0,0.0007,-0.005687183282891,-0.0057034168879882,-0.005687183282891,-0.006387183282891,1.0023492654350485,0.9963963717352526
2024-10-04 13:00:00+00:00,BTC,CNN,ohlc_extended,long_short,with_cost,LONG,HOLD,0,0.5018838047981262,0.4981123208999634,0.5,0.5,True,"{""lookback_hours"": 24}",1.0,0.0,0.0,-0.0055215961280947,-0.0055368964875915,-0.0055215961280947,-0.0055215961280947,0.9968146976120239,0.9908946733870317
2024-10-04 14:00:00+00:00,BTC,CNN,ohlc_extended,long_short,with_cost,LONG,HOLD,0,0.5020902156829834,0.48978886008262634,0.5,0.5,True,"{""lookback_hours"": 24}",1.0,0.0,0.0,0.0103371979098629,0.0102841344512435,0.0103371979098629,0.0103371979098629,1.0071189684206996,1.0011377477336625
2024-10-04 15:00:00+00:00,BTC,CNN,ohlc_extended,long_short,with_cost,LONG,HOLD,0,0.5019555687904358,0.49240270256996155,0.5,0.5,True,"{""lookback_hours"": 24}",1.0,0.0,0.0,0.0059951788379593,0.0059772792584687,0.0059951788379593,0.0059951788379593,1.0131568267474829,1.0071397475727575
2024-10-04 16:00:00+00:00,BTC,CNN,ohlc_extended,long_short,with_cost,LONG,HOLD,0,0.5018675923347473,0.48740485310554504,0.5,0.5,True,"{""lookback_hours"": 24}",1.0,0.0,0.0,-0.0041878742027945,-0.004196667907838,-0.0041878742027945,-0.0041878742027945,1.0089138534093618,1.0029219730052885
2024-10-04 17:00:00+00:00,BTC,CNN,ohlc_extended,long_short,with_cost,LONG,HOLD,0,0.5018844604492188,0.4895038604736328,0.5,0.5,True,"{""lookback_hours"": 24}",1.0,0.0,0.0,0.0058349568884015,0.0058179994593929,0.0058349568884015,0.0058349568884015,1.0148008222481164,1.0087739794802049
2024-10-04 18:00:00+00:00,BTC,CNN,ohlc_extended,long_short,with_cost,LONG,HOLD,0,0.5018311738967896,0.48954761028289795,0.5,0.5,True,"{""lookback_hours"": 24}",1.0,0.0,0.0,0.0003690753659597,0.0003690072744003,0.0003690753659597,0.0003690753659597,1.0151753602329638,1.0091462931058521
2024-10-04 19:00:00+00:00,BTC,CNN,ohlc_extended,long_short,with_cost,LONG,HOLD,0,0.5019645690917969,0.494336873292923,0.5,0.5,True,"{""lookback_hours"": 24}",1.0,0.0,0.0,0.0006365443817342,0.0006363418732917,0.0006365443817342,0.0006365443817342,1.015821564404995,1.0097886595090766
