datetime,asset,model,feature_set,strategy_mode,cost_regime,signal,trade_action,is_trade_event,y_prob_long,y_prob_short,long_threshold,short_threshold,threshold_feasible,model_params,position,position_change,transaction_cost,raw_return,raw_log_return,gross_return,net_return,gross_equity_curve,net_equity_curve
2024-10-01 14:00:00+00:00,XRP,LightGBM,ohlc_raw,long_short,with_cost,FLAT,HOLD,0,0.41857570914521297,0.5893832067198082,0.7000000000000002,0.6300000000000001,True,"{""model_dir"": ""models/lightgbm/ohlc_raw/xrp"", ""tree_device"": ""cpu""}",0.0,0.0,0.0,0.0018009168303863,0.0017992971240173,0.0,0.0,1.0,1.0
2024-10-01 15:00:00+00:00,XRP,LightGBM,ohlc_raw,long_short,with_cost,FLAT,HOLD,0,0.5169713280042094,0.46284028112598,0.7000000000000002,0.6300000000000001,True,"{""model_dir"": ""models/lightgbm/ohlc_raw/xrp"", ""tree_device"": ""cpu""}",0.0,0.0,0.0,-0.0093152475894754,-0.009358905844792,-0.0,-0.0,1.0,1.0
2024-10-01 16:00:00+00:00,XRP,LightGBM,ohlc_raw,long_short,with_cost,FLAT,HOLD,0,0.42735345304166716,0.6146080019298414,0.7000000000000002,0.6300000000000001,True,"{""model_dir"": ""models/lightgbm/ohlc_raw/xrp"", ""tree_device"": ""cpu""}",0.0,0.0,0.0,-0.0151765094028373,-0.0152928512311006,-0.0,-0.0,1.0,1.0
2024-10-01 17:00:00+00:00,XRP,LightGBM,ohlc_raw,long_short,with_cost,FLAT,HOLD,0,0.4932582896574587,0.5433634325682132,0.7000000000000002,0.6300000000000001,True,"{""model_dir"": ""models/lightgbm/ohlc_raw/xrp"", ""tree_device"": ""cpu""}",0.0,0.0,0.0,0.0391959798994974,0.0384473179097816,0.0,0.0,1.0,1.0
2024-10-01 18:00:00+00:00,XRP,LightGBM,ohlc_raw,long_short,with_cost,FLAT,HOLD,0,0.46398664749071833,0.5261928344610037,0.7000000000000002,0.6300000000000001,True,"{""model_dir"": ""models/lightgbm/ohlc_raw/xrp"", ""tree_device"": ""cpu""}",0.0,0.0,0.0,-0.0157962604771114,-0.0159223510016062,-0.0,-0.0,1.0,1.0
2024-10-01 19:00:00+00:00,XRP,LightGBM,ohlc_raw,long_short,with_cost,FLAT,HOLD,0,0.4561781822607715,0.5888037081480595,0.7000000000000002,0.6300000000000001,True,"{""model_dir"": ""models/lightgbm/ohlc_raw/xrp"", ""tree_device"": ""cpu""}",0.0,0.0,0.0,-0.0067147068457255,-0.0067373519166726,-0.0,-0.0,1.0,1.0
2024-10-01 20:00:00+00:00,XRP,LightGBM,ohlc_raw,long_short,with_cost,FLAT,HOLD,0,0.5133674913988199,0.495785771956835,0.7000000000000002,0.6300000000000001,True,"{""model_dir"": ""models/lightgbm/ohlc_raw/xrp"", ""tree_device"": ""cpu""}",0.0,0.0,0.0,-0.007914262159934,-0.0079457461577987,-0.0,-0.0,1.0,1.0
2024-10-01 21:00:00+00:00,XRP,LightGBM,ohlc_raw,long_short,with_cost,FLAT,HOLD,0,0.5328590196144226,0.5719012181343593,0.7000000000000002,0.6300000000000001,True,"{""model_dir"": ""models/lightgbm/ohlc_raw/xrp"", ""tree_device"": ""cpu""}",0.0,0.0,0.0,-0.0109689213893967,-0.0110295235754997,-0.0,-0.0,1.0,1.0
2024-10-01 22:00:00+00:00,XRP,LightGBM,ohlc_raw,long_short,with_cost,FLAT,HOLD,0,0.588927091220971,0.4957370342335497,0.7000000000000002,0.6300000000000001,True,"{""model_dir"": ""models/lightgbm/ohlc_raw/xrp"", ""tree_device"": ""cpu""}",0.0,0.0,0.0,0.0028566627457571,0.0028525902387448,0.0,0.0,1.0,1.0
2024-10-01 23:00:00+00:00,XRP,LightGBM,ohlc_raw,long_short,with_cost,FLAT,HOLD,0,0.6601272136571313,0.4508329301950059,0.7000000000000002,0.6300000000000001,True,"{""model_dir"": ""models/lightgbm/ohlc_raw/xrp"", ""tree_device"": ""cpu""}",0.0,0.0,0.0,0.0092158176943699,0.0091736111601242,0.0,0.0,1.0,1.0
