datetime,asset,model,feature_set,strategy_mode,cost_regime,signal,trade_action,is_trade_event,y_prob_long,y_prob_short,long_threshold,short_threshold,threshold_feasible,model_params,position,position_change,transaction_cost,raw_return,raw_log_return,gross_return,net_return,gross_equity_curve,net_equity_curve
2024-10-01 14:00:00+00:00,SOL,Logistic Regression,candle_extended,short_only,with_cost,FLAT,HOLD,0,0.5599263969341839,0.44941153409314744,,0.5800000000000001,True,"{""model_dir"": ""models/logistic_regression/candle_extended/sol""}",0.0,0.0,0.0,-0.0078917700112739,-0.0079230748373273,-0.0,-0.0,1.0,1.0
2024-10-01 15:00:00+00:00,SOL,Logistic Regression,candle_extended,short_only,with_cost,FLAT,HOLD,0,0.4799516369488016,0.5368621128530837,,0.5800000000000001,True,"{""model_dir"": ""models/logistic_regression/candle_extended/sol""}",0.0,0.0,0.0,-0.0072860962566845,-0.007312769497523,-0.0,-0.0,1.0,1.0
2024-10-01 16:00:00+00:00,SOL,Logistic Regression,candle_extended,short_only,with_cost,FLAT,HOLD,0,0.49031809112859703,0.5154858056045069,,0.5800000000000001,True,"{""model_dir"": ""models/logistic_regression/candle_extended/sol""}",0.0,0.0,0.0,-0.0055888492357415,-0.0056045252883116,-0.0,-0.0,1.0,1.0
2024-10-01 17:00:00+00:00,SOL,Logistic Regression,candle_extended,short_only,with_cost,FLAT,HOLD,0,0.45655897982242766,0.5520681351982702,,0.5800000000000001,True,"{""model_dir"": ""models/logistic_regression/candle_extended/sol""}",0.0,0.0,0.0,-0.0023022751895991,-0.0023049294998744,-0.0,-0.0,1.0,1.0
2024-10-01 18:00:00+00:00,SOL,Logistic Regression,candle_extended,short_only,with_cost,FLAT,HOLD,0,0.5169197754174378,0.48538625703058835,,0.5800000000000001,True,"{""model_dir"": ""models/logistic_regression/candle_extended/sol""}",0.0,0.0,0.0,-0.0130310845663093,-0.0131167340327568,-0.0,-0.0,1.0,1.0
2024-10-01 19:00:00+00:00,SOL,Logistic Regression,candle_extended,short_only,with_cost,FLAT,HOLD,0,0.5157527731151784,0.4828646281677829,,0.5800000000000001,True,"{""model_dir"": ""models/logistic_regression/candle_extended/sol""}",0.0,0.0,0.0,-0.0023380552881308,-0.002340792807209,-0.0,-0.0,1.0,1.0
2024-10-01 20:00:00+00:00,SOL,Logistic Regression,candle_extended,short_only,with_cost,FLAT,HOLD,0,0.4917790612553496,0.5114439194277666,,0.5800000000000001,True,"{""model_dir"": ""models/logistic_regression/candle_extended/sol""}",0.0,0.0,0.0,0.0080645161290322,0.0080321716972642,0.0,0.0,1.0,1.0
2024-10-01 21:00:00+00:00,SOL,Logistic Regression,candle_extended,short_only,with_cost,FLAT,HOLD,0,0.47597190528651007,0.5152586209917553,,0.5800000000000001,True,"{""model_dir"": ""models/logistic_regression/candle_extended/sol""}",0.0,0.0,0.0,-0.0106666666666667,-0.0107239633629757,-0.0,-0.0,1.0,1.0
2024-10-01 22:00:00+00:00,SOL,Logistic Regression,candle_extended,short_only,with_cost,FLAT,HOLD,0,0.49994510134815756,0.4939071084193177,,0.5800000000000001,True,"{""model_dir"": ""models/logistic_regression/candle_extended/sol""}",0.0,0.0,0.0,0.0029718708963992,0.0029674636178363,0.0,0.0,1.0,1.0
2024-10-01 23:00:00+00:00,SOL,Logistic Regression,candle_extended,short_only,with_cost,FLAT,HOLD,0,0.49785748166083443,0.4946461305621481,,0.5800000000000001,True,"{""model_dir"": ""models/logistic_regression/candle_extended/sol""}",0.0,0.0,0.0,-0.0040656008820286,-0.0040738879060758,-0.0,-0.0,1.0,1.0
2024-10-02 00:00:00+00:00,SOL,Logistic Regression,candle_extended,short_only,with_cost,FLAT,HOLD,0,0.5084112205157506,0.4893055137403885,,0.5800000000000001,True,"{""model_dir"": ""models/logistic_regression/candle_extended/sol""}",0.0,0.0,0.0,0.0116238843146752,0.011556845968596,0.0,0.0,1.0,1.0
2024-10-02 01:00:00+00:00,SOL,Logistic Regression,candle_extended,short_only,with_cost,FLAT,HOLD,0,0.48516647153877906,0.5082055510546148,,0.5800000000000001,True,"{""model_dir"": ""models/logistic_regression/candle_extended/sol""}",0.0,0.0,0.0,0.0075234252103137,0.0074952653975002,0.0,0.0,1.0,1.0
2024-10-02 02:00:00+00:00,SOL,Logistic Regression,candle_extended,short_only,with_cost,FLAT,HOLD,0,0.47138266531931533,0.520839052053941,,0.5800000000000001,True,"{""model_dir"": ""models/logistic_regression/candle_extended/sol""}",0.0,0.0,0.0,-0.0007467245943928,-0.0007470035320711,-0.0,-0.0,1.0,1.0
2024-10-02 03:00:00+00:00,SOL,Logistic Regression,candle_extended,short_only,with_cost,FLAT,HOLD,0,0.49223989225082626,0.5022929656180251,,0.5800000000000001,True,"{""model_dir"": ""models/logistic_regression/candle_extended/sol""}",0.0,0.0,0.0,-0.003532608695652,-0.0035388630916505,-0.0,-0.0,1.0,1.0
2024-10-02 04:00:00+00:00,SOL,Logistic Regression,candle_extended,short_only,with_cost,FLAT,HOLD,0,0.4813134452079645,0.5152313113384063,,0.5800000000000001,True,"{""model_dir"": ""models/logistic_regression/candle_extended/sol""}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2024-10-02 05:00:00+00:00,SOL,Logistic Regression,candle_extended,short_only,with_cost,FLAT,HOLD,0,0.4846969351150706,0.5125469999653954,,0.5800000000000001,True,"{""model_dir"": ""models/logistic_regression/candle_extended/sol""}",0.0,0.0,0.0,0.0116580310880827,0.0115905998149096,0.0,0.0,1.0,1.0
2024-10-02 06:00:00+00:00,SOL,Logistic Regression,candle_extended,short_only,with_cost,FLAT,HOLD,0,0.46356732872026424,0.5333599177519568,,0.5800000000000001,True,"{""model_dir"": ""models/logistic_regression/candle_extended/sol""}",0.0,0.0,0.0,-0.0043129590942785,-0.0043222867318274,-0.0,-0.0,1.0,1.0
2024-10-02 07:00:00+00:00,SOL,Logistic Regression,candle_extended,short_only,with_cost,FLAT,HOLD,0,0.47087550286272184,0.5260013587284966,,0.5800000000000001,True,"{""model_dir"": ""models/logistic_regression/candle_extended/sol""}",0.0,0.0,0.0,0.0017597292724196,0.0017581827628897,0.0,0.0,1.0,1.0
2024-10-02 08:00:00+00:00,SOL,Logistic Regression,candle_extended,short_only,with_cost,FLAT,HOLD,0,0.4646873157709046,0.5308300890784856,,0.5800000000000001,True,"{""model_dir"": ""models/logistic_regression/candle_extended/sol""}",0.0,0.0,0.0,-0.0132423484899667,-0.0133308102153472,-0.0,-0.0,1.0,1.0
2024-10-02 09:00:00+00:00,SOL,Logistic Regression,candle_extended,short_only,with_cost,FLAT,HOLD,0,0.5111339812686435,0.4879318864151763,,0.5800000000000001,True,"{""model_dir"": ""models/logistic_regression/candle_extended/sol""}",0.0,0.0,0.0,-0.0017117425539199,-0.0017132092591922,-0.0,-0.0,1.0,1.0
2024-10-02 10:00:00+00:00,SOL,Logistic Regression,candle_extended,short_only,with_cost,FLAT,HOLD,0,0.5259560493557,0.47240513927094346,,0.5800000000000001,True,"{""model_dir"": ""models/logistic_regression/candle_extended/sol""}",0.0,0.0,0.0,0.0022633744855966,0.0022608169120031,0.0,0.0,1.0,1.0
2024-10-02 11:00:00+00:00,SOL,Logistic Regression,candle_extended,short_only,with_cost,FLAT,HOLD,0,0.482520775058185,0.5155737958423623,,0.5800000000000001,True,"{""model_dir"": ""models/logistic_regression/candle_extended/sol""}",0.0,0.0,0.0,-0.0148497912817353,-0.0149611532757309,-0.0,-0.0,1.0,1.0
2024-10-02 12:00:00+00:00,SOL,Logistic Regression,candle_extended,short_only,with_cost,FLAT,HOLD,0,0.528532450924099,0.4709924467353501,,0.5800000000000001,True,"{""model_dir"": ""models/logistic_regression/candle_extended/sol""}",0.0,0.0,0.0,0.0140316754654068,0.013934142812656,0.0,0.0,1.0,1.0
2024-10-02 13:00:00+00:00,SOL,Logistic Regression,candle_extended,short_only,with_cost,FLAT,HOLD,0,0.4519108937700292,0.5488385276802552,,0.5800000000000001,True,"{""model_dir"": ""models/logistic_regression/candle_extended/sol""}",0.0,0.0,0.0,-0.0048636799561582,-0.0048755461386939,-0.0,-0.0,1.0,1.0
2024-10-02 14:00:00+00:00,SOL,Logistic Regression,candle_extended,short_only,with_cost,FLAT,HOLD,0,0.473795165662908,0.5293957756179496,,0.5800000000000001,True,"{""model_dir"": ""models/logistic_regression/candle_extended/sol""}",0.0,0.0,0.0,0.015075376884422,0.0149628726767123,0.0,0.0,1.0,1.0
2024-10-02 15:00:00+00:00,SOL,Logistic Regression,candle_extended,short_only,with_cost,FLAT,HOLD,0,0.4261530856537928,0.5707902388118598,,0.5800000000000001,True,"{""model_dir"": ""models/logistic_regression/candle_extended/sol""}",0.0,0.0,0.0,-0.0099009900990099,-0.009950330853168,-0.0,-0.0,1.0,1.0
2024-10-02 16:00:00+00:00,SOL,Logistic Regression,candle_extended,short_only,with_cost,FLAT,HOLD,0,0.4791086710165778,0.5207831185514125,,0.5800000000000001,True,"{""model_dir"": ""models/logistic_regression/candle_extended/sol""}",0.0,0.0,0.0,-0.0019863013698629,-0.0019882766825732,-0.0,-0.0,1.0,1.0
2024-10-02 17:00:00+00:00,SOL,Logistic Regression,candle_extended,short_only,with_cost,FLAT,HOLD,0,0.46007373717712763,0.5368271195401362,,0.5800000000000001,True,"{""model_dir"": ""models/logistic_regression/candle_extended/sol""}",0.0,0.0,0.0,-0.0236085375060051,-0.0238916843626875,-0.0,-0.0,1.0,1.0
2024-10-02 18:00:00+00:00,SOL,Logistic Regression,candle_extended,short_only,with_cost,FLAT,HOLD,0,0.5338359720601877,0.47134434341423065,,0.5800000000000001,True,"{""model_dir"": ""models/logistic_regression/candle_extended/sol""}",0.0,0.0,0.0,-0.0160961551978633,-0.0162271054016821,-0.0,-0.0,1.0,1.0
2024-10-02 19:00:00+00:00,SOL,Logistic Regression,candle_extended,short_only,with_cost,FLAT,HOLD,0,0.513035178428661,0.5066069431836038,,0.5800000000000001,True,"{""model_dir"": ""models/logistic_regression/candle_extended/sol""}",0.0,0.0,0.0,0.0061437348192598,0.0061249390254581,0.0,0.0,1.0,1.0
2024-10-02 20:00:00+00:00,SOL,Logistic Regression,candle_extended,short_only,with_cost,FLAT,HOLD,0,0.47708247888132055,0.5310745541641294,,0.5800000000000001,True,"{""model_dir"": ""models/logistic_regression/candle_extended/sol""}",0.0,0.0,0.0,-7.100255609193695e-05,-7.100507689274566e-05,-0.0,-0.0,1.0,1.0
2024-10-02 21:00:00+00:00,SOL,Logistic Regression,candle_extended,short_only,with_cost,FLAT,HOLD,0,0.4792262833020014,0.5189408018592179,,0.5800000000000001,True,"{""model_dir"": ""models/logistic_regression/candle_extended/sol""}",0.0,0.0,0.0,0.0052545622381594,0.0052408051964468,0.0,0.0,1.0,1.0
2024-10-02 22:00:00+00:00,SOL,Logistic Regression,candle_extended,short_only,with_cost,FLAT,HOLD,0,0.45520964746314424,0.5393520059995177,,0.5800000000000001,True,"{""model_dir"": ""models/logistic_regression/candle_extended/sol""}",0.0,0.0,0.0,-0.0098184643639188,-0.009866983334227,-0.0,-0.0,1.0,1.0
2024-10-02 23:00:00+00:00,SOL,Logistic Regression,candle_extended,short_only,with_cost,FLAT,HOLD,0,0.4977665278960916,0.4980514065648069,,0.5800000000000001,True,"{""model_dir"": ""models/logistic_regression/candle_extended/sol""}",0.0,0.0,0.0,0.0036381794835211,0.0036315773169431,0.0,0.0,1.0,1.0
2024-10-03 00:00:00+00:00,SOL,Logistic Regression,candle_extended,short_only,with_cost,FLAT,HOLD,0,0.4905367186235918,0.5098508147874288,,0.5800000000000001,True,"{""model_dir"": ""models/logistic_regression/candle_extended/sol""}",0.0,0.0,0.0,0.0051176345156016,0.0051045839305632,0.0,0.0,1.0,1.0
2024-10-03 01:00:00+00:00,SOL,Logistic Regression,candle_extended,short_only,with_cost,FLAT,HOLD,0,0.48688248979235316,0.5097711039124062,,0.5800000000000001,True,"{""model_dir"": ""models/logistic_regression/candle_extended/sol""}",0.0,0.0,0.0,0.0043844141149849,0.0043748305733516,0.0,0.0,1.0,1.0
2024-10-03 02:00:00+00:00,SOL,Logistic Regression,candle_extended,short_only,with_cost,FLAT,HOLD,0,0.4723376875968269,0.5210205707508682,,0.5800000000000001,True,"{""model_dir"": ""models/logistic_regression/candle_extended/sol""}",0.0,0.0,0.0,0.0059846511300429,0.0059668142351522,0.0,0.0,1.0,1.0
2024-10-03 03:00:00+00:00,SOL,Logistic Regression,candle_extended,short_only,with_cost,FLAT,HOLD,0,0.4637350733989772,0.5283341242029124,,0.5800000000000001,True,"{""model_dir"": ""models/logistic_regression/candle_extended/sol""}",0.0,0.0,0.0,-0.0055291153415453,-0.0055444574782049,-0.0,-0.0,1.0,1.0
2024-10-03 04:00:00+00:00,SOL,Logistic Regression,candle_extended,short_only,with_cost,FLAT,HOLD,0,0.48586520040291975,0.5084647225635202,,0.5800000000000001,True,"{""model_dir"": ""models/logistic_regression/candle_extended/sol""}",0.0,0.0,0.0,-0.0057006122879864,-0.005716922794334,-0.0,-0.0,1.0,1.0
2024-10-03 05:00:00+00:00,SOL,Logistic Regression,candle_extended,short_only,with_cost,FLAT,HOLD,0,0.5087846988550185,0.4875490442108315,,0.5800000000000001,True,"{""model_dir"": ""models/logistic_regression/candle_extended/sol""}",0.0,0.0,0.0,0.0027604756511889,0.0027566725356095,0.0,0.0,1.0,1.0
2024-10-03 06:00:00+00:00,SOL,Logistic Regression,candle_extended,short_only,with_cost,FLAT,HOLD,0,0.4940970438450682,0.5031329055544153,,0.5800000000000001,True,"{""model_dir"": ""models/logistic_regression/candle_extended/sol""}",0.0,0.0,0.0,-0.0124232371003034,-0.0125010506460649,-0.0,-0.0,1.0,1.0
2024-10-03 07:00:00+00:00,SOL,Logistic Regression,candle_extended,short_only,with_cost,FLAT,HOLD,0,0.5341748698703482,0.4656796821050766,,0.5800000000000001,True,"{""model_dir"": ""models/logistic_regression/candle_extended/sol""}",0.0,0.0,0.0,-0.0270173683081981,-0.0273890472208127,-0.0,-0.0,1.0,1.0
2024-10-03 08:00:00+00:00,SOL,Logistic Regression,candle_extended,short_only,with_cost,FLAT,HOLD,0,0.5613859816894977,0.4500527612508139,,0.5800000000000001,True,"{""model_dir"": ""models/logistic_regression/candle_extended/sol""}",0.0,0.0,0.0,0.0087416440167487,0.0087036570651095,0.0,0.0,1.0,1.0
2024-10-03 09:00:00+00:00,SOL,Logistic Regression,candle_extended,short_only,with_cost,FLAT,HOLD,0,0.4909975491146216,0.513787685500742,,0.5800000000000001,True,"{""model_dir"": ""models/logistic_regression/candle_extended/sol""}",0.0,0.0,0.0,0.0069181473929509,0.0068943268110354,0.0,0.0,1.0,1.0
2024-10-03 10:00:00+00:00,SOL,Logistic Regression,candle_extended,short_only,with_cost,FLAT,HOLD,0,0.45878852111004564,0.5381190005250618,,0.5800000000000001,True,"{""model_dir"": ""models/logistic_regression/candle_extended/sol""}",0.0,0.0,0.0,-0.0101974397917118,-0.0102497898761749,-0.0,-0.0,1.0,1.0
2024-10-03 11:00:00+00:00,SOL,Logistic Regression,candle_extended,short_only,with_cost,FLAT,HOLD,0,0.5030130306396855,0.4921669365507784,,0.5800000000000001,True,"{""model_dir"": ""models/logistic_regression/candle_extended/sol""}",0.0,0.0,0.0,-0.005480052608505,-0.0054951231803694,-0.0,-0.0,1.0,1.0
2024-10-03 12:00:00+00:00,SOL,Logistic Regression,candle_extended,short_only,with_cost,FLAT,HOLD,0,0.4971307877917817,0.5000226783235489,,0.5800000000000001,True,"{""model_dir"": ""models/logistic_regression/candle_extended/sol""}",0.0,0.0,0.0,0.0061714789508484,0.0061525133651048,0.0,0.0,1.0,1.0
2024-10-03 13:00:00+00:00,SOL,Logistic Regression,candle_extended,short_only,with_cost,FLAT,HOLD,0,0.46018292156287066,0.5410627821760291,,0.5800000000000001,True,"{""model_dir"": ""models/logistic_regression/candle_extended/sol""}",0.0,0.0,0.0,-0.0156261409273456,-0.0157495160061143,-0.0,-0.0,1.0,1.0
2024-10-03 14:00:00+00:00,SOL,Logistic Regression,candle_extended,short_only,with_cost,FLAT,HOLD,0,0.5410281075656915,0.4665950809987157,,0.5800000000000001,True,"{""model_dir"": ""models/logistic_regression/candle_extended/sol""}",0.0,0.0,0.0,0.0057117424523402,0.0056954922998468,0.0,0.0,1.0,1.0
2024-10-03 15:00:00+00:00,SOL,Logistic Regression,candle_extended,short_only,with_cost,FLAT,HOLD,0,0.4650446898187254,0.5397687360921976,,0.5800000000000001,True,"{""model_dir"": ""models/logistic_regression/candle_extended/sol""}",0.0,0.0,0.0,-0.0041304027142646,-0.0041389563890951,-0.0,-0.0,1.0,1.0
