datetime,asset,model,feature_set,strategy_mode,cost_regime,signal,trade_action,is_trade_event,y_prob,position,position_change,transaction_cost,raw_return,gross_return,net_return,gross_equity_curve,net_equity_curve
2024-10-02 08:00:00+00:00,SOL,Logistic Regression,candle_raw,short_only,with_cost,SHORT,OPEN_SHORT,1,0.4685399190025303,-1.0,1.0,0.00035,-0.0132423484899667,0.0132423484899667,0.0128923484899667,1.0132423484899666,1.0128923484899668
2024-10-02 09:00:00+00:00,SOL,Logistic Regression,candle_raw,short_only,with_cost,FLAT,CLOSE_SHORT,1,0.512046560629492,0.0,1.0,0.00035,-0.0017117425539199,-0.0,-0.00035,1.0132423484899666,1.0125378361679953
2024-10-02 10:00:00+00:00,SOL,Logistic Regression,candle_raw,short_only,with_cost,FLAT,HOLD,0,0.49569355589299546,0.0,0.0,0.0,0.0022633744855966,0.0,0.0,1.0132423484899666,1.0125378361679953
2024-10-02 11:00:00+00:00,SOL,Logistic Regression,candle_raw,short_only,with_cost,SHORT,OPEN_SHORT,1,0.46476516385468486,-1.0,1.0,0.00035,-0.0148497912817353,0.0148497912817353,0.0144997912817353,1.028288785882858,1.0272194234572911
2024-10-02 12:00:00+00:00,SOL,Logistic Regression,candle_raw,short_only,with_cost,FLAT,CLOSE_SHORT,1,0.5124976973686419,0.0,1.0,0.00035,0.0140316754654068,0.0,-0.00035,1.028288785882858,1.0268598966590812
2024-10-02 13:00:00+00:00,SOL,Logistic Regression,candle_raw,short_only,with_cost,SHORT,OPEN_SHORT,1,0.44762639835259027,-1.0,1.0,0.00035,-0.0048636799561582,0.0048636799561582,0.0045136799561582,1.0332900534398985,1.031494813592414
2024-10-02 14:00:00+00:00,SOL,Logistic Regression,candle_raw,short_only,with_cost,FLAT,CLOSE_SHORT,1,0.4893683935578173,0.0,1.0,0.00035,0.015075376884422,0.0,-0.00035,1.0332900534398985,1.0311337904076567
2024-10-02 15:00:00+00:00,SOL,Logistic Regression,candle_raw,short_only,with_cost,SHORT,OPEN_SHORT,1,0.4541785514349151,-1.0,1.0,0.00035,-0.0099009900990099,0.0099009900990099,0.0095509900990099,1.0435206480284125,1.0409821390305947
2024-10-02 16:00:00+00:00,SOL,Logistic Regression,candle_raw,short_only,with_cost,FLAT,CLOSE_SHORT,1,0.5109327857848722,0.0,1.0,0.00035,-0.0019863013698629,-0.0,-0.00035,1.0435206480284125,1.040617795281934
2024-10-02 17:00:00+00:00,SOL,Logistic Regression,candle_raw,short_only,with_cost,FLAT,HOLD,0,0.4732144928012432,0.0,0.0,0.0,-0.0236085375060051,-0.0,-0.0,1.0435206480284125,1.040617795281934
2024-10-02 18:00:00+00:00,SOL,Logistic Regression,candle_raw,short_only,with_cost,FLAT,HOLD,0,0.5291262812801087,0.0,0.0,0.0,-0.0160961551978633,-0.0,-0.0,1.0435206480284125,1.040617795281934
2024-10-02 19:00:00+00:00,SOL,Logistic Regression,candle_raw,short_only,with_cost,FLAT,HOLD,0,0.4831346350305354,0.0,0.0,0.0,0.0061437348192598,0.0,0.0,1.0435206480284125,1.040617795281934
2024-10-02 20:00:00+00:00,SOL,Logistic Regression,candle_raw,short_only,with_cost,SHORT,OPEN_SHORT,1,0.4488523904321493,-1.0,1.0,0.00035,-7.100255609193695e-05,7.100255609193695e-05,-0.00027899744390806304,1.0435947406617572,1.0403274655769652
2024-10-02 21:00:00+00:00,SOL,Logistic Regression,candle_raw,short_only,with_cost,FLAT,CLOSE_SHORT,1,0.47461916553659694,0.0,1.0,0.00035,0.0052545622381594,0.0,-0.00035,1.0435947406617572,1.0399633509640134
2024-10-02 22:00:00+00:00,SOL,Logistic Regression,candle_raw,short_only,with_cost,SHORT,OPEN_SHORT,1,0.45094282602690927,-1.0,1.0,0.00035,-0.0098184643639188,0.0098184643639188,0.0094684643639188,1.0538412384333176,1.0498102068923978
2024-10-02 23:00:00+00:00,SOL,Logistic Regression,candle_raw,short_only,with_cost,FLAT,CLOSE_SHORT,1,0.5124285447672731,0.0,1.0,0.00035,0.0036381794835211,0.0,-0.00035,1.0538412384333176,1.0494427733199856
2024-10-03 00:00:00+00:00,SOL,Logistic Regression,candle_raw,short_only,with_cost,SHORT,OPEN_SHORT,1,0.4513775298497984,-1.0,1.0,0.00035,0.0051176345156016,-0.0051176345156016,-0.0054676345156015995,1.0484480641375469,1.0437048037904326
2024-10-03 01:00:00+00:00,SOL,Logistic Regression,candle_raw,short_only,with_cost,FLAT,CLOSE_SHORT,1,0.47103687541681977,0.0,1.0,0.00035,0.0043844141149849,0.0,-0.00035,1.0484480641375469,1.043339507109106
2024-10-03 02:00:00+00:00,SOL,Logistic Regression,candle_raw,short_only,with_cost,SHORT,OPEN_SHORT,1,0.4644472181045111,-1.0,1.0,0.00035,0.0059846511300429,-0.0059846511300429,-0.006334651130042899,1.0421734682457149,1.036730315321379
2024-10-03 03:00:00+00:00,SOL,Logistic Regression,candle_raw,short_only,with_cost,SHORT,HOLD,0,0.4610862967614202,-1.0,0.0,0.0,-0.0055291153415453,0.0055291153415453,0.0055291153415453,1.0479357655575439,1.0424625168128674
2024-10-03 04:00:00+00:00,SOL,Logistic Regression,candle_raw,short_only,with_cost,FLAT,CLOSE_SHORT,1,0.49776807013521623,0.0,1.0,0.00035,-0.0057006122879864,-0.0,-0.00035,1.0479357655575439,1.042097654931983
2024-10-03 05:00:00+00:00,SOL,Logistic Regression,candle_raw,short_only,with_cost,FLAT,HOLD,0,0.4995207257354301,0.0,0.0,0.0,0.0027604756511889,0.0,0.0,1.0479357655575439,1.042097654931983
2024-10-03 06:00:00+00:00,SOL,Logistic Regression,candle_raw,short_only,with_cost,FLAT,HOLD,0,0.47551490795521445,0.0,0.0,0.0,-0.0124232371003034,-0.0,-0.0,1.0479357655575439,1.042097654931983
2024-10-03 07:00:00+00:00,SOL,Logistic Regression,candle_raw,short_only,with_cost,FLAT,HOLD,0,0.5188744738614773,0.0,0.0,0.0,-0.0270173683081981,-0.0,-0.0,1.0479357655575439,1.042097654931983
2024-10-03 08:00:00+00:00,SOL,Logistic Regression,candle_raw,short_only,with_cost,FLAT,HOLD,0,0.5297743881415271,0.0,0.0,0.0,0.0087416440167487,0.0,0.0,1.0479357655575439,1.042097654931983
2024-10-03 09:00:00+00:00,SOL,Logistic Regression,candle_raw,short_only,with_cost,SHORT,OPEN_SHORT,1,0.45003406144098246,-1.0,1.0,0.00035,0.0069181473929509,-0.0069181473929509,-0.007268147392950899,1.040685991473072,1.0345235355780888
2024-10-03 10:00:00+00:00,SOL,Logistic Regression,candle_raw,short_only,with_cost,SHORT,HOLD,0,0.4519803369071696,-1.0,0.0,0.0,-0.0101974397917118,0.0101974397917118,0.0101974397917118,1.0512983242131964,1.045073027045255
2024-10-03 11:00:00+00:00,SOL,Logistic Regression,candle_raw,short_only,with_cost,FLAT,CLOSE_SHORT,1,0.5123281637854009,0.0,1.0,0.00035,-0.005480052608505,-0.0,-0.00035,1.0512983242131964,1.0447072514857894
2024-10-03 12:00:00+00:00,SOL,Logistic Regression,candle_raw,short_only,with_cost,FLAT,HOLD,0,0.4763015172402818,0.0,0.0,0.0,0.0061714789508484,0.0,0.0,1.0512983242131964,1.0447072514857894
2024-10-03 13:00:00+00:00,SOL,Logistic Regression,candle_raw,short_only,with_cost,SHORT,OPEN_SHORT,1,0.4401318474155254,-1.0,1.0,0.00035,-0.0156261409273456,0.0156261409273456,0.0152761409273456,1.067726059984034,1.0606663466873063
2024-10-03 14:00:00+00:00,SOL,Logistic Regression,candle_raw,short_only,with_cost,FLAT,CLOSE_SHORT,1,0.505542991612342,0.0,1.0,0.00035,0.0057117424523402,0.0,-0.00035,1.067726059984034,1.0602951134659657
2024-10-03 15:00:00+00:00,SOL,Logistic Regression,candle_raw,short_only,with_cost,SHORT,OPEN_SHORT,1,0.4357586859784475,-1.0,1.0,0.00035,-0.0041304027142646,0.0041304027142646,0.0037804027142645997,1.072136198600283,1.0643034559908338
2024-10-03 16:00:00+00:00,SOL,Logistic Regression,candle_raw,short_only,with_cost,FLAT,CLOSE_SHORT,1,0.4751539972595013,0.0,1.0,0.00035,0.0069619315656939,0.0,-0.00035,1.072136198600283,1.063930949781237
2024-10-03 17:00:00+00:00,SOL,Logistic Regression,candle_raw,short_only,with_cost,SHORT,OPEN_SHORT,1,0.4606185786407698,-1.0,1.0,0.00035,0.0008090614886731,-0.0008090614886731,-0.0011590614886730999,1.0712687744913831,1.0626977883907383
2024-10-03 18:00:00+00:00,SOL,Logistic Regression,candle_raw,short_only,with_cost,FLAT,CLOSE_SHORT,1,0.47261532331864986,0.0,1.0,0.00035,0.0091129565664731,0.0,-0.00035,1.0712687744913831,1.0623258441648016
2024-10-03 19:00:00+00:00,SOL,Logistic Regression,candle_raw,short_only,with_cost,SHORT,OPEN_SHORT,1,0.45628177730862995,-1.0,1.0,0.00035,-0.0089578326414681,0.0089578326414681,0.0086078326414681,1.0808650208873076,1.0714701672420783
2024-10-03 20:00:00+00:00,SOL,Logistic Regression,candle_raw,short_only,with_cost,FLAT,CLOSE_SHORT,1,0.5113449309996497,0.0,1.0,0.00035,0.0076425631981187,0.0,-0.00035,1.0808650208873076,1.0710951526835437
2024-10-03 21:00:00+00:00,SOL,Logistic Regression,candle_raw,short_only,with_cost,SHORT,OPEN_SHORT,1,0.4624947141537312,-1.0,1.0,0.00035,-0.0013856476079346,0.0013856476079346,0.0010356476079346,1.0823627189180003,1.0722044298162907
2024-10-03 22:00:00+00:00,SOL,Logistic Regression,candle_raw,short_only,with_cost,FLAT,CLOSE_SHORT,1,0.4775997024029176,0.0,1.0,0.00035,-0.0008763601840356,-0.0,-0.00035,1.0823627189180003,1.071829158265855
2024-10-03 23:00:00+00:00,SOL,Logistic Regression,candle_raw,short_only,with_cost,FLAT,HOLD,0,0.47710499840368986,0.0,0.0,0.0,-0.0060668079818727,-0.0,-0.0,1.0823627189180003,1.071829158265855
2024-10-04 00:00:00+00:00,SOL,Logistic Regression,candle_raw,short_only,with_cost,FLAT,HOLD,0,0.5028200384095926,0.0,0.0,0.0,0.0159582291513458,0.0,0.0,1.0823627189180003,1.071829158265855
2024-10-04 01:00:00+00:00,SOL,Logistic Regression,candle_raw,short_only,with_cost,SHORT,OPEN_SHORT,1,0.4621673310473452,-1.0,1.0,0.00035,-0.0039811798769454,0.0039811798769454,0.0036311798769453995,1.0866717995941124,1.0757211627368735
