datetime,asset,model,feature_set,strategy_mode,cost_regime,signal,trade_action,is_trade_event,y_prob_long,y_prob_short,long_threshold,short_threshold,threshold_feasible,model_params,position,position_change,transaction_cost,raw_return,raw_log_return,gross_return,net_return,gross_equity_curve,net_equity_curve
2024-10-03 07:00:00+00:00,BTC,LSTM,candle_extended,short_only,with_cost,FLAT,HOLD,0,0.5096720457077026,0.4979727864265442,,0.56,True,"{""lookback_hours"": 24}",0.0,0.0,0.0,-0.0093884384335094,-0.0094327876196189,-0.0,-0.0,1.0,1.0
2024-10-03 08:00:00+00:00,BTC,LSTM,candle_extended,short_only,with_cost,FLAT,HOLD,0,0.5439834594726562,0.4670833349227905,,0.56,True,"{""lookback_hours"": 24}",0.0,0.0,0.0,0.006072174172383,0.0060538128142128,0.0,0.0,1.0,1.0
2024-10-03 09:00:00+00:00,BTC,LSTM,candle_extended,short_only,with_cost,FLAT,HOLD,0,0.49058446288108826,0.4787643253803253,,0.56,True,"{""lookback_hours"": 24}",0.0,0.0,0.0,0.0050312513998571,0.0050186369478268,0.0,0.0,1.0,1.0
2024-10-03 10:00:00+00:00,BTC,LSTM,candle_extended,short_only,with_cost,FLAT,HOLD,0,0.45753514766693115,0.5233124494552612,,0.56,True,"{""lookback_hours"": 24}",0.0,0.0,0.0,-0.0042809636158239,-0.0042901531767256,-0.0,-0.0,1.0,1.0
2024-10-03 11:00:00+00:00,BTC,LSTM,candle_extended,short_only,with_cost,FLAT,HOLD,0,0.5081066489219666,0.49620741605758667,,0.56,True,"{""lookback_hours"": 24}",0.0,0.0,0.0,-0.0048511694201555,-0.004862974537083,-0.0,-0.0,1.0,1.0
2024-10-03 12:00:00+00:00,BTC,LSTM,candle_extended,short_only,with_cost,FLAT,HOLD,0,0.5362557172775269,0.47342008352279663,,0.56,True,"{""lookback_hours"": 24}",0.0,0.0,0.0,-0.0014534491925327,-0.0014545064744049,-0.0,-0.0,1.0,1.0
2024-10-03 13:00:00+00:00,BTC,LSTM,candle_extended,short_only,with_cost,FLAT,HOLD,0,0.4952867031097412,0.4628669023513794,,0.56,True,"{""lookback_hours"": 24}",0.0,0.0,0.0,-0.0034786822443618,-0.0034847469282641,-0.0,-0.0,1.0,1.0
2024-10-03 14:00:00+00:00,BTC,LSTM,candle_extended,short_only,with_cost,FLAT,HOLD,0,0.5213555693626404,0.4551524221897125,,0.56,True,"{""lookback_hours"": 24}",0.0,0.0,0.0,0.0078024649666845,0.0077721831501217,0.0,0.0,1.0,1.0
2024-10-03 15:00:00+00:00,BTC,LSTM,candle_extended,short_only,with_cost,FLAT,HOLD,0,0.4769003391265869,0.4544258415699005,,0.56,True,"{""lookback_hours"": 24}",0.0,0.0,0.0,-0.0078083490678826,-0.0078389938531549,-0.0,-0.0,1.0,1.0
2024-10-03 16:00:00+00:00,BTC,LSTM,candle_extended,short_only,with_cost,FLAT,HOLD,0,0.5288503170013428,0.45655012130737305,,0.56,True,"{""lookback_hours"": 24}",0.0,0.0,0.0,0.0077119079430774,0.0076823231869428,0.0,0.0,1.0,1.0
