datetime,asset,model,feature_set,strategy_mode,cost_regime,signal,trade_action,is_trade_event,y_prob_long,y_prob_short,long_threshold,short_threshold,threshold_feasible,model_params,position,position_change,transaction_cost,raw_return,raw_log_return,gross_return,net_return,gross_equity_curve,net_equity_curve
2024-10-03 07:00:00+00:00,ETH,MLP,candle_extended,short_only,with_cost,FLAT,HOLD,0,0.5278462171554565,0.4033217430114746,,0.55,True,"{""lookback_hours"": 24}",0.0,0.0,0.0,-0.0114773856596113,-0.0115437592023064,-0.0,-0.0,1.0,1.0
2024-10-03 08:00:00+00:00,ETH,MLP,candle_extended,short_only,with_cost,FLAT,HOLD,0,0.5242943167686462,0.349626749753952,,0.55,True,"{""lookback_hours"": 24}",0.0,0.0,0.0,0.0065283143173717,0.0065070971648901,0.0,0.0,1.0,1.0
2024-10-03 09:00:00+00:00,ETH,MLP,candle_extended,short_only,with_cost,FLAT,HOLD,0,0.5048694610595703,0.4391282796859741,,0.55,True,"{""lookback_hours"": 24}",0.0,0.0,0.0,0.0067154885517921,0.0066930401040343,0.0,0.0,1.0,1.0
2024-10-03 10:00:00+00:00,ETH,MLP,candle_extended,short_only,with_cost,FLAT,HOLD,0,0.44908589124679565,0.5072467923164368,,0.55,True,"{""lookback_hours"": 24}",0.0,0.0,0.0,-0.0068480137804668,-0.0068715690261939,-0.0,-0.0,1.0,1.0
2024-10-03 11:00:00+00:00,ETH,MLP,candle_extended,short_only,with_cost,FLAT,HOLD,0,0.4768119752407074,0.4025028944015503,,0.55,True,"{""lookback_hours"": 24}",0.0,0.0,0.0,-4.251068080773912e-06,-4.2510771165894335e-06,-0.0,-0.0,1.0,1.0
2024-10-03 12:00:00+00:00,ETH,MLP,candle_extended,short_only,with_cost,FLAT,HOLD,0,0.4806208312511444,0.3402513861656189,,0.55,True,"{""lookback_hours"": 24}",0.0,0.0,0.0,-0.002142547420866,-0.00214484595933,-0.0,-0.0,1.0,1.0
2024-10-03 13:00:00+00:00,ETH,MLP,candle_extended,short_only,with_cost,FLAT,HOLD,0,0.4671703577041626,0.47666025161743164,,0.55,True,"{""lookback_hours"": 24}",0.0,0.0,0.0,-0.0126741362416393,-0.0127551382545364,-0.0,-0.0,1.0,1.0
2024-10-03 14:00:00+00:00,ETH,MLP,candle_extended,short_only,with_cost,FLAT,HOLD,0,0.4710007309913635,0.4807528257369995,,0.55,True,"{""lookback_hours"": 24}",0.0,0.0,0.0,0.0099458479860194,0.0098967135603604,0.0,0.0,1.0,1.0
2024-10-03 15:00:00+00:00,ETH,MLP,candle_extended,short_only,with_cost,FLAT,HOLD,0,0.5118539333343506,0.4930335581302643,,0.55,True,"{""lookback_hours"": 24}",0.0,0.0,0.0,-0.0067076817909936,-0.0067302793968861,-0.0,-0.0,1.0,1.0
2024-10-03 16:00:00+00:00,ETH,MLP,candle_extended,short_only,with_cost,FLAT,HOLD,0,0.5177716016769409,0.4749950170516968,,0.55,True,"{""lookback_hours"": 24}",0.0,0.0,0.0,0.008142285689707,0.0081093161257457,0.0,0.0,1.0,1.0
2024-10-03 17:00:00+00:00,ETH,MLP,candle_extended,short_only,with_cost,FLAT,HOLD,0,0.5037147998809814,0.4092954397201538,,0.55,True,"{""lookback_hours"": 24}",0.0,0.0,0.0,0.0001322621521184,0.0001322534062511,0.0,0.0,1.0,1.0
2024-10-03 18:00:00+00:00,ETH,MLP,candle_extended,short_only,with_cost,FLAT,HOLD,0,0.5167044997215271,0.4143354296684265,,0.55,True,"{""lookback_hours"": 24}",0.0,0.0,0.0,0.0039972015323317,0.0039892339472581,0.0,0.0,1.0,1.0
2024-10-03 19:00:00+00:00,ETH,MLP,candle_extended,short_only,with_cost,FLAT,HOLD,0,0.47440898418426514,0.4323386549949646,,0.55,True,"{""lookback_hours"": 24}",0.0,0.0,0.0,-0.0049033146236898,-0.0049153753118901,-0.0,-0.0,1.0,1.0
2024-10-03 20:00:00+00:00,ETH,MLP,candle_extended,short_only,with_cost,FLAT,HOLD,0,0.5087928771972656,0.36996006965637207,,0.55,True,"{""lookback_hours"": 24}",0.0,0.0,0.0,0.0036080735449217,0.0036015800621905,0.0,0.0,1.0,1.0
2024-10-03 21:00:00+00:00,ETH,MLP,candle_extended,short_only,with_cost,FLAT,HOLD,0,0.5188981890678406,0.4578830599784851,,0.55,True,"{""lookback_hours"": 24}",0.0,0.0,0.0,0.000706256754112,0.0007060074721751,0.0,0.0,1.0,1.0
2024-10-03 22:00:00+00:00,ETH,MLP,candle_extended,short_only,with_cost,FLAT,HOLD,0,0.4770905673503876,0.5110445022583008,,0.55,True,"{""lookback_hours"": 24}",0.0,0.0,0.0,-0.0009693547838507,-0.0009698249120377,-0.0,-0.0,1.0,1.0
2024-10-03 23:00:00+00:00,ETH,MLP,candle_extended,short_only,with_cost,FLAT,HOLD,0,0.46519723534584045,0.5263311862945557,,0.55,True,"{""lookback_hours"": 24}",0.0,0.0,0.0,-0.0040131074985105,-0.004021181623201,-0.0,-0.0,1.0,1.0
2024-10-04 00:00:00+00:00,ETH,MLP,candle_extended,short_only,with_cost,FLAT,HOLD,0,0.4851965606212616,0.46200039982795715,,0.55,True,"{""lookback_hours"": 24}",0.0,0.0,0.0,0.0158906497690536,0.0157657151838966,0.0,0.0,1.0,1.0
2024-10-04 01:00:00+00:00,ETH,MLP,candle_extended,short_only,with_cost,FLAT,HOLD,0,0.4912973940372467,0.4955138862133026,,0.55,True,"{""lookback_hours"": 24}",0.0,0.0,0.0,-0.0030072847793536,-0.0030118157464447,-0.0,-0.0,1.0,1.0
2024-10-04 02:00:00+00:00,ETH,MLP,candle_extended,short_only,with_cost,FLAT,HOLD,0,0.4509482681751251,0.5338274240493774,,0.55,True,"{""lookback_hours"": 24}",0.0,0.0,0.0,-0.00140903894263,-0.0014100325714851,-0.0,-0.0,1.0,1.0
2024-10-04 03:00:00+00:00,ETH,MLP,candle_extended,short_only,with_cost,FLAT,HOLD,0,0.4427683651447296,0.5482233762741089,,0.55,True,"{""lookback_hours"": 24}",0.0,0.0,0.0,0.0030206119802116,0.0030160590978673,0.0,0.0,1.0,1.0
2024-10-04 04:00:00+00:00,ETH,MLP,candle_extended,short_only,with_cost,FLAT,HOLD,0,0.4618024230003357,0.464557409286499,,0.55,True,"{""lookback_hours"": 24}",0.0,0.0,0.0,0.0038412615511622,0.0038339027447235,0.0,0.0,1.0,1.0
2024-10-04 05:00:00+00:00,ETH,MLP,candle_extended,short_only,with_cost,FLAT,HOLD,0,0.45938625931739807,0.43833127617836,,0.55,True,"{""lookback_hours"": 24}",0.0,0.0,0.0,-0.0035160740809117,-0.0035222699971801,-0.0,-0.0,1.0,1.0
2024-10-04 06:00:00+00:00,ETH,MLP,candle_extended,short_only,with_cost,FLAT,HOLD,0,0.49668556451797485,0.419898122549057,,0.55,True,"{""lookback_hours"": 24}",0.0,0.0,0.0,0.0027958365614577,0.0027919354799179,0.0,0.0,1.0,1.0
2024-10-04 07:00:00+00:00,ETH,MLP,candle_extended,short_only,with_cost,FLAT,HOLD,0,0.4684996008872986,0.4810010492801666,,0.55,True,"{""lookback_hours"": 24}",0.0,0.0,0.0,-3.778972119572455e-05,-3.779043524522778e-05,-0.0,-0.0,1.0,1.0
2024-10-04 08:00:00+00:00,ETH,MLP,candle_extended,short_only,with_cost,FLAT,HOLD,0,0.5158089995384216,0.4935411214828491,,0.55,True,"{""lookback_hours"": 24}",0.0,0.0,0.0,-0.0018307712333771,-0.0018324491432571,-0.0,-0.0,1.0,1.0
2024-10-04 09:00:00+00:00,ETH,MLP,candle_extended,short_only,with_cost,FLAT,HOLD,0,0.5009364485740662,0.4977877736091614,,0.55,True,"{""lookback_hours"": 24}",0.0,0.0,0.0,-0.0008329301895126,-0.0008332772686048,-0.0,-0.0,1.0,1.0
2024-10-04 10:00:00+00:00,ETH,MLP,candle_extended,short_only,with_cost,FLAT,HOLD,0,0.490643709897995,0.5100607872009277,,0.55,True,"{""lookback_hours"": 24}",0.0,0.0,0.0,0.004643878122408,0.0046331285872405,0.0,0.0,1.0,1.0
2024-10-04 11:00:00+00:00,ETH,MLP,candle_extended,short_only,with_cost,FLAT,HOLD,0,0.4634372889995575,0.5161681175231934,,0.55,True,"{""lookback_hours"": 24}",0.0,0.0,0.0,0.0046727013661889,0.004661818186557,0.0,0.0,1.0,1.0
2024-10-04 12:00:00+00:00,ETH,MLP,candle_extended,short_only,with_cost,FLAT,HOLD,0,0.4469876289367676,0.5446591377258301,,0.55,True,"{""lookback_hours"": 24}",0.0,0.0,0.0,-0.0078253071099337,-0.0078560854976533,-0.0,-0.0,1.0,1.0
2024-10-04 13:00:00+00:00,ETH,MLP,candle_extended,short_only,with_cost,FLAT,HOLD,0,0.44474199414253235,0.5177103281021118,,0.55,True,"{""lookback_hours"": 24}",0.0,0.0,0.0,-0.0047843470291223,-0.0047958286533913,-0.0,-0.0,1.0,1.0
2024-10-04 14:00:00+00:00,ETH,MLP,candle_extended,short_only,with_cost,FLAT,HOLD,0,0.47510844469070435,0.4556434452533722,,0.55,True,"{""lookback_hours"": 24}",0.0,0.0,0.0,0.0210754432433117,0.0208564279740476,0.0,0.0,1.0,1.0
2024-10-04 15:00:00+00:00,ETH,MLP,candle_extended,short_only,with_cost,FLAT,HOLD,0,0.45394739508628845,0.5196537971496582,,0.55,True,"{""lookback_hours"": 24}",0.0,0.0,0.0,0.0068801456290596,0.0068565854304538,0.0,0.0,1.0,1.0
2024-10-04 16:00:00+00:00,ETH,MLP,candle_extended,short_only,with_cost,FLAT,HOLD,0,0.4370824098587036,0.5381070375442505,,0.55,True,"{""lookback_hours"": 24}",0.0,0.0,0.0,-0.0075932827388411,-0.0076222584840947,-0.0,-0.0,1.0,1.0
2024-10-04 17:00:00+00:00,ETH,MLP,candle_extended,short_only,with_cost,FLAT,HOLD,0,0.5051531195640564,0.47890323400497437,,0.55,True,"{""lookback_hours"": 24}",0.0,0.0,0.0,0.0070137666908187,0.0069892846368397,0.0,0.0,1.0,1.0
