datetime,asset,model,feature_set,strategy_mode,cost_regime,signal,trade_action,is_trade_event,y_prob_long,y_prob_short,long_threshold,short_threshold,threshold_feasible,model_params,position,position_change,transaction_cost,raw_return,raw_log_return,gross_return,net_return,gross_equity_curve,net_equity_curve
2024-10-03 07:00:00+00:00,BTC,MLP,ohlc_extended,short_only,with_cost,FLAT,HOLD,0,0.4929581582546234,0.48860689997673035,,0.54,True,"{""lookback_hours"": 24}",0.0,0.0,0.0,-0.0093884384335094,-0.0094327876196189,-0.0,-0.0,1.0,1.0
2024-10-03 08:00:00+00:00,BTC,MLP,ohlc_extended,short_only,with_cost,FLAT,HOLD,0,0.5404266715049744,0.46134552359580994,,0.54,True,"{""lookback_hours"": 24}",0.0,0.0,0.0,0.006072174172383,0.0060538128142128,0.0,0.0,1.0,1.0
2024-10-03 09:00:00+00:00,BTC,MLP,ohlc_extended,short_only,with_cost,FLAT,HOLD,0,0.5268149971961975,0.4844093322753906,,0.54,True,"{""lookback_hours"": 24}",0.0,0.0,0.0,0.0050312513998571,0.0050186369478268,0.0,0.0,1.0,1.0
2024-10-03 10:00:00+00:00,BTC,MLP,ohlc_extended,short_only,with_cost,FLAT,HOLD,0,0.4846940338611603,0.5049334764480591,,0.54,True,"{""lookback_hours"": 24}",0.0,0.0,0.0,-0.0042809636158239,-0.0042901531767256,-0.0,-0.0,1.0,1.0
2024-10-03 11:00:00+00:00,BTC,MLP,ohlc_extended,short_only,with_cost,FLAT,HOLD,0,0.5119922757148743,0.4961894154548645,,0.54,True,"{""lookback_hours"": 24}",0.0,0.0,0.0,-0.0048511694201555,-0.004862974537083,-0.0,-0.0,1.0,1.0
2024-10-03 12:00:00+00:00,BTC,MLP,ohlc_extended,short_only,with_cost,FLAT,HOLD,0,0.5402801036834717,0.48823830485343933,,0.54,True,"{""lookback_hours"": 24}",0.0,0.0,0.0,-0.0014534491925327,-0.0014545064744049,-0.0,-0.0,1.0,1.0
2024-10-03 13:00:00+00:00,BTC,MLP,ohlc_extended,short_only,with_cost,FLAT,HOLD,0,0.514108419418335,0.4952819049358368,,0.54,True,"{""lookback_hours"": 24}",0.0,0.0,0.0,-0.0034786822443618,-0.0034847469282641,-0.0,-0.0,1.0,1.0
2024-10-03 14:00:00+00:00,BTC,MLP,ohlc_extended,short_only,with_cost,FLAT,HOLD,0,0.4773966372013092,0.49752700328826904,,0.54,True,"{""lookback_hours"": 24}",0.0,0.0,0.0,0.0078024649666845,0.0077721831501217,0.0,0.0,1.0,1.0
2024-10-03 15:00:00+00:00,BTC,MLP,ohlc_extended,short_only,with_cost,FLAT,HOLD,0,0.4699767827987671,0.5174458622932434,,0.54,True,"{""lookback_hours"": 24}",0.0,0.0,0.0,-0.0078083490678826,-0.0078389938531549,-0.0,-0.0,1.0,1.0
2024-10-03 16:00:00+00:00,BTC,MLP,ohlc_extended,short_only,with_cost,FLAT,HOLD,0,0.518660306930542,0.49126169085502625,,0.54,True,"{""lookback_hours"": 24}",0.0,0.0,0.0,0.0077119079430774,0.0076823231869428,0.0,0.0,1.0,1.0
2024-10-03 17:00:00+00:00,BTC,MLP,ohlc_extended,short_only,with_cost,FLAT,HOLD,0,0.4990723431110382,0.49422547221183777,,0.54,True,"{""lookback_hours"": 24}",0.0,0.0,0.0,0.0014894775036284,0.0014883693322726,0.0,0.0,1.0,1.0
2024-10-03 18:00:00+00:00,BTC,MLP,ohlc_extended,short_only,with_cost,FLAT,HOLD,0,0.4759175181388855,0.5045214891433716,,0.54,True,"{""lookback_hours"": 24}",0.0,0.0,0.0,0.0051659760638222,0.0051526781874885,0.0,0.0,1.0,1.0
2024-10-03 19:00:00+00:00,BTC,MLP,ohlc_extended,short_only,with_cost,FLAT,HOLD,0,0.4590425193309784,0.5201650261878967,,0.54,True,"{""lookback_hours"": 24}",0.0,0.0,0.0,-0.0042925486598073,-0.004301788096774,-0.0,-0.0,1.0,1.0
2024-10-03 20:00:00+00:00,BTC,MLP,ohlc_extended,short_only,with_cost,FLAT,HOLD,0,0.4850296080112457,0.5073845386505127,,0.54,True,"{""lookback_hours"": 24}",0.0,0.0,0.0,0.0005451344324876,0.0005449859006902,0.0,0.0,1.0,1.0
2024-10-03 21:00:00+00:00,BTC,MLP,ohlc_extended,short_only,with_cost,FLAT,HOLD,0,0.49160292744636536,0.5011212229728699,,0.54,True,"{""lookback_hours"": 24}",0.0,0.0,0.0,0.0014495010700226,0.0014484515574039,0.0,0.0,1.0,1.0
2024-10-03 22:00:00+00:00,BTC,MLP,ohlc_extended,short_only,with_cost,FLAT,HOLD,0,0.48659518361091614,0.5036544799804688,,0.54,True,"{""lookback_hours"": 24}",0.0,0.0,0.0,-0.0023409043099734,-0.0023436485099104,-0.0,-0.0,1.0,1.0
2024-10-03 23:00:00+00:00,BTC,MLP,ohlc_extended,short_only,with_cost,FLAT,HOLD,0,0.47893449664115906,0.501634418964386,,0.54,True,"{""lookback_hours"": 24}",0.0,0.0,0.0,-0.0040938084747481,-0.0041022110488553,-0.0,-0.0,1.0,1.0
