datetime,asset,model,feature_set,strategy_mode,cost_regime,signal,trade_action,is_trade_event,y_prob_long,y_prob_short,long_threshold,short_threshold,threshold_feasible,model_params,position,position_change,transaction_cost,raw_return,raw_log_return,gross_return,net_return,gross_equity_curve,net_equity_curve
2024-10-09 21:00:00+00:00,SOL,SMA,rule_based,short_only,with_cost,FLAT,HOLD,0,0.4580168145426495,0.5419831854573505,,0.56,True,"{""long_window"": 200, ""short_window"": 20}",0.0,0.0,0.0,-0.0047190047190048,-0.0047301743754016,-0.0,-0.0,1.0,1.0
2024-10-09 22:00:00+00:00,SOL,SMA,rule_based,short_only,with_cost,FLAT,HOLD,0,0.4518582005388533,0.5481417994611467,,0.56,True,"{""long_window"": 200, ""short_window"": 20}",0.0,0.0,0.0,0.0009339080459771,0.0009334722251812,0.0,0.0,1.0,1.0
2024-10-09 23:00:00+00:00,SOL,SMA,rule_based,short_only,with_cost,FLAT,HOLD,0,0.4456566315299378,0.5543433684700622,,0.56,True,"{""long_window"": 200, ""short_window"": 20}",0.0,0.0,0.0,-0.0061006244168522,-0.0061193092575467,-0.0,-0.0,1.0,1.0
2024-10-10 00:00:00+00:00,SOL,SMA,rule_based,short_only,with_cost,SHORT,OPEN_SHORT,1,0.4390261011201459,0.5609738988798542,,0.56,True,"{""long_window"": 200, ""short_window"": 20}",-1.0,1.0,0.00035,0.005993645291739,0.0059757548501799,-0.005993645291739,-0.0063436452917389995,0.994006354708261,0.993656354708261
2024-10-10 01:00:00+00:00,SOL,SMA,rule_based,short_only,with_cost,SHORT,HOLD,0,0.43203256178455296,0.567967438215447,,0.56,True,"{""long_window"": 200, ""short_window"": 20}",-1.0,0.0,0.0,0.0030866413035677,0.0030818874061712,-0.0030866413035677,-0.0030866413035677,0.9909382136378098,0.9905892939622659
2024-10-10 02:00:00+00:00,SOL,SMA,rule_based,short_only,with_cost,SHORT,HOLD,0,0.4267959549956049,0.573204045004395,,0.56,True,"{""long_window"": 200, ""short_window"": 20}",-1.0,0.0,0.0,0.0010734220695576,0.0010728463640344,-0.0010734220695576,-0.0010734220695576,0.9898745186897229,0.9895259735522594
2024-10-10 03:00:00+00:00,SOL,SMA,rule_based,short_only,with_cost,SHORT,HOLD,0,0.4221272714572959,0.5778727285427041,,0.56,True,"{""long_window"": 200, ""short_window"": 20}",-1.0,0.0,0.0,-0.0001429694760167,-0.0001429796971265,0.0001429694760167,0.0001429694760167,0.9900160405309821,0.989667445562203
2024-10-10 04:00:00+00:00,SOL,SMA,rule_based,short_only,with_cost,SHORT,HOLD,0,0.4177927889596849,0.5822072110403151,,0.56,True,"{""long_window"": 200, ""short_window"": 20}",-1.0,0.0,0.0,0.0048616572531636,0.0048498775613283,-0.0048616572531636,-0.0048616572531636,0.9852029218667864,0.9848560216472656
2024-10-10 05:00:00+00:00,SOL,SMA,rule_based,short_only,with_cost,SHORT,HOLD,0,0.4141614208543556,0.5858385791456445,,0.56,True,"{""long_window"": 200, ""short_window"": 20}",-1.0,0.0,0.0,-0.0004268943436499,-0.0004269854889808,0.0004268943436499,0.0004268943436499,0.9856234994214786,0.9852764511122163
2024-10-10 06:00:00+00:00,SOL,SMA,rule_based,short_only,with_cost,SHORT,HOLD,0,0.4111838716056935,0.5888161283943065,,0.56,True,"{""long_window"": 200, ""short_window"": 20}",-1.0,0.0,0.0,-0.0056231760267636,-0.0056390456006441,0.0056231760267636,0.0056231760267636,0.9911658338548403,0.9908168340318452
