datetime,asset,model,feature_set,strategy_mode,cost_regime,signal,trade_action,is_trade_event,y_prob,position,position_change,transaction_cost,raw_return,gross_return,net_return,gross_equity_curve,net_equity_curve
2024-10-02 08:00:00+00:00,XRP,XGBoost,candle_extended,short_only,with_cost,FLAT,HOLD,0,0.5172713,0.0,0.0,0.0,-0.0191252286712122,-0.0,-0.0,1.0,1.0
2024-10-02 09:00:00+00:00,XRP,XGBoost,candle_extended,short_only,with_cost,FLAT,HOLD,0,0.53314334,0.0,0.0,0.0,-0.0001695489996609,-0.0,-0.0,1.0,1.0
2024-10-02 10:00:00+00:00,XRP,XGBoost,candle_extended,short_only,with_cost,FLAT,HOLD,0,0.60205466,0.0,0.0,0.0,-0.0067831100559606,-0.0,-0.0,1.0,1.0
2024-10-02 11:00:00+00:00,XRP,XGBoost,candle_extended,short_only,with_cost,FLAT,HOLD,0,0.5094332,0.0,0.0,0.0,0.0020488304592793,0.0,0.0,1.0,1.0
2024-10-02 12:00:00+00:00,XRP,XGBoost,candle_extended,short_only,with_cost,FLAT,HOLD,0,0.547525,0.0,0.0,0.0,-0.0032373487817345,-0.0,-0.0,1.0,1.0
2024-10-02 13:00:00+00:00,XRP,XGBoost,candle_extended,short_only,with_cost,FLAT,HOLD,0,0.53316295,0.0,0.0,0.0,-0.0076923076923075,-0.0,-0.0,1.0,1.0
2024-10-02 14:00:00+00:00,XRP,XGBoost,candle_extended,short_only,with_cost,FLAT,HOLD,0,0.52318305,0.0,0.0,0.0,0.0068906115417743,0.0,0.0,1.0,1.0
2024-10-02 15:00:00+00:00,XRP,XGBoost,candle_extended,short_only,with_cost,FLAT,HOLD,0,0.5507486,0.0,0.0,0.0,-0.0011976047904191,-0.0,-0.0,1.0,1.0
2024-10-02 16:00:00+00:00,XRP,XGBoost,candle_extended,short_only,with_cost,FLAT,HOLD,0,0.5394399,0.0,0.0,0.0,-0.0030832476875642,-0.0,-0.0,1.0,1.0
2024-10-02 17:00:00+00:00,XRP,XGBoost,candle_extended,short_only,with_cost,FLAT,HOLD,0,0.5096817,0.0,0.0,0.0,-0.0216494845360823,-0.0,-0.0,1.0,1.0
2024-10-02 18:00:00+00:00,XRP,XGBoost,candle_extended,short_only,with_cost,FLAT,HOLD,0,0.57882977,0.0,0.0,0.0,0.0101861608710924,0.0,0.0,1.0,1.0
2024-10-02 19:00:00+00:00,XRP,XGBoost,candle_extended,short_only,with_cost,FLAT,HOLD,0,0.47925273,0.0,0.0,0.0,-0.0076495132127957,-0.0,-0.0,1.0,1.0
2024-10-02 20:00:00+00:00,XRP,XGBoost,candle_extended,short_only,with_cost,FLAT,HOLD,0,0.5787907,0.0,0.0,0.0,-0.052207428170988,-0.0,-0.0,1.0,1.0
2024-10-02 21:00:00+00:00,XRP,XGBoost,candle_extended,short_only,with_cost,FLAT,HOLD,0,0.83390087,0.0,0.0,0.0,0.0073937153419594,0.0,0.0,1.0,1.0
2024-10-02 22:00:00+00:00,XRP,XGBoost,candle_extended,short_only,with_cost,FLAT,HOLD,0,0.72570676,0.0,0.0,0.0,-0.0122935779816514,-0.0,-0.0,1.0,1.0
2024-10-02 23:00:00+00:00,XRP,XGBoost,candle_extended,short_only,with_cost,FLAT,HOLD,0,0.7204064,0.0,0.0,0.0,-0.0118892810700351,-0.0,-0.0,1.0,1.0
2024-10-03 00:00:00+00:00,XRP,XGBoost,candle_extended,short_only,with_cost,FLAT,HOLD,0,0.76328295,0.0,0.0,0.0,0.0037601052829479,0.0,0.0,1.0,1.0
2024-10-03 01:00:00+00:00,XRP,XGBoost,candle_extended,short_only,with_cost,FLAT,HOLD,0,0.6715624,0.0,0.0,0.0,0.0127364675032775,0.0,0.0,1.0,1.0
2024-10-03 02:00:00+00:00,XRP,XGBoost,candle_extended,short_only,with_cost,FLAT,HOLD,0,0.4788128,0.0,0.0,0.0,-0.0055483632328463,-0.0,-0.0,1.0,1.0
2024-10-03 03:00:00+00:00,XRP,XGBoost,candle_extended,short_only,with_cost,FLAT,HOLD,0,0.52161103,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2024-10-03 04:00:00+00:00,XRP,XGBoost,candle_extended,short_only,with_cost,FLAT,HOLD,0,0.55949813,0.0,0.0,0.0,-0.0061372512553468,-0.0,-0.0,1.0,1.0
2024-10-03 05:00:00+00:00,XRP,XGBoost,candle_extended,short_only,with_cost,FLAT,HOLD,0,0.5062148,0.0,0.0,0.0,-0.0041167664670658,-0.0,-0.0,1.0,1.0
2024-10-03 06:00:00+00:00,XRP,XGBoost,candle_extended,short_only,with_cost,FLAT,HOLD,0,0.5774308,0.0,0.0,0.0,-0.0251785043216835,-0.0,-0.0,1.0,1.0
2024-10-03 07:00:00+00:00,XRP,XGBoost,candle_extended,short_only,with_cost,FLAT,HOLD,0,0.631874,0.0,0.0,0.0,-0.0098303777949113,-0.0,-0.0,1.0,1.0
2024-10-03 08:00:00+00:00,XRP,XGBoost,candle_extended,short_only,with_cost,FLAT,HOLD,0,0.56433934,0.0,0.0,0.0,0.0114853027058592,0.0,0.0,1.0,1.0
2024-10-03 09:00:00+00:00,XRP,XGBoost,candle_extended,short_only,with_cost,FLAT,HOLD,0,0.5320757,0.0,0.0,0.0,0.008660508083141,0.0,0.0,1.0,1.0
2024-10-03 10:00:00+00:00,XRP,XGBoost,candle_extended,short_only,with_cost,FLAT,HOLD,0,0.45635152,0.0,0.0,0.0,-0.0131654264453349,-0.0,-0.0,1.0,1.0
