datetime,asset,model,feature_set,strategy_mode,cost_regime,signal,trade_action,is_trade_event,y_prob,position,position_change,transaction_cost,raw_return,gross_return,net_return,gross_equity_curve,net_equity_curve
2024-10-02 08:00:00+00:00,XRP,XGBoost,ohlc_raw,short_only,with_cost,SHORT,OPEN_SHORT,1,0.41377085,-1.0,1.0,0.00035,-0.0191252286712122,0.0191252286712122,0.018775228671212202,1.0191252286712122,1.0187752286712122
2024-10-02 09:00:00+00:00,XRP,XGBoost,ohlc_raw,short_only,with_cost,FLAT,CLOSE_SHORT,1,0.5364363,0.0,1.0,0.00035,-0.0001695489996609,-0.0,-0.00035,1.0191252286712122,1.0184186573411773
2024-10-02 10:00:00+00:00,XRP,XGBoost,ohlc_raw,short_only,with_cost,FLAT,HOLD,0,0.5284274,0.0,0.0,0.0,-0.0067831100559606,-0.0,-0.0,1.0191252286712122,1.0184186573411773
2024-10-02 11:00:00+00:00,XRP,XGBoost,ohlc_raw,short_only,with_cost,FLAT,HOLD,0,0.5250529,0.0,0.0,0.0,0.0020488304592793,0.0,0.0,1.0191252286712122,1.0184186573411773
2024-10-02 12:00:00+00:00,XRP,XGBoost,ohlc_raw,short_only,with_cost,FLAT,HOLD,0,0.49667022,0.0,0.0,0.0,-0.0032373487817345,-0.0,-0.0,1.0191252286712122,1.0184186573411773
2024-10-02 13:00:00+00:00,XRP,XGBoost,ohlc_raw,short_only,with_cost,FLAT,HOLD,0,0.5391202,0.0,0.0,0.0,-0.0076923076923075,-0.0,-0.0,1.0191252286712122,1.0184186573411773
2024-10-02 14:00:00+00:00,XRP,XGBoost,ohlc_raw,short_only,with_cost,FLAT,HOLD,0,0.49939504,0.0,0.0,0.0,0.0068906115417743,0.0,0.0,1.0191252286712122,1.0184186573411773
2024-10-02 15:00:00+00:00,XRP,XGBoost,ohlc_raw,short_only,with_cost,FLAT,HOLD,0,0.5295524,0.0,0.0,0.0,-0.0011976047904191,-0.0,-0.0,1.0191252286712122,1.0184186573411773
2024-10-02 16:00:00+00:00,XRP,XGBoost,ohlc_raw,short_only,with_cost,FLAT,HOLD,0,0.5091483,0.0,0.0,0.0,-0.0030832476875642,-0.0,-0.0,1.0191252286712122,1.0184186573411773
2024-10-02 17:00:00+00:00,XRP,XGBoost,ohlc_raw,short_only,with_cost,SHORT,OPEN_SHORT,1,0.4596206,-1.0,1.0,0.00035,-0.0216494845360823,0.0216494845360823,0.0212994845360823,1.0411887645496611,1.0401104497844735
