feature,association_with_label_up
close_loc,-0.07965293680269203
body_to_range,-0.06834276976837317
close_to_ema_6,-0.06711589567630843
close_to_sma_6,-0.06648102583475768
log_ret_3h,-0.061783418181160524
ret_3h,-0.061631683630356926
close_to_ema_12,-0.061063458426741254
close_to_sma_12,-0.059303529652460045
rsi_14,-0.05889252798917441
bar_down,0.056585816766875185
bar_up,-0.056537153540119026
log_ret_6h,-0.05563282019805718
ret_6h,-0.055581376905091205
order_flow_imbalance,-0.05448884417810426
taker_buy_base_share,-0.054488844178104234
