feature,association_with_label_up
close_loc,-0.0698166364642458
body_to_range,-0.06491607033455259
close_to_ema_6,-0.06176401985412905
close_to_sma_6,-0.06131690657164753
rsi_14,-0.056637686074790444
close_to_ema_12,-0.056497558212616095
bar_down,0.056304621800948654
bar_up,-0.05619795297728521
log_ret_3h,-0.055123249278443164
ret_3h,-0.05507352245954977
close_to_sma_12,-0.054230577126015866
log_ret_6h,-0.05120369344250238
ret_6h,-0.051175290688053376
order_flow_imbalance,-0.04812317080575815
taker_buy_base_share,-0.04812317080575815
