feature,association_with_label_up
close_to_ema_6,-0.053385334234993864
close_to_sma_6,-0.052335686186467174
close_loc,-0.05039777464667003
log_ret_3h,-0.04972318247175278
ret_3h,-0.04938654774732091
close_to_ema_12,-0.048261692098152564
body_to_range,-0.04656780598628865
close_to_sma_12,-0.046344935917054894
rsi_14,-0.04364019883600505
log_ret_6h,-0.042105858843093744
log_ret_1h_close,-0.04180701005285672
ret_6h,-0.04180543941609044
ret_1h_close,-0.04137133440592951
body_pct,-0.04119145563597472
close_to_ema_24,-0.04010361393531718
