feature,asset,mean,std,min,max
close_to_sma_6,BTC,6.643822835296728e-05,0.007817487216222057,-0.0985822119925036,0.0850977214871044
close_to_sma_6,ETH,8.31660362435275e-05,0.010269874908292958,-0.1592937182870806,0.0931227617483381
close_to_sma_6,XRP,0.00014999780317427434,0.013062537037095801,-0.252716869112585,0.3273153784458342
close_to_sma_6,SOL,0.0002752834738102562,0.015332416599092229,-0.2246549106281505,0.2676683877700525
ret_6h,BTC,0.000251721253754266,0.015384384754359524,-0.1228329031672723,0.1854464480798108
ret_6h,ETH,0.000360436546796906,0.0201576674439191,-0.1968719439313268,0.1857322156977003
ret_6h,XRP,0.0006187310157004441,0.026004733598466587,-0.4650656225874049,0.734375
ret_6h,SOL,0.001019201978798506,0.0303719294586191,-0.2893756757839093,0.6253682049451039
log_ret_72h,BTC,0.0017171602602974632,0.05243210097931656,-0.3368848651133287,0.2724159500189045
log_ret_72h,ETH,0.0022026318105118716,0.07046686138026709,-0.4495063632773894,0.4239842397302882
log_ret_72h,XRP,0.0034619393480723034,0.08687272409163761,-0.6173724610008805,0.9310609618860312
log_ret_72h,SOL,0.006958134316600635,0.10339003079090262,-0.9949405872421678,0.6039214313034561
order_flow_imbalance,BTC,-0.02191398555829417,0.11219925010634804,-1.0,0.6171304789295926
order_flow_imbalance,ETH,-0.0062135509875450474,0.11137004313187814,-1.0,0.5589541018351611
order_flow_imbalance,XRP,-0.011189253408215812,0.11106578977011021,-1.0,0.5432310154724376
order_flow_imbalance,SOL,-0.007506971775331339,0.1255075808773154,-1.0,0.6938090743408354
ret_1h_close,BTC,4.28313684957761e-05,0.0063953123068490846,-0.0895447028423771,0.1231589566219917
ret_1h_close,ETH,6.057329247715429e-05,0.008366059673067427,-0.1307936554603319,0.0955546285955208
ret_1h_close,XRP,0.00010647838705795908,0.010823901320547958,-0.2014343865090133,0.2470960929250265
ret_1h_close,SOL,0.00017330823754946052,0.012733294246314884,-0.1928404102890673,0.186463376944473
taker_buy_quote_share,BTC,0.4890691078429172,0.05610094969025432,0.0,0.8085846255636604
taker_buy_quote_share,ETH,0.4969300830365407,0.05568310221469224,0.0,0.779458481539165
taker_buy_quote_share,XRP,0.49443890626893605,0.05552875362996244,0.0,0.7716051855060732
taker_buy_quote_share,SOL,0.49634238104982475,0.06274962231155357,0.0,0.8468506570969404
ema_cross_12_24,BTC,9.679871023336155e-05,0.006222261906090645,-0.0413644317174849,0.0377634259015942
ema_cross_12_24,ETH,0.0001054943308829111,0.008272439380923218,-0.0632547270142033,0.059920889100562
ema_cross_12_24,XRP,0.0001838169091625724,0.010287940076681388,-0.0834177628179636,0.1320430265773393
ema_cross_12_24,SOL,0.0004202415338525303,0.012164616035967907,-0.1395108953286463,0.1007822858044946
close_to_ema_6,BTC,4.73028539344258e-05,0.006439529020846761,-0.082158827595021,0.0713722001454282
close_to_ema_6,ETH,5.061479688133215e-05,0.008470084337948686,-0.1370200814412173,0.0732228580065501
close_to_ema_6,XRP,9.678510059757349e-05,0.010756477988233423,-0.1911374216457134,0.2493380089142867
close_to_ema_6,SOL,0.0002023455868697966,0.012605155634792184,-0.195011013220507,0.2139307995997921
log_trades,BTC,11.294270628151745,0.8637566123794267,0.0,15.07404199963793
log_trades,ETH,10.723787379272283,0.924202355663437,0.0,15.05693491524823
log_trades,XRP,9.641440753254404,1.139239990208062,0.0,14.24528446517844
log_trades,SOL,9.83882883663309,1.3177216805801932,0.0,14.343333112031212
quote_vol_z_24,BTC,-0.01937821705691342,1.0575738759499274,-4.6545277874841,4.056332772286083
quote_vol_z_24,ETH,-0.020098629098975484,1.044962341767757,-4.638487549521717,4.008169553303152
quote_vol_z_24,XRP,-0.03512792353655781,1.068133308039975,-4.651746713297771,4.214428586917568
quote_vol_z_24,SOL,-0.029011844761865493,1.0519170984983328,-4.576135265985118,4.257530749120584
range_pct,BTC,0.008509108810890119,0.00765132657475209,0.0,0.2270494190089179
range_pct,ETH,0.01115331457522492,0.00985557424325841,0.0,0.3006113699591573
range_pct,XRP,0.01364584312491337,0.014346670095817277,0.0,0.5195112179485099
range_pct,SOL,0.017025418724388817,0.014720476440204555,0.0,0.4096670687026282
bar_up,BTC,0.5059904883848546,0.49996982856363364,0.0,1.0
bar_up,ETH,0.5065163709529906,0.4999632508337539,0.0,1.0
bar_up,XRP,0.5050987744649716,0.49997971773872274,0.0,1.0
bar_up,SOL,0.49778214743003474,0.5000007972624422,0.0,1.0
close_to_sma_24,BTC,0.00032446680511764354,0.017194780135018843,-0.1471692154981528,0.1254677721759305
close_to_sma_24,ETH,0.00043544318194482735,0.022638611400678212,-0.2493808458315708,0.1858598288641488
close_to_sma_24,XRP,0.0007475392152854331,0.028922703147546497,-0.2879569093058973,0.5741412076562453
close_to_sma_24,SOL,0.0013407587859071521,0.03354199435849346,-0.3359326539654761,0.4803764151129119
rsi_14,BTC,50.56725666456333,12.090769027747353,5.56056701269047,91.84222681863996
rsi_14,ETH,50.60939539364184,12.202071389033053,5.391848504299489,93.53040308090608
rsi_14,XRP,49.987533717443505,11.165575458297306,5.2741602799076475,98.79191167808033
rsi_14,SOL,50.2292000358377,11.79014494564837,10.043949292291018,92.44705987712058
downside_vol_24h,BTC,0.003235143868753189,0.0022924358890568084,0.0002456425455842,0.0238848167371689
downside_vol_24h,ETH,0.004269237661013548,0.003080712238948818,0.0002520413086003,0.0379779373125856
downside_vol_24h,XRP,0.00510639430242016,0.0042524670244759475,0.0004340655816911,0.0569428747456408
downside_vol_24h,SOL,0.006211052743601892,0.004164044225504706,0.0007102987755797,0.0486348455767769
vol_ratio_24,BTC,1.023081663104836,0.7204365063584557,0.0,13.105606052990971
vol_ratio_24,ETH,1.0211848591869195,0.7574152984233508,0.0,11.615573460146786
vol_ratio_24,XRP,1.0237652244069302,0.7428687271522514,0.0,16.606907825990778
vol_ratio_24,SOL,1.0215079837264112,0.7431245946311372,0.0,13.967910401956088
dow_sin,BTC,0.000954701119763772,0.7071230097623976,-0.9749279121818236,0.9749279121818236
dow_sin,ETH,0.000954701119763772,0.7071230097623976,-0.9749279121818236,0.9749279121818236
dow_sin,XRP,0.000954701119763772,0.7071230097623976,-0.9749279121818236,0.9749279121818236
dow_sin,SOL,0.000954701119763772,0.7071230097623976,-0.9749279121818236,0.9749279121818236
macd_line_pct,BTC,2.3149126949068765e-05,0.007099414791938983,-0.0529054125665663,0.0395719678638041
