feature,count,mean,std,min,25%,50%,75%,max
ret_1h_close,43736.0,6.057329247715429e-05,0.008366059673067427,-0.1307936554603319,-0.00309428607543835,7.132802171827546e-05,0.003337132747716675,0.0955546285955208
log_ret_1h_close,43736.0,2.5485581684066332e-05,0.008383435809100455,-0.1401747313401836,-0.003099083277140925,7.13254779838422e-05,0.00333157687720765,0.0912607451684016
ret_3h,43736.0,0.0001817409841287001,0.01447699394383346,-0.2046660524174295,-0.005338851981079075,0.0002078082866212,0.0058441190285224995,0.1595777065593318
log_ret_3h,43736.0,7.668915859087055e-05,0.014506848403652739,-0.2289931926759562,-0.005353154580508,0.0002077866974557,0.00582710840743075,0.1480558927678746
ret_6h,43736.0,0.000360436546796906,0.0201576674439191,-0.1968719439313268,-0.007699731462637475,0.0002285807435825,0.0087735879255793,0.1857322156977003
log_ret_6h,43736.0,0.0001565778668884629,0.020214125125251066,-0.219241105684098,-0.007729527441019875,0.0002285546229434,0.00873532365015125,0.1703604873056669
ret_12h,43736.0,0.0007287704620691754,0.028487099090481752,-0.2948454591801749,-0.0115950591679958,0.00038744952700005004,0.013478073253288725,0.2886458380025998
log_ret_12h,43736.0,0.00032129883332404467,0.028587875341113442,-0.3493382933555451,-0.011662806062607825,0.0003873744876788,0.0133880519970229,0.253591929030294
ret_24h,43736.0,0.0015123700468879793,0.04066140098617767,-0.334879685641284,-0.01772683573442645,0.000863593021543,0.020709129683184398,0.3813190659532977
log_ret_24h,43736.0,0.000682801223183753,0.04079372297050008,-0.4077873308433352,-0.017885837960277,0.00086322033960815,0.02049761091869145,0.3230388875339676
ret_48h,43736.0,0.0030598829470868507,0.05702484396175322,-0.3351373743454638,-0.025150160680337548,0.00158915957484025,0.030845454697140125,0.4992402040594812
log_ret_48h,43736.0,0.001436661698241436,0.056994698643360486,-0.4081748376295528,-0.025471830799702548,0.00158789819648535,0.030379295348044576,0.4049584491511766
ret_72h,43736.0,0.004687792056486795,0.0707000586135027,-0.3620570140067054,-0.03165025314802497,0.0029660509492043,0.0404537607622554,0.5280375113109765
log_ret_72h,43736.0,0.0022026318105118716,0.07046686138026709,-0.4495063632773894,-0.032161948260221354,0.00296166089814575,0.03965692642357488,0.4239842397302882
range_pct,43736.0,0.01115331457522492,0.00985557424325841,0.0,0.005368388966600475,0.0085756556272486,0.0137275255871551,0.3006113699591573
body_pct,43736.0,6.011071940206297e-05,0.008366051369743272,-0.1307936554603319,-0.0030939726880508,7.12839163164472e-05,0.0033379682096814503,0.0955546285955209
body_abs_pct,43736.0,0.005248017845237906,0.006515528210219735,0.0,0.001388136914783025,0.003214527345574,0.006582042596883925,0.1307936554603319
upper_shadow_pct,43736.0,0.0027773923019314885,0.0031364194464602634,0.0,0.000825097673244475,0.00189386946338075,0.003658280735314025,0.1110760956885395
lower_shadow_pct,43736.0,0.00312790442805543,0.004316795476982568,0.0,0.0008971145271429,0.0020256997239251496,0.0039374226670688,0.2017520865219559
body_to_range,43736.0,0.013065090825486446,0.4986120849935357,-0.999999999999961,-0.41518587292267506,0.01245440806937095,0.44422057255092695,0.9999999999999472
close_loc,43736.0,0.515273626692003,0.28553025574206436,0.0,0.2669722413268388,0.5214382029632816,0.7670238649893273,0.9999999999999905
bar_up,43736.0,0.5065163709529906,0.4999632508337539,0.0,0.0,1.0,1.0,1.0
bar_down,43736.0,0.49293488201938906,0.49995579725828165,0.0,0.0,0.0,1.0,1.0
gap_open_prev_close,43736.0,4.633092236058272e-07,3.853195272488751e-05,-0.0034159776732117,-2.3993100078667506e-06,0.0,2.6520204527424873e-06,0.0013810375670841
close_to_sma_6,43736.0,8.31660362435275e-05,0.010269874908292958,-0.1592937182870806,-0.003615301839313625,0.0001676759122283,0.0040847522410266505,0.0931227617483381
close_to_sma_12,43736.0,0.00019520953787249457,0.015413562761441164,-0.1909087643739601,-0.005794472443070125,0.0002602884111344,0.0066765430428384,0.1334852143942619
close_to_sma_24,43736.0,0.00043544318194482735,0.022638611400678212,-0.2493808458315708,-0.009132162786018324,0.0004929902473518,0.010757741428623076,0.1858598288641488
close_to_sma_48,43736.0,0.0009260204640638697,0.03218660612444352,-0.2781644948434931,-0.013412922422364176,0.0008162965506007,0.01607988585566255,0.3020970784074042
close_to_sma_72,43736.0,0.0014400203303709664,0.039767184290051175,-0.2994755774966985,-0.017147124150886775,0.0010282880703863001,0.020715880811047076,0.364792872611096
close_to_ema_6,43736.0,5.061479688133215e-05,0.008470084337948686,-0.1370200814412173,-0.002948422283647225,0.0001861503016058,0.0034066949523009,0.0732228580065501
close_to_ema_12,43736.0,0.00013134979860310173,0.013117065575276438,-0.1842674302782616,-0.0048918585673621,0.00030636138455925,0.005695494272804925,0.1107208153237975
close_to_ema_24,43736.0,0.0003041134083817723,0.019317448782188416,-0.2291351563108196,-0.0076104537410394,0.0005204805712329501,0.0090474091629706,0.16662228810152
close_to_ema_48,43736.0,0.0006675745338376293,0.027872297692230378,-0.2677157109832206,-0.01161315760518405,0.0007852736078414,0.013904285287430575,0.253535339465021
close_to_ema_72,43736.0,0.0010399575031720299,0.034466152021383055,-0.2902844561961425,-0.014817970787203726,0.00104052683597625,0.017790288000230574,0.3060096533900931
sma_cross_6_24,43736.0,0.0003023095433260391,0.01757586351488307,-0.1399883893046546,-0.0071138590771554246,0.00041094380106645003,0.008387261778493025,0.117791764524074
sma_cross_12_48,43736.0,0.0006335129077850438,0.024651933818035224,-0.1638180029959925,-0.010276568368243,0.00053524004720345,0.012208662199000575,0.1763827043905617
ema_cross_12_24,43736.0,0.0001054943308829111,0.008272439380923218,-0.0632547270142033,-0.003365950618861375,0.00023130477006465,0.0040028096716929005,0.059920889100562
vol_6h,43736.0,0.006641033219127666,0.005163165389697779,0.0002980757262003,0.0032602508474966,0.0052776785085164,0.008427340007797251,0.0785916875240684
vol_24h,43736.0,0.007170925943024736,0.0043629742225763475,0.0005537272243997,0.004382098952669149,0.0062461370002568,0.008801579476325875,0.0521513266273806
vol_72h,43736.0,0.007436644782811139,0.0039022444557417096,0.001079119995385,0.004915628097714425,0.0066741527579979,0.008784602425098825,0.0377952193698109
downside_vol_24h,43736.0,0.004269237661013548,0.003080712238948818,0.0002520413086003,0.0022798173179786503,0.003521817416202,0.005338181785387075,0.0379779373125856
downside_vol_72h,43736.0,0.004566817169933172,0.002695455968487698,0.0006879290212617,0.002839931321562175,0.00397063192774775,0.0054783353458453254,0.027508221307329
atr_14_pct,43736.0,0.011162359809767566,0.00707768830428407,0.0006685565975065,0.0068471679692307255,0.00966779245352875,0.01350176062093195,0.1460144208295178
rsi_14,43736.0,50.60939539364184,12.202071389033053,5.391848504299489,42.74343194223274,50.59576598859681,58.55682020921044,93.53040308090608
macd_line_pct,43736.0,-3.6184139799167276e-05,0.00950868519331127,-0.0855654212049089,-0.003866257829369475,0.00026139858987394996,0.004525683762000925,0.0600039580083748
macd_signal_pct,43736.0,-3.148392460496869e-05,0.008970212781952909,-0.0778412808288425,-0.00376300410782335,0.0002153083744996,0.004317318991993525,0.056751911654695
macd_hist_pct,43736.0,-4.70021519419771e-06,0.0028132331452569185,-0.0261729560688759,-0.001315205491918475,-1.1469773041217158e-05,0.001326582887576025,0.0215013627282185
log_volume,43736.0,9.730096827713849,0.8450652632118959,0.0,9.141464337311923,9.692409243933605,10.297780445158757,13.139887734746628
log_quote_volume,43736.0,17.501463719273445,0.8900231971903421,0.0,16.91185220690709,17.51965154281217,18.09388028647131,21.134700447292744
log_trades,43736.0,10.723787379272283,0.924202355663437,0.0,10.056937987248991,10.62269226711873,11.331463535138314,15.05693491524823
vol_z_24,43736.0,-0.02126589346929197,1.0453240389743068,-4.538260152696696,-0.7930035174103881,-0.15098609723277368,0.6405193313318596,4.015627526049405
quote_vol_z_24,43736.0,-0.020098629098975484,1.044962341767757,-4.638487549521717,-0.7907584726412897,-0.1474299509951706,0.6421639552170622,4.008169553303152
trades_z_24,43736.0,-0.017488370956213962,1.0503661438767053,-4.566991980529572,-0.7971901191140939,-0.1643114617393365,0.6493451680846467,4.216398322233084
vol_ratio_24,43736.0,1.0211848591869195,0.7574152984233508,0.0,0.571277673559179,0.8033854385796604,1.201754607320983,11.615573460146786
quote_vol_ratio_24,43736.0,1.021226392603536,0.7541006156715176,0.0,0.5723974660832423,0.8047263277237009,1.203663999771774,11.80837394107636
taker_buy_base_share,43736.0,0.49689322450622747,0.05568502156593909,0.0,0.4628860576032377,0.49732685964642454,0.5316908764014511,0.7794770509175806
taker_buy_quote_share,43736.0,0.4969300830365407,0.05568310221469224,0.0,0.46293769344300906,0.49736664069894376,0.5317131281585111,0.779458481539165
order_flow_imbalance,43736.0,-0.0062135509875450474,0.11137004313187814,-1.0,-0.07422788479352445,-0.00534628070715085,0.06338175280290217,0.5589541018351611
hour_sin,43736.0,-0.00021397372847719166,0.7070967888516079,-1.0,-0.7071067811865477,0.0,0.7071067811865475,1.0
hour_cos,43736.0,-0.00012297226946939038,0.7071328978839099,-1.0,-0.7071067811865479,-1.8369701987210294e-16,0.7071067811865474,1.0
dow_sin,43736.0,0.000954701119763772,0.7071230097623976,-0.9749279121818236,-0.7818314824680299,0.0,0.7818314824680298,0.9749279121818236
dow_cos,43736.0,0.0008465388169370686,0.7071055691531676,-0.9009688679024191,-0.900968867902419,-0.2225209339563143,0.6234898018587336,1.0
