feature,count,mean,std,min,50%,max
open,43736.0,98.75231038961039,71.51768703279771,1.9404,97.875,286.23
high,43736.0,99.50514175736235,72.00252040191829,1.992,98.685,295.83
low,43736.0,97.9687507019389,71.0074329839373,1.86,96.995,284.2
close,43736.0,98.75499795820377,71.51635821252721,1.9414,97.875,286.24
volume,43736.0,192093.16688126486,215256.4318173867,0.0,128240.585,4974113.88
quote_asset_volume,43736.0,17874710.14855784,25812856.000256676,0.0,10415314.603905499,774224832.4887501
number_of_trades,43736.0,41161.948966526434,63248.21937949526,0.0,19452.5,1695236.0
taker_buy_base_asset_volume,43736.0,95611.38885622828,109334.44974226956,0.0,62996.642,2599836.21
taker_buy_quote_asset_volume,43736.0,8914632.081614997,13034769.29543079,0.0,5117676.1011895,392202175.29365
entry_open_t1,43736.0,98.75510605222243,71.51630164914876,1.9404,97.88,286.23
exit_open_t2,43736.0,98.75791012895554,71.51492082074917,1.9404,97.88,286.23
fwd_ret_open_1h,43736.0,0.00017298596886973093,0.01273742225838462,-0.2000091027012265,0.0,0.1893939393939394
fwd_log_ret_open_1h,43736.0,9.212732281183867e-05,0.012709336293393133,-0.2231549297554771,0.0,0.1734438827619372
label_up,43736.0,0.49810224986281326,0.5000021147031676,0.0,0.0,1.0
label_down,43736.0,0.49108286080117064,0.4999261936085777,0.0,0.0,1.0
direction_3class,43736.0,0.0070193890616425825,0.9945644551333073,-1.0,0.0,1.0
