feature,count,mean,std,min,50%,max
open,43736.0,1.0247267429577465,0.8230625196605508,0.22315,0.6106,3.6534
high,43736.0,1.0316737749222609,0.8284053272070077,0.22662,0.6138,3.6607
low,43736.0,1.0173180549204317,0.8174114565938726,0.21774,0.6068,3.6003
close,43736.0,1.0247678415950248,0.823059348437662,0.22315,0.6106,3.6535
volume,43736.0,18088344.87626852,27364097.002547916,0.0,11337986.9,1404207588.9
quote_asset_volume,43736.0,16315349.162605982,28616199.080130883,0.0,8329017.86406,763611373.5286
number_of_trades,43736.0,31643.275996890432,55625.78710640854,0.0,13112.5,1536909.0
taker_buy_base_asset_volume,43736.0,8964257.298010563,13635822.441736788,0.0,5630448.0,704752905.5
taker_buy_quote_asset_volume,43736.0,8079301.651397884,14292727.874688487,0.0,4121682.65405,392668782.86156
entry_open_t1,43736.0,1.0247636942107188,0.8230629104690868,0.22315,0.6106,3.6534
exit_open_t2,43736.0,1.0248005956191697,0.8230633300309891,0.22315,0.6106,3.6534
fwd_ret_open_1h,43736.0,0.00010631419384515716,0.01082601400528409,-0.2009387485938166,0.0001427042810511,0.2473072861668428
fwd_log_ret_open_1h,43736.0,4.784104269388686e-05,0.010812544538136702,-0.2243176760712636,0.00014269409976120002,0.2209870566836895
label_up,43736.0,0.5035211267605634,0.4999933175837636,0.0,1.0,1.0
label_down,43736.0,0.48516096579476864,0.4997854682507554,0.0,0.0,1.0
direction_3class,43736.0,0.018360160965794767,0.9941667845665967,-1.0,1.0,1.0
