Asset,Model,Model Family,Feature Set,Input Type,Feature Type,Strategy Mode,Strategy Label,Cost Regime,Long Threshold,Short Threshold,Threshold Feasible,Validation Sharpe,Validation Precision,Validation Recall,Validation Avg Return,Validation Trades,Validation Signal Ratio,Test Sharpe,Test Precision,Test Recall,Test Avg Return,Cumulative Return,Maximum Drawdown,Turnover,Number of Trades,Annualized Sharpe,Model Params,Log Path,Feasibility Bucket
BTC,GRU,ML,ohlc_raw,ohlc,raw,short_only,short,no_cost,0.6200000000000001,0.6200000000000001,False,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,,"{""lookback_hours"": 24, ""model_dir"": ""models/gru/ohlc_raw/btc""}",data/trading_logs/no_cost/short_only/gru/ohlc_raw/btc/trading_log.csv,infeasible
BTC,GRU,ML,ohlc_raw,ohlc,raw,short_only,short,with_cost,0.6200000000000001,0.6200000000000001,False,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,,"{""lookback_hours"": 24, ""model_dir"": ""models/gru/ohlc_raw/btc""}",data/trading_logs/with_cost/short_only/gru/ohlc_raw/btc/trading_log.csv,infeasible
ETH,GRU,ML,candle_raw,candle,raw,long_only,long,no_cost,0.6200000000000001,0.6200000000000001,False,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,,"{""lookback_hours"": 24, ""model_dir"": ""models/gru/candle_raw/eth""}",data/trading_logs/no_cost/long_only/gru/candle_raw/eth/trading_log.csv,infeasible
ETH,GRU,ML,candle_raw,candle,raw,long_only,long,with_cost,0.6200000000000001,0.6200000000000001,False,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,,"{""lookback_hours"": 24, ""model_dir"": ""models/gru/candle_raw/eth""}",data/trading_logs/with_cost/long_only/gru/candle_raw/eth/trading_log.csv,infeasible
ETH,GRU,ML,ohlc_raw,ohlc,raw,short_only,short,no_cost,0.6200000000000001,0.6200000000000001,False,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,,"{""lookback_hours"": 24, ""model_dir"": ""models/gru/ohlc_raw/eth""}",data/trading_logs/no_cost/short_only/gru/ohlc_raw/eth/trading_log.csv,infeasible
ETH,GRU,ML,ohlc_raw,ohlc,raw,short_only,short,with_cost,0.6200000000000001,0.6200000000000001,False,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,,"{""lookback_hours"": 24, ""model_dir"": ""models/gru/ohlc_raw/eth""}",data/trading_logs/with_cost/short_only/gru/ohlc_raw/eth/trading_log.csv,infeasible
SOL,GRU,ML,candle_raw,candle,raw,long_only,long,no_cost,0.6200000000000001,0.6200000000000001,False,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,,"{""lookback_hours"": 24, ""model_dir"": ""models/gru/candle_raw/sol""}",data/trading_logs/no_cost/long_only/gru/candle_raw/sol/trading_log.csv,infeasible
SOL,GRU,ML,candle_raw,candle,raw,long_only,long,with_cost,0.6200000000000001,0.6200000000000001,False,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,,"{""lookback_hours"": 24, ""model_dir"": ""models/gru/candle_raw/sol""}",data/trading_logs/with_cost/long_only/gru/candle_raw/sol/trading_log.csv,infeasible
XRP,GRU,ML,ohlc_raw,ohlc,raw,short_only,short,no_cost,0.6200000000000001,0.6200000000000001,False,,,,,,,-0.7856628807796363,0.0,0.0,-0.0389510965349,-0.1147697007733227,-0.1147697007733227,4.0,4.0,-1.0752175377890965,"{""lookback_hours"": 24, ""model_dir"": ""models/gru/ohlc_raw/xrp""}",data/trading_logs/no_cost/short_only/gru/ohlc_raw/xrp/trading_log.csv,infeasible
XRP,GRU,ML,ohlc_raw,ohlc,raw,short_only,short,with_cost,0.6200000000000001,0.6200000000000001,False,,,,,,,-0.7886722222566884,0.0,0.0,-0.0391844298682333,-0.1160450232223917,-0.1160450232223917,4.0,4.0,-1.0837526610456298,"{""lookback_hours"": 24, ""model_dir"": ""models/gru/ohlc_raw/xrp""}",data/trading_logs/with_cost/short_only/gru/ohlc_raw/xrp/trading_log.csv,infeasible
