Asset,Model,Model Family,Feature Set,Input Type,Feature Type,Strategy Mode,Strategy Label,Cost Regime,Long Threshold,Short Threshold,Threshold Feasible,Validation Sharpe,Validation Precision,Validation Recall,Validation Avg Return,Validation Trades,Validation Signal Ratio,Test Sharpe,Test Precision,Test Recall,Test Avg Return,Cumulative Return,Maximum Drawdown,Turnover,Number of Trades,Annualized Sharpe,Model Params,Log Path,Feasibility Bucket
BTC,Logistic Regression,ML,candle_extended,candle,extended,long_only,long,no_cost,0.5900000000000001,,True,0.0899462752732969,0.6314699792960663,0.0546203438395415,0.0007408996968312,778.0,0.0441095890410958,0.1095635927959323,0.5674676524953789,0.0552257600287821,0.0008474696202368,0.5560895254934182,-0.1232528822296208,846.0,846.0,2.268212504443759,"{""model_dir"": ""models/logistic_regression/candle_extended/btc""}",data/trading_logs/no_cost/long_only/logistic_regression/candle_extended/btc/trading_log.csv,feasible
BTC,Logistic Regression,ML,candle_extended,candle,extended,long_only,long,with_cost,0.5900000000000001,,True,0.0556401438916085,0.6314699792960663,0.0546203438395415,0.0004590156388602,778.0,0.0441095890410958,0.0741809540242801,0.5674676524953789,0.0552257600287821,0.0005738097311425,0.1573650463426856,-0.1727845730839858,846.0,846.0,0.8050533789016733,"{""model_dir"": ""models/logistic_regression/candle_extended/btc""}",data/trading_logs/with_cost/long_only/logistic_regression/candle_extended/btc/trading_log.csv,feasible
BTC,Logistic Regression,ML,ohlc_extended,ohlc,extended,long_short,long_short,no_cost,0.6500000000000001,0.5900000000000001,True,0.0469219545547152,0.821875,0.0193811710885901,0.0002292933439759,520.0,0.0294063926940639,0.0486806596347242,0.5712550028587764,0.0308539745595075,0.0002195759643626,0.1327328964757255,-0.0525646684817725,794.0,793.0,1.0616437128582243,"{""model_dir"": ""models/logistic_regression/ohlc_extended/btc""}",data/trading_logs/no_cost/long_short/logistic_regression/ohlc_extended/btc/trading_log.csv,feasible
BTC,Logistic Regression,ML,ohlc_extended,ohlc,extended,long_short,long_short,with_cost,0.6500000000000001,0.5900000000000001,True,-0.0108950960169736,0.821875,0.0193811710885901,-5.331535167625109e-05,520.0,0.0294063926940639,-0.0032216318526561,0.5712550028587764,0.0308539745595075,-1.4541682696183304e-05,-0.1421180836686482,-0.1906858059058555,794.0,793.0,-1.194758399463294,"{""model_dir"": ""models/logistic_regression/ohlc_extended/btc""}",data/trading_logs/with_cost/long_short/logistic_regression/ohlc_extended/btc/trading_log.csv,feasible
BTC,Logistic Regression,ML,ohlc_extended,ohlc,extended,short_only,short,no_cost,,0.5900000000000001,True,0.0360410113443174,0.64375,0.0384041759880686,0.0001730128773462,516.0,0.0292237442922374,0.0476606404749518,0.5591766723842195,0.0604487298349712,0.0002021245341368,0.1192145972786817,-0.0504556933862081,770.0,770.0,1.028928375341079,"{""model_dir"": ""models/logistic_regression/ohlc_extended/btc""}",data/trading_logs/no_cost/short_only/logistic_regression/ohlc_extended/btc/trading_log.csv,feasible
BTC,Logistic Regression,ML,ohlc_extended,ohlc,extended,short_only,short,with_cost,,0.5900000000000001,True,-0.0227058021855688,0.64375,0.0384041759880686,-0.0001091746226537,516.0,0.0292237442922374,-0.0068342677797464,0.5591766723842195,0.0604487298349712,-2.900754133479861e-05,-0.1452072609957727,-0.1888330002615742,770.0,770.0,-1.321717839937665,"{""model_dir"": ""models/logistic_regression/ohlc_extended/btc""}",data/trading_logs/with_cost/short_only/logistic_regression/ohlc_extended/btc/trading_log.csv,feasible
ETH,GRU,ML,ohlc_extended,ohlc,extended,long_only,long,no_cost,0.55,,True,0.0294832953918702,0.6272189349112426,0.0191266690725369,0.0002496372159171,312.0,0.0154662761965772,-0.068303761214722,0.4886363636363636,0.0077268643306379,-0.0007134726924822,-0.0653770893442479,-0.1049006305846539,176.0,176.0,-0.5755665336214153,"{""lookback_hours"": 24, ""model_dir"": ""models/gru/ohlc_extended/eth""}",data/trading_logs/no_cost/long_only/gru/ohlc_extended/eth/trading_log.csv,feasible
ETH,GRU,ML,ohlc_extended,ohlc,extended,long_only,long,with_cost,0.55,,True,-0.0086777316996774,0.6272189349112426,0.0191266690725369,-7.343970715974924e-05,312.0,0.0154662761965772,-0.1018107428792608,0.4886363636363636,0.0077268643306379,-0.0010634726924822,-0.1212442582932172,-0.138754526047599,176.0,176.0,-1.1364307376983809,"{""lookback_hours"": 24, ""model_dir"": ""models/gru/ohlc_extended/eth""}",data/trading_logs/with_cost/long_only/gru/ohlc_extended/eth/trading_log.csv,feasible
ETH,Logistic Regression,ML,candle_extended,candle,extended,long_short,long_short,no_cost,0.56,0.7000000000000002,True,0.0483226929068302,0.7981132075471697,0.0427801359233376,0.0003691971506697,1180.0,0.0726940639269406,0.1178008677355252,0.6247220163083766,0.0098632698375598,0.0012136459341006,0.2322083065868172,-0.0645637379037444,320.0,319.0,1.407731603581598,"{""model_dir"": ""models/logistic_regression/candle_extended/eth""}",data/trading_logs/no_cost/long_short/logistic_regression/candle_extended/eth/trading_log.csv,feasible
ETH,Logistic Regression,ML,candle_extended,candle,extended,long_short,long_short,with_cost,0.56,0.7000000000000002,True,0.0143526250991637,0.7981132075471697,0.0427801359233376,0.0001097750401169,1180.0,0.0726940639269406,0.0873982379047717,0.6247220163083766,0.0098632698375598,0.0009005903785451,0.1016930112010041,-0.1137036194385483,320.0,319.0,0.6875986926511839,"{""model_dir"": ""models/logistic_regression/candle_extended/eth""}",data/trading_logs/with_cost/long_short/logistic_regression/candle_extended/eth/trading_log.csv,feasible
