Asset,Model,Model Family,Feature Set,Input Type,Feature Type,Strategy Mode,Cumulative Return no_cost,Cumulative Return with_cost,Number of Trades no_cost,Number of Trades with_cost,Test Avg Return no_cost,Test Avg Return with_cost,Test Sharpe no_cost,Test Sharpe with_cost,Turnover no_cost,Turnover with_cost,Sharpe Cost Drag,Avg Return Cost Drag,Cumulative Return Cost Drag
BTC,GRU,ML,candle_extended,candle,extended,long_only,0.2246642620148236,0.14433345675779718,194.0,194.0,0.001180858930883797,0.0009879612036110702,0.15583666046265168,0.13072858204486532,194.0,194.0,0.025108078417786367,0.00019289772727272688,0.0803308052570264
BTC,GRU,ML,candle_extended,candle,extended,long_short,0.07907414876609709,-0.08143591317106103,456.0,456.0,0.00021991739530290632,1.0988823874334867e-05,0.030683440653675207,0.0015302923161857778,460.0,460.0,0.02915314833748943,0.00020892857142857144,0.1605100619371581
BTC,GRU,ML,candle_extended,candle,extended,short_only,-0.46238469658214365,-0.5683254447937346,626.0,626.0,-4.812774897533395e-05,-5.870217406914707e-05,-0.0099987192452087,-0.012195977481561588,625.0,625.0,0.0021972582363528875,1.057442509381312e-05,0.10594074821159094
BTC,GRU,ML,candle_raw,candle,raw,long_only,0.22701041117276177,0.15859206486637056,164.0,164.0,0.0016305226401508548,0.0014097534093816242,0.15334338422213734,0.13248137911525723,164.0,164.0,0.020862005106880105,0.00022076923076923055,0.06841834630639121
BTC,GRU,ML,candle_raw,candle,raw,long_short,0.019986545326600602,-0.2080810102036077,719.0,719.0,1.0860573231368102e-05,-3.828109259171949e-06,0.00261840928602398,-0.000922871772546777,723.0,723.0,0.003541281058570757,1.468868249054005e-05,0.2280675555302083
BTC,GRU,ML,candle_raw,candle,raw,short_only,-0.039828903520418346,-0.2498250822460466,705.0,705.0,3.7906930455598202e-06,-1.039089556784695e-05,0.0009213114661620787,-0.002524956317666594,705.0,705.0,0.003446267783828673,1.418158861340677e-05,0.20999617872562826
BTC,GRU,ML,ohlc_extended,ohlc,extended,long_only,0.25606321307621305,0.1097045497780409,354.0,354.0,0.0006854152668512124,0.0005053280575488869,0.10221812285773457,0.07530300287501662,354.0,354.0,0.02691511998271795,0.00018008720930232558,0.14635866329817215
BTC,GRU,ML,ohlc_extended,ohlc,extended,long_short,0.25606321307621305,0.1097045497780409,354.0,354.0,0.0006854152668512124,0.0005053280575488869,0.10221812285773457,0.07530300287501662,354.0,354.0,0.02691511998271795,0.00018008720930232558,0.14635866329817215
BTC,GRU,ML,ohlc_extended,ohlc,extended,short_only,-0.016351175929469663,-0.021851104100407914,16.0,16.0,-0.00162763191653121,-0.0019076319165312098,-0.24705739954082234,-0.28848311893608936,16.0,16.0,0.04142571939526701,0.00027999999999999987,0.005499928170938251
BTC,GRU,ML,ohlc_raw,ohlc,raw,long_only,0.10553305712147498,-0.266486013943243,1172.0,1172.0,6.671625104438999e-05,-1.5985361858835797e-05,0.00920685415633277,-0.002206052980664818,1172.0,1172.0,0.011412907136997589,8.270161290322579e-05,0.372019071064718
BTC,GRU,ML,ohlc_raw,ohlc,raw,long_short,1.3464516632499959,0.43053991372368605,1102.0,1102.0,0.00014007789744030063,8.707596550390591e-05,0.027132807896506506,0.016871011212707916,1414.0,1414.0,0.01026179668379859,5.3001931936394716e-05,0.9159117495263098
BTC,GRU,ML,ohlc_raw,ohlc,raw,short_only,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,0.0
BTC,LightGBM,ML,candle_extended,candle,extended,long_only,-0.011559435353106773,-0.11817007220656472,326.0,326.0,-5.052027783957521e-05,-0.00036746472228401956,-0.00948201500936275,-0.06889188805981884,326.0,326.0,0.05940987305045609,0.00031694444444444435,0.10661063685345795
BTC,LightGBM,ML,candle_extended,candle,extended,long_short,0.22290495094153573,-0.28011778454409864,1512.0,1512.0,0.0002374882978468817,-6.302075192687386e-05,0.05346067707462792,-0.014212445442940666,1514.0,1514.0,0.06767312251756859,0.00030050904977375556,0.5030227354856344
BTC,LightGBM,ML,candle_extended,candle,extended,short_only,0.24435865013733649,-0.19768056672919665,1254.0,1254.0,0.0003031619825149547,7.805320334604793e-06,0.07181557386750895,0.0018545558703392177,1254.0,1254.0,0.06996101799716974,0.00029535666218034987,0.44203921686653314
BTC,LightGBM,ML,candle_raw,candle,raw,long_only,0.1650633621701787,-0.3298634125737231,1580.0,1580.0,0.0001860216803325925,-0.000116826074322391,0.030432581393116203,-0.01911199466031128,1580.0,1580.0,0.049544576053427485,0.0003028477546549835,0.4949267747439018
BTC,LightGBM,ML,candle_raw,candle,raw,long_short,0.16784626295005411,-0.8139242458259563,5233.0,5233.0,4.842066593365863e-05,-0.0001703708032606541,0.010022748055896199,-0.0352387223680974,5247.0,5247.0,0.0452614704239936,0.00021879146919431271,0.9817705087760105
BTC,LightGBM,ML,candle_raw,candle,raw,short_only,0.12489837037040519,-0.8184971242684507,5211.0,5211.0,3.9616718167226996e-05,-0.00017744658502173057,0.008216518417154497,-0.03677126630992809,5211.0,5211.0,0.044987784727082585,0.00021706330318895756,0.9433954946388559
BTC,LightGBM,ML,ohlc_extended,ohlc,extended,long_only,0.07577614287313983,0.008693533102029027,184.0,184.0,0.0007356200867536389,0.0004136200867536389,0.23301588335051554,0.13115911012356718,184.0,184.0,0.10185677322694836,0.00032199999999999997,0.0670826097711108
BTC,LightGBM,ML,ohlc_extended,ohlc,extended,long_short,0.15846244436166557,-0.0005791851242027413,422.0,422.0,0.0006516037672702723,0.00032911468430084004,0.152621878838161,0.07718281888142714,422.0,422.0,0.07543905995673386,0.0003224890829694323,0.1590416294858683
BTC,LightGBM,ML,ohlc_extended,ohlc,extended,short_only,0.16867019332087518,-0.0723706497356863,660.0,660.0,0.00042538677037939757,0.00011738677037939768,0.09658410005278982,0.026658497678141404,660.0,660.0,0.06992560237464841,0.0003079999999999999,0.24104084305656148
BTC,LightGBM,ML,ohlc_raw,ohlc,raw,long_only,0.0855698797248221,-0.019883713777982148,292.0,292.0,0.0004423431635039791,0.00016908113141841761,0.17437148023831167,0.06690817003428212,292.0,292.0,0.10746331020402955,0.0002732620320855615,0.10545359350280425
BTC,LightGBM,ML,ohlc_raw,ohlc,raw,long_short,0.2278936675508907,-0.6673658901385586,3689.0,3689.0,0.00010190210370095764,-0.00019277780799882154,0.021493359609234694,-0.040656216899924685,3729.0,3729.0,0.06214957650915938,0.0002946799116997792,0.8952595576894493
BTC,LightGBM,ML,ohlc_raw,ohlc,raw,short_only,0.1311051370199603,-0.6606165192230121,3438.0,3438.0,7.126568494101295e-05,-0.00021843595124762988,0.014573146982470166,-0.04466243316046823,3437.0,3437.0,0.05923558014293839,0.00028970163618864285,0.7917216562429724
BTC,Logistic Regression,ML,candle_extended,candle,extended,long_only,0.5560895254934182,0.15736504634268567,846.0,846.0,0.0008474696202368132,0.0005738097311425435,0.10956359279593234,0.0741809540242801,846.0,846.0,0.035382638771652236,0.00027365988909426966,0.3987244791507325
BTC,Logistic Regression,ML,candle_extended,candle,extended,long_short,0.5745855618630993,0.1645854533920157,858.0,858.0,0.0008537211704362338,0.0005774053809625498,0.11105621533973835,0.07510802402268706,862.0,862.0,0.03594819131705129,0.000276315789473684,0.4100001084710836
BTC,Logistic Regression,ML,candle_extended,candle,extended,short_only,0.28845850937830386,-0.2578556256008321,1576.0,1576.0,0.00020220115488420195,-1.077181808877099e-05,0.05616302790620558,-0.00298627904102195,1576.0,1576.0,0.05914930694722753,0.00021297297297297294,0.546314134979136
BTC,Logistic Regression,ML,candle_raw,candle,raw,long_only,0.2843773748318468,0.036038695898800155,614.0,614.0,0.0007010858192389939,0.00041682655997973475,0.07943178000188991,0.047221148145452,614.0,614.0,0.03221063185643791,0.0002842592592592591,0.24833867893304662
BTC,Logistic Regression,ML,candle_raw,candle,raw,long_short,0.7257323734017331,0.2402520971070703,937.0,937.0,0.0008967917572932158,0.0006327760092617199,0.10385205726243298,0.07323910648018235,944.0,944.0,0.030612950782250625,0.00026401574803149594,0.48548027629466284
BTC,Logistic Regression,ML,candle_raw,candle,raw,short_only,0.5897262096966176,-0.501298900905637,3312.0,3312.0,0.0001024964678411536,-1.815299094319275e-05,0.029589622658603303,-0.00523851581826435,3312.0,3312.0,0.03482813847686765,0.00012064945878434635,1.0910251106022546
BTC,Logistic Regression,ML,ohlc_extended,ohlc,extended,long_only,0.09921592884587538,-0.05632358055648623,436.0,436.0,0.00037497613139863043,9.446142551627762e-05,0.050789048873799855,0.012820693429327294,436.0,436.0,0.037968355444472565,0.00028051470588235283,0.1555395094023616
BTC,Logistic Regression,ML,ohlc_extended,ohlc,extended,long_short,0.1327328964757255,-0.1421180836686482,793.0,793.0,0.00021957596436264016,-1.4541682696183304e-05,0.048680659634724274,-0.003221631852656115,794.0,794.0,0.05190229148738039,0.00023411764705882345,0.2748509801443737
BTC,Logistic Regression,ML,ohlc_extended,ohlc,extended,short_only,0.11921459727868178,-0.14520726099577275,770.0,770.0,0.00020212453413689948,-2.9007541334798614e-05,0.0476606404749518,-0.006834267779746428,770.0,770.0,0.05449490825469822,0.0002311320754716981,0.2644218582744545
BTC,Logistic Regression,ML,ohlc_raw,ohlc,raw,long_only,0.17560577392019616,0.007838622217382074,440.0,440.0,0.0006744993136065309,0.0003701514875195744,0.08066924188078818,0.0442774143163031,440.0,440.0,0.03639182756448508,0.0003043478260869565,0.1677671517028141
BTC,Logistic Regression,ML,ohlc_raw,ohlc,raw,long_short,0.6195086393014291,-0.46602832654908777,3104.0,3104.0,0.00023002867696122827,-2.991284350660794e-05,0.04491024643856324,-0.005841688593445015,3170.0,3170.0,0.050751935032008255,0.0002599415204678362,1.0855369658505167
BTC,Logistic Regression,ML,ohlc_raw,ohlc,raw,short_only,0.27935737745622813,-0.5679739572709911,3101.0,3101.0,4.004531073335856e-05,-2.902836276199706e-05,0.009603482064215582,-0.006952867717707847,3101.0,3101.0,0.01655634978192343,6.907367349535562e-05,0.8473313347272192
