Asset,Model,Model Family,Feature Set,Input Type,Feature Type,Strategy Mode,Cumulative Return no_cost,Cumulative Return with_cost,Number of Trades no_cost,Number of Trades with_cost,Test Avg Return no_cost,Test Avg Return with_cost,Test Sharpe no_cost,Test Sharpe with_cost,Turnover no_cost,Turnover with_cost,Sharpe Cost Drag,Avg Return Cost Drag,Cumulative Return Cost Drag
BTC,GRU,ML,candle_extended,candle,extended,long_only,0.2246642620148236,0.1443334567577971,194.0,194.0,0.0011808589308837,0.000987961203611,0.1558366604626516,0.1307285820448653,194.0,194.0,0.02510807841778631,0.0001928977272727,0.08033080525702649
BTC,GRU,ML,candle_extended,candle,extended,long_short,0.079074148766097,-0.081435913171061,456.0,456.0,0.0002199173953029,1.0988823874334867e-05,0.0306834406536752,0.0015302923161857,460.0,460.0,0.0291531483374895,0.00020892857142856515,0.160510061937158
BTC,GRU,ML,candle_extended,candle,extended,short_only,-0.4623846965821436,-0.5683254447937346,626.0,626.0,-4.812774897533395e-05,-5.870217406914707e-05,-0.0099987192452087,-0.0121959774815615,625.0,625.0,0.002197258236352799,1.057442509381312e-05,0.105940748211591
BTC,GRU,ML,candle_raw,candle,raw,long_only,0.2270104111727617,0.1585920648663705,164.0,164.0,0.0016305226401508,0.0014097534093816,0.1533433842221373,0.1324813791152572,164.0,164.0,0.020862005106880105,0.00022076923076919997,0.06841834630639118
BTC,GRU,ML,candle_raw,candle,raw,long_short,0.0199865453266006,-0.2080810102036077,719.0,719.0,1.0860573231368102e-05,-3.828109259171949e-06,0.0026184092860239,-0.0009228717725467,723.0,723.0,0.0035412810585706,1.468868249054005e-05,0.2280675555302083
BTC,GRU,ML,candle_raw,candle,raw,short_only,-0.0398289035204183,-0.2498250822460466,705.0,705.0,3.79069304555982e-06,-1.039089556784695e-05,0.000921311466162,-0.0025249563176665,705.0,705.0,0.0034462677838284998,1.418158861340677e-05,0.2099961787256283
BTC,GRU,ML,ohlc_extended,ohlc,extended,long_only,0.256063213076213,0.1097045497780409,354.0,354.0,0.0006854152668512,0.0005053280575488,0.1022181228577345,0.0753030028750166,354.0,354.0,0.02691511998271791,0.00018008720930239995,0.1463586632981721
BTC,GRU,ML,ohlc_extended,ohlc,extended,long_short,0.256063213076213,0.1097045497780409,354.0,354.0,0.0006854152668512,0.0005053280575488,0.1022181228577345,0.0753030028750166,354.0,354.0,0.02691511998271791,0.00018008720930239995,0.1463586632981721
BTC,GRU,ML,ohlc_extended,ohlc,extended,short_only,-0.0163511759294696,-0.0218511041004079,16.0,16.0,-0.0016276319165312,-0.0019076319165312,-0.2470573995408223,-0.2884831189360893,16.0,16.0,0.04142571939526701,0.0002800000000000001,0.005499928170938299
BTC,GRU,ML,ohlc_raw,ohlc,raw,long_only,0.1055330571214749,-0.266486013943243,1172.0,1172.0,6.671625104438999e-05,-1.5985361858835797e-05,0.0092068541563327,-0.0022060529806648,1172.0,1172.0,0.0114129071369975,8.270161290322579e-05,0.3720190710647179
