Feature Type,Validation Sharpe,Validation Precision,Validation Recall,Validation Avg Return,Test Sharpe,Test Precision,Test Recall,Test Avg Return,Scope,Strategy_Mode,Cost_Regime
extended,0.03594403931220235,0.5915944658192291,0.05881772896289485,0.0004488328075673295,0.038061119156425106,0.561641156965012,0.06143115463465956,0.000561208211162444,all_assets,long_only,with_cost
raw,0.003198257913512063,0.5348526255457455,0.13049441648629137,6.72749237005291e-05,0.0016085017158952452,0.510967627858911,0.15028360999283735,2.5746128505176407e-05,all_assets,long_only,with_cost
extended,0.06600904486983604,0.5915944658192291,0.05881772896289485,0.0007177823214782377,0.06718324734051052,0.561641156965012,0.06143115463465956,0.000830840791094292,all_assets,long_only,no_cost
raw,0.0301610015599971,0.5348526255457455,0.13049441648629137,0.0003004807844330394,0.0293036537131815,0.510967627858911,0.15028360999283735,0.00026420190937238337,all_assets,long_only,no_cost
extended,0.003939329170357028,0.5691601574340128,0.10731281841171923,-5.776502641576607e-05,-0.02782602961807912,0.5260051008081986,0.20832002562001903,-0.00022402017399980484,all_assets,short_only,with_cost
raw,-0.0036043957954000716,0.5296693185388052,0.06863747978993036,-0.00013805252432691462,-0.019601532751765596,0.5006444643639997,0.3062147641854455,-0.00013770746442298565,all_assets,short_only,with_cost
extended,0.03640505276104339,0.5691601574340128,0.10731281841171923,0.00019370385855924042,0.0031215048207648348,0.5260051008081986,0.20832002562001903,-1.5258343014424463e-06,all_assets,short_only,no_cost
raw,0.028189353936502046,0.5296693185388052,0.06863747978993036,0.00011298053344318657,0.0074839571077424585,0.5006444643639997,0.3062147641854455,5.573298662604238e-05,all_assets,short_only,no_cost
extended,0.017627706226849265,0.6636326955569999,0.06633418070254307,0.00013768495700278987,0.0010112142976519743,0.5426493113149989,0.10364971951792233,1.2752903779471935e-05,all_assets,long_short,with_cost
raw,-0.003396484640918325,0.6174842610696621,0.0788634276368802,-2.5484855744419982e-05,-0.01376481915089933,0.5146504392314251,0.18698443804830017,-0.00010850325381536288,all_assets,long_short,with_cost
extended,0.04794926058830197,0.6636326955569999,0.06633418070254307,0.00039380533583013605,0.03074598252925085,0.5426493113149989,0.10364971951792233,0.0002524886171697617,all_assets,long_short,no_cost
raw,0.023812644192569267,0.6174842610696621,0.0788634276368802,0.00019453508992354958,0.011086468904172057,0.5146504392314251,0.18698443804830017,8.139791194521438e-05,all_assets,long_short,no_cost
extended,0.044000968145028,0.5933226692227092,0.0612198515072414,0.00033036261453900357,0.039398842326263936,0.5641038805995381,0.06335554610673724,0.000253264415871633,btc,long_only,with_cost
raw,-0.001419475150212187,0.536391605879328,0.09994369872368666,5.484861911168756e-05,0.0309057466444132,0.5325577339016278,0.10456974415995438,0.00025599528815087926,btc,long_only,with_cost
extended,0.09337398052900155,0.5933226692227092,0.0612198515072414,0.0006023223496793375,0.08966074567896336,0.5641038805995381,0.06335554610673724,0.0005140687612432781,btc,long_only,no_cost
