Model,Validation Sharpe,Validation Precision,Validation Recall,Validation Avg Return,Test Sharpe,Test Precision,Test Recall,Test Avg Return,Scope,Strategy_Mode,Cost_Regime
GRU,0.060696686026970086,0.5998606366499882,0.03989311613103382,0.0007355334244811011,0.09099292773312856,0.5929260090707127,0.06297787894489866,0.0009718426471912648,all_assets,long_only,with_cost
LightGBM,0.024615779144285144,0.566339193045986,0.06958358560740906,0.0003708936377890728,0.03606499753060722,0.5438052438179983,0.06449076157015654,0.0005097355158118551,all_assets,long_only,with_cost
Logistic Regression,0.02490479085861392,0.5825217966005115,0.07322562429330472,0.00030128255958445917,0.03401924059121447,0.5514130879542863,0.0393552128715794,0.0005387873528653153,all_assets,long_only,with_cost
RSI,0.003654797628732785,0.5460107311821895,0.4607823541840583,4.060662261271285e-05,-0.00013168643688961845,0.5334566452318295,0.451697731178399,5.5692754807058e-07,all_assets,long_only,with_cost
SMA,0.013344479362547533,0.5286146164307874,0.05274664787723134,0.00022333893417424128,0.02550991562390442,0.523911936565395,0.05851227657274511,0.0003623793617159252,all_assets,long_only,with_cost
XGBoost,-0.004436200020239521,0.5360872788439531,0.13521400008840206,2.5949020473803634e-06,-0.010906248214069958,0.5209898702893164,0.16702554089404165,-8.24773868730957e-05,all_assets,long_only,with_cost
GRU,0.08464152589549102,0.5998606366499882,0.03989311613103382,0.000964647122060841,0.11521506362971937,0.5929260090707127,0.06297787894489866,0.0012165118582499461,all_assets,long_only,no_cost
LightGBM,0.060722425216837295,0.566339193045986,0.06958358560740906,0.000648906246535437,0.07509092519930123,0.5438052438179983,0.06449076157015654,0.000801046124575216,all_assets,long_only,no_cost
Logistic Regression,0.04734574728410088,0.5825217966005115,0.07322562429330472,0.0005611854830938724,0.05831613355536332,0.5514130879542863,0.0393552128715794,0.0008172143692244408,all_assets,long_only,no_cost
RSI,0.014074423580807731,0.5460107311821895,0.4607823541840583,0.00011331661598900375,0.008710724254980573,0.5334566452318295,0.451697731178399,6.853402570361275e-05,all_assets,long_only,no_cost
SMA,0.01514086615295326,0.5286146164307874,0.05274664787723134,0.00024076609447812384,0.027176411733213415,0.523911936565395,0.05851227657274511,0.0003794558757954184,all_assets,long_only,no_cost
XGBoost,0.03036159569765881,0.5360872788439531,0.13521400008840206,0.0002645075457876163,0.021043576664073332,0.5209898702893164,0.16702554089404165,0.00017317032441260826,all_assets,long_only,no_cost
GRU,0.013622004892922982,0.5690097934324136,0.09645220694512557,5.150303818262801e-06,-0.05845794330056174,0.503128422058708,0.1465243595997338,-0.000628078443109247,all_assets,short_only,with_cost
LightGBM,0.025493959983472585,0.5637302702423275,0.03213734943488981,0.0001180571577014444,-0.03265831009925829,0.5061977052879387,0.12563368670516512,-0.00029224641263330607,all_assets,short_only,with_cost
Logistic Regression,0.016689666176398207,0.5743462493402904,0.039682269974569286,-6.196872064943161e-05,-0.001203699205542706,0.5293535606628413,0.3323779738891628,-6.01069592345187e-06,all_assets,short_only,with_cost
RSI,-0.025115044988858963,0.5271346356820202,0.4861277799856346,-0.00018287441873595698,-0.015259541601032045,0.5162364155683966,0.48381425683635493,-0.00012164149421426372,all_assets,short_only,with_cost
SMA,0.001440468813409407,0.49697747170870343,0.27190004110240246,2.0080651863989898e-05,-0.028094600980511968,0.48483446064514063,0.3067466478598069,-0.0005030647282158175,all_assets,short_only,with_cost
XGBoost,-0.02711540609864721,0.521472744485645,0.08460824454828784,-0.00026720970879310653,-0.028699678269837558,0.5028246020629739,0.2019182207446939,-0.00020214443065274268,all_assets,short_only,with_cost
GRU,0.04284184305384401,0.5690097934324136,0.09645220694512557,0.0002063681796723677,-0.030855553204562045,0.503128422058708,0.1465243595997338,-0.0004226652734565119,all_assets,short_only,no_cost
LightGBM,0.06459729955666563,0.5637302702423275,0.03213734943488981,0.0004243565538672566,0.003957059312579614,0.5061977052879387,0.12563368670516512,-2.738091643026576e-05,all_assets,short_only,no_cost
Logistic Regression,0.04849621359673634,0.5743462493402904,0.039682269974569286,0.0001932354994192259,0.023362146649953675,0.5293535606628413,0.3323779738891628,0.0001614768886682555,all_assets,short_only,no_cost
RSI,-0.015803625914768565,0.5271346356820202,0.4861277799856346,-0.0001200989737544781,-0.006757477172116753,0.5162364155683966,0.48381425683635493,-6.255247752938532e-05,all_assets,short_only,no_cost
SMA,0.0021715626707666685,0.49697747170870343,0.27190004110240246,2.7997270539015418e-05,-0.027376239105720464,0.48483446064514063,0.3067466478598069,-0.0004936927819455628,all_assets,short_only,no_cost
XGBoost,0.008856861158276587,0.521472744485645,0.08460824454828784,1.3607332447937906e-05,0.005556590629224105,0.5028246020629739,0.2019182207446939,3.9608496058002974e-05,all_assets,short_only,no_cost
GRU,0.03998153843096018,0.742291213736249,0.07516527563289654,0.00024508471692303603,-0.022557340772837275,0.5039185519880062,0.11284706963034512,-0.00021027404133733857,all_assets,long_short,with_cost
LightGBM,0.01869902640978204,0.5952140521789159,0.04434085619713957,0.00017383187816235178,-0.008643276333358336,0.5227021474707162,0.09446822278871132,-5.881049752130348e-05,all_assets,long_short,with_cost
Logistic Regression,0.023374663628369992,0.7660892449832091,0.026405291124837794,0.00017257813341407203,0.01429165136031912,0.547121415170129,0.1391577412792504,0.00015230301412391228,all_assets,long_short,with_cost
