Model,Input Type,Feature Type,Strategy,Validation Sharpe,Validation Precision,Validation Recall,Validation Avg Return,Test Sharpe,Test Precision,Test Recall,Test Avg Return
Logistic Regression,ohlc,extended,long,0.014508035017662683,0.5826086956521739,0.0603386167146974,0.0001280051297031144,0.050846782854985784,0.5974025974025974,0.041277817659727205,0.0004516194156259934
Logistic Regression,candle,extended,long,0.049129692153286664,0.5962264150943396,0.08537463976945245,0.00035786746356773877,-0.002568541167755248,0.5973154362416108,0.015972720746590095,1.5331092028474372e-05
LightGBM,candle,extended,long,0.01284377610226246,0.5693430656934306,0.014048991354466859,0.00014831036256169485,0.04256875921492783,0.5929203539823009,0.01202440775305097,0.0007448689812320948
Logistic Regression,ohlc,raw,long,0.057379404188844116,0.5954692556634305,0.03314121037463977,0.0007676144922315119,-0.0006147775816114043,0.5806451612903226,0.03230437903804738,9.390249407853027e-05
GRU,candle,extended,long,-0.014383982235925512,0.5844594594594594,0.03121616744857452,-8.183323080856363e-05,0.005119301072474202,0.5737051792828686,0.02587601078167116,7.44785345764432e-05
LightGBM,ohlc,extended,long,0.01897450525018788,0.557150451887294,0.18876080691642652,0.0001388640518905144,0.034456676585480024,0.5687671232876712,0.1862885857860732,0.00030117715241998534
RSI,rule,rule,long,-0.0023268644770472486,0.553082191780822,0.46566948999819785,4.946477167861074e-06,-0.009345292981071214,0.5365321701199564,0.44157242864835755,-6.0714310352809175e-05
XGBoost,candle,extended,long,0.018736719299973843,0.5399239543726235,0.07672910662824207,0.0001507723857375027,0.017078354127296688,0.5347938144329897,0.07447954055994258,0.0001830820029316269
XGBoost,ohlc,raw,long,0.05323212301206974,0.54375,0.04701008645533141,0.00038744376805656817,0.0067183634858277936,0.5285839929639402,0.10786073223259153,8.938208211917075e-05
LightGBM,ohlc,raw,long,0.09524417337280629,0.5275229357798165,0.020713256484149855,0.0008479000810410005,0.06831777560223579,0.5262529832935561,0.07914572864321608,0.0005831948074560324
SMA,rule,rule,long,-0.033335168578443986,0.5252225519287834,0.03214091156709642,-0.00021174691295544357,0.03681217039929372,0.5232,0.05914270211611503,0.00031663626971977963
LightGBM,candle,raw,long,0.0008829639841740588,0.5105099260412612,0.4724423631123919,2.343028760238483e-05,0.019149709516226045,0.5212683681361175,0.36288585786073224,0.00016083510846628068
XGBoost,ohlc,extended,long,-0.007592407078804319,0.541025641025641,0.19002161383285301,-3.147950268249361e-05,-0.00847033278470559,0.5209326974032856,0.17641780330222542,-4.076443726298731e-05
GRU,ohlc,raw,long,0.054821329515464506,0.5216216216216216,0.03482497293395886,0.0005994532144151408,0.00508209764234118,0.5177508269018744,0.4219227313566936,8.713253300737382e-05
XGBoost,candle,raw,long,0.003510582282534186,0.5101449275362319,0.06340057636887608,4.761650095913553e-05,0.03559902132358375,0.517353579175705,0.08560660445082556,0.0003539901901241748
GRU,candle,raw,long,0.026926048859179316,0.5361842105263158,0.029411764705882353,0.0003130844154504433,0.0010024220369878544,0.5155038759689923,0.04779874213836478,7.27544627956236e-05
GRU,ohlc,extended,long,0.03608317707452961,0.6074766355140186,0.011728617827499097,0.0002632647043436009,0.0756316116114567,0.46875,0.0026954177897574125,0.0002446032886145107
Logistic Regression,candle,raw,long,-0.010356345866142844,0.5103338632750397,0.05781700288184438,-5.678146678033905e-05,-0.18006140775505827,0.3333333333333333,0.0005384063173007897,-0.0017723867276383581
