Model,Input Type,Feature Type,Strategy,Validation Sharpe,Validation Precision,Validation Recall,Validation Avg Return,Test Sharpe,Test Precision,Test Recall,Test Avg Return
GRU,candle,extended,short,0.021317578628320732,0.6416184971098265,0.020739910313901346,0.00013658496428098466,0.11397211928015329,0.5828402366863905,0.03661710037174721,0.0005740897302314036
Logistic Regression,candle,extended,short,0.06431087455088644,0.6153846153846154,0.049217002237136466,0.00037140644289398577,0.0843941904973093,0.5609195402298851,0.1357315038012238,0.00028542147146358394
Logistic Regression,ohlc,extended,short,0.03451834291789973,0.64375,0.038404175988068605,0.00017301287734626227,0.029074928446890858,0.5483333333333333,0.061005006489894306,0.00012252318569364447
LightGBM,candle,extended,short,0.10126101612671852,0.5916030534351145,0.02889634601043997,0.0006224331418296556,0.0955193070665964,0.5474006116207951,0.06638234748748377,0.0003527966895613173
LightGBM,ohlc,extended,short,-0.008156022001480665,0.5755813953488372,0.018456375838926176,-3.0202003480259378e-05,0.07756271693386356,0.5328798185941043,0.04357500463563879,0.00034426570521769686
GRU,ohlc,extended,short,0.017107345617230183,0.6143790849673203,0.017563527653213753,0.00010147285869821882,0.02740249708371738,0.5303629177146963,0.27434944237918213,9.914450245269466e-05
GRU,candle,raw,short,0.2602775269360238,0.5943396226415094,0.011771300448430493,0.0014214057991158672,0.07693994467813019,0.5255394700901393,0.3576208178438662,0.0002066303940670686
XGBoost,candle,extended,short,0.024056719692829746,0.5150136487716106,0.10551826994780016,0.00014836538961262747,0.007862083577408181,0.5196775723091512,0.20322640459855368,5.543988801574805e-05
RSI,rule,rule,short,-0.01745216732120705,0.5304538216560509,0.4971087483678418,-0.00010354952519063616,-0.003078197658694318,0.5195596618832318,0.4905345211581292,-3.963943733634109e-06
Logistic Regression,candle,raw,short,0.07907480488841159,0.5172413793103449,0.016778523489932886,0.0005531110332469022,0.04264076526529855,0.514480761274307,0.46115334693120713,0.00011923108830928619
Logistic Regression,ohlc,raw,short,0.011893841170310797,0.534185303514377,0.1558538404175988,7.413984661630228e-05,0.007750095862464374,0.5030667007411194,0.7300203968106805,3.755012260601224e-05
GRU,ohlc,raw,short,-0.0152396208192551,0.5008581235697941,0.3271674140508221,-7.441632057445339e-05,-0.06580276620183945,0.5,0.008364312267657992,-0.00019880400722129205
XGBoost,ohlc,extended,short,0.051448669849268255,0.5286168521462639,0.12397464578672632,0.00026594633112069394,-0.018573374696946126,0.4975669099756691,0.2275171518635268,-7.926060884661117e-05
XGBoost,ohlc,raw,short,0.04428778193793862,0.5214446952595937,0.12919463087248323,0.00022693633696106364,0.01601165032585249,0.4968394437420986,0.3643612089745967,7.441079913538597e-05
LightGBM,candle,raw,short,0.0031134980823634747,0.5189664650907092,0.17598806860551827,3.0724379344798066e-05,0.00045612115101679,0.4962017623822546,0.3027999258297793,1.5314898916510197e-05
LightGBM,ohlc,raw,short,0.14970979388351063,0.5671641791044776,0.028337061894108874,0.0008062284658452032,0.0075166135760035176,0.4940239043824701,0.11496384201743,5.325208196981991e-05
XGBoost,candle,raw,short,0.014467061073211065,0.5173333333333333,0.14466815809097688,8.260093207606182e-05,-0.00991505351308837,0.4937174379405455,0.298720563693677,-3.999646793516809e-05
SMA,rule,rule,short,-0.0021262891408034444,0.4970745357415416,0.3695158850226929,3.3951652774600785e-06,-0.01282672528563954,0.4923226907141116,0.3798420458819105,-6.661816037307711e-05
