Model,Input Type,Feature Type,Strategy,Validation Sharpe,Validation Precision,Validation Recall,Validation Avg Return,Test Sharpe,Test Precision,Test Recall,Test Avg Return
GRU,candle,extended,short,-0.04041695859010873,0.6,0.0446594715295869,-0.0003280255093289035,-0.07266230104972447,0.5536480686695279,0.02407165515954469,-0.0004367686021970763
GRU,candle,raw,short,0.00872271429374037,0.5186385737439222,0.1190919240788984,5.5378677591273635e-05,-0.02173221330009482,0.5428571428571428,0.014181750326553461,-0.00016437072018320276
Logistic Regression,ohlc,extended,short,0.09975431344519257,0.6385542168674698,0.019677000185632076,0.00045026110511029864,-0.04568024791428483,0.5398230088495575,0.022697674418604652,-0.0003909423548599333
Logistic Regression,ohlc,raw,short,0.21626455437314812,0.6428571428571429,0.01169482086504548,0.002047114878151266,-0.004298430144402429,0.5397448478900884,0.10232558139534884,-3.857863353669027e-05
XGBoost,ohlc,extended,short,-0.02266403167573534,0.5408038976857491,0.08242064228698719,-0.00013155712624279126,-0.0011191844551370598,0.535754189944134,0.1784186046511628,-7.4793203937986905e-06
XGBoost,candle,extended,short,-0.031147662062403426,0.5357798165137615,0.10840913309819937,-0.00018779409552873076,-0.0034712248867843727,0.5352245862884161,0.2106046511627907,-2.7256263788181505e-05
LightGBM,ohlc,extended,short,0.056741449530678084,0.6164383561643836,0.016706886950064972,0.00032006534520027653,-0.056226711885153616,0.5238095238095238,0.028651162790697675,-0.0004808682232770816
LightGBM,candle,extended,short,0.022602315642374398,0.5952380952380952,0.01392240579172081,0.0001598375657694699,-0.0663542735180722,0.5232815964523282,0.043906976744186046,-0.00048704824045310644
Logistic Regression,candle,extended,short,-0.02040285453711806,0.5866209262435678,0.06348617041024689,-0.00013151368510912252,-0.021618593812477972,0.5224292615596964,0.28167441860465114,-0.00019698207146199412
RSI,rule,rule,short,-0.02522739969224422,0.5376499793131981,0.4828162734534646,-0.00014344559179996593,-0.02016806420215098,0.5198342214328004,0.49059415161110076,-0.00014353656402838288
XGBoost,candle,raw,short,-0.05842311932719597,0.5064239828693791,0.08780397252645257,-0.00032269220678907774,-0.059387148635384045,0.510214250124564,0.19051162790697673,-0.0004049246204571587
LightGBM,candle,raw,short,0.001332064381572838,0.5674740484429066,0.030443660664562836,5.655633737968764e-06,-0.030456176050882404,0.49899799599198397,0.046325581395348835,-0.0002656669427782604
XGBoost,ohlc,raw,short,-0.07839528102942901,0.4965034965034965,0.09225914237980323,-0.0004122630802799592,-0.018725766576128015,0.49710982658959535,0.192,-0.0001203317156805226
SMA,rule,rule,short,0.013031750430721674,0.5027916544225683,0.32083255203450217,9.171161764150732e-05,0.002241139226847508,0.4925373134328358,0.3784545967287084,1.943492914056934e-05
LightGBM,ohlc,raw,short,0.08035189322626142,0.5964912280701754,0.0126229812511602,0.00042732439584033515,-0.06697044286266338,0.4914712153518124,0.08576744186046512,-0.00036055742915701354
Logistic Regression,candle,raw,short,0.03736437936913421,0.5335195530726257,0.03545572674958233,0.0003379410062214747,-0.013030689909677338,0.4890593918726911,0.6403720930232558,-0.00010732343722922201
GRU,ohlc,extended,short,-0.00036875190043782164,0.550561797752809,0.018235950874581318,-1.8389054923348538e-06,0.03146715682851499,0.4881889763779528,0.04627729053927972,0.00034019477547802873
GRU,ohlc,raw,short,,,,,,,0.0,
