Model,Input Type,Feature Type,Strategy,Validation Sharpe,Validation Precision,Validation Recall,Validation Avg Return,Test Sharpe,Test Precision,Test Recall,Test Avg Return
GRU,candle,extended,short,-0.07292268501030803,0.5682326621923938,0.0945292147376256,-0.0005436988065585963,-0.05746437569930248,0.571072319201995,0.04273185295764135,-0.0003420189788288188
LightGBM,candle,extended,short,0.019228974108643056,0.5952380952380952,0.01392240579172081,0.0001598375657694699,-0.02562524119909533,0.5562130177514792,0.03497674418604651,-0.00017068173043480604
LightGBM,ohlc,extended,short,0.05514691325903366,0.6164383561643836,0.016706886950064972,0.00032006534520027653,0.03534489239550222,0.546875,0.01953488372093023,0.0002955660696343777
Logistic Regression,ohlc,extended,short,0.10113699984542657,0.6385542168674698,0.019677000185632076,0.00045026110511029864,-0.0784168120263133,0.5414847161572053,0.023069767441860466,-0.0006894384885674965
Logistic Regression,ohlc,raw,short,0.23350606280307842,0.6428571428571429,0.01169482086504548,0.002047114878151266,-0.01237591999965276,0.5363984674329502,0.10418604651162791,-7.847862852189408e-05
XGBoost,candle,extended,short,-0.030601018290153457,0.5357798165137615,0.10840913309819937,-0.00018779409552873076,-0.021661383667779362,0.5318390219052471,0.19423255813953488,-0.00017696137007994653
LightGBM,candle,raw,short,-0.0007785483459724106,0.5674740484429066,0.030443660664562836,5.655633737968764e-06,0.1469540674126574,0.5317220543806647,0.03274418604651163,0.0010443990683294373
XGBoost,ohlc,extended,short,-0.024070710283745307,0.5408038976857491,0.08242064228698719,-0.00013155712624279126,-0.026752888449495353,0.5269576379974326,0.15274418604651163,-0.00017986811868345588
GRU,ohlc,extended,short,-0.015476178625368318,0.6226415094339622,0.018422032005954596,-7.333508058318786e-05,-0.37949811412698153,0.5217391304347826,0.0022392237357715993,-0.0016920329770177408
Logistic Regression,candle,extended,short,-0.02261728978339993,0.5866209262435678,0.06348617041024689,-0.00013151368510912252,-0.019125162759289424,0.5216938562998958,0.27962790697674417,-0.00020080087858945952
RSI,rule,rule,short,-0.019571790498915873,0.5376499793131981,0.4828162734534646,-0.00014344559179996593,-0.015953378208469742,0.5198342214328004,0.49059415161110076,-0.00014353656402838288
XGBoost,candle,raw,short,-0.05247479481109474,0.5064239828693791,0.08780397252645257,-0.00032269220678907774,-0.05050800544171657,0.5097345132743363,0.16074418604651164,-0.0004822898887003627
GRU,ohlc,raw,short,0.06890987703324447,0.5286506469500925,0.05321920357275772,0.0004817917909409391,0.017654948219163344,0.506578947368421,0.05747340921813771,0.00011832768138619887
XGBoost,ohlc,raw,short,-0.06597696450161863,0.4965034965034965,0.09225914237980323,-0.0004122630802799592,-0.01897318330803942,0.5,0.17544186046511628,-0.0001040841166490381
SMA,rule,rule,short,0.010703648586773765,0.5027916544225683,0.32083255203450217,9.171161764150732e-05,-0.0020091997517229735,0.4925373134328358,0.3784545967287084,1.943492914056934e-05
Logistic Regression,candle,raw,short,0.034681344399813636,0.5335195530726257,0.03545572674958233,0.0003379410062214747,-0.009996883170707658,0.49040784425181183,0.6420465116279069,-8.948587504184973e-05
GRU,candle,raw,short,-0.0016215796225395062,0.506641689373297,0.5535913658355043,5.039674549856268e-06,-0.024407212041498517,0.48333333333333334,0.23810412390371338,-0.0003213586455434175
LightGBM,ohlc,raw,short,0.07954881651403907,0.5964912280701754,0.0126229812511602,0.00042732439584033515,-0.07798238936106987,0.47659980897803245,0.09283720930232559,-0.000509340910220002
