Model,Input Type,Feature Type,Strategy,Validation Sharpe,Validation Precision,Validation Recall,Validation Avg Return,Test Sharpe,Test Precision,Test Recall,Test Avg Return
Logistic Regression,ohlc,extended,short,0.1142228745817783,0.5536723163841808,0.0183761485092818,0.000861954401282,0.0901108755498436,0.6046511627906976,0.0292025458629726,0.0006732950754876
Logistic Regression,candle,extended,short,0.1373503976208584,0.5550660792951542,0.0236264766547909,0.0010251457959152,0.0627934070674884,0.5514096185737977,0.1244852115312617,0.0006156319447854
GRU,candle,raw,short,-0.019658759460862,0.5017751479289941,0.0796842698740838,-0.0002170452644839,0.0178006988546214,0.5370370370370371,0.0108858858858858,0.0001482714631383
LightGBM,candle,extended,short,0.1320046751869621,0.5773195876288659,0.0105006562910181,0.0014505572605917,0.0017770742025332,0.5138339920948617,0.0243354548858105,1.883014820278501e-05
Logistic Regression,ohlc,raw,short,-0.0184331001034747,0.5405405405405406,0.0262516407275454,-0.0001958831045817,0.0401537121730005,0.5108834827144686,0.074691126918757,0.0003659046568107
RSI,rule,rule,short,-0.0272143900451465,0.5138489208633094,0.5361231000187653,-0.0002815230814119,0.0054690049857363,0.5081189563948184,0.5219265367316341,4.8570812479642366e-05
LightGBM,ohlc,raw,short,0.0947965063531529,0.4932432432432432,0.0136883555222201,0.0010091145434023,0.0428674187084277,0.4989429175475687,0.0441782104080868,0.0004312410646591
Logistic Regression,candle,raw,short,0.0522161314463466,0.5202312138728323,0.0337521095068441,0.0005660873984408,0.0294545964498625,0.4976224932809592,0.4505803070011231,0.0002880930707289
LightGBM,ohlc,extended,short,0.1367033649499536,0.5727848101265823,0.0339396212263266,0.0015808851979116,-0.0074656374867535,0.4956989247311828,0.0862972669412205,-8.057624194257061e-05
XGBoost,candle,raw,short,-0.0217634296036908,0.4915117219078415,0.1140071254453403,-0.0002373003957283,0.0337453423860815,0.4937388193202147,0.2066641707225758,0.0003389893673236
GRU,ohlc,extended,short,-0.0127395387136247,0.499879778792979,0.7814320616425484,-0.0001296670797304,-0.0050164495764146,0.4910957469097004,0.8798798798798799,-4.325425481949373e-05
GRU,candle,extended,short,-0.0178703825770214,0.4960666358167515,0.8058635594813005,-0.0001839541688739,0.0011814057038659,0.4898102600140548,0.9157282282282282,1.0062678819249852e-05
XGBoost,ohlc,extended,short,0.0513548456088376,0.5260770975056689,0.0435027189199324,0.0004883090650446,0.0074956666634684,0.4870689655172414,0.0634593785099213,6.537929427260094e-05
SMA,rule,rule,short,-0.0156261375597883,0.494593915011315,0.3757402101241642,-0.0001587227250556,-0.0072988005563676,0.4858003442340792,0.4310805651011836,-7.348525635567266e-05
GRU,ohlc,raw,short,0.0015608401961946,0.5105740181268882,0.1270437887615109,1.1623051162780842e-05,-0.0002244821059468,0.4850244498777506,0.2978603603603603,-2.0929508856102057e-06
XGBoost,candle,extended,short,0.0434153233443903,0.5178041543026706,0.0654415900993812,0.0004572029840721,-0.0147087164472041,0.4848484848484848,0.0958442530887308,-0.0001304382358554
XGBoost,ohlc,raw,short,0.058725400006265,0.5245641838351822,0.0620663791486967,0.0006310730326919,-0.0034798891931353,0.4829931972789115,0.1594908274054661,-3.0169280630130735e-05
LightGBM,candle,raw,short,0.0529537975526853,0.5184590690208668,0.060566285392837,0.0005306451092277,-0.0013238311426736,0.4785631517960602,0.154623736428304,-1.3223836368655553e-05
