Model,Input Type,Feature Type,Strategy,Validation Sharpe,Validation Precision,Validation Recall,Validation Avg Return,Test Sharpe,Test Precision,Test Recall,Test Avg Return
Logistic Regression,ohlc,extended,short,0.080525235270358,0.5536723163841808,0.0183761485092818,0.0006088470566493,0.0506468188248935,0.6046511627906976,0.0292025458629726,0.0003789152305264
Logistic Regression,candle,extended,short,0.104965388003055,0.5550660792951542,0.0236264766547909,0.000784617161554,0.0390415002400067,0.5514096185737977,0.1244852115312617,0.0003831692582182
GRU,candle,raw,short,-0.0316073785711719,0.5017751479289941,0.0796842698740838,-0.0003491754419987,-0.0020416873231456,0.5370370370370371,0.0108858858858858,-1.7006314639394382e-05
LightGBM,candle,extended,short,0.1031030910402259,0.5773195876288659,0.0105006562910181,0.0011330314873958,-0.027202897627769,0.5138339920948617,0.0243354548858105,-0.0002882844763031
Logistic Regression,ohlc,raw,short,-0.0456003210605992,0.5405405405405406,0.0262516407275454,-0.0004850722937709,0.008430927496826,0.5108834827144686,0.074691126918757,7.685216001175957e-05
RSI,rule,rule,short,-0.0330439326999893,0.5138489208633094,0.5361231000187653,-0.0003418288368076,-0.0010453231509787,0.5081189563948184,0.5219265367316341,-9.28359365062582e-06
LightGBM,ohlc,raw,short,0.0676773765573095,0.4932432432432432,0.0136883555222201,0.0007206010298887,0.0166005462022547,0.4989429175475687,0.0441782104080868,0.0001670761597965
Logistic Regression,candle,raw,short,0.031239743036266,0.5202312138728323,0.0337521095068441,0.0003384862423714,0.0162941440995402,0.4976224932809592,0.4505803070011231,0.0001594389462716
LightGBM,ohlc,extended,short,0.1118378881995568,0.5727848101265823,0.0339396212263266,0.0012929105143673,-0.0314508958236578,0.4956989247311828,0.0862972669412205,-0.0003395009731253
XGBoost,candle,raw,short,-0.0487605034836466,0.4915117219078415,0.1140071254453403,-0.0005318436455262,0.0096223535818129,0.4937388193202147,0.2066641707225758,9.668167501593832e-05
GRU,ohlc,extended,short,-0.0152398536002299,0.499879778792979,0.7814320616425484,-0.0001551239203171,-0.0072615503673004,0.4910957469097004,0.8798798798798799,-6.261314859699212e-05
GRU,candle,extended,short,-0.0197649719975361,0.4960666358167515,0.8058635594813005,-0.0002034705964538,-0.0005635979985865,0.4898102600140548,0.9157282282282282,-4.800286746456428e-06
XGBoost,ohlc,extended,short,0.0208205894159274,0.5260770975056689,0.0435027189199324,0.0001978328745684,-0.0232257261956428,0.4870689655172414,0.0634593785099213,-0.0002026523149228
SMA,rule,rule,short,-0.0159907421636036,0.494593915011315,0.3757402101241642,-0.000162418978513,-0.0076727882502163,0.4858003442340792,0.4310805651011836,-7.72503165966365e-05
GRU,ohlc,raw,short,-0.0065646078886735,0.5105740181268882,0.1270437887615109,-4.891320261365419e-05,-0.0118183983296893,0.4850244498777506,0.2978603603603603,-0.0001102378164112
XGBoost,candle,extended,short,0.0149080846071749,0.5178041543026706,0.0654415900993812,0.0001570546161195,-0.0478399875138738,0.4848484848484848,0.0958442530887308,-0.0004247564176735
XGBoost,ohlc,raw,short,0.0329079742768894,0.5245641838351822,0.0620663791486967,0.0003537354732624,-0.0320625429852848,0.4829931972789115,0.1594908274054661,-0.000278185153646
LightGBM,candle,raw,short,0.0226230073754583,0.5184590690208668,0.060566285392837,0.000226712524958,-0.023204541686492,0.4785631517960602,0.154623736428304,-0.0002318217506212
