Model,Input Type,Feature Type,Strategy,Validation Sharpe,Validation Precision,Validation Recall,Validation Avg Return,Test Sharpe,Test Precision,Test Recall,Test Avg Return
GRU,candle,extended,short,-0.04534417148622921,0.595166163141994,0.037424012158054715,-0.0008181658225194,-0.024924071628239383,0.5418894830659536,0.16932788711474192,-0.00029425533308583625
Logistic Regression,ohlc,extended,short,-0.03936623017426759,0.6560509554140127,0.019522365428354813,-0.0008604812632437491,0.015408629623351818,0.5415512465373962,0.21726245601037228,0.00015547864670354555
Logistic Regression,candle,extended,short,-0.05430638278272919,0.6325301204819277,0.01990144048521607,-0.00116484438315254,0.007268184894541568,0.536500174641984,0.2844971290979811,7.476659780530443e-05
XGBoost,candle,extended,short,-0.013696824402229937,0.5256849315068494,0.058188021228203185,-0.00017905053104088928,0.012731741248495982,0.5231851614966422,0.3030190776069642,0.00011955947839722968
RSI,rule,rule,short,-0.0021481257260119956,0.5265858208955224,0.4284629981024668,-1.9502851766339786e-05,-0.020464078755185324,0.5174328225627359,0.43220181784455575,-0.0002151740376099841
GRU,ohlc,extended,short,0.0155571209037422,0.586046511627907,0.09574468085106383,0.0001853947315574541,0.0028169749139594492,0.5160632330443651,0.5636836242109172,2.7575804590052447e-05
XGBoost,ohlc,extended,short,-0.02392433236711851,0.532293986636971,0.045299469294920396,-0.0003509305890860759,0.006761339007284886,0.5092592592592593,0.264863863678459,5.880688846939506e-05
Logistic Regression,ohlc,raw,short,-0.07438119108102574,0.532967032967033,0.01838514025777104,-0.0017754124794268679,7.082711966453885e-05,0.5047214353163362,0.7919985182441193,6.632620387606034e-07
LightGBM,ohlc,extended,short,-0.03456652808119352,0.5578947368421052,0.01004548900682335,-0.0008685452227130844,-0.05354118608855575,0.5006337135614702,0.07316169661048343,-0.0005996889138028308
XGBoost,candle,raw,short,-0.03327410020736664,0.5074380165289256,0.058188021228203185,-0.0004386393719189253,-0.008094514417522087,0.4977544910179641,0.12317095758473791,-7.551602930005495e-05
Logistic Regression,candle,raw,short,-0.02430032634456582,0.48636859323882226,0.08453373768006066,-0.00030975908808468814,-0.012698913433209147,0.4947336743906109,0.9135025004630487,-0.0001312044939267672
LightGBM,ohlc,raw,short,-0.062015389462355526,0.574468085106383,0.01023502653525398,-0.0014767092830726128,0.0004580286482396579,0.4935591603053435,0.3832191146508613,5.128914705859598e-06
LightGBM,candle,raw,short,0.0199531992850786,0.529891304347826,0.036959818043972706,0.00022175808540544797,-0.015615413816459209,0.4915010083549409,0.31598444156325245,-0.00014460063364469037
LightGBM,candle,extended,short,0.07184381964788922,0.5666666666666667,0.01288855193328279,0.0007740358168177206,-0.03159015998452811,0.4892086330935252,0.025189849972217078,-0.0004317992996750252
XGBoost,ohlc,raw,short,-0.0511281538774837,0.5562700964630225,0.032789992418498864,-0.000913994154849402,-0.01471945328464785,0.48500948766603413,0.23671050194480459,-0.00019724526865059266
SMA,rule,rule,short,0.009808354156411963,0.49344978165938863,0.021511517228250523,0.0001695368491531547,-0.09260337192925422,0.46867749419953597,0.03760938372742506,-0.0018588126964700679
GRU,ohlc,raw,short,,,,,-0.7856628807796363,0.0,0.0,-0.0389510965349
GRU,candle,raw,short,,,,,,,0.0,
