Model,Input Type,Feature Type,Strategy,Validation Sharpe,Validation Precision,Validation Recall,Validation Avg Return,Test Sharpe,Test Precision,Test Recall,Test Avg Return
Logistic Regression,candle,raw,long_short,0.035901936866296245,0.7620772946859904,0.019523729778700837,0.00039189707066768345,0.11174825166415488,0.6051241415742208,0.031221723562357404,0.0007940229734248666
LightGBM,ohlc,extended,long_short,0.1425795749305009,0.6309143686502177,0.012428780749942844,0.0005799138874397254,0.16120126504259882,0.5922799422799423,0.01563516990687728,0.0006035548038497092
Logistic Regression,ohlc,extended,long_short,0.046064309833419415,0.821875,0.019381171088590176,0.00022929334397592274,0.035073843106281276,0.5818589743589744,0.03122205712154366,0.00015548755369577957
LightGBM,candle,raw,long_short,0.005794466128390505,0.567816565878688,0.0913070715520428,4.3768654725274943e-05,0.003203668162620475,0.5814342145244606,0.1528390706680827,2.8962531358705023e-05
GRU,candle,extended,long_short,0.03220500710496419,0.8208092485549132,0.010459673441537072,0.00019861830356051295,0.13064137955805422,0.569197896120973,0.018759081813193842,0.0006560544458802611
GRU,candle,raw,long_short,0.07357522793114127,0.6526223776223776,0.03589842803909625,0.000557056369602737,0.03224782727182699,0.5529920017893779,0.12569170840923144,0.00019971112142550085
Logistic Regression,candle,extended,long_short,0.1097893483244622,0.8157349896480331,0.02740338593915929,0.0007893663891442637,0.10470821982933669,0.54858934169279,0.027899323965590434,0.000694670667508377
Logistic Regression,ohlc,raw,long_short,0.02973648864340079,0.7938432835820896,0.0565043888044888,0.00023408682181434826,0.06470422248985695,0.5388883957958891,0.10770969690243931,0.0002613549388069179
RSI,rule,rule,long_short,-0.004382399507016996,0.5414923776446734,0.4686260587717345,-1.2093067967329164e-05,0.00720924193974748,0.5282839429665103,0.4626507408741879,4.27502343018375e-05
XGBoost,candle,extended,long_short,0.043531824079644996,0.5357976687848893,0.11480408229328923,0.00019764774512515292,0.02265310603032759,0.5231872700553981,0.1863890873844013,0.00010563666176303322
GRU,ohlc,extended,long_short,0.06834292787350629,0.7994350282485876,0.019895398404167864,0.00031089056347079924,0.008526868776717692,0.5228963938179737,0.16979553903345726,3.994065007958896e-05
SMA,rule,rule,long_short,0.018082238652267883,0.5390107976314873,0.03805526485131121,0.0001268569022465567,-0.005854309321756165,0.5223367697594502,0.027446731672083786,-1.7310779073467822e-05
LightGBM,candle,extended,long_short,0.11200691631741315,0.5998555807716113,0.018477542632727148,0.000632421660748181,0.0655105858049777,0.5199689625268155,0.03912749322566309,0.00026263520421070417
GRU,ohlc,raw,long_short,0.02616100202092275,0.7552878965922445,0.46788455885291486,9.590424113857049e-05,0.07520112667556732,0.5183727034120735,0.035591998558298796,0.00035012896692706197
XGBoost,ohlc,extended,long_short,0.06334175202276157,0.535904710129361,0.17744450427235375,0.00022329734188467212,0.009596758538011048,0.5176416555599582,0.224976648355268,4.9369738078967804e-05
LightGBM,ohlc,raw,long_short,0.07452637761038168,0.5489015158886144,0.05061194068917478,0.0002879112984154854,0.010482260951472852,0.5113117549525763,0.0815869758746981,5.8270361733267224e-05
XGBoost,ohlc,raw,long_short,0.04711399371251802,0.5239407384343946,0.10560734408953674,0.00021295837841342702,0.012915876753115242,0.5050282788274545,0.246530842700259,7.417909286574532e-05
XGBoost,candle,raw,long_short,0.0028579045715148247,0.5165968248085153,0.27966596262037696,2.7103369072838366e-05,0.011983992802692486,0.5048021923021923,0.3060457735933,6.625125146204568e-05
