Model,Input Type,Feature Type,Strategy,Validation Sharpe,Validation Precision,Validation Recall,Validation Avg Return,Test Sharpe,Test Precision,Test Recall,Test Avg Return
Logistic Regression,candle,extended,long_short,0.0483226929068302,0.7981132075471697,0.042780135923337695,0.00036919715066970694,0.11780086773552528,0.6247220163083766,0.009863269837559892,0.0012136459341006776
XGBoost,candle,extended,long_short,0.01445629071820685,0.5370070765496329,0.09202601564017121,9.34624811798732e-05,0.03576072753837471,0.5442316353999728,0.14091372143107564,0.0002935754041535887
LightGBM,candle,extended,long_short,0.009747508418197368,0.601338199513382,0.010551505144469368,8.206188351272081e-05,-0.0030683422618358806,0.543418201516793,0.020314763184694235,-3.3308221647275526e-05
GRU,ohlc,raw,long_short,0.011002222531904974,0.5307262569832403,0.03428365211115121,0.00010943163926905711,0.01712775176226219,0.5397078311352306,0.2566450674458012,0.00014876436565401733
GRU,candle,extended,long_short,0.03072933598268443,0.6276143790849673,0.042981450847250025,0.00023260750477604945,0.03884718292166299,0.529395201150286,0.06959003059232967,0.0002957855772571434
XGBoost,ohlc,extended,long_short,0.00253566490923265,0.54084950483714,0.13521394364381323,1.679515105921925e-05,0.017548235985012477,0.5291017351858531,0.1744306582747625,0.00013433224741462218
RSI,rule,rule,long_short,-0.006005714496374306,0.54536608554701,0.47424288172583123,-3.612518929442337e-05,-0.00921422188181583,0.5281831957763784,0.46608329012972916,-7.065114824901015e-05
XGBoost,ohlc,raw,long_short,0.0028312373642811082,0.5201267482517482,0.06963461441756733,1.708147556172415e-05,0.0246098352005842,0.5069481427240048,0.1456198267082923,0.00017618642659134325
SMA,rule,rule,long_short,0.0027983231310600466,0.5347190250507786,0.24654809113531295,1.802169702467306e-05,-0.004933199723140303,0.5064578308285401,0.24190918666807545,-4.155328620770476e-05
LightGBM,ohlc,raw,long_short,0.09843874562448231,0.5620070819249959,0.016668118867655027,0.0007983650566046273,0.013892514273264656,0.5045075375004676,0.06935536486418806,0.00010257784038546954
XGBoost,candle,raw,long_short,0.012837024465123205,0.5088472565451291,0.12137161509001551,7.704780563046774e-05,-0.008742196463229433,0.5036718016787356,0.18599946576737508,-6.593784159182392e-05
LightGBM,ohlc,extended,long_short,0.02056808478720776,0.598575225943647,0.09586546007599682,0.00013987862679029815,0.012836336907070355,0.5014028829505393,0.0874835139150904,0.0001225381018762799
Logistic Regression,candle,raw,long_short,0.062348076132653175,0.7667597765363128,0.017817921011678773,0.0005637726713828534,-0.007145183786563648,0.4890593918726911,0.3201860465116279,-5.88366512104667e-05
LightGBM,candle,raw,long_short,0.004159471962786357,0.5710444367048411,0.23733497401953363,2.5005244828247104e-05,0.012925180662570085,0.48866794683915304,0.17018572931100684,0.00010881410607696075
GRU,candle,raw,long_short,0.027633680494640336,0.7578579743888243,0.20617507313304081,0.0001433885756263593,0.024484920382716935,0.4857142857142857,0.03172233625676432,0.00024951176755772886
Logistic Regression,ohlc,extended,long_short,0.17561853741979166,0.6526104417670682,0.01019873064036647,0.0008138476599910584,-0.02675181267864267,0.39491150442477874,0.011438571595519123,-0.00023108807033246585
GRU,ohlc,extended,long_short,0.052193133775594897,0.7969924812030076,0.028695644465909546,0.00028622900973254955,-0.007773903877403289,0.296875,0.008535489667565139,-5.164897327298332e-05
Logistic Regression,ohlc,raw,long_short,0.020669137339300134,0.7819905213270142,0.044450607289723526,0.00015202785311230029,-0.0026976231457478,0.25901833234772326,0.16297674418604652,-2.0806453860628788e-05
