Model,Input Type,Feature Type,Strategy,Validation Sharpe,Validation Precision,Validation Recall,Validation Avg Return,Test Sharpe,Test Precision,Test Recall,Test Avg Return
GRU,ohlc,raw,long_short,0.0630426503497796,0.5205479452054794,0.0102850956333453,0.0008351438082997,0.0075779521551691,0.7578325123152709,0.2352235795154954,7.050042774587585e-05
Logistic Regression,candle,extended,long_short,0.0143526250991637,0.7981132075471697,0.0427801359233376,0.0001097750401169,0.0873982379047717,0.6247220163083766,0.0098632698375598,0.0009005903785451
GRU,ohlc,extended,long_short,0.0108834536207033,0.6541850220264318,0.0544061674982677,6.593118466057846e-05,-0.0406319731949955,0.6127285851780558,0.0927204606805489,-0.0003647799240472
XGBoost,candle,extended,long_short,-0.0312138986013052,0.5370070765496329,0.0920260156401712,-0.000201885112403,0.0004186596108586,0.5442316353999728,0.1409137214310756,3.4340613974051125e-06
LightGBM,candle,extended,long_short,-0.0291013984045905,0.601338199513382,0.0105515051444693,-0.0002448416697867,-0.0304545114717437,0.543418201516793,0.0203147631846942,-0.00033089276271
GRU,candle,raw,long_short,0.0094919739906564,0.759529602595296,0.0596361821765838,6.025956705506051e-05,-0.0217322133000948,0.5428571428571428,0.0070908751632767,-0.0001643707201832
XGBoost,ohlc,extended,long_short,-0.0383606799443505,0.54084950483714,0.1352139436438132,-0.000254324441816,-0.0175352524545564,0.5291017351858531,0.1744306582747625,-0.0001343017232143
RSI,rule,rule,long_short,-0.0225963297999201,0.54536608554701,0.4742428817258312,-0.0001360147327406,-0.0215533156516292,0.5281831957763784,0.4660832901297291,-0.0001653310073455
XGBoost,ohlc,raw,long_short,-0.0423932161084697,0.5201267482517482,0.0696346144175673,-0.0002558759856131,-0.0171046826349357,0.5069481427240048,0.1456198267082923,-0.0001225099168108
SMA,rule,rule,long_short,0.0014863032191307,0.5347190250507786,0.2465480911353129,9.573648750111504e-06,-0.0060659847537664,0.5064578308285401,0.2419091866680754,-5.109634750894582e-05
LightGBM,ohlc,raw,long_short,0.0656807807638826,0.5620070819249959,0.016668118867655,0.0005327024060022,-0.0247771423496472,0.5045075375004676,0.069355364864188,-0.0001831317086861
XGBoost,candle,raw,long_short,-0.0379671526581308,0.5088472565451291,0.1213716150900155,-0.0002280079421588,-0.0450644118811363,0.5036718016787356,0.185999465767375,-0.0003400521130489
LightGBM,ohlc,extended,long_short,-0.0132351647972219,0.598575225943647,0.0958654600759968,-9.00269345948015e-05,-0.0113400017249689,0.5014028829505393,0.0874835139150904,-0.0001083129619535
Logistic Regression,candle,raw,long_short,0.038236565358666,0.7667597765363128,0.0178179210116787,0.0003453882702686,-0.0130306899096773,0.4890593918726911,0.3201860465116279,-0.0001073234372292
LightGBM,candle,raw,long_short,-0.0251129807437144,0.5710444367048411,0.2373349740195336,-0.0001511145922863,-0.0122124918464366,0.488667946839153,0.1701857293110068,-0.0001028631178282
Logistic Regression,ohlc,extended,long_short,0.114551273519199,0.6526104417670682,0.0101987306403664,0.0005309988227817,-0.0582754493029423,0.3949115044247787,0.0114385715955191,-0.0005034793746802
GRU,candle,extended,long_short,-0.0069917294758944,0.7922149122807017,0.0481803736584329,-5.98921782822647e-05,-0.0251204204172122,0.2745726495726496,0.0461814914645103,-0.0002278049030544
Logistic Regression,ohlc,raw,long_short,-0.0168593358027909,0.7819905213270142,0.0444506072897235,-0.0001240052047389,-0.0279911227504117,0.2590183323477232,0.1629767441860465,-0.0002161360429827
