Model,Input Type,Feature Type,Strategy,Validation Sharpe,Validation Precision,Validation Recall,Validation Avg Return,Test Sharpe,Test Precision,Test Recall,Test Avg Return
GRU,candle,raw,long_short,-0.025869143330271873,0.7508875739644971,0.039933525907614016,-0.00028916200233477076,-0.00010301618872075309,0.7685185185185186,0.005532903360359279,-8.542722143834252e-07
Logistic Regression,candle,raw,long_short,0.03959020842548446,0.7601156069364161,0.01696726234189345,0.00043411057559265874,0.016329250633765804,0.7488112466404796,0.2253799846180607,0.00015976638061708525
Logistic Regression,candle,extended,long_short,0.11950148267680762,0.777533039647577,0.011904445915866823,0.0009281939716793441,0.041355582373010256,0.6507048092868988,0.06251209911812816,0.0004089043403908106
GRU,candle,extended,long_short,-0.014636097307142541,0.6093162986979569,0.40402589505870784,-0.0001512012074203779,0.003405553195941908,0.5881141486130317,0.4608250410359982,2.9257723222199455e-05
LightGBM,candle,extended,long_short,0.1116224164650031,0.7396174863387979,0.01051180711563535,0.001723226198439851,0.09886222673026952,0.5669911157564672,0.02066172876908297,0.0011938165735078381
LightGBM,ohlc,extended,long_short,0.1667778317617053,0.6008028854126362,0.03010370335303928,0.0021530125800756626,-0.01016308587800395,0.534357398873528,0.07557766688778597,-0.00010887612012183057
Logistic Regression,ohlc,extended,long_short,0.08216891319046517,0.6049465240641712,0.021998866720487068,0.0012381319127742288,-0.0083800696086478,0.5268366840407048,0.04548844652771621,-0.00012084152834806193
RSI,rule,rule,long_short,-0.0151275089327762,0.5216175855672001,0.4908211776786654,-0.00015706670812882725,-0.004577051315539034,0.5186860342140067,0.49016362775485567,-4.208092972566988e-05
XGBoost,ohlc,extended,long_short,0.024349951828694014,0.5408163265306123,0.04911363600137449,0.0002799283319704725,-4.508298637181425e-05,0.5064813880762635,0.09262011977572018,-4.4145950044466924e-07
GRU,ohlc,raw,long_short,0.014325350099795865,0.5617386219666699,0.06525832282162554,0.0001216589528286676,-0.0061750572897086,0.5059371547327703,0.15558917589774013,-5.971971090010459e-05
XGBoost,candle,extended,long_short,0.04265549980193868,0.5292646637913168,0.06235816476034312,0.0004880986974206761,-0.023993202589214314,0.49978419254942796,0.099571252320441,-0.00022395869806113465
XGBoost,candle,raw,long_short,-0.0048954850635538755,0.4961936118118415,0.2404147032721103,-5.0290174110264984e-05,-0.01646507913039135,0.49637509182347295,0.2980455224148649,-0.00015110335629310633
XGBoost,ohlc,raw,long_short,0.019842488739676187,0.5145675500005327,0.24069904929984792,0.0002166632087714556,-0.02155444323183368,0.4960528465245446,0.3220063502629284,-0.00019419177797542038
LightGBM,candle,raw,long_short,0.022619032899530295,0.5342295345104334,0.0312864261696035,0.00022751428039340953,-0.026164965023828594,0.46559736537171437,0.08117460626661338,-0.0002595685783555381
GRU,ohlc,extended,long_short,-0.015236644638277527,0.7499398893964895,0.3908074217918463,-0.0001550819448920752,-0.007231511107256983,0.4598335877405645,0.440209821192189,-6.269253917352121e-05
SMA,rule,rule,long_short,-0.017877081545693726,0.5391544702513522,0.14775056968243763,-0.0002017352603230574,-0.010583419305752682,0.43827560365303764,0.15709667975549485,-0.00011443597259750114
LightGBM,ohlc,raw,long_short,0.031851602249066975,0.5748378352212218,0.044618348661384546,0.00035530564991383823,-0.03345721200048713,0.42639655803097076,0.15219651375892546,-0.000277239188659782
Logistic Regression,ohlc,raw,long_short,0.057580307418965915,0.7818471337579618,0.032381242178602956,0.0009687499818994312,0.05802771076614237,0.40210843373493976,0.05794483757282845,0.0008082767706057083
