Model,Input Type,Feature Type,Strategy,Validation Sharpe,Validation Precision,Validation Recall,Validation Avg Return,Test Sharpe,Test Precision,Test Recall,Test Avg Return
Logistic Regression,candle,extended,long_short,0.1282724465730061,0.777533039647577,0.011904445915866823,0.0009281939716793441,0.04390897522151088,0.7750210260723297,0.061482522180651554,0.0003986783652512555
Logistic Regression,candle,raw,long_short,0.03642476716186079,0.7601156069364161,0.01696726234189345,0.00043411057559265874,0.019218256388298858,0.7459341117597998,0.22088728525452644,0.00018778343129538795
GRU,candle,extended,long_short,0.18037952748818475,0.8054187192118227,0.011426447650321143,0.002609544922834031,0.19919496432750233,0.625,0.009895645915797049,0.002531972797907253
GRU,ohlc,extended,long_short,0.20643027393242327,0.6309523809523809,0.027199797493685503,0.0018166906032637377,0.027119658407834438,0.5938391485626509,0.030574250032688318,0.000445880810712545
LightGBM,candle,extended,long_short,0.12188698995470612,0.7396174863387979,0.01051180711563535,0.001723226198439851,0.02082353545158076,0.5771771771771772,0.020115208492272642,0.0003108524033090707
LightGBM,ohlc,extended,long_short,0.2967329009663724,0.6008028854126362,0.03010370335303928,0.0021530125800756626,-0.028768890673883607,0.5300312432665374,0.06719323867310661,-0.00034848237019540265
RSI,rule,rule,long_short,-0.008365541002626951,0.5216175855672001,0.4908211776786654,-0.00015706670812882725,-0.006133570632808429,0.5186860342140067,0.49016362775485567,-4.208092972566988e-05
Logistic Regression,ohlc,extended,long_short,0.09536973210492859,0.6049465240641712,0.021998866720487068,0.0012381319127742288,0.010794234274805635,0.5171232876712328,0.04269614831342834,0.0002520704851028794
LightGBM,candle,raw,long_short,0.018637336783971746,0.5342295345104334,0.0312864261696035,0.00022751428039340953,-0.01868904697022445,0.5091386443195078,0.08261190414659901,-0.00017352623380720476
XGBoost,ohlc,extended,long_short,0.02068281859937302,0.5408163265306123,0.04911363600137449,0.0002799283319704725,-0.012198460087188374,0.5080967235078858,0.08550462756375184,-8.846096249836984e-05
XGBoost,ohlc,raw,long_short,0.02228179345562504,0.5145675500005327,0.24069904929984792,0.0002166632087714556,-0.009607609531166891,0.5041860537495526,0.3277286025372263,-9.470687107055329e-05
XGBoost,candle,extended,long_short,0.048930365508570044,0.5292646637913168,0.06235816476034312,0.0004880986974206761,-0.02154440192612434,0.5002571091123831,0.09733505950781829,-0.00023388528055979127
XGBoost,candle,raw,long_short,-0.0077412350769532935,0.4961936118118415,0.2404147032721103,-5.0290174110264984e-05,-0.009922291389254084,0.4953374839558814,0.30586459642319463,-9.882715427797735e-05
GRU,candle,raw,long_short,-0.00853094577355986,0.7447156033820138,0.4787608140113539,-0.0001798712019874057,-0.002817413209945149,0.49397730443679655,0.49266464647447017,1.0998223740202815e-05
GRU,ohlc,raw,long_short,-0.010396916596688949,0.7462946817785527,0.2655490117185518,-0.00011222969511733716,-0.0009844469030258155,0.48933074684772065,0.37875375375375375,2.9937532568583412e-05
LightGBM,ohlc,raw,long_short,0.030333533602360897,0.5748378352212218,0.044618348661384546,0.00035530564991383823,-0.019696712622642127,0.4599073976638956,0.15503778019001552,-0.00021664616167107523
SMA,rule,rule,long_short,-0.015857816418643606,0.5391544702513522,0.14775056968243763,-0.0002017352603230574,-0.012066660619417913,0.43827560365303764,0.15709667975549485,-0.00011443597259750114
Logistic Regression,ohlc,raw,long_short,0.06446795963663515,0.7818471337579618,0.032381242178602956,0.0009687499818994312,0.05062038368728931,0.3957383773928897,0.05345328169787336,0.000630504333902413
