Model,Input Type,Feature Type,Strategy,Validation Sharpe,Validation Precision,Validation Recall,Validation Avg Return,Test Sharpe,Test Precision,Test Recall,Test Avg Return
Logistic Regression,candle,extended,long_short,-0.0332126838500103,0.8162650602409638,0.010224043857768386,-0.0007204780185029618,0.01617667612346736,0.708250087320992,0.14424421041256094,0.00016979561318597954
Logistic Regression,ohlc,extended,long_short,0.002235660229075574,0.8280254777070064,0.01021672207277799,5.05603176902622e-05,0.02383705305980431,0.6356404881335629,0.11108042974684071,0.0002565904724683142
Logistic Regression,ohlc,raw,long_short,-0.029376822114663064,0.7525062656641603,0.03837402772221203,-0.00039791051726745447,0.002945389362030355,0.6063728953414373,0.42070665467534035,2.875945370568856e-05
LightGBM,ohlc,raw,long_short,-0.05845341040606393,0.5717919728660259,0.014437385752524772,-0.001031875818834456,-0.005151483603113331,0.5793745051464766,0.23040924231789417,-5.892935540938499e-05
LightGBM,ohlc,extended,long_short,-0.039790151272611346,0.6018445322793149,0.015953271539309973,-0.0008349903757501937,-0.01594560967373069,0.5673448511025233,0.06896156252125386,-0.00018568467664368139
GRU,candle,extended,long_short,-0.0208273942177182,0.797583081570997,0.019168377017326006,-0.0003863778939948962,-0.02713133821311459,0.5604184257435032,0.08566358005319066,-0.0003264698406692761
LightGBM,candle,extended,long_short,0.046719418143975476,0.6215686274509804,0.010635238065766758,0.0008247946649593119,0.036540274668606224,0.5564855046655744,0.018309729049969206,0.0006429232475184431
GRU,ohlc,extended,long_short,-0.007840786558633264,0.8048780487804879,0.01150425825989784,-0.0001606248474260499,0.012562002866544153,0.5561280824438719,0.014632426813569329,0.0001587047325563211
XGBoost,ohlc,extended,long_short,0.009603198480141887,0.547078579926928,0.05781737313142521,0.00011835614405663022,0.02319271546564169,0.5394181327279919,0.17005048978322332,0.00023050854337896155
XGBoost,candle,extended,long_short,0.0032617668657197924,0.5444596763251346,0.0942512659780689,3.2773733499678964e-05,0.01619016714069312,0.5322274547063096,0.2621296920813428,0.00016334728674429573
RSI,rule,rule,long_short,0.01045924721200287,0.5377074044822288,0.4408324842729083,8.99378780372654e-05,-0.006309139645950688,0.5235711648024948,0.4346806401246026,-6.5783543679304e-05
SMA,rule,rule,long_short,-0.013337469358369833,0.5234566079109387,0.03440532869844621,-0.0001617186946916904,-0.018468895868477955,0.5066669027049993,0.06631093747097215,-0.0003105803894783973
LightGBM,candle,raw,long_short,0.01434714386707049,0.5982789855072463,0.018662124765426585,0.00016075202274981587,-0.015846519948509982,0.49575050417747046,0.1581736431328599,-0.0001467425628873284
XGBoost,candle,raw,long_short,-0.02541213574621055,0.5174903627557577,0.04512533514434692,-0.00030875574329777936,-0.019189819136301217,0.4956803586574579,0.08859272775612105,-0.00019661536382011743
XGBoost,ohlc,raw,long_short,-0.02272380260159425,0.5506468965727435,0.037349806704876254,-0.0003062900641875615,-0.004384935389379999,0.4936376743466122,0.17867818275759823,-5.069857724199858e-05
GRU,ohlc,raw,long_short,0.06426850341197471,0.5625587958607714,0.05458196422051844,0.0005468081707898143,-0.05015042786401425,0.4466733870967742,0.008474958908369815,-0.000763022379983043
Logistic Regression,candle,raw,long_short,-0.019606400857254007,0.7431842966194111,0.04235797671175045,-0.000252124263477853,-0.013556791566579119,0.43486683719530544,0.45702338375837487,-0.000140443639401222
GRU,candle,raw,long_short,0.006015343033399722,0.5069466371960846,0.2930814165753925,5.320866592725071e-05,0.024899043756801752,0.2550869012293345,0.21873864049436567,0.00026920958830038363
